Date Local,NO2 AQI,O3 AQI,SO2 AQI,CO AQI
2006-01-01,34,13,13.0,6.0
2006-01-02,32,3,6.0,7.0
2006-01-03,21,9,6.0,5.0
2006-01-04,29,8,29.0,6.0
2006-01-05,19,15,9.0,6.0
2006-01-06,13,19,14.0,5.0
2006-01-07,25,19,11.0,5.0
2006-01-08,32,15,11.0,5.0
2006-01-09,33,23,11.0,6.0
2006-01-10,34,8,30.0,7.0
2006-01-11,29,8,9.0,7.0
2006-01-12,39,15,13.0,9.0
2006-01-13,33,22,16.0,8.0
2006-01-14,13,30,10.0,6.0
2006-01-15,9,30,13.0,5.0
2006-01-16,42,19,40.0,7.0
2006-01-17,46,24,33.0,8.0
2006-01-18,12,24,11.0,8.0
2006-01-19,37,16,10.0,8.0
2006-01-20,44,20,9.0,8.0
2006-01-21,23,30,13.0,8.0
2006-01-22,25,21,13.0,6.0
2006-01-23,24,14,7.0,8.0
2006-01-24,30,26,26.0,8.0
2006-01-25,24,26,4.0,7.0
2006-01-26,15,29,7.0,6.0
2006-01-27,40,19,19.0,8.0
2006-01-28,35,17,10.0,8.0
2006-01-29,32,29,11.0,8.0
2006-01-30,47,26,10.0,9.0
2006-01-31,32,22,13.0,9.0
2006-02-01,25,20,11.0,8.0
2006-02-02,31,21,36.0,9.0
2006-02-03,40,25,4.0,9.0
2006-02-04,38,17,9.0,10.0
2006-02-05,11,20,4.0,8.0
2006-02-06,25,27,4.0,7.0
2006-02-07,26,25,14.0,8.0
2006-02-08,32,24,14.0,8.0
2006-02-09,22,28,17.0,8.0
2006-02-10,43,20,16.0,10.0
2006-02-11,42,9,21.0,13.0
2006-02-12,25,27,11.0,10.0
2006-02-13,36,33,13.0,8.0
2006-02-14,44,24,6.0,9.0
2006-02-15,61,21,11.0,10.0
2006-02-16,43,40,7.0,10.0
2006-02-17,11,31,21.0,8.0
2006-02-18,14,28,20.0,6.0
2006-02-19,31,28,17.0,7.0
2006-02-20,32,27,11.0,8.0
2006-02-21,40,31,10.0,9.0
2006-02-22,46,7,13.0,10.0
2006-02-23,30,27,10.0,10.0
2006-02-24,37,31,14.0,8.0
2006-02-25,35,33,14.0,8.0
2006-02-26,8,32,10.0,7.0
2006-02-27,33,26,10.0,9.0
2006-02-28,36,26,26.0,10.0
2006-03-01,41,23,30.0,11.0
2006-03-02,40,31,30.0,11.0
2006-03-03,10,31,10.0,10.0
2006-03-04,8,29,11.0,9.0
2006-03-05,15,36,21.0,9.0
2006-03-06,35,19,31.0,11.0
2006-03-07,35,33,20.0,11.0
2006-03-08,42,22,16.0,13.0
2006-03-09,37,45,14.0,11.0
2006-03-10,24,46,9.0,10.0
2006-03-11,21,39,23.0,10.0
2006-03-12,44,36,24.0,13.0
2006-03-13,42,37,13.0,14.0
2006-03-14,10,38,4.0,10.0
2006-03-15,10,36,7.0,9.0
2006-03-16,20,37,14.0,10.0
2006-03-17,25,31,24.0,10.0
2006-03-18,9,38,17.0,10.0
2006-03-19,13,37,13.0,10.0
2006-03-20,30,36,16.0,10.0
2006-03-21,33,23,20.0,11.0
2006-03-22,12,31,11.0,11.0
2006-03-23,28,31,14.0,10.0
2006-03-24,34,31,20.0,3.0
2006-03-25,18,38,21.0,3.0
2006-03-26,9,38,13.0,3.0
2006-03-27,37,37,13.0,3.0
2006-03-28,46,41,11.0,6.0
2006-03-29,42,37,16.0,5.0
2006-03-30,45,64,27.0,6.0
2006-03-31,32,84,11.0,5.0
2006-04-01,10,38,6.0,5.0
2006-04-02,19,42,6.0,5.0
2006-04-03,15,38,10.0,5.0
2006-04-04,15,40,7.0,5.0
2006-04-05,13,36,7.0,3.0
2006-04-06,35,42,23.0,5.0
2006-04-07,30,51,7.0,5.0
2006-04-08,20,25,6.0,5.0
2006-04-09,41,37,7.0,5.0
2006-04-10,37,33,9.0,6.0
2006-04-11,37,84,16.0,5.0
2006-04-12,25,61,7.0,5.0
2006-04-13,42,54,7.0,6.0
2006-04-14,49,43,6.0,7.0
2006-04-15,9,61,13.0,6.0
2006-04-16,23,41,10.0,6.0
2006-04-17,30,19,9.0,6.0
2006-04-18,41,36,7.0,6.0
2006-04-19,45,44,9.0,6.0
2006-04-20,51,43,4.0,7.0
2006-04-21,44,25,10.0,8.0
2006-04-22,13,24,4.0,6.0
2006-04-23,18,27,16.0,7.0
2006-04-24,25,47,9.0,9.0
2006-04-25,40,71,11.0,7.0
2006-04-26,19,26,10.0,6.0
2006-04-27,40,45,9.0,7.0
2006-04-28,38,42,14.0,6.0
2006-04-29,30,38,10.0,8.0
2006-04-30,25,43,14.0,7.0
2006-05-01,26,47,16.0,7.0
2006-05-02,41,61,6.0,6.0
2006-05-03,21,48,26.0,7.0
2006-05-04,32,77,21.0,7.0
2006-05-05,37,58,30.0,7.0
2006-05-06,12,50,26.0,7.0
2006-05-07,24,42,17.0,7.0
2006-05-08,23,18,4.0,7.0
2006-05-09,37,37,10.0,7.0
2006-05-10,34,90,4.0,8.0
2006-05-11,31,30,7.0,8.0
2006-05-12,25,42,3.0,7.0
2006-05-13,47,42,9.0,9.0
2006-05-14,21,36,3.0,9.0
2006-05-15,16,36,1.0,7.0
2006-05-16,33,31,6.0,8.0
2006-05-17,29,37,1.0,8.0
2006-05-18,32,32,3.0,8.0
2006-05-19,27,26,3.0,7.0
2006-05-20,26,35,7.0,8.0
2006-05-21,9,34,10.0,6.0
2006-05-22,16,27,14.0,6.0
2006-05-23,32,28,19.0,7.0
2006-05-24,31,44,11.0,8.0
2006-05-25,35,49,19.0,9.0
2006-05-26,33,38,4.0,9.0
2006-05-27,30,41,6.0,9.0
2006-05-28,22,74,24.0,9.0
2006-05-29,27,93,7.0,9.0
2006-05-30,30,142,20.0,9.0
2006-05-31,24,124,13.0,9.0
2006-06-01,16,109,6.0,8.0
2006-06-02,23,67,4.0,9.0
2006-06-03,13,32,6.0,8.0
2006-06-04,17,42,6.0,7.0
2006-06-05,37,26,13.0,9.0
2006-06-06,27,54,16.0,9.0
2006-06-07,25,64,16.0,8.0
2006-06-08,22,77,7.0,9.0
2006-06-09,29,45,14.0,9.0
2006-06-10,25,42,7.0,9.0
2006-06-11,13,42,19.0,7.0
2006-06-12,21,33,14.0,8.0
2006-06-13,24,46,4.0,9.0
2006-06-14,26,35,9.0,9.0
2006-06-15,38,40,7.0,9.0
2006-06-16,34,87,10.0,9.0
2006-06-17,12,114,7.0,9.0
2006-06-18,11,109,6.0,9.0
2006-06-19,28,67,7.0,9.0
2006-06-20,25,51,6.0,9.0
2006-06-21,38,104,20.0,9.0
2006-06-22,25,97,7.0,9.0
2006-06-23,23,50,47.0,9.0
2006-06-24,14,47,3.0,9.0
2006-06-25,14,24,3.0,9.0
2006-06-26,11,12,7.0,8.0
2006-06-27,14,12,10.0,9.0
2006-06-28,25,61,9.0,9.0
2006-06-29,26,49,21.0,9.0
2006-06-30,27,44,11.0,9.0
2006-07-01,32,51,4.0,9.0
2006-07-02,21,47,4.0,10.0
2006-07-03,26,51,4.0,10.0
2006-07-04,22,42,3.0,9.0
2006-07-05,22,29,1.0,10.0
2006-07-06,14,34,9.0,10.0
2006-07-07,36,35,6.0,9.0
2006-07-08,37,45,13.0,11.0
2006-07-09,31,44,9.0,10.0
2006-07-10,24,61,4.0,10.0
2006-07-11,19,104,4.0,10.0
2006-07-12,21,44,4.0,10.0
2006-07-13,11,30,1.0,10.0
2006-07-14,22,36,6.0,11.0
2006-07-15,16,38,3.0,11.0
2006-07-16,30,37,7.0,10.0
2006-07-17,24,129,31.0,10.0
2006-07-18,25,100,51.0,5.0
2006-07-19,29,114,11.0,5.0
2006-07-20,21,101,20.0,5.0
2006-07-21,13,61,9.0,5.0
2006-07-22,16,42,4.0,3.0
2006-07-23,24,35,4.0,3.0
2006-07-24,26,49,26.0,5.0
2006-07-25,26,40,19.0,3.0
2006-07-26,29,47,9.0,5.0
2006-07-27,22,47,9.0,5.0
2006-07-28,19,27,3.0,3.0
2006-07-29,19,39,4.0,5.0
2006-07-30,16,47,13.0,5.0
2006-07-31,21,50,20.0,5.0
2006-08-01,27,18,17.0,5.0
2006-08-02,33,90,10.0,6.0
2006-08-03,25,67,7.0,2.0
2006-08-04,29,47,11.0,3.0
2006-08-05,34,51,9.0,2.0
2006-08-06,26,119,29.0,3.0
2006-08-07,25,80,10.0,3.0
2006-08-08,25,49,26.0,3.0
2006-08-09,22,77,11.0,2.0
2006-08-10,27,39,23.0,3.0
2006-08-11,42,42,6.0,3.0
