Date Local,NO2 AQI,O3 AQI,SO2 AQI,CO AQI
2000-03-01,38,25,10.0,22.0
2000-03-02,27,16,11.0,10.0
2000-03-03,37,18,14.0,9.0
2000-03-04,18,25,14.0,8.0
2000-03-05,10,23,11.0,3.0
2000-03-06,33,28,13.0,5.0
2000-03-07,22,27,14.0,5.0
2000-03-08,28,30,13.0,5.0
2000-03-09,31,27,13.0,7.0
2000-03-10,37,28,19.0,11.0
2000-03-11,30,32,13.0,14.0
2000-03-12,35,28,16.0,9.0
2000-03-13,26,31,11.0,9.0
2000-03-14,31,29,11.0,6.0
2000-03-15,42,35,16.0,17.0
2000-03-16,28,36,11.0,19.0
2000-03-17,39,37,16.0,8.0
2000-03-18,39,33,16.0,11.0
2000-03-19,12,35,13.0,7.0
2000-03-20,9,34,11.0,2.0
2000-03-21,25,38,13.0,5.0
2000-03-22,31,42,10.0,5.0
2000-03-23,19,30,21.0,3.0
2000-03-24,24,33,13.0,5.0
2000-03-25,25,39,13.0,3.0
2000-03-26,13,44,16.0,3.0
2000-03-27,17,31,11.0,2.0
2000-03-28,20,34,10.0,2.0
2000-03-29,29,44,10.0,5.0
2000-03-30,22,43,13.0,5.0
2000-03-31,20,43,10.0,5.0
2000-04-01,38,40,10.0,9.0
2000-04-02,34,58,11.0,15.0
2000-04-03,25,54,10.0,5.0
2000-04-04,22,33,9.0,2.0
2000-04-05,18,30,11.0,2.0
2000-04-06,24,34,10.0,3.0
2000-04-07,50,46,14.0,6.0
2000-04-08,11,32,10.0,6.0
2000-04-09,16,34,13.0,2.0
2000-04-10,23,37,13.0,5.0
2000-04-11,60,67,14.0,10.0
2000-04-12,44,38,7.0,11.0
2000-04-13,19,35,10.0,2.0
2000-04-14,21,37,9.0,3.0
2000-04-15,16,30,7.0,2.0
2000-04-16,14,35,10.0,2.0
2000-04-17,25,33,7.0,6.0
2000-04-18,25,42,11.0,9.0
2000-04-19,37,33,10.0,7.0
2000-04-20,42,44,13.0,8.0
2000-04-21,31,34,7.0,10.0
2000-04-22,8,34,11.0,2.0
2000-04-23,24,42,11.0,5.0
2000-04-24,25,42,11.0,7.0
2000-04-25,25,36,14.0,3.0
2000-04-26,21,45,11.0,5.0
2000-04-27,21,33,9.0,2.0
2000-04-28,27,38,11.0,3.0
2000-04-29,28,44,11.0,5.0
2000-04-30,14,61,10.0,5.0
2000-05-01,29,36,10.0,5.0
2000-05-02,30,42,13.0,5.0
2000-05-03,12,36,10.0,2.0
2000-05-04,15,35,13.0,2.0
2000-05-05,20,36,11.0,2.0
2000-05-06,11,33,10.0,2.0
2000-05-07,10,25,10.0,2.0
2000-05-08,14,32,13.0,1.0
2000-05-09,15,36,10.0,1.0
2000-05-10,31,33,9.0,3.0
2000-05-11,35,37,11.0,6.0
2000-05-12,38,34,10.0,6.0
2000-05-13,25,40,10.0,6.0
2000-05-14,17,36,10.0,3.0
2000-05-15,29,29,11.0,5.0
2000-05-16,20,25,10.0,3.0
2000-05-17,38,42,10.0,7.0
2000-05-18,27,41,11.0,8.0
2000-05-19,46,51,14.0,9.0
2000-05-20,50,61,13.0,10.0
2000-05-21,47,151,10.0,15.0
2000-05-22,44,132,13.0,13.0
2000-05-23,39,43,13.0,10.0
2000-05-24,12,42,10.0,3.0
2000-05-25,28,44,11.0,2.0
2000-05-26,15,38,10.0,2.0
2000-05-27,9,33,10.0,2.0
2000-05-28,9,51,11.0,14.0
2000-05-29,11,44,13.0,11.0
2000-05-30,32,47,11.0,3.0
2000-05-31,45,49,9.0,6.0
2000-07-01,9,32,10.0,2.0
2000-07-02,8,31,9.0,2.0
2000-07-03,11,35,10.0,2.0
2000-07-04,10,64,11.0,2.0
2000-07-05,10,19,9.0,2.0
2000-07-06,11,25,7.0,1.0
2000-07-07,11,28,7.0,1.0
2000-07-08,17,45,4.0,3.0
2000-07-09,14,84,9.0,3.0
2000-07-10,15,43,9.0,3.0
2000-07-11,23,43,7.0,3.0
2000-07-12,14,39,9.0,3.0
2000-07-13,11,44,7.0,3.0
2000-07-14,22,51,6.0,3.0
2000-07-15,13,43,9.0,3.0
2000-07-16,8,26,7.0,2.0
2000-07-17,10,33,4.0,1.0
2000-07-18,18,61,7.0,2.0
