Date Local,NO2 AQI,O3 AQI,SO2 AQI,CO AQI
2000-11-01,38,26,9.0,15.0
2000-11-02,45,22,6.0,13.0
2000-11-03,53,32,7.0,18.0
2000-11-04,50,40,10.0,22.0
2000-11-05,42,38,6.0,15.0
2000-11-06,42,25,6.0,14.0
2000-11-07,41,25,7.0,16.0
2000-11-08,43,30,9.0,15.0
2000-11-09,38,29,4.0,15.0
2000-11-10,34,27,9.0,9.0
2000-11-11,35,27,7.0,8.0
2000-11-12,39,32,6.0,10.0
2000-11-13,42,22,16.0,13.0
2000-11-14,40,26,7.0,14.0
2000-11-15,39,20,9.0,16.0
2000-11-16,44,25,7.0,18.0
2000-11-17,44,23,10.0,19.0
2000-11-18,52,22,9.0,23.0
2000-11-20,88,10,13.0,40.0
2000-11-21,66,19,11.0,43.0
2000-11-22,55,21,7.0,18.0
2000-11-23,45,25,10.0,18.0
2000-11-24,63,28,17.0,20.0
2000-11-25,63,19,13.0,28.0
2000-11-26,34,8,11.0,22.0
2000-11-27,34,4,4.0,9.0
2000-11-28,38,8,1.0,11.0
2000-11-29,37,27,4.0,11.0
2000-11-30,42,23,11.0,13.0
2001-01-01,64,35,7.0,28.0
2001-01-02,74,28,9.0,28.0
2001-01-03,66,24,11.0,35.0
2001-01-04,81,25,13.0,39.0
2001-01-05,78,15,14.0,39.0
2001-01-06,66,22,11.0,32.0
2001-01-07,68,26,10.0,23.0
2001-01-08,49,19,7.0,19.0
2001-01-09,40,24,4.0,15.0
2001-01-10,36,25,9.0,17.0
2001-01-11,36,29,9.0,7.0
2001-01-12,57,23,36.0,9.0
2001-01-13,66,25,27.0,16.0
2001-01-14,31,19,6.0,19.0
2001-01-15,40,25,4.0,9.0
2001-01-16,38,23,7.0,14.0
2001-01-17,46,20,9.0,22.0
2001-01-18,56,17,10.0,24.0
2001-01-19,74,16,14.0,24.0
2001-01-20,71,21,14.0,18.0
2001-01-21,35,16,10.0,14.0
2001-01-22,63,29,9.0,20.0
2001-01-23,61,22,9.0,23.0
2001-01-24,38,31,11.0,18.0
2001-01-25,49,23,4.0,16.0
2001-01-26,69,31,36.0,14.0
2001-01-27,73,26,43.0,14.0
2001-01-28,46,31,7.0,23.0
2001-01-29,44,25,11.0,19.0
2001-01-30,36,22,9.0,15.0
2001-01-31,45,9,9.0,25.0
2001-02-01,50,20,7.0,26.0
2001-02-02,79,22,11.0,28.0
2001-02-03,83,37,13.0,31.0
2001-02-04,68,47,10.0,24.0
2001-02-05,74,61,10.0,26.0
2001-02-06,52,35,11.0,27.0
2001-02-07,37,26,3.0,11.0
2001-02-08,49,29,6.0,18.0
2001-02-09,90,27,7.0,26.0
2001-02-13,45,27,3.0,8.0
2001-02-14,42,31,4.0,17.0
2001-02-15,49,36,9.0,18.0
2001-02-16,98,31,10.0,20.0
2001-02-17,103,27,6.0,16.0
2001-02-18,36,36,1.0,10.0
2001-02-19,45,25,3.0,8.0
2001-02-20,40,31,4.0,11.0
2001-02-21,37,30,9.0,13.0
2001-02-22,41,29,4.0,11.0
2001-02-23,104,31,4.0,13.0
2001-02-24,102,15,9.0,20.0
2001-02-25,39,11,4.0,10.0
2001-02-26,39,25,3.0,10.0
2001-02-27,41,28,3.0,15.0
2001-02-28,41,36,4.0,9.0
2001-03-01,50,35,6.0,9.0
2001-03-02,102,33,14.0,14.0
2001-03-03,103,34,33.0,10.0
2001-03-06,43,29,4.0,6.0
2001-03-07,50,39,4.0,7.0
2001-03-15,44,58,6.0,3.0
2001-03-16,45,28,6.0,10.0
2001-03-17,48,49,9.0,14.0
2001-03-18,55,67,4.0,9.0
2001-03-19,48,80,6.0,7.0
2001-03-20,51,61,4.0,8.0
2001-03-21,44,61,4.0,9.0
2001-03-22,38,42,3.0,6.0
2001-03-23,54,43,4.0,9.0
2001-03-24,41,58,6.0,10.0
2001-03-25,13,32,3.0,6.0
2001-03-26,33,42,3.0,2.0
2001-03-27,44,47,4.0,5.0
2001-03-28,33,42,4.0,5.0
2001-03-29,45,42,3.0,3.0
2001-03-30,42,45,4.0,6.0
2001-03-31,51,80,6.0,8.0
2001-04-01,42,58,4.0,9.0
2001-04-02,25,42,4.0,2.0
