Date Local,NO2 AQI,O3 AQI,SO2 AQI,CO AQI
2000-01-01,70,32,21.0,14.0
2000-01-02,26,21,13.0,15.0
2000-01-03,18,17,20.0,7.0
2000-01-04,30,16,59.0,6.0
2000-01-05,42,19,84.0,14.0
2000-01-06,43,21,21.0,20.0
2000-01-07,46,31,10.0,22.0
2000-01-08,38,25,16.0,10.0
2000-01-09,14,14,10.0,10.0
2000-01-10,47,24,30.0,10.0
2000-01-11,35,21,13.0,13.0
2000-01-12,25,12,10.0,14.0
2000-01-13,17,20,29.0,10.0
2000-01-14,39,22,9.0,10.0
2000-01-15,31,26,14.0,10.0
2000-01-16,44,27,30.0,11.0
2000-01-17,94,23,13.0,20.0
2000-01-18,29,19,14.0,9.0
2000-01-19,18,23,7.0,9.0
2000-01-20,24,23,69.0,9.0
2000-01-21,32,23,7.0,9.0
2000-01-22,31,24,7.0,11.0
2000-01-23,25,14,33.0,11.0
2000-01-24,24,19,66.0,9.0
2000-01-25,32,21,49.0,9.0
2000-01-26,24,25,11.0,9.0
2000-01-27,24,19,10.0,8.0
2000-01-28,20,14,50.0,8.0
2000-01-29,16,19,46.0,8.0
2000-01-30,24,27,24.0,9.0
2000-01-31,52,32,3.0,15.0
2000-02-01,54,32,1.0,17.0
2000-02-02,43,38,3.0,17.0
2000-02-03,53,37,14.0,15.0
2000-02-04,50,30,34.0,10.0
2000-02-05,44,27,13.0,9.0
2000-02-06,63,34,26.0,20.0
2000-02-07,76,23,23.0,25.0
2000-02-08,52,36,47.0,15.0
2000-02-09,53,40,13.0,16.0
2000-02-10,40,36,6.0,13.0
2000-02-11,40,25,37.0,13.0
2000-02-12,25,29,14.0,6.0
2000-02-13,14,25,7.0,5.0
2000-02-14,58,31,66.0,17.0
2000-02-15,32,35,6.0,18.0
2000-02-16,39,21,13.0,16.0
2000-02-17,24,15,14.0,18.0
2000-02-18,25,24,9.0,7.0
2000-02-19,14,25,44.0,7.0
2000-02-20,42,35,1.0,9.0
2000-02-21,46,33,26.0,10.0
2000-02-22,43,44,23.0,8.0
2000-02-23,32,36,10.0,8.0
2000-02-24,27,29,56.0,7.0
2000-02-25,34,31,6.0,7.0
2000-02-26,31,29,24.0,6.0
2000-02-27,39,31,39.0,6.0
2000-02-28,63,35,33.0,9.0
2000-02-29,45,33,55.0,10.0
2000-03-01,42,27,40.0,8.0
2000-03-02,27,31,6.0,8.0
2000-03-03,30,23,39.0,8.0
2000-03-04,32,29,43.0,5.0
2000-03-05,63,42,11.0,11.0
2000-03-06,47,50,9.0,19.0
2000-03-07,34,48,9.0,10.0
2000-03-08,29,25,6.0,9.0
2000-03-09,27,17,41.0,9.0
2000-03-10,27,18,6.0,9.0
2000-03-11,31,23,24.0,8.0
2000-03-12,45,36,10.0,15.0
2000-03-13,37,43,4.0,19.0
2000-03-14,42,39,9.0,11.0
2000-03-15,28,25,30.0,11.0
2000-03-16,41,35,17.0,9.0
2000-03-17,44,31,1.0,24.0
2000-03-18,33,20,0.0,33.0
2000-03-19,32,24,24.0,8.0
2000-03-20,56,31,40.0,20.0
2000-03-21,37,48,21.0,22.0
2000-03-22,66,46,7.0,23.0
2000-03-23,50,61,31.0,30.0
2000-03-24,36,42,16.0,7.0
2000-03-25,32,42,13.0,9.0
2000-03-26,25,34,9.0,7.0
2000-03-27,42,36,13.0,9.0
2000-03-28,41,42,10.0,19.0
2000-03-29,34,25,7.0,7.0
2000-03-30,26,26,99.0,7.0
2000-03-31,50,37,3.0,13.0
2000-04-01,37,19,4.0,15.0
2000-04-02,13,12,1.0,7.0
2000-04-03,25,19,14.0,7.0
2000-04-04,37,31,21.0,5.0
2000-04-05,43,40,31.0,17.0
2000-04-06,41,32,1.0,9.0
2000-04-07,28,29,3.0,8.0
2000-04-08,26,31,51.0,7.0
2000-04-09,36,39,4.0,7.0
2000-04-10,35,34,21.0,8.0
2000-04-11,33,34,30.0,9.0
2000-04-12,33,18,3.0,11.0
2000-04-13,17,9,34.0,11.0
2000-04-14,27,26,20.0,8.0
2000-04-15,26,46,19.0,16.0
2000-04-16,18,34,11.0,10.0
