Date Local,NO2 AQI,O3 AQI,SO2 AQI,CO AQI
2007-04-01,9,34,3.0,3.0
2007-04-02,12,38,3.0,5.0
2007-04-03,19,40,24.0,5.0
2007-04-04,17,31,6.0,3.0
2007-04-05,13,34,4.0,3.0
2007-04-06,12,24,3.0,5.0
2007-04-07,6,37,7.0,5.0
2007-04-08,7,41,6.0,5.0
2007-04-09,7,36,4.0,3.0
2007-04-10,12,36,6.0,3.0
2007-04-11,12,39,6.0,5.0
2007-04-12,9,36,3.0,5.0
2007-04-13,13,34,9.0,5.0
2007-04-14,6,42,6.0,3.0
2007-04-15,8,36,3.0,2.0
2007-04-16,13,41,6.0,3.0
2007-04-17,6,40,4.0,3.0
2007-04-18,7,40,1.0,3.0
2007-04-19,11,31,3.0,3.0
2007-04-20,11,42,4.0,3.0
2007-04-21,8,34,9.0,3.0
2007-04-22,3,36,1.0,3.0
2007-04-23,10,31,3.0,5.0
2007-04-24,15,29,6.0,5.0
2007-04-25,13,31,3.0,5.0
2007-04-26,16,34,3.0,3.0
2007-04-27,18,34,10.0,3.0
2007-04-28,25,67,13.0,5.0
2007-04-29,11,35,7.0,3.0
2007-04-30,13,39,4.0,3.0
2007-05-01,14,35,11.0,2.0
2007-05-02,7,42,7.0,3.0
2007-05-03,12,39,3.0,2.0
2007-05-04,8,36,3.0,3.0
2007-05-05,7,47,1.0,3.0
2007-05-06,7,45,4.0,3.0
2007-05-07,13,61,10.0,3.0
2007-05-08,20,46,6.0,3.0
2007-05-09,8,30,3.0,3.0
2007-05-10,15,34,3.0,5.0
2007-05-11,9,40,4.0,5.0
2007-05-12,8,42,6.0,2.0
2007-05-13,10,40,10.0,3.0
2007-05-14,14,41,3.0,3.0
2007-05-15,8,36,4.0,3.0
2007-05-16,11,37,3.0,3.0
2007-05-17,13,36,10.0,3.0
2007-05-18,15,34,3.0,5.0
2007-05-19,9,33,3.0,5.0
2007-05-20,8,35,3.0,3.0
2007-05-21,10,39,3.0,3.0
2007-05-22,9,46,3.0,3.0
2007-05-23,13,43,13.0,3.0
2007-05-24,12,42,6.0,3.0
2007-05-25,10,32,3.0,3.0
2007-05-26,7,30,9.0,3.0
2007-05-27,8,26,4.0,3.0
2007-05-28,8,36,6.0,5.0
2007-05-29,8,32,10.0,5.0
2007-05-30,7,33,6.0,5.0
2007-05-31,8,36,7.0,5.0
2007-06-01,8,29,4.0,3.0
2007-06-02,8,30,6.0,3.0
2007-06-03,7,22,3.0,3.0
2007-06-04,7,25,11.0,3.0
2007-06-05,8,29,1.0,3.0
2007-06-06,6,31,1.0,3.0
2007-06-07,11,32,9.0,3.0
2007-06-08,11,35,9.0,3.0
2007-06-09,14,36,3.0,3.0
2007-06-10,9,27,7.0,3.0
2007-06-11,13,33,3.0,3.0
2007-06-12,10,41,3.0,3.0
2007-06-13,15,44,4.0,3.0
2007-06-14,14,49,7.0,3.0
2007-06-15,10,34,9.0,3.0
2007-06-16,10,26,10.0,3.0
2007-06-17,8,42,3.0,5.0
2007-06-18,10,42,3.0,3.0
2007-06-19,6,32,3.0,3.0
2007-06-20,8,31,1.0,3.0
2007-06-21,12,24,3.0,3.0
2007-06-22,17,31,3.0,3.0
2007-06-23,13,32,3.0,2.0
2007-06-24,11,28,3.0,2.0
2007-06-25,10,39,3.0,3.0
2007-06-26,10,30,7.0,3.0
2007-06-27,10,19,3.0,3.0
2007-06-28,11,20,3.0,3.0
2007-06-29,8,25,6.0,3.0
2007-06-30,9,28,7.0,3.0
2007-07-01,7,27,11.0,3.0
2007-07-02,10,29,3.0,3.0
2007-07-03,14,29,3.0,5.0
2007-07-04,11,44,6.0,5.0
2007-07-05,11,50,7.0,5.0
2007-07-06,8,28,6.0,3.0
2007-07-07,7,25,4.0,3.0
2007-07-08,6,32,4.0,3.0
2007-07-09,6,29,6.0,3.0
2007-07-10,7,26,6.0,3.0
2007-07-11,7,22,4.0,2.0
2007-07-12,9,28,6.0,2.0
2007-07-13,12,25,4.0,2.0
2007-07-14,8,19,4.0,2.0
