Date Local,NO2 AQI,O3 AQI,SO2 AQI,CO AQI
2007-12-08,24,21,0.0,2.0
2007-12-09,29,16,3.0,5.0
2007-12-10,33,24,9.0,7.0
2007-12-11,39,26,3.0,8.0
2007-12-12,44,12,16.0,17.0
2007-12-13,42,3,6.0,17.0
2007-12-14,42,6,17.0,14.0
2007-12-15,36,9,3.0,13.0
2007-12-16,29,25,1.0,13.0
2007-12-17,32,21,1.0,6.0
2007-12-18,30,21,3.0,9.0
2007-12-19,33,24,7.0,10.0
2007-12-20,25,20,1.0,2.0
2007-12-21,34,18,3.0,15.0
2007-12-22,33,13,20.0,18.0
2007-12-23,32,10,10.0,13.0
2007-12-24,26,27,6.0,15.0
2007-12-25,30,24,6.0,3.0
2007-12-26,22,23,1.0,2.0
2007-12-27,25,19,1.0,3.0
2007-12-28,25,17,3.0,6.0
2007-12-29,26,3,1.0,8.0
2007-12-30,24,19,3.0,7.0
2007-12-31,28,27,6.0,7.0
2008-01-01,30,17,6.0,7.0
2008-01-02,34,13,10.0,9.0
2008-01-03,31,22,1.0,10.0
2008-01-07,32,22,3.0,8.0
2008-01-08,32,12,1.0,9.0
2008-01-09,33,4,9.0,8.0
2008-01-10,27,1,4.0,8.0
2008-01-11,20,7,4.0,6.0
2008-01-12,24,15,13.0,6.0
2008-01-13,25,18,3.0,9.0
2008-01-14,31,10,3.0,11.0
2008-01-15,23,2,9.0,17.0
2008-01-16,37,25,6.0,17.0
2008-01-17,40,15,6.0,11.0
2008-01-18,40,26,6.0,14.0
2008-01-19,39,19,20.0,15.0
2008-01-20,18,28,3.0,8.0
2008-01-21,26,19,1.0,3.0
2008-01-22,10,23,4.0,3.0
2008-01-23,26,22,3.0,3.0
2008-01-24,25,25,1.0,5.0
2008-01-25,29,27,1.0,5.0
2008-01-26,29,28,3.0,5.0
2008-01-27,13,31,1.0,3.0
2008-01-28,30,23,3.0,6.0
2008-01-29,30,18,1.0,7.0
2008-01-30,32,18,3.0,7.0
2008-01-31,28,18,1.0,8.0
2008-02-01,36,19,1.0,7.0
2008-02-02,25,29,1.0,5.0
2008-02-03,11,30,6.0,1.0
2008-02-04,35,25,1.0,2.0
2008-02-05,39,16,6.0,10.0
2008-02-06,29,22,1.0,8.0
2008-02-07,28,13,4.0,10.0
2008-02-08,32,4,11.0,15.0
2008-02-09,33,24,7.0,17.0
2008-02-10,26,13,9.0,15.0
2008-02-11,30,9,6.0,10.0
2008-02-12,25,10,6.0,8.0
2008-02-13,24,29,4.0,5.0
2008-02-14,35,27,6.0,8.0
2008-02-15,37,19,4.0,10.0
2008-02-16,30,22,7.0,7.0
2008-02-17,25,29,3.0,8.0
2008-02-18,15,28,1.0,2.0
2008-02-19,27,23,0.0,5.0
2008-02-20,33,27,1.0,5.0
2008-02-21,28,31,0.0,6.0
2008-02-22,29,29,1.0,6.0
2008-02-23,19,31,0.0,7.0
2008-02-24,10,32,0.0,2.0
2008-02-25,31,16,6.0,8.0
2008-02-26,30,22,7.0,8.0
2008-02-27,27,7,3.0,10.0
2008-02-28,32,18,6.0,8.0
2008-02-29,25,24,1.0,3.0
2008-03-01,14,30,0.0,2.0
2008-03-02,33,32,0.0,7.0
2008-03-03,37,19,11.0,8.0
2008-03-04,31,20,11.0,7.0
2008-03-05,36,28,4.0,8.0
2008-03-06,39,10,13.0,9.0
2008-03-07,33,19,11.0,10.0
2008-03-08,30,23,1.0,6.0
2008-03-09,26,28,3.0,7.0
2008-03-10,39,21,4.0,8.0
2008-03-11,26,24,4.0,6.0
2008-03-12,28,27,1.0,3.0
2008-03-13,15,31,1.0,3.0
2008-03-14,23,31,0.0,3.0
2008-03-15,20,30,1.0,2.0
2008-03-16,10,33,0.0,2.0
2008-03-17,33,24,3.0,6.0
2008-03-18,33,22,6.0,8.0
2008-03-19,16,25,1.0,2.0
2008-03-20,34,29,1.0,5.0
2008-03-21,32,25,1.0,6.0
2008-03-22,28,23,3.0,6.0
2008-03-23,28,27,1.0,5.0
2008-03-24,26,22,1.0,5.0
2008-03-25,25,27,6.0,2.0
2008-03-26,35,30,1.0,3.0
2008-03-27,21,28,3.0,2.0
2008-03-28,35,31,3.0,3.0
2008-03-29,20,25,3.0,2.0
2008-03-30,18,31,4.0,2.0
2008-03-31,32,27,3.0,3.0
2008-04-01,32,29,6.0,3.0
2008-04-02,30,28,4.0,3.0
2008-04-03,38,30,3.0,5.0
2008-04-04,26,30,1.0,2.0
2008-04-05,19,32,1.0,2.0
2008-04-06,11,36,0.0,1.0
2008-04-07,33,31,1.0,3.0
2008-04-08,19,34,3.0,2.0
2008-04-09,31,31,1.0,2.0
2008-04-10,27,27,4.0,5.0
2008-04-11,43,33,6.0,8.0
2008-04-12,39,36,13.0,10.0
2008-04-13,39,38,6.0,6.0
2008-04-14,15,39,0.0,1.0
2008-04-15,25,33,1.0,1.0
2008-04-16,29,25,6.0,2.0
2008-04-17,42,28,6.0,6.0
2008-04-18,18,34,1.0,2.0
2008-04-19,12,42,1.0,1.0
2008-04-20,8,36,1.0,1.0
2008-04-21,18,36,3.0,1.0
2008-04-22,25,36,1.0,3.0
2008-04-23,30,36,0.0,3.0
