Date Local,NO2 AQI,O3 AQI,SO2 AQI,CO AQI
2000-01-01,23,35,4.0,9.0
2000-01-02,24,34,0.0,6.0
2000-01-03,48,30,9.0,32.0
2000-01-04,48,28,7.0,33.0
2000-01-05,40,26,6.0,30.0
2000-01-06,44,32,9.0,27.0
2000-01-07,103,26,11.0,47.0
2000-01-08,62,28,23.0,92.0
2000-01-09,104,47,19.0,126.0
2000-01-10,86,67,9.0,40.0
2000-01-11,64,37,19.0,47.0
2000-01-12,117,47,27.0,61.0
2000-01-13,66,39,11.0,31.0
2000-01-14,50,25,9.0,43.0
2000-01-15,104,29,16.0,103.0
2000-01-16,83,33,16.0,58.0
2000-01-17,41,16,4.0,17.0
2000-01-18,67,19,13.0,44.0
2000-01-19,49,23,6.0,22.0
2000-01-20,33,25,4.0,23.0
2000-01-21,47,26,7.0,13.0
2000-01-22,63,23,17.0,50.0
2000-01-23,49,38,4.0,50.0
2000-01-24,105,46,11.0,47.0
2000-01-25,77,25,11.0,36.0
2000-01-26,43,34,1.0,7.0
2000-01-27,49,31,14.0,41.0
2000-01-28,46,31,13.0,73.0
2000-01-29,56,34,21.0,60.0
2000-01-30,84,39,13.0,59.0
2000-01-31,41,29,11.0,23.0
2000-02-01,52,31,1.0,57.0
2000-02-02,48,32,1.0,96.0
2000-02-03,62,34,0.0,35.0
2000-02-04,87,37,0.0,50.0
2000-02-05,96,26,1.0,51.0
2000-02-06,52,36,0.0,64.0
2000-02-07,54,37,0.0,22.0
2000-02-08,71,14,0.0,44.0
2000-02-09,115,39,1.0,69.0
2000-02-10,12,33,0.0,6.0
2000-02-11,49,37,0.0,15.0
2000-02-12,28,36,0.0,17.0
2000-02-13,32,36,0.0,8.0
2000-02-14,43,29,0.0,18.0
2000-02-15,46,31,0.0,25.0
2000-02-16,51,35,1.0,67.0
2000-02-17,14,37,0.0,7.0
2000-02-18,44,31,0.0,17.0
2000-02-19,46,33,0.0,16.0
2000-02-20,42,34,0.0,36.0
2000-02-21,24,36,0.0,14.0
2000-02-22,37,30,0.0,13.0
2000-02-23,46,36,0.0,26.0
2000-02-24,13,38,0.0,6.0
2000-02-25,45,36,0.0,17.0
2000-02-26,47,42,0.0,52.0
2000-02-27,50,67,0.0,27.0
2000-02-28,18,39,0.0,5.0
2000-02-29,54,36,0.0,13.0
2000-03-01,51,40,1.0,27.0
2000-03-02,52,47,0.0,32.0
2000-03-03,31,40,0.0,17.0
2000-03-04,37,42,0.0,16.0
2000-03-05,16,34,0.0,7.0
2000-03-06,30,39,0.0,8.0
2000-03-07,41,34,0.0,16.0
2000-03-08,32,34,0.0,14.0
2000-03-09,43,39,0.0,11.0
2000-03-10,46,43,0.0,11.0
2000-03-11,63,44,1.0,41.0
2000-03-12,67,47,1.0,59.0
2000-03-13,81,49,1.0,65.0
2000-03-14,66,42,1.0,45.0
2000-03-15,66,116,0.0,40.0
2000-03-16,58,43,0.0,18.0
2000-03-17,39,44,0.0,18.0
2000-03-18,63,45,0.0,24.0
2000-03-19,58,58,0.0,33.0
2000-03-20,9,38,0.0,3.0
2000-03-21,51,41,0.0,13.0
2000-03-22,64,44,0.0,15.0
2000-03-23,39,48,0.0,16.0
2000-03-24,57,51,1.0,33.0
2000-03-25,44,48,0.0,47.0
2000-03-26,54,104,0.0,16.0
2000-03-27,40,33,0.0,17.0
2000-03-28,9,42,0.0,5.0
2000-03-29,34,47,0.0,15.0
2000-03-30,23,64,0.0,6.0
2000-03-31,46,41,0.0,15.0
2000-04-01,63,46,11.0,20.0
2000-04-02,43,54,13.0,27.0
2000-04-03,48,124,13.0,20.0
2000-04-04,65,71,13.0,23.0
2000-04-05,103,74,19.0,36.0
2000-04-06,96,71,14.0,24.0
2000-04-07,74,74,11.0,19.0
2000-04-08,30,67,1.0,17.0
2000-04-09,6,49,1.0,3.0
2000-04-10,50,50,4.0,9.0
2000-04-11,61,47,14.0,24.0
2000-04-12,58,77,16.0,24.0
2000-04-13,25,109,7.0,10.0
2000-04-14,5,38,1.0,5.0
2000-04-15,25,42,11.0,8.0
2000-04-16,25,38,7.0,8.0
2000-04-17,13,43,6.0,6.0
2000-04-18,7,42,3.0,5.0
2000-04-19,50,58,9.0,16.0
2000-04-20,49,84,13.0,27.0
2000-04-21,17,46,6.0,9.0
2000-04-22,11,46,0.0,3.0
2000-04-23,54,64,4.0,11.0
2000-04-24,69,74,20.0,33.0
2000-04-25,63,74,19.0,47.0
2000-04-26,63,116,10.0,39.0
2000-04-27,31,58,9.0,14.0
2000-04-28,8,50,3.0,5.0
2000-04-29,46,54,4.0,10.0
2000-04-30,67,50,11.0,17.0
2000-06-01,30,30,6.0,8.0
2000-06-02,21,40,4.0,8.0
2000-06-03,53,45,7.0,14.0
2000-06-04,49,100,3.0,7.0
2000-06-05,13,36,1.0,2.0
2000-06-06,66,50,6.0,10.0
2000-06-07,33,61,4.0,6.0
2000-06-08,9,34,0.0,5.0
2000-06-09,39,47,6.0,7.0
2000-06-10,33,58,9.0,8.0
2000-06-11,25,51,6.0,9.0
2000-06-12,45,119,7.0,15.0
2000-06-13,63,195,13.0,19.0
2000-06-14,62,132,13.0,20.0
2000-06-15,28,39,6.0,15.0
2000-06-16,19,32,9.0,14.0
2000-06-17,18,33,3.0,7.0
2000-06-18,8,30,1.0,7.0
2000-06-19,18,31,4.0,8.0
2000-06-20,14,25,6.0,9.0
2000-06-21,21,34,7.0,11.0
2000-06-22,12,30,7.0,9.0
2000-06-23,20,24,11.0,10.0
