Date Local,NO2 AQI,O3 AQI,SO2 AQI,CO AQI
2000-03-31,58,8,105.0,20.0
2000-04-01,43,17,50.0,18.0
2000-04-02,48,16,62.0,16.0
2000-04-03,43,19,34.0,15.0
2000-04-04,47,20,16.0,11.0
2000-04-05,54,34,27.0,14.0
2000-04-06,38,23,17.0,9.0
2000-04-07,44,19,26.0,15.0
2000-04-08,46,25,17.0,14.0
2000-04-09,45,25,84.0,17.0
2000-04-10,43,21,27.0,18.0
2000-04-11,41,23,17.0,11.0
2000-04-12,49,25,40.0,16.0
2000-04-13,48,31,26.0,13.0
2000-04-14,33,35,33.0,8.0
2000-04-15,29,28,33.0,9.0
2000-04-16,31,13,59.0,23.0
2000-04-17,28,14,14.0,16.0
2000-04-18,34,14,57.0,15.0
2000-04-19,41,15,17.0,14.0
2000-04-20,37,19,30.0,15.0
2000-04-21,45,29,13.0,10.0
2000-04-22,51,21,136.0,19.0
2000-04-23,44,25,41.0,17.0
2000-04-24,25,30,82.0,24.0
2000-04-25,39,28,105.0,23.0
2000-04-26,57,35,56.0,18.0
2000-04-27,57,35,133.0,24.0
2000-04-28,53,34,100.0,17.0
2000-04-29,25,18,49.0,13.0
2000-04-30,51,31,100.0,17.0
2000-05-01,48,39,33.0,18.0
2000-05-02,56,36,106.0,23.0
2000-05-03,42,101,27.0,8.0
2000-05-04,37,49,13.0,6.0
2000-05-05,29,48,14.0,9.0
2000-05-06,15,40,17.0,8.0
2000-05-07,13,29,4.0,8.0
2000-05-08,15,30,9.0,8.0
2000-05-09,32,12,44.0,11.0
2000-05-10,45,19,39.0,10.0
2000-05-11,29,19,14.0,8.0
2000-05-12,24,30,7.0,7.0
2000-05-13,32,17,19.0,7.0
2000-05-14,49,30,13.0,7.0
2000-05-15,53,24,43.0,11.0
2000-05-16,48,17,23.0,9.0
2000-05-17,38,18,21.0,10.0
2000-05-18,40,17,81.0,11.0
2000-05-19,27,11,36.0,9.0
2000-05-20,37,13,124.0,9.0
2000-05-21,38,33,36.0,10.0
2000-05-22,39,23,16.0,6.0
2000-05-23,52,29,36.0,9.0
2000-05-24,49,32,51.0,14.0
2000-05-25,49,25,33.0,13.0
2000-05-26,50,25,19.0,17.0
2000-05-27,25,24,11.0,11.0
2000-05-28,25,14,27.0,10.0
2000-05-29,35,18,74.0,14.0
2000-05-30,31,42,19.0,14.0
2000-06-01,39,67,16.0,14.0
2000-06-02,37,20,72.0,9.0
2000-06-03,32,20,102.0,10.0
2000-06-04,35,23,71.0,15.0
2000-06-05,33,19,54.0,16.0
2000-06-06,44,22,132.0,15.0
2000-06-07,49,46,34.0,20.0
2000-06-08,27,93,33.0,7.0
2000-06-09,26,87,39.0,7.0
2000-06-10,22,33,9.0,7.0
2000-06-11,23,19,39.0,9.0
2000-06-12,21,5,46.0,15.0
2000-06-13,37,28,19.0,15.0
2000-06-14,18,31,6.0,6.0
2000-06-15,15,31,13.0,5.0
2000-06-16,34,22,19.0,6.0
2000-06-17,24,22,86.0,7.0
2000-06-18,40,26,62.0,10.0
2000-06-19,34,47,14.0,10.0
2000-06-20,22,21,9.0,5.0
2000-06-21,28,30,21.0,5.0
2000-06-22,42,26,46.0,9.0
2000-06-23,38,37,47.0,11.0
2000-06-24,19,25,13.0,6.0
2000-06-25,42,61,20.0,6.0
2000-06-26,38,25,71.0,9.0
2000-06-27,40,25,46.0,9.0
2000-06-28,33,15,51.0,8.0
2000-06-29,41,22,96.0,7.0
2000-06-30,43,37,47.0,10.0
2000-07-01,38,49,26.0,8.0
2000-07-02,10,41,9.0,3.0
2000-07-03,23,20,44.0,18.0
2000-07-04,24,25,59.0,18.0
2000-07-05,30,43,56.0,9.0
2000-07-06,32,40,52.0,11.0
2000-07-07,31,27,52.0,8.0
2000-07-08,18,51,19.0,8.0
2000-07-09,29,43,20.0,5.0
2000-07-10,38,37,34.0,6.0
2000-07-11,27,41,27.0,10.0
2000-07-12,36,43,27.0,6.0
2000-07-13,49,48,86.0,16.0
2000-07-14,29,37,34.0,7.0
2000-07-15,31,30,30.0,7.0
2000-07-16,38,31,57.0,8.0
2000-07-17,35,35,47.0,7.0
2000-07-18,24,20,16.0,5.0
2000-07-19,30,20,24.0,6.0
2000-07-20,30,25,44.0,8.0
2000-07-21,37,21,44.0,7.0
2000-07-22,29,21,13.0,9.0
2000-07-23,25,20,9.0,8.0
2000-07-24,58,37,55.0,11.0
2000-07-25,54,47,6.0,10.0
2000-07-26,44,64,19.0,3.0
2000-07-27,56,58,19.0,5.0
2000-07-28,48,40,29.0,7.0
2000-07-29,25,39,14.0,7.0
2000-07-30,44,30,7.0,7.0
2000-07-31,39,11,7.0,6.0
2000-08-01,46,5,31.0,5.0
2000-08-02,31,34,20.0,5.0
2000-08-03,26,22,30.0,6.0
2000-08-04,46,31,60.0,13.0
2000-08-05,35,31,6.0,9.0
2000-08-06,13,42,11.0,2.0
2000-08-07,30,28,24.0,3.0
2000-08-08,29,31,29.0,2.0
2000-08-09,25,42,27.0,5.0
2000-08-10,37,30,61.0,10.0
2000-08-11,41,19,51.0,17.0
2000-08-12,46,42,49.0,8.0
2000-08-13,28,36,10.0,6.0
2000-08-14,35,15,16.0,3.0
2000-08-15,32,10,33.0,7.0
2000-08-16,15,20,30.0,7.0
2000-08-17,26,25,11.0,6.0
2000-08-18,32,25,17.0,6.0
2000-08-19,27,20,75.0,11.0
2000-08-20,39,31,33.0,7.0
2000-08-21,27,45,26.0,7.0
2000-08-22,38,27,14.0,3.0
2000-08-23,41,29,51.0,6.0
2000-08-24,47,25,47.0,7.0
2000-08-25,51,50,11.0,11.0
2000-08-26,32,42,26.0,5.0
2000-08-27,14,41,7.0,6.0
2000-08-28,31,43,4.0,3.0
2000-08-29,27,37,46.0,8.0
2000-08-30,44,27,56.0,13.0
2000-08-31,37,67,37.0,8.0
2000-09-01,55,97,34.0,9.0
2000-09-02,47,61,44.0,14.0
2000-09-03,25,43,31.0,8.0
2000-09-04,8,27,13.0,7.0
2000-09-05,32,31,36.0,8.0
2000-09-06,48,29,52.0,13.0
2000-09-07,52,43,41.0,7.0
2000-09-08,37,24,47.0,8.0
2000-09-09,17,31,26.0,7.0
2000-09-10,8,21,14.0,2.0
2000-09-11,25,31,13.0,6.0
2000-09-12,31,22,49.0,8.0
2000-09-13,47,30,19.0,13.0
2000-09-14,37,25,14.0,7.0
2000-09-15,30,19,13.0,7.0
2000-09-16,40,23,21.0,8.0
2000-09-17,51,41,23.0,14.0
2000-09-18,44,47,19.0,23.0
2000-09-19,47,49,13.0,5.0
2000-09-20,42,6,9.0,7.0
2000-09-21,39,20,69.0,9.0
2000-09-22,33,15,17.0,10.0
2000-09-23,25,26,17.0,9.0
2000-09-24,16,24,16.0,5.0
2000-09-25,32,19,21.0,10.0
2000-09-26,43,26,59.0,13.0
2000-09-27,28,21,70.0,5.0
2000-09-28,33,15,82.0,11.0
2000-09-29,30,21,34.0,11.0
2000-09-30,29,34,19.0,3.0
2000-10-01,10,54,11.0,2.0
2000-10-02,43,35,29.0,7.0
2000-10-03,39,27,110.0,15.0
2000-10-04,14,27,4.0,6.0
2000-10-05,31,10,14.0,9.0
2000-10-06,25,14,6.0,11.0
2000-10-07,24,10,14.0,9.0
2000-10-08,28,13,9.0,9.0
2000-10-09,36,14,31.0,8.0
2000-10-10,37,16,40.0,10.0
2000-10-11,47,19,62.0,15.0
2000-10-12,54,35,41.0,19.0
2000-10-13,41,36,10.0,7.0
2000-10-16,24,17,9.0,13.0
2000-10-17,36,12,66.0,16.0
2000-10-18,45,20,60.0,24.0
2000-10-19,51,25,67.0,7.0
2000-10-20,55,35,23.0,6.0
2000-10-21,43,28,76.0,11.0
2000-10-22,38,16,79.0,11.0
2000-10-23,42,8,40.0,14.0
2000-10-24,40,16,71.0,11.0
2000-10-25,39,14,44.0,10.0
2000-10-26,47,37,47.0,10.0
2000-10-27,41,14,56.0,7.0
2000-10-28,42,21,56.0,11.0
2000-10-29,40,18,46.0,13.0
2000-10-30,40,14,66.0,15.0
2000-10-31,42,11,87.0,15.0
2001-03-31,37,12,16.0,11.0
2001-04-01,43,19,13.0,14.0
2001-04-02,53,22,9.0,17.0
2001-04-03,25,23,10.0,6.0
2001-04-04,43,27,30.0,8.0
2001-04-05,52,25,39.0,6.0
2001-04-06,30,9,16.0,6.0
2001-04-07,34,35,11.0,6.0
