Date Local,NO2 AQI,O3 AQI,SO2 AQI,CO AQI
2008-07-01,3,48,0.0,2.0
2008-07-02,2,47,1.0,2.0
2008-07-03,3,41,1.0,2.0
2008-07-04,5,43,1.0,2.0
2008-07-05,4,33,0.0,2.0
2008-07-06,2,29,1.0,2.0
2008-07-07,2,30,3.0,2.0
2008-07-08,3,26,1.0,2.0
2008-07-09,4,25,0.0,1.0
2008-07-10,3,25,0.0,2.0
2008-07-11,2,31,3.0,2.0
2008-07-12,2,31,1.0,2.0
2008-07-13,2,32,0.0,2.0
2008-07-14,2,39,0.0,2.0
2008-07-15,2,50,3.0,2.0
2008-07-16,4,74,1.0,2.0
2008-07-17,3,77,1.0,2.0
2008-07-18,2,61,1.0,2.0
2008-07-19,3,50,3.0,2.0
2008-07-20,7,47,1.0,2.0
2008-07-21,3,47,1.0,2.0
2008-07-22,4,48,0.0,2.0
2008-07-23,3,48,0.0,2.0
2008-07-24,3,34,1.0,2.0
2008-07-25,5,30,0.0,1.0
2008-07-26,4,42,4.0,1.0
2008-07-27,2,38,0.0,2.0
2008-07-28,3,39,0.0,2.0
2008-07-29,4,39,1.0,2.0
2008-07-30,5,36,1.0,2.0
2008-07-31,5,47,0.0,2.0
2008-08-01,5,44,1.0,2.0
2008-08-02,5,54,4.0,2.0
2008-08-03,5,42,0.0,2.0
2008-08-04,4,71,1.0,3.0
2008-08-05,3,58,1.0,2.0
2008-08-06,6,38,0.0,2.0
2008-08-07,8,44,1.0,2.0
2008-08-08,6,42,0.0,2.0
2008-08-09,4,42,0.0,2.0
2008-08-10,2,28,0.0,2.0
2008-08-11,1,36,0.0,2.0
2008-08-12,2,32,0.0,2.0
2008-08-13,5,45,7.0,2.0
2008-08-14,3,39,0.0,2.0
2008-08-15,4,29,0.0,2.0
2008-08-16,1,34,0.0,2.0
2008-08-17,2,37,0.0,2.0
2008-08-18,2,46,1.0,2.0
2008-08-19,4,44,6.0,2.0
2008-08-20,2,33,0.0,2.0
2008-08-21,2,33,0.0,2.0
2008-08-22,2,37,0.0,2.0
2008-08-23,3,36,0.0,2.0
2008-08-24,3,34,0.0,2.0
2008-08-25,4,40,0.0,2.0
2008-08-26,5,36,0.0,2.0
2008-08-27,3,47,3.0,3.0
2008-08-28,4,41,0.0,3.0
2008-08-29,3,39,1.0,2.0
2008-08-30,8,43,0.0,2.0
2008-08-31,6,44,1.0,2.0
2008-09-01,6,29,1.0,2.0
2008-09-02,4,22,0.0,1.0
2008-10-15,5,18,1.0,1.0
2008-10-16,4,31,0.0,1.0
2008-10-17,5,33,0.0,1.0
2008-10-18,4,34,0.0,1.0
2008-10-19,4,38,0.0,1.0
2008-10-20,5,47,3.0,2.0
2008-10-21,4,58,4.0,2.0
2008-10-22,4,39,3.0,2.0
2008-10-23,3,33,3.0,1.0
2008-10-24,4,24,4.0,1.0
2008-10-25,4,35,0.0,2.0
2008-10-26,4,38,4.0,2.0
2008-10-27,5,26,1.0,1.0
2008-10-28,7,30,1.0,1.0
2008-10-29,5,40,1.0,2.0
2008-10-30,5,47,4.0,2.0
2008-10-31,4,42,1.0,2.0
2008-11-01,6,44,0.0,2.0
2008-11-02,3,43,1.0,2.0
2008-11-03,5,54,3.0,2.0
2008-11-04,4,47,4.0,2.0
2008-11-05,5,32,1.0,2.0
2008-11-06,11,30,0.0,2.0
2008-11-07,8,30,3.0,2.0
2008-11-08,5,29,3.0,2.0
2008-11-09,6,29,0.0,2.0
2008-11-10,2,25,0.0,2.0
2008-11-11,3,22,0.0,2.0
2008-11-12,6,21,1.0,2.0
2008-11-13,5,36,3.0,2.0
2008-11-14,4,24,4.0,2.0
2008-11-15,5,23,0.0,1.0
2008-11-16,5,31,0.0,2.0
2008-11-17,11,28,0.0,2.0
2008-11-18,5,26,0.0,2.0
2008-11-19,10,41,3.0,2.0
2008-11-20,8,20,3.0,3.0
2008-11-21,5,28,1.0,1.0
2008-11-22,5,25,1.0,2.0
2008-11-23,6,21,3.0,2.0
2008-11-24,10,29,1.0,2.0
2008-11-25,8,32,1.0,2.0
2008-11-26,14,36,1.0,3.0
2008-11-27,12,36,14.0,3.0
2008-11-28,7,31,4.0,2.0
2008-11-29,7,22,6.0,2.0
2008-11-30,4,22,1.0,2.0
2008-12-01,8,22,1.0,2.0
2008-12-02,6,28,3.0,2.0
2008-12-03,5,25,1.0,2.0
2008-12-23,4,21,3.0,2.0
2008-12-24,7,19,3.0,2.0
2008-12-25,5,27,0.0,2.0
2008-12-26,3,19,1.0,2.0
2008-12-27,5,21,3.0,1.0
2008-12-28,6,28,0.0,2.0
2008-12-29,8,29,1.0,2.0
2008-12-30,5,34,6.0,2.0
2008-12-31,13,27,1.0,2.0
2009-01-01,7,30,1.0,2.0
2009-01-02,6,28,1.0,2.0
2009-01-03,5,26,1.0,2.0
2009-01-04,6,20,3.0,2.0
2009-01-05,5,19,0.0,2.0
2009-01-06,12,9,4.0,2.0
2009-01-07,8,29,3.0,2.0
2009-01-08,12,28,3.0,2.0
2009-01-09,6,25,0.0,2.0
2009-01-10,8,22,1.0,2.0
2009-01-11,11,24,6.0,3.0
2009-01-12,7,30,4.0,3.0
2009-01-13,6,28,3.0,2.0
2009-01-14,8,25,6.0,2.0
2009-01-15,5,24,1.0,2.0
2009-01-16,6,24,0.0,2.0
2009-01-17,11,28,4.0,3.0
2009-01-18,7,33,3.0,3.0
2009-01-19,8,32,1.0,2.0
2009-04-07,4,47,3.0,2.0
2009-04-08,10,64,1.0,2.0
2009-04-09,9,42,0.0,3.0
2009-04-10,4,39,0.0,3.0
2009-04-11,4,47,1.0,2.0
2009-04-12,4,43,0.0,2.0
2009-04-13,3,36,0.0,2.0
2009-04-14,10,47,1.0,2.0
2009-04-15,5,43,0.0,2.0
2009-04-16,6,46,1.0,2.0
2009-04-17,7,41,3.0,3.0
2009-04-18,5,45,0.0,2.0
2009-04-20,5,51,1.0,2.0
2009-04-21,8,47,3.0,2.0
2009-04-22,4,61,1.0,5.0
2009-04-23,8,42,3.0,3.0
2009-04-24,3,41,1.0,2.0
2009-04-25,2,36,1.0,2.0
2009-04-26,3,36,0.0,2.0
2009-04-27,6,29,0.0,2.0
2009-04-28,6,34,0.0,2.0
2009-04-29,4,30,0.0,2.0
2009-06-01,3,42,1.0,2.0
2009-06-02,8,42,1.0,3.0
2009-06-03,5,29,0.0,2.0
2009-06-04,5,46,1.0,2.0
2009-06-05,5,46,1.0,2.0
2009-06-06,3,42,1.0,2.0
2009-06-07,3,44,3.0,2.0
2009-06-10,5,26,26.0,5.0
2009-06-11,5,36,1.0,3.0
2009-06-12,4,29,0.0,3.0
2009-06-13,2,42,0.0,2.0
2009-06-14,1,29,0.0,1.0
2009-06-15,2,29,1.0,1.0
2009-07-01,8,47,0.0,2.0
2009-07-02,7,42,0.0,2.0
2009-07-21,10,40,3.0,2.0
2009-07-22,8,42,1.0,2.0
2009-07-23,7,42,0.0,2.0
2009-07-24,7,50,1.0,2.0
2009-07-25,5,43,3.0,2.0
2009-07-26,6,41,1.0,2.0
2009-07-27,5,37,0.0,2.0
2009-07-28,6,40,0.0,2.0
2009-07-29,6,43,9.0,2.0
2009-07-30,5,30,3.0,2.0
2009-07-31,7,40,0.0,2.0
2009-08-01,5,39,0.0,2.0
2009-08-02,8,40,0.0,2.0
2009-08-03,3,41,1.0,2.0
2009-08-04,4,36,0.0,2.0
2009-08-05,4,42,0.0,2.0
2009-08-06,4,41,0.0,2.0
2009-08-07,2,39,0.0,2.0
2009-08-08,2,36,0.0,2.0
2009-08-09,2,36,3.0,2.0
2009-08-10,2,34,0.0,1.0
2009-08-11,5,47,3.0,2.0
2009-08-12,5,45,1.0,2.0
2009-08-13,4,46,0.0,2.0
2009-08-14,3,61,1.0,2.0
2009-08-15,2,47,1.0,2.0
2009-08-16,2,41,0.0,2.0
2009-08-17,2,35,0.0,2.0
2009-08-18,4,42,1.0,1.0
2009-08-19,3,36,1.0,2.0
