Date Local,NO2 AQI,O3 AQI,SO2 AQI,CO AQI
2011-01-12,16,18,27.0,2.0
2011-01-13,25,15,49.0,3.0
2011-01-14,30,17,14.0,3.0
2011-01-15,20,19,14.0,3.0
2011-01-16,19,25,21.0,3.0
2011-01-17,28,15,80.0,3.0
2011-01-18,25,9,4.0,5.0
2011-01-19,16,21,0.0,3.0
2011-01-20,24,24,4.0,3.0
2011-01-21,30,23,36.0,2.0
2011-01-22,32,24,33.0,5.0
2011-01-23,18,27,10.0,2.0
2011-01-24,35,15,70.0,5.0
2011-01-25,37,16,20.0,3.0
2011-01-26,28,22,69.0,3.0
2011-01-27,21,21,13.0,2.0
2011-01-28,28,22,21.0,3.0
2011-01-29,18,24,20.0,3.0
2011-01-30,22,30,4.0,2.0
2011-01-31,16,24,7.0,2.0
2011-02-01,25,11,13.0,3.0
2011-02-02,18,29,17.0,3.0
2011-02-03,37,25,33.0,3.0
2011-02-04,36,14,20.0,5.0
2011-02-05,27,23,14.0,3.0
2011-02-06,30,26,19.0,3.0
2011-02-07,25,30,11.0,3.0
2011-02-08,15,30,4.0,2.0
2011-02-09,28,16,112.0,3.0
2011-02-10,21,21,39.0,2.0
2011-02-11,25,25,23.0,2.0
2011-02-12,18,30,37.0,2.0
2011-02-13,12,39,10.0,2.0
2011-02-14,13,37,11.0,2.0
2011-02-15,27,17,115.0,3.0
2011-02-16,31,36,6.0,3.0
2011-02-17,19,36,3.0,2.0
2011-02-18,15,36,4.0,2.0
2011-02-19,31,31,11.0,2.0
2011-02-20,18,25,113.0,2.0
2011-02-21,25,19,11.0,3.0
2011-02-22,24,21,11.0,2.0
2011-02-23,23,20,161.0,3.0
2011-02-24,30,13,21.0,6.0
2011-02-25,16,32,39.0,5.0
2011-03-08,21,25,110.0,2.0
2011-03-09,30,25,40.0,2.0
2011-03-15,23,21,56.0,3.0
2011-03-16,23,33,24.0,3.0
2011-03-17,25,40,1.0,3.0
2011-03-18,25,28,19.0,3.0
2011-03-19,12,38,1.0,3.0
2011-03-20,33,31,76.0,5.0
2011-03-21,16,37,10.0,5.0
2011-03-22,28,34,108.0,3.0
2011-03-23,15,37,7.0,3.0
2011-03-24,12,31,6.0,3.0
2011-03-25,30,27,29.0,3.0
2011-03-26,9,36,1.0,2.0
2011-03-27,8,36,1.0,2.0
2011-03-28,23,37,1.0,3.0
2011-03-29,29,36,6.0,3.0
2011-03-30,20,31,27.0,3.0
2011-03-31,30,34,29.0,3.0
2011-04-01,36,40,43.0,5.0
2011-04-02,21,40,36.0,3.0
2011-04-03,28,43,7.0,5.0
2011-04-04,11,36,1.0,2.0
2011-04-05,32,36,3.0,3.0
2011-04-06,27,44,1.0,3.0
2011-04-07,27,40,39.0,3.0
2011-04-08,26,36,17.0,5.0
2011-04-09,28,13,19.0,5.0
2011-04-10,17,32,4.0,5.0
2011-04-11,18,28,4.0,3.0
2011-04-12,19,35,30.0,3.0
2011-04-13,41,48,24.0,3.0
2011-04-14,46,54,9.0,9.0
2011-04-15,17,41,41.0,3.0
2011-04-16,9,36,10.0,2.0
2011-04-17,31,45,11.0,3.0
2011-04-18,22,54,6.0,3.0
2011-04-19,26,23,3.0,7.0
2011-04-20,8,34,0.0,3.0
2011-04-29,35,37,3.0,3.0
2011-04-30,25,42,132.0,5.0
2011-05-01,17,42,1.0,2.0
2011-05-02,19,35,1.0,2.0
