Date Local,NO2 AQI,O3 AQI,SO2 AQI,CO AQI
2011-01-01,8,25,16.0,5.0
2011-01-02,20,24,0.0,2.0
2011-01-03,21,24,3.0,3.0
2011-01-04,21,23,60.0,2.0
2011-01-05,35,24,66.0,6.0
2011-01-06,33,25,26.0,6.0
2011-01-07,19,21,51.0,3.0
2011-01-08,17,23,56.0,3.0
2011-01-09,37,25,43.0,3.0
2011-01-10,41,18,11.0,7.0
2011-01-11,35,19,23.0,5.0
2011-01-12,17,25,21.0,5.0
2011-01-13,25,21,55.0,2.0
2011-01-14,33,19,19.0,3.0
2011-01-15,22,28,79.0,5.0
2011-01-16,19,30,24.0,2.0
2011-01-17,32,18,27.0,5.0
2011-01-18,28,21,16.0,5.0
2011-01-19,21,20,36.0,3.0
2011-01-20,28,20,13.0,5.0
2011-01-21,20,23,79.0,3.0
2011-01-22,31,25,52.0,5.0
2011-01-23,36,25,71.0,5.0
2011-01-24,34,15,19.0,6.0
2011-01-25,25,21,19.0,3.0
2011-01-26,27,21,26.0,3.0
2011-01-27,26,22,7.0,3.0
2011-01-28,26,22,43.0,3.0
2011-01-29,22,24,74.0,3.0
2011-01-30,20,27,11.0,3.0
2011-01-31,26,19,47.0,5.0
2011-02-01,28,16,16.0,5.0
2011-02-02,24,25,74.0,5.0
2011-02-03,41,31,10.0,3.0
2011-02-04,44,30,10.0,5.0
2011-02-05,40,30,40.0,6.0
2011-02-06,11,31,6.0,3.0
2011-02-07,25,25,24.0,5.0
2011-02-08,24,24,82.0,3.0
2011-02-09,19,28,1.0,3.0
2011-02-10,34,29,13.0,5.0
2011-02-11,32,30,13.0,5.0
2011-02-12,18,37,75.0,2.0
2011-02-13,9,40,9.0,2.0
2011-02-14,27,39,61.0,3.0
2011-02-15,42,22,14.0,6.0
2011-02-16,39,30,26.0,8.0
2011-02-17,27,35,10.0,6.0
2011-02-18,9,35,3.0,5.0
2011-02-19,13,29,75.0,3.0
2011-02-20,28,25,4.0,3.0
2011-02-21,22,25,6.0,3.0
2011-02-22,31,20,52.0,5.0
2011-02-23,46,12,21.0,9.0
2011-02-24,32,24,21.0,9.0
2011-02-25,42,31,7.0,6.0
2011-02-26,42,30,11.0,6.0
2011-02-27,38,29,11.0,5.0
2011-02-28,25,27,10.0,5.0
2011-03-01,45,31,9.0,7.0
2011-03-02,25,24,86.0,3.0
2011-03-03,29,26,17.0,3.0
2011-03-04,25,25,27.0,6.0
2011-03-05,13,30,11.0,7.0
2011-03-06,7,31,1.0,3.0
2011-03-07,39,27,41.0,3.0
2011-03-08,39,24,13.0,5.0
2011-03-09,13,25,7.0,3.0
2011-03-10,21,21,36.0,5.0
2011-03-11,30,31,6.0,3.0
2011-03-12,33,33,56.0,6.0
2011-03-13,11,27,29.0,2.0
2011-03-14,43,25,43.0,5.0
2011-03-15,48,12,9.0,8.0
2011-03-16,42,15,16.0,7.0
2011-03-17,32,38,20.0,7.0
2011-03-18,29,31,62.0,3.0
2011-03-19,14,29,29.0,3.0
2011-03-20,20,32,9.0,3.0
2011-03-21,26,19,34.0,7.0
2011-03-22,24,24,7.0,5.0
2011-03-23,31,30,30.0,5.0
2011-03-24,16,31,4.0,3.0
2011-03-25,38,35,34.0,3.0
2011-03-26,8,36,21.0,3.0
2011-03-27,8,35,19.0,2.0
2011-03-28,24,36,6.0,2.0
2011-03-29,43,33,26.0,6.0
2011-03-30,47,36,13.0,5.0
2011-03-31,28,28,20.0,5.0
2011-04-01,52,36,37.0,6.0
2011-04-02,39,39,96.0,6.0
2011-04-03,25,36,37.0,5.0
2011-04-04,17,28,17.0,3.0
2011-04-05,24,34,74.0,3.0
2011-04-06,37,21,14.0,7.0
2011-04-07,31,20,9.0,5.0
2011-04-08,39,25,3.0,5.0
2011-04-09,37,23,9.0,7.0
2011-04-10,23,35,14.0,7.0
2011-04-11,17,34,33.0,3.0
2011-04-12,20,36,40.0,3.0
2011-04-13,51,33,16.0,6.0
2011-04-14,45,29,69.0,13.0
2011-04-15,25,42,4.0,6.0
2011-04-16,8,38,3.0,5.0
2011-04-17,14,36,64.0,2.0
2011-04-18,26,22,13.0,3.0
2011-04-19,29,25,4.0,9.0
2011-04-20,13,33,14.0,10.0
2011-04-21,22,36,51.0,2.0
2011-04-22,19,27,4.0,3.0
2011-04-23,8,41,3.0,3.0
2011-04-24,24,23,9.0,5.0
2011-04-25,31,10,7.0,6.0
2011-04-26,31,45,24.0,14.0
2011-04-27,18,45,16.0,5.0
2011-04-28,9,37,17.0,5.0
2011-04-29,22,26,59.0,3.0
2011-04-30,32,27,36.0,5.0
2011-05-01,10,38,10.0,6.0
2011-05-02,23,30,17.0,7.0
2011-05-03,23,27,4.0,3.0
2011-05-04,22,25,66.0,2.0
2011-05-05,41,32,46.0,5.0
2011-05-06,31,37,49.0,6.0
2011-05-07,29,36,34.0,7.0
2011-05-08,25,38,13.0,6.0
2011-05-09,34,27,60.0,5.0
2011-05-10,18,39,11.0,3.0
2011-05-11,49,36,41.0,6.0
2011-05-12,33,35,23.0,9.0
2011-05-13,33,37,14.0,5.0
2011-05-14,21,27,9.0,6.0
2011-05-15,8,30,7.0,3.0
2011-05-16,17,25,9.0,2.0
2011-05-17,16,13,14.0,3.0
2011-05-18,34,15,9.0,8.0
2011-05-19,26,31,6.0,6.0
2011-05-20,38,33,26.0,6.0
2011-05-21,42,44,50.0,15.0
2011-05-22,16,46,13.0,7.0
2011-05-23,16,38,14.0,9.0
2011-05-24,20,32,41.0,5.0
2011-05-25,23,38,10.0,5.0
2011-05-26,19,39,9.0,7.0
