Date Local,NO2 AQI,O3 AQI,SO2 AQI,CO AQI
2000-01-01,31,25,6.0,20.0
2000-01-02,38,29,6.0,16.0
2000-01-03,53,15,7.0,33.0
2000-01-04,100,10,14.0,48.0
2000-01-05,68,31,9.0,48.0
2000-01-06,47,23,7.0,26.0
2000-01-07,58,8,11.0,44.0
2000-01-08,73,7,14.0,42.0
2000-01-09,52,13,7.0,48.0
2000-01-10,50,19,7.0,33.0
2000-01-11,55,20,7.0,34.0
2000-01-12,47,8,6.0,19.0
2000-01-13,101,6,14.0,53.0
2000-01-14,101,6,11.0,60.0
2000-01-15,69,17,11.0,69.0
2000-01-16,46,14,10.0,24.0
2000-01-17,80,1,9.0,54.0
2000-01-18,58,8,7.0,53.0
2000-01-19,66,9,7.0,44.0
2000-01-20,25,17,6.0,13.0
2000-01-21,33,25,4.0,14.0
2000-01-22,32,26,6.0,15.0
2000-01-23,62,12,7.0,28.0
2000-01-24,89,9,9.0,44.0
2000-01-25,34,12,4.0,26.0
2000-01-26,39,20,6.0,20.0
2000-01-27,42,23,6.0,28.0
2000-01-28,55,17,10.0,25.0
2000-01-29,41,36,6.0,5.0
2000-01-30,26,28,6.0,0.0
2000-01-31,35,26,6.0,3.0
2000-02-01,66,10,9.0,7.0
2000-02-02,55,24,7.0,7.0
2000-02-03,64,31,9.0,7.0
2000-02-04,48,21,7.0,7.0
2000-02-05,39,29,6.0,7.0
2000-02-06,42,30,10.0,7.0
2000-02-07,54,21,7.0,7.0
2000-02-08,76,8,9.0,7.0
2000-02-09,40,26,6.0,18.0
2000-02-10,24,27,6.0,3.0
2000-02-11,34,32,6.0,9.0
2000-02-12,12,33,6.0,2.0
2000-02-13,17,29,6.0,2.0
2000-02-14,26,18,6.0,3.0
2000-02-15,36,21,6.0,14.0
2000-02-16,33,30,7.0,10.0
2000-02-17,40,32,7.0,10.0
2000-02-18,58,11,7.0,35.0
2000-02-19,52,30,10.0,59.0
2000-02-20,12,35,6.0,7.0
2000-02-21,40,32,6.0,13.0
2000-02-22,40,31,6.0,27.0
2000-02-23,40,30,7.0,14.0
2000-02-24,40,30,7.0,20.0
2000-02-25,37,19,7.0,14.0
2000-02-26,44,31,6.0,32.0
2000-02-27,35,31,6.0,20.0
2000-02-28,40,28,4.0,13.0
2000-02-29,39,36,14.0,23.0
2000-03-01,42,34,7.0,14.0
2000-03-02,42,27,6.0,28.0
2000-03-03,42,22,6.0,9.0
2000-03-04,37,27,4.0,11.0
2000-03-05,25,33,3.0,6.0
2000-03-06,43,34,4.0,9.0
2000-03-07,39,31,4.0,16.0
2000-03-08,47,25,4.0,17.0
2000-03-09,39,36,4.0,23.0
2000-03-10,49,27,7.0,20.0
2000-03-11,70,31,10.0,39.0
2000-03-12,31,38,4.0,9.0
2000-03-13,38,41,0.0,11.0
2000-03-14,40,127,6.0,13.0
2000-03-15,21,122,4.0,8.0
2000-03-16,26,42,4.0,7.0
2000-03-17,52,43,6.0,10.0
2000-03-18,41,49,4.0,10.0
2000-03-19,37,48,4.0,10.0
2000-03-20,43,34,3.0,9.0
2000-03-21,46,40,3.0,9.0
2000-03-22,43,41,4.0,16.0
2000-03-23,39,40,6.0,11.0
2000-03-24,38,34,10.0,11.0
2000-03-25,38,40,6.0,10.0
2000-03-26,38,42,6.0,14.0
2000-03-27,35,33,4.0,7.0
2000-03-28,26,36,4.0,7.0
2000-03-29,35,39,10.0,6.0
2000-03-30,36,36,4.0,8.0
2000-03-31,52,42,4.0,17.0
2000-04-01,48,46,4.0,17.0
2000-04-02,41,51,4.0,11.0
2000-04-03,25,42,4.0,9.0
2000-04-04,40,41,11.0,11.0
2000-04-05,12,35,4.0,6.0
2000-04-06,14,44,4.0,7.0
2000-04-07,27,50,4.0,7.0
2000-04-08,42,45,11.0,13.0
2000-04-09,25,40,4.0,8.0
2000-04-10,27,42,4.0,8.0
2000-04-11,27,39,6.0,8.0
2000-04-12,33,45,4.0,8.0
2000-04-13,19,36,6.0,6.0
2000-04-14,10,32,4.0,5.0
2000-04-15,7,31,3.0,5.0
2000-04-16,13,36,4.0,5.0
2000-04-17,35,28,4.0,8.0
2000-04-18,19,37,3.0,8.0
2000-04-19,27,38,6.0,10.0
2000-04-20,47,47,6.0,19.0
2000-04-21,18,37,4.0,7.0
2000-04-22,19,38,4.0,6.0
2000-04-23,26,41,4.0,7.0
2000-04-24,25,41,7.0,9.0
2000-04-25,31,50,14.0,11.0
2000-04-26,37,58,11.0,13.0
2000-04-27,15,49,13.0,7.0
2000-04-28,21,46,9.0,6.0
2000-04-29,32,45,11.0,7.0
2000-04-30,42,54,9.0,11.0
2000-05-01,23,47,9.0,7.0
2000-05-02,32,46,13.0,7.0
2000-05-03,15,43,10.0,6.0
2000-05-04,13,48,7.0,6.0
2000-05-05,13,51,9.0,6.0
2000-05-06,12,39,9.0,5.0
2000-05-07,25,43,9.0,6.0
2000-05-08,9,22,9.0,3.0
2000-05-09,17,37,10.0,6.0
2000-05-10,14,36,6.0,5.0
2000-05-11,34,39,7.0,7.0
2000-05-12,60,44,9.0,14.0
2000-05-13,42,47,14.0,10.0
2000-05-14,23,40,7.0,8.0
2000-05-15,24,29,9.0,7.0
2000-05-16,14,36,7.0,6.0
2000-05-17,32,36,7.0,8.0
2000-05-18,39,40,7.0,10.0
2000-05-19,18,42,9.0,7.0
2000-05-20,13,48,7.0,7.0
2000-05-21,9,48,6.0,6.0
2000-05-22,13,44,6.0,7.0
2000-05-23,12,36,4.0,6.0
2000-05-24,15,32,6.0,7.0
2000-05-25,10,34,7.0,6.0
2000-05-26,13,42,6.0,8.0
2000-05-27,25,45,7.0,9.0
2000-05-28,15,74,7.0,7.0
2000-05-29,8,50,6.0,7.0
2000-05-30,10,42,17.0,6.0
2000-05-31,13,41,13.0,7.0
2000-06-01,11,47,4.0,6.0
2000-06-02,23,54,6.0,6.0
2000-06-03,26,100,6.0,7.0
2000-06-04,25,44,10.0,9.0
2000-06-05,18,35,6.0,5.0
2000-06-06,34,45,7.0,8.0
2000-06-07,18,39,6.0,6.0
2000-06-08,17,27,7.0,6.0
2000-06-09,19,38,6.0,7.0
2000-06-10,15,36,6.0,7.0
2000-06-11,17,46,7.0,6.0
2000-06-12,14,41,6.0,7.0
2000-06-13,13,34,6.0,7.0
2000-06-14,15,35,1.0,6.0
2000-06-15,18,32,3.0,5.0
2000-06-16,10,35,3.0,5.0
2000-06-17,7,33,1.0,6.0
2000-06-18,5,29,3.0,5.0
2000-06-19,11,30,1.0,5.0
2000-06-20,15,37,6.0,7.0
2000-06-21,20,42,9.0,7.0
2000-06-22,9,34,3.0,5.0
2000-06-23,9,31,3.0,5.0
2000-06-24,13,36,4.0,3.0
2000-06-25,18,47,6.0,3.0
2000-06-26,16,36,4.0,5.0
2000-06-27,15,31,4.0,5.0
2000-06-28,12,31,3.0,5.0
2000-06-29,13,38,3.0,5.0
2000-06-30,8,38,3.0,3.0
2000-07-01,8,42,0.0,1.0
2000-07-02,7,42,1.0,1.0
2000-07-03,16,34,4.0,1.0
2000-07-04,18,31,3.0,1.0
2000-07-05,19,36,1.0,3.0
2000-07-06,16,31,4.0,7.0
2000-07-07,11,32,3.0,3.0
2000-07-08,7,31,1.0,3.0
2000-07-09,5,35,1.0,3.0
2000-07-10,8,33,1.0,3.0
2000-07-11,15,38,3.0,6.0
2000-07-12,18,38,3.0,6.0
2000-07-13,23,35,3.0,7.0
2000-07-14,20,36,7.0,6.0
2000-07-15,8,34,3.0,5.0
2000-07-16,8,36,3.0,5.0
2000-07-17,28,33,4.0,7.0
2000-07-18,22,36,7.0,7.0
2000-07-19,21,49,6.0,8.0
2000-07-20,23,47,3.0,7.0
2000-07-21,9,44,1.0,5.0
2000-07-22,16,42,4.0,6.0
2000-07-23,11,40,10.0,5.0
2000-07-24,23,36,4.0,6.0
2000-07-25,19,39,3.0,5.0
2000-07-26,10,41,3.0,6.0
2000-07-27,22,45,3.0,7.0
2000-07-28,17,42,4.0,6.0
2000-07-29,25,38,9.0,7.0
2000-07-30,10,42,1.0,5.0
2000-07-31,11,32,4.0,6.0
2000-08-01,18,30,4.0,11.0
2000-08-02,23,32,3.0,7.0
2000-08-03,16,42,6.0,6.0
2000-08-04,19,32,4.0,7.0
2000-08-05,18,38,6.0,7.0
2000-08-06,6,39,3.0,6.0
2000-08-07,10,37,3.0,6.0
2000-08-08,27,50,3.0,7.0
2000-08-09,22,45,4.0,7.0
2000-08-10,20,32,7.0,7.0
2000-08-11,31,37,4.0,8.0
2000-08-12,21,58,4.0,6.0
2000-08-13,15,44,3.0,6.0
2000-08-14,19,38,3.0,7.0
2000-08-15,11,34,1.0,6.0
2000-08-16,24,41,7.0,7.0
2000-08-17,20,33,3.0,7.0
2000-08-18,32,32,3.0,7.0
2000-08-19,24,47,4.0,8.0
2000-08-20,23,37,3.0,7.0
2000-08-21,11,38,1.0,3.0
2000-08-22,11,46,11.0,6.0
2000-08-23,14,67,10.0,7.0
2000-08-24,19,46,6.0,6.0
2000-08-25,24,39,9.0,6.0
2000-08-26,22,32,13.0,8.0
2000-08-27,10,39,4.0,3.0
2000-08-28,12,27,6.0,5.0
2000-08-29,11,28,4.0,3.0
2000-08-30,20,26,6.0,5.0
2000-08-31,10,31,1.0,5.0
2000-09-01,15,25,3.0,5.0
2000-09-02,17,23,3.0,7.0
2000-09-03,21,26,3.0,7.0
2000-09-04,26,36,3.0,7.0
2000-09-05,32,42,4.0,14.0
2000-09-06,26,51,4.0,9.0
2000-09-07,68,35,20.0,16.0
2000-09-08,27,43,4.0,7.0
2000-09-09,28,44,3.0,9.0
2000-09-10,33,47,17.0,8.0
2000-09-11,88,48,9.0,25.0
2000-09-12,88,45,29.0,20.0
2000-09-13,54,45,4.0,17.0
2000-09-14,15,25,3.0,6.0
2000-09-15,25,35,6.0,6.0
2000-09-16,29,43,7.0,11.0
2000-09-17,10,42,3.0,11.0
