Date Local,NO2 AQI,O3 AQI,SO2 AQI,CO AQI
2001-10-06,17,19,1.0,3.0
2001-10-07,15,30,10.0,1.0
2001-10-08,32,19,1.0,1.0
2001-10-09,30,24,3.0,7.0
2001-10-10,43,19,10.0,8.0
2001-10-11,26,18,3.0,2.0
2001-10-12,34,19,9.0,6.0
2001-10-13,30,25,17.0,6.0
2001-10-14,38,31,9.0,3.0
2001-10-15,36,43,16.0,7.0
2001-10-16,28,28,1.0,1.0
2001-10-17,26,20,3.0,3.0
2001-10-18,36,21,3.0,8.0
2001-10-19,53,12,24.0,7.0
2001-10-20,30,24,11.0,5.0
2001-10-21,17,25,1.0,1.0
2001-10-22,25,19,6.0,1.0
2001-10-23,23,20,1.0,1.0
2001-10-24,42,19,16.0,10.0
2001-10-25,30,21,10.0,9.0
2001-12-03,23,16,0.0,8.0
2001-12-04,23,15,0.0,7.0
2001-12-05,23,25,0.0,5.0
2001-12-06,32,19,0.0,6.0
2001-12-07,26,17,0.0,7.0
2001-12-08,26,8,0.0,9.0
2001-12-09,15,24,0.0,8.0
2001-12-10,25,15,0.0,8.0
2001-12-11,28,20,0.0,8.0
2001-12-12,30,14,0.0,10.0
2001-12-13,32,27,0.0,15.0
2001-12-14,25,23,0.0,6.0
2001-12-15,23,17,0.0,6.0
2001-12-16,26,6,0.0,5.0
2001-12-17,11,21,0.0,5.0
2001-12-18,32,8,0.0,6.0
2001-12-19,28,12,0.0,6.0
2001-12-20,13,27,0.0,6.0
2001-12-21,28,20,0.0,6.0
2001-12-22,23,26,0.0,6.0
2001-12-23,19,19,0.0,6.0
2001-12-24,11,15,0.0,6.0
2001-12-25,9,17,0.0,5.0
2001-12-26,13,19,0.0,5.0
2001-12-27,21,3,0.0,5.0
2001-12-28,21,2,0.0,5.0
2001-12-29,15,17,0.0,5.0
2001-12-30,25,18,0.0,6.0
2001-12-31,23,8,0.0,6.0
2002-01-01,8,8,6.0,2.0
2002-01-02,13,19,7.0,2.0
2002-01-03,18,10,6.0,2.0
2002-01-04,11,12,6.0,5.0
2002-01-05,10,9,7.0,2.0
2002-01-06,11,3,6.0,2.0
2002-01-07,10,2,6.0,2.0
2002-01-08,15,1,4.0,2.0
2002-01-09,13,8,4.0,2.0
2002-01-10,15,9,6.0,2.0
2002-01-11,18,11,4.0,2.0
2002-01-12,18,15,7.0,1.0
2002-01-13,19,19,4.0,1.0
2002-01-14,21,14,4.0,1.0
2002-01-15,24,14,6.0,9.0
2002-01-16,24,22,4.0,1.0
2002-01-17,27,18,6.0,1.0
2002-01-18,24,8,4.0,6.0
2002-01-19,21,17,4.0,1.0
2002-01-20,15,19,4.0,1.0
2002-01-21,22,25,4.0,2.0
2002-01-22,26,20,6.0,1.0
2002-01-23,23,14,6.0,1.0
2002-01-24,28,14,17.0,2.0
2002-01-25,42,14,37.0,2.0
2002-01-26,25,24,9.0,1.0
2002-01-27,14,25,6.0,1.0
2002-01-28,18,25,7.0,1.0
2002-01-29,23,17,4.0,2.0
2002-01-30,25,20,6.0,2.0
2002-01-31,26,14,17.0,7.0
2002-02-01,27,19,19.0,0.0
