Date Local,NO2 AQI,O3 AQI,SO2 AQI,CO AQI
2010-09-01,21,51,1.0,5.0
2010-09-02,33,54,1.0,5.0
2010-09-03,15,36,1.0,5.0
2010-09-04,8,31,1.0,3.0
2010-09-05,14,31,1.0,3.0
2010-09-06,20,44,4.0,3.0
2010-09-07,15,25,3.0,3.0
2010-09-08,9,25,7.0,2.0
2010-09-09,15,29,1.0,3.0
2010-09-10,22,38,4.0,3.0
2010-09-11,23,46,3.0,3.0
2010-09-12,12,29,3.0,3.0
2010-09-13,17,26,3.0,3.0
2010-09-14,24,32,1.0,3.0
2010-09-15,15,15,3.0,3.0
2010-09-16,16,13,1.0,3.0
2010-09-17,9,10,3.0,3.0
2010-09-18,10,13,4.0,2.0
2010-09-19,12,14,3.0,2.0
2010-09-20,12,26,1.0,3.0
2010-09-21,13,35,7.0,2.0
2010-09-22,18,33,1.0,2.0
2010-09-23,19,31,6.0,3.0
2010-09-24,40,50,9.0,5.0
2010-09-25,41,90,10.0,6.0
2010-09-26,40,54,6.0,6.0
2010-09-27,41,93,10.0,7.0
2010-09-28,43,140,10.0,8.0
2010-09-29,41,37,9.0,6.0
2010-09-30,34,19,1.0,7.0
2010-10-01,22,19,3.0,5.0
2010-10-02,21,20,6.0,5.0
2010-10-03,8,25,1.0,5.0
2010-10-04,10,25,4.0,5.0
2010-10-05,14,26,0.0,6.0
2010-10-06,21,33,0.0,6.0
2010-10-07,17,25,1.0,6.0
2010-10-08,22,31,3.0,6.0
2010-10-09,11,38,0.0,6.0
2010-10-10,17,25,1.0,6.0
2010-10-11,32,36,7.0,7.0
2010-10-12,41,42,7.0,6.0
2010-10-13,45,43,9.0,7.0
2010-10-14,41,41,4.0,9.0
2010-10-15,40,25,3.0,8.0
2010-10-16,12,23,0.0,7.0
2010-10-17,9,17,0.0,6.0
2010-10-18,15,19,1.0,6.0
2010-10-19,30,19,0.0,7.0
2010-10-20,21,25,1.0,6.0
2010-10-21,20,29,1.0,3.0
2010-10-22,13,17,0.0,3.0
2010-10-23,14,26,0.0,2.0
2010-10-24,9,23,0.0,3.0
2010-10-25,14,30,0.0,3.0
2010-10-26,17,27,0.0,3.0
2010-10-27,25,24,1.0,5.0
2010-10-28,28,42,0.0,3.0
2010-10-29,24,29,1.0,5.0
2010-10-30,6,28,0.0,3.0
2010-10-31,18,29,1.0,3.0
2010-11-01,21,24,0.0,6.0
2010-11-02,31,23,3.0,5.0
2010-11-03,30,27,1.0,6.0
2010-11-04,44,26,6.0,8.0
2010-11-05,25,22,0.0,6.0
2010-11-06,8,34,0.0,5.0
2010-11-07,5,30,0.0,3.0
2010-11-08,15,31,0.0,3.0
2010-11-09,13,25,0.0,6.0
2010-11-10,19,30,0.0,2.0
2010-11-11,18,24,0.0,3.0
2010-11-12,25,20,1.0,5.0
2010-11-13,19,32,0.0,5.0
2010-11-14,13,26,0.0,3.0
2010-11-15,17,31,0.0,3.0
2010-11-17,31,16,7.0,6.0
2010-11-18,26,17,0.0,6.0
2010-11-19,20,28,0.0,6.0
2010-11-20,14,31,0.0,5.0
2010-11-21,8,31,0.0,5.0
