Date Local,NO2 AQI,O3 AQI,SO2 AQI,CO AQI
2000-01-01,18,24,10.0,3.0
2000-01-02,13,27,7.0,3.0
2000-01-03,12,21,3.0,6.0
2000-01-04,15,17,3.0,7.0
2000-01-05,21,19,11.0,3.0
2000-01-06,16,20,3.0,3.0
2000-01-07,26,16,4.0,7.0
2000-01-08,9,23,4.0,5.0
2000-01-09,7,30,3.0,5.0
2000-01-10,8,22,3.0,5.0
2000-01-11,10,23,3.0,3.0
2000-01-12,9,15,3.0,5.0
2000-01-13,5,22,1.0,3.0
2000-01-14,19,11,1.0,6.0
2000-01-15,6,25,1.0,3.0
2000-01-16,3,30,1.0,3.0
2000-01-17,16,19,1.0,5.0
2000-01-18,5,23,1.0,5.0
2000-01-19,5,19,1.0,2.0
2000-01-20,8,25,3.0,5.0
2000-01-21,8,25,1.0,5.0
2000-01-22,8,24,3.0,6.0
2000-01-23,3,24,1.0,5.0
2000-01-24,4,24,3.0,5.0
2000-01-25,8,30,1.0,3.0
2000-01-26,9,25,1.0,5.0
2000-01-27,13,19,1.0,6.0
2000-01-28,8,20,1.0,6.0
2000-01-29,8,34,3.0,6.0
2000-01-30,3,32,1.0,5.0
2000-01-31,9,30,1.0,6.0
2000-02-01,8,24,3.0,6.0
2000-02-02,7,34,1.0,3.0
2000-02-03,9,38,1.0,3.0
2000-02-04,8,34,1.0,3.0
2000-02-05,4,33,3.0,3.0
2000-02-06,6,25,3.0,5.0
2000-02-07,11,19,1.0,5.0
2000-02-08,8,26,1.0,6.0
2000-02-09,7,31,3.0,6.0
2000-02-10,4,35,1.0,3.0
2000-02-11,3,36,1.0,3.0
2000-02-12,3,36,3.0,3.0
2000-02-13,4,35,3.0,3.0
2000-02-14,7,36,3.0,3.0
2000-02-15,12,23,3.0,3.0
2000-02-16,4,33,3.0,3.0
2000-02-17,6,31,3.0,3.0
2000-02-18,13,28,3.0,6.0
2000-02-19,7,34,3.0,6.0
2000-02-20,8,37,3.0,5.0
2000-02-21,6,34,3.0,5.0
2000-02-22,3,36,1.0,5.0
2000-02-23,9,32,3.0,6.0
2000-02-24,4,33,3.0,2.0
2000-02-25,8,34,3.0,2.0
2000-02-26,3,36,3.0,2.0
2000-02-27,3,36,3.0,2.0
2000-02-28,5,36,3.0,3.0
2000-02-29,7,34,3.0,2.0
2000-03-01,9,31,3.0,3.0
2000-03-02,16,34,7.0,3.0
2000-03-03,10,26,3.0,3.0
2000-03-04,7,33,3.0,5.0
2000-03-05,20,31,33.0,5.0
2000-03-06,5,34,3.0,3.0
2000-03-07,5,37,1.0,5.0
2000-03-08,4,40,3.0,5.0
2000-03-09,4,36,3.0,2.0
2000-03-10,8,33,3.0,2.0
2000-03-11,5,35,3.0,2.0
2000-03-12,4,31,3.0,3.0
2000-03-13,16,33,11.0,3.0
2000-03-14,12,23,4.0,3.0
2000-03-15,25,26,33.0,5.0
2000-03-16,24,30,10.0,2.0
2000-03-17,15,27,16.0,3.0
2000-03-18,19,31,10.0,3.0
2000-03-19,22,29,14.0,5.0
2000-03-20,14,31,7.0,3.0
2000-03-21,10,36,4.0,3.0
2000-03-22,8,35,3.0,3.0
2000-03-23,8,35,3.0,3.0
2000-03-24,10,36,3.0,3.0
2000-03-25,8,35,3.0,3.0
2000-03-26,4,36,3.0,5.0
2000-03-27,17,32,3.0,3.0
2000-03-28,15,32,4.0,5.0
2000-03-29,14,28,4.0,5.0
2000-03-30,17,34,1.0,3.0
2000-03-31,18,43,6.0,3.0
2000-04-01,18,42,4.0,5.0
2000-04-02,11,47,1.0,5.0
2000-04-03,9,33,1.0,5.0
2000-04-04,9,32,1.0,3.0
2000-04-05,6,32,3.0,5.0
2000-04-06,8,36,1.0,2.0
2000-04-07,8,36,1.0,2.0
2000-04-08,7,35,3.0,2.0
2000-04-09,7,34,1.0,2.0
2000-04-10,8,32,1.0,3.0
2000-04-11,10,22,1.0,5.0
2000-04-12,13,30,1.0,2.0
2000-04-13,5,30,1.0,1.0
2000-04-14,6,33,1.0,1.0
2000-04-15,5,31,3.0,2.0
2000-04-16,3,36,1.0,1.0
2000-04-17,7,42,3.0,2.0
2000-04-18,6,38,3.0,3.0
2000-04-19,7,35,3.0,3.0
2000-04-20,16,31,7.0,5.0
2000-04-21,17,33,6.0,5.0
2000-04-22,15,33,3.0,5.0
2000-04-23,30,34,11.0,5.0
2000-04-24,13,31,6.0,5.0
2000-04-25,9,29,3.0,2.0
2000-04-26,15,31,3.0,3.0
2000-04-27,19,33,3.0,5.0
2000-04-28,16,32,4.0,5.0
2000-04-29,12,31,4.0,3.0
2000-04-30,11,31,3.0,3.0
2000-05-01,21,28,3.0,5.0
2000-05-02,8,27,3.0,5.0
2000-05-03,13,36,4.0,5.0
2000-05-04,19,36,3.0,3.0
2000-05-05,17,36,4.0,3.0
2000-05-06,11,36,3.0,5.0
2000-05-07,4,31,3.0,3.0
2000-05-08,9,21,3.0,3.0
2000-05-09,19,29,3.0,3.0
2000-05-10,18,33,13.0,3.0
2000-05-11,21,33,10.0,3.0
2000-05-12,9,31,1.0,3.0
2000-05-13,7,38,3.0,2.0
2000-05-14,4,33,1.0,2.0
2000-05-15,8,34,1.0,3.0
2000-05-16,11,36,3.0,3.0
2000-05-17,15,32,1.0,3.0
2000-05-18,14,30,1.0,3.0
2000-05-19,20,25,1.0,5.0
2000-05-20,8,24,3.0,3.0
2000-05-21,11,36,1.0,5.0
2000-05-22,17,22,1.0,3.0
2000-05-23,8,41,1.0,3.0
2000-05-24,11,36,1.0,3.0
2000-05-25,10,37,1.0,2.0
2000-05-26,11,18,1.0,3.0
2000-05-27,9,17,3.0,3.0
2000-05-28,25,26,3.0,6.0
2000-05-29,20,30,1.0,6.0
2000-05-30,24,34,1.0,5.0
2000-05-31,19,31,3.0,5.0
2000-06-01,14,31,3.0,5.0
2000-06-02,10,36,1.0,2.0
2000-06-03,6,35,3.0,2.0
2000-06-04,9,37,3.0,2.0
2000-06-05,6,26,3.0,3.0
2000-06-06,7,24,1.0,2.0
2000-06-07,4,23,1.0,2.0
2000-06-08,16,25,1.0,3.0
2000-06-09,11,25,1.0,3.0
2000-06-10,19,31,4.0,5.0
2000-06-11,15,25,1.0,5.0
2000-06-12,9,15,1.0,5.0
2000-06-13,9,15,1.0,5.0
2000-06-14,18,30,1.0,3.0
2000-06-15,8,31,0.0,1.0
2000-06-16,4,29,0.0,1.0
2000-06-17,5,36,1.0,2.0
2000-06-18,4,35,1.0,2.0
2000-06-19,11,25,1.0,2.0
2000-06-20,5,29,1.0,2.0
2000-06-21,7,26,1.0,2.0
2000-06-22,8,24,1.0,2.0
2000-06-23,6,25,1.0,2.0
2000-06-24,4,33,1.0,2.0
2000-06-25,5,31,1.0,2.0
2000-06-26,12,25,0.0,3.0
2000-06-27,8,28,1.0,3.0
2000-06-28,15,27,3.0,5.0
2000-06-29,17,26,1.0,3.0
2000-06-30,10,19,3.0,2.0
2000-07-01,8,19,3.0,2.0
2000-07-02,8,20,1.0,2.0
2000-07-03,10,19,1.0,3.0
2000-07-04,10,21,1.0,3.0
2000-07-05,8,14,0.0,3.0
2000-07-06,7,17,1.0,3.0
2000-07-07,9,19,0.0,2.0
2000-07-08,6,25,1.0,2.0
2000-07-09,4,25,1.0,2.0
2000-07-10,8,25,0.0,2.0
2000-07-11,3,27,1.0,2.0
2000-07-12,3,32,0.0,1.0
2000-07-13,5,28,1.0,1.0
2000-07-14,8,24,1.0,1.0
2000-07-15,5,25,3.0,2.0
2000-07-16,7,21,1.0,2.0
2000-07-17,10,24,1.0,2.0
2000-07-18,20,25,7.0,5.0
2000-07-19,16,24,3.0,5.0
2000-07-20,8,22,1.0,5.0
2000-07-21,8,12,1.0,5.0
2000-07-22,8,21,3.0,7.0
2000-07-23,9,15,1.0,5.0
2000-07-24,5,19,0.0,5.0
2000-07-25,6,17,1.0,5.0
2000-07-26,5,22,1.0,1.0
2000-07-27,17,21,4.0,3.0
2000-07-28,8,14,1.0,2.0
2000-07-29,8,17,1.0,1.0
2000-07-30,9,16,1.0,2.0
2000-07-31,10,18,1.0,2.0
2000-08-01,9,12,1.0,3.0
2000-08-02,8,22,1.0,3.0
2000-08-03,4,25,1.0,2.0
2000-08-04,8,28,1.0,2.0
2000-08-05,7,26,3.0,3.0
2000-08-06,11,25,1.0,5.0
2000-08-07,5,21,1.0,3.0
2000-08-08,7,23,1.0,3.0
2000-08-09,6,18,1.0,3.0
2000-08-10,8,18,1.0,1.0
2000-08-11,14,20,1.0,2.0
2000-08-12,8,24,3.0,2.0
2000-08-13,24,19,1.0,6.0
2000-08-14,14,22,1.0,5.0
2000-08-15,10,23,1.0,2.0
2000-08-16,8,26,1.0,2.0
2000-08-17,20,26,1.0,5.0
2000-08-18,12,18,1.0,3.0
2000-08-19,8,20,3.0,2.0
