Date Local,NO2 AQI,O3 AQI,SO2 AQI,CO AQI
2010-12-17,17,16,0.0,2.0
2010-12-18,25,25,0.0,6.0
2010-12-19,15,35,0.0,6.0
2010-12-20,12,34,0.0,2.0
2010-12-21,8,31,0.0,2.0
2010-12-22,20,21,0.0,3.0
2010-12-23,11,20,0.0,3.0
2010-12-24,11,30,0.0,2.0
2010-12-27,19,33,0.0,3.0
2010-12-28,13,32,0.0,1.0
2010-12-29,17,31,0.0,1.0
2010-12-30,17,28,0.0,1.0
2010-12-31,17,23,1.0,2.0
2011-01-01,8,32,1.0,2.0
2011-01-02,24,30,3.0,5.0
2011-01-03,16,34,0.0,5.0
2011-01-04,12,25,0.0,2.0
2011-01-05,28,23,0.0,3.0
2011-01-06,44,27,1.0,8.0
2011-01-07,39,39,3.0,9.0
2011-01-08,40,33,1.0,5.0
2011-01-09,13,25,0.0,2.0
2011-01-10,16,16,0.0,2.0
2011-01-11,6,24,3.0,2.0
2011-01-12,15,26,6.0,2.0
2011-01-13,19,21,0.0,2.0
2011-01-14,20,31,0.0,2.0
2011-01-15,14,31,0.0,2.0
2011-01-16,10,31,0.0,2.0
2011-01-17,20,13,0.0,3.0
2011-01-18,25,14,1.0,6.0
2011-01-19,17,23,0.0,3.0
2011-01-20,22,17,0.0,2.0
2011-01-21,26,19,1.0,3.0
2011-01-22,28,35,3.0,5.0
2011-01-23,17,34,0.0,5.0
2011-01-24,16,19,1.0,2.0
2011-01-25,18,24,0.0,3.0
2011-01-26,29,38,3.0,5.0
2011-01-27,37,35,3.0,5.0
2011-01-28,30,41,1.0,3.0
2011-01-29,16,40,0.0,3.0
2011-01-30,9,31,0.0,1.0
2011-01-31,20,29,0.0,5.0
2011-02-01,8,24,0.0,2.0
2011-02-02,7,27,0.0,2.0
2011-02-03,9,23,1.0,2.0
2011-02-04,28,24,1.0,5.0
2011-02-05,20,33,7.0,5.0
2011-02-06,24,32,0.0,2.0
2011-02-07,25,29,7.0,3.0
2011-02-08,23,36,1.0,3.0
2011-02-09,16,31,1.0,2.0
2011-02-10,13,25,10.0,2.0
2011-02-11,32,29,21.0,6.0
2011-02-12,44,36,19.0,8.0
2011-02-13,22,42,1.0,5.0
2011-02-14,21,34,1.0,6.0
2011-02-15,16,36,0.0,2.0
2011-02-16,21,31,3.0,2.0
2011-02-17,10,27,3.0,1.0
2011-02-18,17,32,3.0,2.0
2011-02-19,13,24,3.0,2.0
2011-02-20,2,30,0.0,1.0
2011-02-21,2,30,1.0,1.0
2011-02-22,12,21,24.0,2.0
2011-02-23,13,22,3.0,1.0
2011-02-24,6,22,0.0,1.0
2011-02-25,25,42,16.0,3.0
2011-02-26,12,25,7.0,3.0
2011-02-27,1,19,0.0,1.0
2011-02-28,12,42,7.0,2.0
2011-03-01,36,47,16.0,5.0
2011-03-02,35,49,10.0,7.0
2011-03-03,27,39,3.0,5.0
2011-03-04,26,34,9.0,2.0
2011-03-05,16,31,7.0,2.0
2011-03-06,13,41,14.0,2.0
2011-03-07,7,42,1.0,2.0
2011-03-08,4,31,1.0,2.0
2011-03-09,14,36,4.0,2.0
2011-03-10,38,42,17.0,5.0
2011-03-11,30,51,6.0,6.0
2011-03-12,8,41,0.0,2.0
