Date Local,NO2 AQI,O3 AQI,SO2 AQI,CO AQI
2010-10-21,23,36,1.0,2.0
2010-10-22,25,28,1.0,5.0
2010-10-23,25,33,10.0,7.0
2010-10-24,22,37,6.0,3.0
2010-10-25,24,25,6.0,3.0
2010-10-26,13,14,6.0,3.0
2010-10-27,9,16,10.0,3.0
2010-10-28,25,28,6.0,3.0
2010-10-29,17,22,1.0,2.0
2010-10-30,19,27,7.0,5.0
2010-10-31,16,38,3.0,2.0
2011-03-31,7,18,0.0,2.0
2011-04-01,27,36,1.0,3.0
2011-04-02,20,39,1.0,3.0
2011-04-03,27,42,3.0,3.0
2011-04-04,20,47,10.0,2.0
2011-04-05,17,37,3.0,2.0
2011-04-06,30,45,4.0,3.0
2011-04-07,12,77,1.0,2.0
2011-04-08,4,40,0.0,2.0
2011-04-09,13,38,7.0,3.0
2011-04-10,16,36,14.0,3.0
2011-04-11,12,32,1.0,3.0
2011-04-12,9,45,3.0,2.0
2011-04-13,21,26,1.0,3.0
2011-04-14,23,61,4.0,6.0
2011-04-15,18,64,4.0,3.0
2011-04-16,5,37,1.0,2.0
2011-04-17,8,43,3.0,2.0
2011-04-18,29,51,6.0,3.0
2011-04-19,21,49,6.0,2.0
2011-04-20,34,48,1.0,3.0
2011-04-21,30,45,1.0,5.0
2011-04-22,22,40,0.0,3.0
2011-04-23,11,29,3.0,2.0
2011-04-24,13,38,6.0,2.0
2011-04-25,12,36,1.0,2.0
2011-04-26,10,20,30.0,1.0
2011-04-27,10,19,21.0,2.0
2011-04-28,14,33,7.0,3.0
2011-04-29,19,44,1.0,3.0
2011-04-30,22,44,1.0,3.0
2011-05-01,14,37,7.0,3.0
2011-05-02,23,43,6.0,3.0
2011-05-03,24,38,6.0,3.0
2011-05-04,8,33,0.0,2.0
2011-05-05,17,37,1.0,2.0
2011-05-06,17,45,1.0,2.0
2011-05-07,13,46,1.0,2.0
2011-05-08,25,42,6.0,3.0
2011-05-09,27,48,1.0,5.0
2011-05-10,29,45,3.0,5.0
2011-05-11,15,61,7.0,2.0
2011-05-12,26,36,29.0,2.0
2011-05-13,15,23,43.0,3.0
2011-05-14,8,33,1.0,3.0
2011-05-15,9,36,3.0,3.0
2011-05-16,13,44,1.0,3.0
2011-05-17,6,36,17.0,2.0
2011-05-18,17,40,16.0,3.0
2011-05-19,16,34,0.0,3.0
2011-05-20,23,35,1.0,3.0
2011-05-21,26,46,1.0,6.0
2011-05-22,21,47,16.0,5.0
2011-05-23,20,40,3.0,3.0
2011-05-24,10,42,3.0,3.0
2011-05-25,16,101,7.0,2.0
2011-05-26,17,44,10.0,3.0
2011-05-27,17,36,10.0,2.0
2011-05-28,14,31,13.0,2.0
2011-05-29,14,26,3.0,3.0
2011-05-30,26,49,3.0,5.0
2011-05-31,25,106,3.0,7.0
2011-06-01,21,58,10.0,3.0
2011-06-02,18,90,1.0,2.0
2011-06-03,33,51,6.0,3.0
2011-06-04,30,58,3.0,6.0
2011-06-05,12,47,6.0,3.0
2011-06-06,16,87,4.0,3.0
2011-06-07,22,77,3.0,3.0
2011-06-08,25,127,7.0,3.0
2011-06-09,20,97,0.0,5.0
2011-06-14,16,34,6.0,1.0
2011-06-15,21,40,3.0,3.0
2011-06-16,21,43,10.0,3.0
2011-06-17,31,42,4.0,5.0
2011-06-18,12,54,1.0,5.0
2011-06-19,8,49,0.0,3.0
2011-06-20,14,42,1.0,3.0
2011-06-21,18,45,4.0,6.0
2011-06-22,9,39,1.0,10.0
2011-06-23,12,33,3.0,3.0
2011-06-24,10,51,1.0,3.0
2011-06-25,15,45,1.0,3.0
2011-06-26,9,48,3.0,3.0
2011-06-27,16,61,3.0,3.0
2011-06-28,18,42,7.0,3.0
2011-06-29,26,67,1.0,3.0
2011-06-30,21,54,7.0,3.0
2011-07-01,31,119,6.0,6.0
2011-07-02,27,106,4.0,5.0
2011-07-03,13,48,14.0,3.0
2011-07-04,24,44,6.0,3.0
2011-07-05,14,61,1.0,3.0
2011-07-06,25,27,6.0,3.0
2011-07-07,18,93,11.0,3.0
2011-07-08,12,34,10.0,3.0
2011-07-09,16,49,3.0,3.0
2011-07-10,17,101,7.0,7.0
2011-07-11,16,40,4.0,3.0
2011-07-12,16,80,3.0,3.0
2011-07-13,21,64,3.0,3.0
2011-07-14,8,36,1.0,2.0
2011-07-15,13,39,6.0,2.0
2011-07-16,9,37,19.0,2.0
2011-07-17,16,31,4.0,3.0
2011-07-18,24,43,10.0,3.0
2011-07-19,15,64,6.0,3.0
2011-07-20,20,90,16.0,3.0
2011-07-21,21,77,16.0,5.0
2011-07-22,21,84,20.0,5.0
2011-07-23,18,48,3.0,5.0
2011-07-24,10,47,1.0,3.0
2011-07-25,14,80,14.0,3.0
2011-07-26,11,64,3.0,3.0
2011-07-27,9,71,1.0,3.0
2011-07-28,15,71,14.0,3.0
2011-07-29,21,90,9.0,3.0
2011-07-30,13,47,6.0,3.0
2011-07-31,13,43,20.0,3.0
2011-08-01,17,101,6.0,3.0
2011-08-02,21,46,7.0,3.0
2011-08-03,25,49,9.0,5.0
2011-08-04,12,48,1.0,3.0
2011-08-05,4,37,1.0,2.0
2011-08-06,9,34,19.0,3.0
2011-08-07,9,45,1.0,3.0
2011-08-08,11,50,3.0,3.0
2011-08-09,16,45,10.0,3.0
2011-08-10,14,45,1.0,3.0
2011-08-11,22,50,4.0,3.0
2011-08-12,14,100,11.0,6.0
2011-08-13,12,40,29.0,6.0
2011-08-14,9,36,14.0,2.0
2011-08-15,20,43,1.0,3.0
2011-08-16,19,42,0.0,3.0
2011-08-17,30,47,21.0,5.0
2011-08-18,18,46,20.0,3.0
2011-08-19,16,54,6.0,3.0
2011-08-20,18,50,4.0,3.0
2011-08-21,9,37,7.0,5.0
2011-08-22,25,36,1.0,3.0
2011-08-23,19,44,1.0,3.0
2011-08-24,25,42,11.0,3.0
2011-08-25,25,38,3.0,3.0
2011-08-26,20,23,1.0,3.0
2011-08-27,0,14,0.0,2.0
2011-09-06,4,22,1.0,2.0
2011-09-07,17,25,9.0,1.0
2011-09-08,10,21,0.0,1.0
2011-09-09,23,38,0.0,5.0
2011-09-10,19,40,1.0,5.0
2011-09-11,23,41,0.0,7.0
2011-09-12,16,47,1.0,5.0
2011-09-13,26,46,1.0,5.0
2011-09-14,22,45,1.0,5.0
2011-09-15,21,50,1.0,3.0
2011-09-16,10,23,1.0,2.0
2011-09-17,5,19,0.0,2.0
2011-09-18,4,22,0.0,1.0
2011-09-19,10,31,0.0,1.0
2011-09-20,14,25,1.0,2.0
2011-09-21,12,26,1.0,2.0
2011-09-22,17,14,0.0,3.0
2011-09-23,16,5,1.0,3.0
2011-09-24,11,14,0.0,2.0
2011-09-25,12,21,3.0,3.0
2011-09-26,17,31,1.0,3.0
2011-09-27,27,25,1.0,3.0
2011-09-28,23,33,3.0,2.0
2011-09-29,31,37,0.0,5.0
2011-09-30,23,31,1.0,5.0
2011-10-01,12,22,0.0,2.0
2011-10-02,8,23,0.0,2.0
2011-10-03,19,16,0.0,3.0
2011-10-04,18,25,3.0,3.0
2011-10-05,24,32,1.0,5.0
2011-10-06,21,31,0.0,5.0
2011-10-07,24,38,1.0,6.0
2011-10-08,22,37,0.0,6.0
2011-10-09,27,38,6.0,6.0
2011-10-10,29,42,0.0,7.0
2011-10-11,20,35,0.0,7.0
2011-10-12,3,33,0.0,5.0
2011-10-13,11,19,0.0,2.0
2011-10-14,18,28,1.0,2.0
2011-10-15,14,31,0.0,2.0
2011-10-16,11,31,3.0,3.0
2011-10-17,28,33,0.0,6.0
2011-10-18,25,42,4.0,6.0
2011-10-19,18,23,1.0,3.0
2011-10-20,8,15,0.0,2.0
2011-10-21,15,23,1.0,3.0
2011-10-22,18,25,0.0,3.0
2011-10-23,16,25,3.0,5.0
2011-10-24,29,30,6.0,6.0
2011-10-25,33,34,7.0,7.0
2011-10-26,31,42,7.0,5.0
2011-10-27,22,41,1.0,3.0
2011-10-28,8,23,1.0,2.0
2011-10-29,8,23,0.0,3.0
2011-10-30,19,26,1.0,5.0
2011-10-31,25,26,3.0,7.0
2012-03-31,17,30,1.0,2.0
2012-04-01,10,36,1.0,2.0
2012-04-02,35,40,0.0,3.0
2012-04-03,30,42,1.0,6.0
2012-04-04,31,44,4.0,5.0
2012-04-05,18,36,3.0,3.0
2012-04-06,36,40,3.0,5.0
2012-04-07,29,43,0.0,5.0
2012-04-08,31,47,1.0,7.0
2012-04-09,14,43,0.0,2.0
2012-04-10,23,47,3.0,3.0
2012-04-11,11,29,0.0,3.0
2012-04-12,26,32,0.0,3.0
2012-04-13,30,42,1.0,6.0
2012-04-14,28,61,0.0,5.0
2012-04-15,7,47,0.0,3.0
2012-04-16,11,42,0.0,2.0
2012-04-17,13,46,1.0,3.0
2012-04-18,17,27,1.0,3.0
2012-04-19,8,42,1.0,3.0
2012-04-20,19,39,1.0,3.0
2012-04-21,13,36,1.0,3.0
2012-04-22,5,25,0.0,2.0
2012-04-23,11,23,0.0,2.0
2012-04-24,28,40,0.0,3.0
2012-04-25,26,44,4.0,6.0
2012-04-26,14,29,0.0,3.0
2012-04-27,12,44,0.0,2.0
2012-04-28,8,32,1.0,3.0
2012-04-29,24,36,3.0,3.0
2012-04-30,13,41,3.0,3.0
2012-05-01,10,34,1.0,2.0
2012-05-02,17,47,3.0,3.0
2012-05-03,16,45,3.0,3.0
2012-05-04,16,49,1.0,3.0
2012-05-05,12,37,0.0,3.0
2012-05-06,2,34,0.0,2.0
2012-05-07,6,44,0.0,2.0
2012-05-08,11,38,1.0,2.0
2012-05-09,13,33,1.0,2.0
2012-05-10,21,40,0.0,3.0
2012-05-11,24,42,0.0,3.0
2012-05-12,25,50,1.0,5.0
2012-05-13,10,43,3.0,2.0
2012-05-14,10,36,1.0,2.0
2012-05-15,9,40,1.0,2.0
