Date Local,NO2 AQI,O3 AQI,SO2 AQI,CO AQI
2011-01-01,32,32,0.0,13.0
2011-01-02,18,27,0.0,7.0
2011-01-03,23,17,0.0,7.0
2011-01-04,31,22,0.0,8.0
2011-01-05,33,19,0.0,11.0
2011-01-06,35,18,0.0,14.0
2011-01-07,26,28,0.0,7.0
2011-01-08,20,31,0.0,8.0
2011-01-09,25,32,0.0,7.0
2011-01-10,33,26,0.0,9.0
2011-01-11,36,22,0.0,10.0
2011-01-12,40,19,0.0,11.0
2011-01-13,38,18,0.0,15.0
2011-01-14,42,19,0.0,13.0
2011-01-15,38,29,0.0,11.0
2011-01-16,39,23,0.0,11.0
2011-01-17,46,22,0.0,11.0
2011-01-18,38,22,0.0,13.0
2011-01-19,31,25,1.0,10.0
2011-01-20,35,27,0.0,7.0
2011-01-21,41,23,0.0,10.0
2011-01-22,33,25,0.0,9.0
2011-01-23,32,38,0.0,9.0
2011-01-24,41,22,0.0,11.0
2011-01-25,41,18,0.0,11.0
2011-01-26,33,23,0.0,10.0
2011-01-27,33,28,0.0,9.0
2011-01-28,39,26,0.0,11.0
2011-01-29,27,36,0.0,8.0
2011-01-30,14,34,0.0,3.0
2011-01-31,21,31,0.0,5.0
2011-02-01,29,25,0.0,7.0
2011-02-02,36,36,0.0,7.0
2011-02-03,35,36,0.0,5.0
2011-02-04,37,27,0.0,9.0
2011-02-05,25,31,0.0,9.0
2011-02-06,29,32,0.0,8.0
2011-02-07,40,19,0.0,9.0
2011-02-08,29,31,0.0,6.0
2011-02-09,33,31,0.0,7.0
2011-02-10,39,33,0.0,9.0
2011-02-11,41,29,0.0,9.0
2011-02-12,38,34,0.0,10.0
2011-02-13,37,34,0.0,10.0
2011-02-14,32,42,0.0,6.0
2011-02-15,29,26,0.0,7.0
2011-02-16,18,29,0.0,3.0
2011-02-17,21,36,0.0,5.0
2011-02-18,22,32,0.0,6.0
2011-02-19,10,37,0.0,2.0
2011-02-20,26,37,0.0,5.0
2011-02-21,21,38,0.0,6.0
2011-02-22,25,38,0.0,8.0
2011-02-23,21,38,0.0,7.0
2011-02-24,9,39,0.0,3.0
2011-02-25,12,36,0.0,3.0
2011-02-26,9,33,0.0,3.0
2011-02-27,31,38,0.0,5.0
2011-02-28,35,32,0.0,9.0
2011-03-01,33,34,0.0,7.0
2011-03-02,28,36,0.0,8.0
2011-03-03,23,25,0.0,7.0
2011-03-04,37,30,0.0,7.0
2011-03-05,37,46,0.0,8.0
2011-03-06,29,33,0.0,8.0
2011-03-07,12,31,0.0,3.0
2011-03-08,25,36,0.0,5.0
2011-03-09,34,20,0.0,8.0
2011-03-10,37,36,0.0,8.0
2011-03-11,25,35,1.0,7.0
2011-03-12,12,37,0.0,3.0
2011-03-13,16,41,0.0,5.0
2011-03-14,24,36,0.0,8.0
2011-03-15,25,27,0.0,8.0
2011-03-16,26,31,0.0,9.0
2011-03-17,29,36,0.0,7.0
2011-03-18,25,43,0.0,6.0
2011-03-19,11,43,0.0,3.0
2011-03-20,10,42,0.0,3.0
2011-03-21,18,43,0.0,3.0
2011-03-22,17,40,0.0,5.0
2011-03-23,17,40,0.0,6.0
2011-03-24,21,36,0.0,5.0
2011-03-25,22,36,0.0,5.0
2011-03-26,17,40,0.0,6.0
2011-03-27,7,31,0.0,3.0
2011-03-28,21,33,0.0,3.0
2011-03-29,15,35,0.0,5.0
2011-03-30,32,48,0.0,8.0
2011-03-31,35,42,0.0,9.0
2011-04-01,31,47,0.0,8.0
2011-04-02,9,29,0.0,3.0
2011-04-03,6,31,0.0,2.0
2011-04-04,15,40,0.0,3.0
2011-04-05,18,38,0.0,5.0
2011-04-06,9,38,0.0,3.0
2011-04-07,8,41,0.0,2.0
2011-04-08,13,41,0.0,2.0
2011-04-09,16,43,0.0,3.0
2011-04-10,9,46,0.0,3.0
2011-04-11,20,47,0.0,5.0
2011-04-12,13,43,0.0,5.0
2011-04-13,10,42,0.0,2.0
2011-04-14,22,58,0.0,5.0
2011-04-15,30,84,0.0,7.0
2011-04-16,27,127,1.0,7.0
2011-04-17,15,40,0.0,6.0
2011-04-18,8,25,0.0,2.0
2011-04-19,8,29,0.0,2.0
2011-04-20,11,27,0.0,2.0
2011-04-21,9,30,0.0,2.0
2011-04-22,8,36,0.0,2.0
2011-04-23,8,42,0.0,3.0
2011-04-24,4,33,0.0,3.0
2011-04-25,13,37,0.0,2.0
2011-04-26,12,42,0.0,3.0
2011-04-27,25,84,0.0,5.0
2011-04-28,32,61,0.0,6.0
2011-04-29,13,42,0.0,2.0
2011-04-30,16,58,0.0,3.0
2011-05-01,20,47,0.0,5.0
2011-05-02,32,49,0.0,6.0
2011-05-03,36,67,0.0,7.0
2011-05-04,43,64,1.0,7.0
2011-05-05,29,47,0.0,7.0
2011-05-06,19,39,0.0,5.0
2011-05-07,8,42,0.0,3.0
2011-05-08,6,36,0.0,2.0
2011-05-09,6,42,0.0,2.0
2011-05-10,11,42,0.0,3.0
2011-05-11,10,43,0.0,3.0
2011-05-12,11,45,0.0,3.0
2011-05-13,12,44,0.0,5.0
2011-05-14,7,42,0.0,2.0
2011-05-15,7,41,0.0,2.0
2011-05-16,23,38,0.0,2.0
2011-05-17,8,36,0.0,2.0
2011-05-18,7,36,0.0,2.0
2011-05-19,13,40,0.0,2.0
2011-05-20,14,42,0.0,3.0
2011-05-21,8,44,0.0,3.0
2011-05-22,6,41,0.0,2.0
2011-05-23,8,39,0.0,2.0
2011-05-24,10,45,0.0,2.0
2011-05-25,15,47,0.0,3.0
2011-05-26,9,41,0.0,3.0
2011-05-27,13,47,0.0,3.0
2011-05-28,8,36,0.0,3.0
2011-05-29,5,36,0.0,2.0
2011-05-30,11,47,0.0,2.0
2011-05-31,19,44,0.0,5.0
2011-06-01,12,38,0.0,3.0
2011-06-02,13,44,0.0,2.0
2011-06-03,17,36,0.0,5.0
