Date Local,NO2 AQI,O3 AQI,SO2 AQI,CO AQI
2006-02-15,37,14,27.0,11.0
2006-02-16,41,33,33.0,17.0
2006-02-17,12,31,21.0,0.0
2006-02-18,23,30,17.0,0.0
2006-02-19,29,27,26.0,1.0
2006-02-20,35,20,21.0,3.0
2006-02-21,36,31,19.0,15.0
2006-02-22,34,18,16.0,9.0
2006-02-23,35,25,17.0,2.0
2006-02-24,28,34,6.0,2.0
2006-02-25,30,32,43.0,6.0
2006-02-26,10,33,3.0,1.0
2006-02-27,25,26,13.0,5.0
2006-02-28,19,33,10.0,2.0
2006-03-01,25,31,14.0,5.0
2006-03-02,25,29,34.0,7.0
2006-03-03,13,31,14.0,2.0
2006-03-04,5,32,7.0,2.0
2006-03-05,14,38,10.0,2.0
2006-03-06,35,30,26.0,6.0
2006-03-07,38,33,17.0,8.0
2006-03-08,39,25,31.0,13.0
2006-03-09,18,37,11.0,3.0
2006-03-10,17,42,29.0,1.0
2006-03-11,31,27,21.0,5.0
2006-03-12,26,27,14.0,3.0
2006-03-13,18,33,20.0,7.0
2006-03-14,14,36,10.0,1.0
2006-03-15,7,34,4.0,1.0
2006-03-16,38,35,9.0,3.0
2006-03-17,35,36,23.0,2.0
2006-03-18,9,37,9.0,2.0
2006-03-19,22,36,13.0,2.0
2006-03-20,39,36,11.0,7.0
2006-03-21,14,25,21.0,3.0
2006-03-22,19,33,7.0,2.0
2006-03-23,26,29,9.0,3.0
2006-03-24,20,26,33.0,2.0
2006-03-25,29,28,24.0,5.0
2006-03-26,20,33,10.0,5.0
2006-03-27,42,40,6.0,8.0
2006-03-28,40,32,21.0,14.0
2006-03-29,42,39,26.0,7.0
2006-03-30,51,58,20.0,10.0
2006-03-31,33,71,31.0,5.0
2006-04-01,11,36,9.0,5.0
2006-04-02,31,39,16.0,3.0
2006-04-03,26,34,14.0,3.0
2006-04-04,34,38,7.0,3.0
2006-04-05,24,34,4.0,3.0
2006-04-06,31,39,7.0,3.0
2006-04-07,41,35,62.0,5.0
2006-04-08,30,31,6.0,5.0
2006-04-09,36,37,9.0,7.0
2006-04-10,39,33,23.0,10.0
2006-04-11,36,50,96.0,14.0
2006-04-12,18,42,37.0,3.0
2006-04-13,38,48,7.0,6.0
2006-04-14,42,30,9.0,8.0
2006-04-15,27,50,4.0,7.0
2006-04-16,29,40,6.0,5.0
2006-04-17,39,34,14.0,6.0
2006-04-18,39,38,10.0,7.0
2006-04-19,37,43,6.0,7.0
2006-04-20,45,45,26.0,9.0
2006-04-21,37,33,16.0,11.0
2006-04-22,12,31,0.0,3.0
2006-04-23,18,25,13.0,5.0
2006-04-24,38,42,7.0,7.0
2006-04-25,42,58,13.0,11.0
2006-04-26,25,33,41.0,5.0
2006-04-27,42,45,23.0,8.0
2006-04-28,27,43,4.0,6.0
2006-04-29,22,37,33.0,5.0
2006-04-30,16,44,46.0,5.0
2006-05-01,29,47,16.0,6.0
2006-05-02,41,46,14.0,6.0
2006-05-03,38,41,27.0,6.0
2006-05-04,33,61,14.0,7.0
2006-05-05,32,84,17.0,7.0
2006-05-06,18,51,14.0,7.0
2006-05-07,10,41,40.0,3.0
2006-05-08,20,36,10.0,5.0
2006-05-09,42,47,27.0,6.0
