Date Local,NO2 AQI,O3 AQI,SO2 AQI,CO AQI
2014-07-01,4,16,6.0,3.0
2014-07-02,4,15,6.0,3.0
2014-07-03,6,19,13.0,3.0
2014-07-04,13,28,13.0,3.0
2014-07-05,9,32,9.0,3.0
2014-07-06,6,19,10.0,3.0
2014-07-07,5,17,7.0,3.0
2014-07-08,7,16,7.0,3.0
2014-07-09,7,21,4.0,2.0
2014-07-10,10,19,4.0,2.0
2014-07-11,8,15,4.0,3.0
2014-07-12,5,20,6.0,3.0
2014-07-13,3,19,9.0,2.0
2014-07-14,3,15,4.0,2.0
2014-07-15,1,11,4.0,2.0
2014-07-16,5,13,4.0,2.0
2014-07-17,7,12,7.0,2.0
2014-07-18,5,16,7.0,2.0
2014-07-19,1,19,4.0,2.0
2014-07-20,3,18,6.0,2.0
2014-07-21,4,7,6.0,2.0
2014-07-22,7,16,9.0,2.0
2014-07-23,5,13,3.0,2.0
2014-07-24,4,16,1.0,2.0
2014-07-25,5,15,3.0,2.0
2014-07-26,5,20,10.0,2.0
2014-07-27,5,15,7.0,2.0
2014-07-28,7,18,7.0,2.0
2014-07-29,8,15,4.0,2.0
2014-07-30,9,20,7.0,2.0
2014-07-31,8,19,4.0,2.0
2014-08-01,6,16,1.0,2.0
2014-08-02,2,16,1.0,2.0
2014-08-03,7,20,6.0,2.0
2014-08-04,8,19,27.0,3.0
2014-08-05,7,17,3.0,2.0
2014-08-06,7,19,10.0,3.0
2014-08-07,9,21,3.0,2.0
2014-08-08,13,20,4.0,3.0
2014-08-09,9,16,3.0,5.0
2014-08-10,7,16,4.0,2.0
2014-08-11,3,19,6.0,2.0
2014-08-12,11,19,3.0,3.0
2014-08-13,9,22,4.0,3.0
2014-08-14,8,20,3.0,2.0
2014-08-15,12,21,4.0,3.0
2014-08-16,8,22,4.0,3.0
2014-08-17,8,17,4.0,3.0
2014-08-18,6,15,4.0,3.0
2014-08-19,8,15,4.0,3.0
2014-08-20,5,17,7.0,3.0
2014-08-21,7,19,4.0,3.0
2014-08-22,10,21,13.0,3.0
2014-08-23,7,22,9.0,3.0
2014-08-24,10,21,6.0,2.0
2014-08-25,7,19,7.0,3.0
2014-08-26,5,17,4.0,3.0
2014-08-27,7,22,6.0,3.0
2014-08-28,8,14,6.0,3.0
2014-08-29,6,19,4.0,3.0
2014-08-30,13,23,6.0,3.0
2014-08-31,11,24,6.0,3.0
2014-09-01,11,21,4.0,3.0
2014-09-02,17,21,4.0,2.0
2014-09-03,21,23,6.0,3.0
2014-09-04,39,23,9.0,3.0
2014-09-05,45,23,13.0,5.0
2014-09-06,49,23,10.0,3.0
2014-09-07,26,21,9.0,3.0
2014-09-08,65,20,9.0,3.0
2014-09-09,64,16,6.0,5.0
2014-09-10,46,19,7.0,5.0
2014-09-11,83,18,7.0,6.0
2014-09-12,71,23,7.0,5.0
2014-09-13,73,18,9.0,7.0
2014-09-14,23,21,7.0,7.0
2014-09-15,41,17,9.0,5.0
2014-09-18,66,18,9.0,5.0
2014-09-19,49,17,14.0,6.0
2014-09-20,11,7,6.0,5.0
2014-09-21,9,15,10.0,5.0
2014-09-22,21,15,6.0,5.0
2014-09-23,19,14,10.0,6.0
2014-09-24,23,10,9.0,6.0
2014-09-25,39,16,19.0,6.0
2014-09-26,95,22,14.0,8.0
2014-09-27,29,14,13.0,9.0
2014-09-28,26,12,10.0,6.0
2014-09-29,27,19,6.0,6.0
2014-09-30,6,17,4.0,2.0
2014-10-01,9,8,9.0,5.0
2014-10-02,21,13,10.0,6.0
2014-10-03,16,17,23.0,8.0
2014-10-04,13,16,7.0,3.0
2014-10-05,5,20,4.0,3.0
2014-10-06,13,19,6.0,3.0
2014-10-07,18,11,10.0,5.0
2014-10-08,15,16,10.0,6.0
2014-10-09,14,21,6.0,5.0
2014-10-10,18,21,7.0,5.0
2014-10-11,19,13,11.0,7.0
2014-10-12,12,9,9.0,7.0
2014-10-13,12,5,10.0,6.0
2014-10-14,21,15,9.0,6.0
2014-10-15,22,13,14.0,7.0
2014-10-16,19,11,14.0,3.0
2014-10-20,21,14,13.0,3.0
2014-10-21,19,8,16.0,7.0
2014-10-22,25,10,14.0,6.0
2014-10-23,20,11,10.0,7.0
2014-10-24,18,13,10.0,6.0
2014-10-25,15,18,6.0,5.0
2014-10-26,20,21,23.0,10.0
2014-10-27,30,13,20.0,11.0
2014-10-28,29,13,14.0,13.0
2014-10-29,22,19,29.0,10.0
2014-10-30,13,18,10.0,6.0
2014-10-31,26,18,17.0,10.0
2014-11-01,29,25,27.0,14.0
2014-11-02,20,30,16.0,13.0
2014-11-03,30,20,24.0,11.0
2014-11-04,25,12,16.0,10.0
2014-11-05,27,8,24.0,14.0
2014-11-06,33,12,36.0,10.0
2014-11-07,34,6,30.0,14.0
2014-11-08,25,7,23.0,15.0
2014-11-09,30,18,33.0,15.0
2014-11-10,40,17,20.0,11.0
2014-11-11,27,2,21.0,11.0
2014-11-12,28,4,23.0,15.0
2014-11-13,27,4,23.0,14.0
2014-11-14,25,4,30.0,16.0
2014-11-15,24,5,27.0,15.0
2014-11-16,24,4,33.0,15.0
2014-11-17,39,4,34.0,20.0
2014-11-18,31,5,33.0,18.0
2014-11-19,28,5,20.0,13.0
2014-11-20,32,4,31.0,14.0
2014-11-21,51,25,49.0,22.0
2014-11-22,37,19,37.0,22.0
2014-11-23,27,10,36.0,19.0
2014-11-24,29,10,33.0,16.0
2014-11-25,23,15,20.0,14.0
2014-11-26,30,9,29.0,13.0
2014-11-27,25,7,44.0,16.0
2014-11-28,31,16,40.0,15.0
2014-11-29,25,23,16.0,9.0
2014-11-30,14,21,7.0,7.0
2014-12-01,28,6,31.0,15.0
2014-12-02,32,17,24.0,7.0
2014-12-03,25,16,7.0,5.0
2014-12-04,31,5,40.0,19.0
2014-12-05,35,7,41.0,18.0
2014-12-06,23,9,21.0,11.0
2014-12-07,25,19,20.0,10.0
2014-12-08,42,16,23.0,15.0
2014-12-09,39,27,24.0,7.0
2014-12-10,18,28,6.0,5.0
2014-12-11,25,28,9.0,7.0
2014-12-12,25,22,9.0,6.0
2014-12-13,25,6,20.0,9.0
2014-12-14,24,7,26.0,11.0
2014-12-15,31,6,19.0,14.0
