Date Local,NO2 AQI,O3 AQI,SO2 AQI,CO AQI
2000-03-31,48,0,20.0,14.0
2000-04-01,48,28,37.0,16.0
2000-04-02,22,38,20.0,13.0
2000-04-03,23,24,1.0,8.0
2000-04-04,42,33,1.0,7.0
2000-04-05,40,47,72.0,5.0
2000-04-06,39,27,20.0,3.0
2000-04-07,25,25,7.0,5.0
2000-04-08,35,34,1.0,5.0
2000-04-09,49,46,6.0,7.0
2000-04-10,50,44,29.0,11.0
2000-04-11,25,25,59.0,3.0
2000-04-12,27,31,24.0,5.0
2000-04-13,42,38,16.0,6.0
2000-04-14,48,33,33.0,8.0
2000-04-15,21,43,11.0,6.0
2000-04-16,27,27,7.0,7.0
2000-04-17,20,13,1.0,6.0
2000-04-18,21,26,24.0,6.0
2000-04-19,20,51,23.0,6.0
2000-04-20,13,27,6.0,6.0
2000-04-21,42,41,3.0,7.0
2000-04-22,49,47,14.0,9.0
2000-04-23,29,29,43.0,9.0
2000-04-24,39,26,24.0,7.0
2000-04-25,46,33,37.0,8.0
2000-04-26,50,42,27.0,9.0
2000-04-27,51,31,26.0,10.0
2000-04-28,44,37,20.0,10.0
2000-04-29,47,51,10.0,10.0
2000-04-30,39,87,21.0,10.0
2000-05-01,34,41,26.0,7.0
2000-05-02,30,46,6.0,7.0
2000-05-03,24,36,26.0,8.0
2000-05-04,25,43,24.0,8.0
2000-05-05,28,44,13.0,9.0
2000-05-06,21,30,21.0,8.0
2000-05-07,16,23,20.0,8.0
2000-05-08,14,35,39.0,8.0
2000-05-09,20,26,7.0,8.0
2000-05-10,25,45,20.0,3.0
2000-05-11,18,37,17.0,3.0
2000-05-12,16,36,1.0,3.0
2000-05-13,20,37,3.0,2.0
2000-05-14,25,43,33.0,3.0
2000-05-15,33,48,52.0,6.0
2000-05-16,26,58,55.0,3.0
2000-05-17,27,48,37.0,3.0
2000-05-18,16,38,36.0,3.0
2000-05-19,24,20,51.0,3.0
2000-05-20,29,33,27.0,5.0
2000-05-21,31,42,7.0,8.0
2000-05-22,29,50,10.0,7.0
2000-05-23,37,41,23.0,6.0
2000-05-24,45,49,20.0,8.0
2000-05-25,56,47,24.0,6.0
2000-05-26,50,34,10.0,9.0
2000-05-27,11,36,6.0,6.0
2000-05-28,8,29,4.0,3.0
2000-05-29,13,41,26.0,5.0
2000-05-30,18,97,13.0,6.0
2000-05-31,22,90,27.0,5.0
2000-06-01,25,67,30.0,6.0
2000-06-02,25,34,10.0,5.0
2000-06-03,25,42,10.0,5.0
2000-06-04,28,47,16.0,7.0
2000-06-05,30,28,3.0,5.0
2000-06-06,42,41,16.0,7.0
2000-06-07,42,87,23.0,10.0
2000-06-08,30,109,54.0,3.0
2000-06-09,30,77,37.0,6.0
2000-06-10,30,29,34.0,5.0
2000-06-11,21,25,6.0,7.0
2000-06-12,22,28,4.0,7.0
2000-06-13,11,42,16.0,5.0
2000-06-14,24,37,9.0,5.0
2000-06-15,16,42,36.0,5.0
2000-06-16,26,20,37.0,6.0
2000-06-17,19,14,6.0,5.0
2000-06-18,15,32,13.0,5.0
2000-06-19,26,37,14.0,8.0
2000-06-20,13,32,11.0,5.0
2000-06-21,16,36,9.0,5.0
2000-06-22,30,46,20.0,6.0
2000-06-23,30,46,11.0,9.0
2000-06-24,16,28,4.0,6.0
2000-06-25,31,43,17.0,6.0
2000-06-26,23,32,10.0,6.0
2000-06-27,27,25,49.0,6.0
2000-06-28,25,49,26.0,7.0
2000-06-29,35,39,3.0,6.0
2000-06-30,36,25,52.0,13.0
2000-07-01,33,54,17.0,9.0
2000-07-02,17,39,17.0,6.0
2000-07-03,10,36,9.0,6.0
2000-07-04,11,36,10.0,6.0
2000-07-05,34,49,17.0,6.0
2000-07-06,24,36,26.0,7.0
2000-07-07,22,67,11.0,7.0
2000-07-08,37,106,16.0,7.0
2000-07-09,16,77,27.0,7.0
2000-07-10,14,67,13.0,6.0
2000-07-11,19,67,40.0,6.0
2000-07-12,23,47,7.0,6.0
2000-07-13,32,44,47.0,8.0
2000-07-14,26,50,3.0,7.0
2000-07-15,30,42,75.0,6.0
2000-07-16,42,84,19.0,8.0
2000-07-17,38,26,16.0,8.0
2000-07-18,21,50,29.0,6.0
2000-07-19,17,31,33.0,5.0
2000-07-20,30,34,52.0,6.0
2000-07-21,27,31,6.0,6.0
2000-07-22,25,36,14.0,6.0
2000-07-23,26,37,24.0,5.0
2000-07-24,39,43,24.0,6.0
2000-07-25,39,77,20.0,6.0
2000-07-26,30,129,20.0,6.0
2000-07-27,31,77,13.0,5.0
2000-07-28,39,31,11.0,7.0
2000-07-29,25,31,6.0,6.0
2000-07-30,21,39,16.0,6.0
2000-07-31,33,32,20.0,8.0
2000-08-01,30,47,6.0,8.0
2000-08-02,39,54,6.0,7.0
2000-08-03,26,37,34.0,7.0
2000-08-04,25,42,23.0,5.0
2000-08-05,15,38,9.0,6.0
2000-08-06,26,45,6.0,5.0
2000-08-07,27,33,47.0,6.0
2000-08-08,24,29,29.0,6.0
2000-08-09,15,67,13.0,6.0
2000-08-10,34,31,108.0,5.0
2000-08-11,36,46,51.0,6.0
2000-08-12,28,46,75.0,6.0
2000-08-13,28,48,29.0,6.0
2000-08-14,28,116,33.0,5.0
2000-08-15,45,109,20.0,7.0
2000-08-16,46,77,33.0,9.0
2000-08-17,17,90,14.0,5.0
2000-08-18,29,31,75.0,3.0
2000-08-19,24,27,9.0,5.0
2000-08-20,20,35,4.0,5.0
2000-08-21,26,39,17.0,5.0
2000-08-22,32,111,46.0,5.0
2000-08-23,54,127,29.0,6.0
2000-08-24,30,47,36.0,7.0
2000-08-25,30,84,14.0,7.0
2000-08-26,25,31,39.0,7.0
2000-08-27,20,71,9.0,8.0
2000-08-28,25,119,7.0,7.0
2000-08-29,42,119,3.0,7.0
2000-08-30,20,111,7.0,7.0
2000-08-31,32,104,16.0,5.0
2000-09-01,35,106,20.0,6.0
2000-09-02,28,80,20.0,6.0
2000-09-03,27,101,17.0,7.0
2000-09-04,11,31,7.0,5.0
2000-09-05,34,27,23.0,1.0
2000-09-06,25,39,13.0,3.0
2000-09-07,32,39,44.0,3.0
2000-09-08,20,29,16.0,2.0
2000-09-09,17,25,26.0,2.0
2000-09-10,16,27,16.0,2.0
2000-09-11,20,40,17.0,2.0
2000-09-12,37,25,29.0,2.0
2000-09-13,57,43,11.0,7.0
2000-09-14,48,38,11.0,8.0
2000-09-15,27,24,19.0,1.0
2000-09-16,25,36,20.0,2.0
2000-09-17,35,58,24.0,3.0
2000-09-18,42,77,31.0,7.0
2000-09-19,32,93,33.0,3.0
2000-09-20,38,42,11.0,5.0
2000-09-21,36,25,13.0,7.0
2000-09-22,19,41,16.0,7.0
2000-09-23,12,23,14.0,3.0
2000-09-24,17,16,20.0,3.0
2000-09-25,23,16,7.0,7.0
2000-09-26,30,28,14.0,8.0
2000-09-27,53,45,4.0,9.0
2000-09-28,42,27,31.0,8.0
2000-09-29,44,24,33.0,8.0
2000-09-30,35,50,34.0,8.0
2000-10-01,17,77,30.0,3.0
2000-10-02,34,47,10.0,5.0
2000-10-03,45,54,26.0,7.0
2000-10-04,20,20,13.0,5.0
2000-10-05,17,17,20.0,5.0
2000-10-06,15,21,1.0,3.0
2000-10-07,19,20,3.0,3.0
2000-10-08,21,19,4.0,3.0
2000-10-09,32,25,6.0,7.0
2000-10-10,36,24,10.0,9.0
2000-10-11,50,29,14.0,15.0
2000-10-12,51,41,59.0,10.0
2000-10-13,50,50,24.0,7.0
2000-10-14,35,46,6.0,6.0
2000-10-15,25,13,1.0,6.0
2000-10-16,22,11,6.0,6.0
2000-10-17,26,20,33.0,6.0
2000-10-18,36,30,17.0,9.0
2000-10-19,57,32,33.0,15.0
2000-10-20,62,40,21.0,10.0
2000-10-21,66,47,23.0,10.0
2000-10-22,54,23,7.0,10.0
2000-10-23,39,32,20.0,7.0
2000-10-24,42,19,67.0,8.0
2000-10-25,62,36,23.0,9.0
2000-10-26,50,47,13.0,9.0
2000-10-27,38,27,7.0,7.0
2000-10-28,24,7,52.0,7.0
2000-10-29,20,14,14.0,5.0
2000-10-30,35,26,14.0,6.0
2000-10-31,39,14,17.0,9.0
2001-03-31,42,12,17.0,10.0
2001-04-01,24,39,7.0,6.0
