Date Local,NO2 AQI,O3 AQI,SO2 AQI,CO AQI
2002-03-31,32,16,6.0,3.0
2002-04-01,28,25,6.0,3.0
2002-04-02,29,19,6.0,7.0
2002-04-03,28,25,10.0,5.0
2002-04-04,33,23,10.0,5.0
2002-04-05,25,28,6.0,3.0
2002-04-06,40,34,16.0,5.0
2002-04-07,28,25,7.0,5.0
2002-04-08,47,17,6.0,9.0
2002-04-09,37,26,4.0,7.0
2002-04-10,49,35,9.0,14.0
2002-04-11,39,40,17.0,5.0
2002-04-12,40,21,7.0,5.0
2002-04-13,31,39,6.0,7.0
2002-04-14,34,44,7.0,6.0
2002-04-15,33,51,10.0,5.0
2002-04-16,32,47,6.0,5.0
2002-04-17,46,36,4.0,8.0
2002-04-18,35,40,4.0,11.0
2002-04-19,29,28,3.0,3.0
2002-04-20,8,35,3.0,3.0
2002-04-21,6,29,4.0,2.0
2002-04-22,25,25,3.0,8.0
2002-04-23,49,36,10.0,9.0
2002-04-24,28,41,10.0,5.0
2002-04-25,19,30,3.0,2.0
2002-04-26,45,30,4.0,5.0
2002-04-27,41,31,11.0,8.0
2002-04-28,19,27,1.0,5.0
2002-04-29,34,28,7.0,3.0
2002-04-30,42,31,6.0,3.0
2002-05-01,45,23,6.0,11.0
2002-05-02,29,26,4.0,5.0
2002-05-03,32,24,4.0,3.0
2002-05-04,35,43,9.0,9.0
2002-05-05,42,42,6.0,5.0
2002-05-06,42,27,9.0,6.0
2002-05-07,26,26,4.0,5.0
2002-05-08,22,14,7.0,5.0
2002-05-09,20,29,9.0,3.0
2002-05-10,44,36,6.0,6.0
2002-05-11,41,34,4.0,14.0
2002-05-12,14,31,1.0,5.0
2002-05-13,27,33,3.0,5.0
2002-05-14,31,35,3.0,3.0
2002-05-15,34,40,6.0,7.0
2002-05-16,36,23,6.0,5.0
2002-05-17,19,19,3.0,3.0
2002-05-18,28,27,1.0,3.0
2002-05-19,30,31,3.0,6.0
2002-05-20,25,21,3.0,5.0
2002-05-21,31,28,21.0,5.0
2002-05-22,42,36,6.0,5.0
2002-05-23,34,36,9.0,3.0
2002-05-24,17,31,4.0,3.0
2002-05-25,18,23,4.0,3.0
2002-05-26,40,43,6.0,5.0
2002-05-27,52,58,4.0,8.0
2002-05-28,39,58,13.0,9.0
2002-05-29,29,47,7.0,5.0
2002-05-30,32,77,11.0,5.0
2002-05-31,30,42,14.0,3.0
2002-06-01,23,101,11.0,3.0
2002-06-02,16,29,3.0,3.0
2002-06-03,19,11,4.0,6.0
2002-06-04,34,8,4.0,8.0
2002-06-05,34,18,3.0,8.0
2002-06-06,18,32,4.0,5.0
2002-06-07,49,47,10.0,6.0
2002-06-08,51,74,6.0,7.0
2002-06-09,46,116,10.0,11.0
2002-06-10,39,41,9.0,6.0
2002-06-11,19,36,4.0,5.0
2002-06-12,20,21,4.0,5.0
2002-06-13,22,16,4.0,6.0
2002-06-14,13,31,1.0,5.0
2002-06-15,8,32,3.0,2.0
2002-06-16,19,26,4.0,2.0
2002-06-17,26,37,9.0,3.0
2002-06-18,28,45,3.0,7.0
2002-06-19,25,104,13.0,3.0
2002-06-20,42,154,9.0,6.0
2002-06-21,41,42,3.0,7.0
2002-06-22,48,97,4.0,7.0
2002-06-23,62,140,33.0,8.0
2002-06-24,68,124,33.0,11.0
2002-06-25,60,90,4.0,11.0
2002-06-26,22,71,21.0,3.0
2002-06-27,19,30,1.0,3.0
2002-06-28,25,35,6.0,7.0
2002-06-29,50,100,23.0,8.0
2002-06-30,43,90,6.0,9.0
2002-07-01,32,58,21.0,5.0
2002-07-02,29,41,20.0,5.0
2002-07-03,43,124,20.0,5.0
2002-07-04,13,44,3.0,3.0
2002-07-05,18,28,3.0,3.0
2002-07-06,38,39,1.0,5.0
2002-07-07,46,84,14.0,7.0
2002-07-08,45,106,7.0,10.0
2002-07-09,32,31,4.0,6.0
2002-07-10,15,26,1.0,3.0
2002-07-11,18,35,3.0,5.0
2002-07-12,30,45,9.0,5.0
2002-07-13,39,47,3.0,5.0
2002-07-14,38,101,3.0,7.0
2002-07-15,40,50,4.0,6.0
2002-07-16,42,111,11.0,9.0
2002-07-17,34,109,6.0,9.0
2002-07-18,42,46,4.0,6.0
2002-07-19,13,28,3.0,5.0
2002-07-22,22,42,3.0,5.0
2002-07-23,14,32,1.0,3.0
2002-07-24,20,28,1.0,5.0
2002-07-25,23,39,11.0,5.0
2002-07-26,41,49,16.0,6.0
2002-07-27,32,42,3.0,6.0
2002-07-28,12,58,0.0,5.0
2002-07-29,25,39,4.0,5.0
2002-07-30,25,42,11.0,5.0
2002-07-31,55,51,13.0,5.0
2002-08-01,33,74,23.0,5.0
2002-08-02,19,29,1.0,6.0
2002-08-03,43,84,11.0,7.0
2002-08-04,15,36,3.0,7.0
2002-08-05,18,36,3.0,5.0
2002-08-06,23,20,1.0,5.0
2002-08-07,25,22,3.0,5.0
2002-08-08,32,32,4.0,6.0
2002-08-09,38,67,10.0,6.0
2002-08-10,46,129,10.0,7.0
2002-08-11,48,109,9.0,5.0
2002-08-12,25,54,9.0,6.0
2002-08-13,32,32,6.0,5.0
2002-08-14,28,22,6.0,5.0
2002-08-15,25,39,4.0,5.0
2002-08-16,32,29,7.0,7.0
2002-08-17,28,36,3.0,8.0
2002-08-18,26,27,10.0,6.0
2002-08-19,26,23,3.0,13.0
2002-08-20,23,27,3.0,6.0
2002-08-21,26,61,6.0,5.0
2002-08-22,21,34,6.0,5.0
2002-08-23,21,26,4.0,8.0
2002-08-24,17,32,1.0,6.0
2002-08-25,28,38,3.0,6.0
2002-08-26,29,29,4.0,8.0
2002-08-27,19,21,6.0,8.0
2002-08-28,17,32,4.0,5.0
2002-08-29,36,44,4.0,8.0
2002-08-30,25,45,6.0,8.0
2002-08-31,35,67,7.0,6.0
2002-09-01,43,64,4.0,7.0
2002-09-02,20,43,3.0,7.0
2002-09-03,22,32,6.0,3.0
2002-09-04,30,19,6.0,6.0
2002-09-05,23,28,3.0,3.0
2002-09-06,42,54,10.0,8.0
2002-09-07,97,127,10.0,10.0
2002-09-08,60,150,17.0,15.0
2002-09-09,74,54,39.0,14.0
2002-09-10,37,41,20.0,6.0
2002-09-11,31,20,3.0,6.0
2002-09-12,37,32,24.0,10.0
2002-09-13,48,39,13.0,9.0
2002-09-14,42,114,14.0,11.0
2002-09-15,18,30,4.0,5.0
2002-09-16,33,29,10.0,6.0
2002-09-17,44,46,23.0,11.0
2002-09-18,40,26,4.0,7.0
2002-09-19,28,16,6.0,6.0
2002-09-20,18,17,3.0,3.0
2002-09-21,17,30,17.0,5.0
2002-09-22,23,16,1.0,7.0
2002-09-23,40,25,9.0,18.0
2002-09-24,25,17,3.0,5.0
2002-09-25,41,31,4.0,11.0
