Date Local,NO2 AQI,O3 AQI,SO2 AQI,CO AQI
2014-01-01,5,33,4.0,2.0
2014-01-02,11,27,3.0,3.0
2014-01-03,4,34,3.0,2.0
2014-01-04,8,38,20.0,2.0
2014-01-05,3,35,10.0,2.0
2014-01-06,4,34,4.0,2.0
2014-01-07,3,31,6.0,1.0
2014-01-08,6,34,9.0,2.0
2014-01-09,11,27,14.0,2.0
2014-01-10,9,26,9.0,2.0
2014-01-11,3,31,3.0,2.0
2014-01-12,3,31,3.0,2.0
2014-01-13,7,38,23.0,2.0
2014-01-14,4,31,3.0,2.0
2014-01-15,4,29,7.0,2.0
2014-01-16,3,31,10.0,1.0
2014-01-17,6,32,10.0,2.0
2014-01-18,5,29,7.0,2.0
2014-01-29,8,31,14.0,1.0
2014-01-30,7,38,9.0,2.0
2014-01-31,5,41,6.0,2.0
2014-02-01,6,44,6.0,2.0
2014-02-02,8,38,3.0,2.0
2014-02-03,7,33,13.0,3.0
2014-02-04,9,30,14.0,2.0
2014-02-05,9,37,4.0,2.0
2014-02-06,5,38,6.0,2.0
2014-02-07,7,34,10.0,2.0
2014-02-08,9,34,9.0,2.0
2014-02-09,8,37,24.0,2.0
2014-02-10,5,41,6.0,2.0
2014-02-11,8,44,4.0,2.0
2014-02-12,13,34,7.0,3.0
2014-02-13,13,32,19.0,2.0
2014-02-14,8,44,30.0,2.0
2014-02-15,5,43,6.0,2.0
2014-02-16,6,43,11.0,2.0
2014-02-17,5,46,7.0,2.0
2014-02-18,5,41,7.0,2.0
2014-02-19,4,46,4.0,2.0
2014-02-20,6,44,3.0,2.0
2014-02-21,4,41,9.0,2.0
2014-02-22,3,43,4.0,1.0
2014-02-23,4,41,11.0,2.0
2014-02-24,4,37,3.0,2.0
2014-02-25,3,36,3.0,2.0
2014-02-26,7,34,9.0,2.0
2014-02-27,5,35,6.0,2.0
2014-02-28,5,37,16.0,2.0
2014-03-01,7,46,24.0,2.0
2014-03-02,8,42,10.0,3.0
2014-03-03,8,38,20.0,2.0
2014-03-04,11,39,7.0,3.0
2014-03-05,16,38,26.0,3.0
2014-03-06,9,42,3.0,2.0
2014-03-07,19,40,1.0,3.0
2014-03-08,13,48,11.0,3.0
2014-03-09,7,46,7.0,2.0
2014-03-10,6,47,6.0,2.0
2014-03-11,17,74,4.0,2.0
2014-03-15,3,44,1.0,2.0
2014-03-16,7,39,40.0,2.0
2014-03-17,3,41,3.0,2.0
2014-03-18,6,43,1.0,2.0
2014-03-19,6,37,1.0,2.0
2014-03-20,3,38,6.0,2.0
2014-03-21,6,43,4.0,2.0
2014-03-22,6,47,13.0,2.0
2014-03-23,4,39,3.0,2.0
2014-03-24,5,39,1.0,2.0
2014-03-25,6,40,10.0,2.0
2014-03-26,3,40,1.0,2.0
2014-03-27,6,48,9.0,2.0
2014-03-28,5,48,11.0,2.0
2014-03-29,5,29,1.0,2.0
2014-03-30,4,44,3.0,2.0
2014-03-31,10,44,3.0,2.0
2014-04-01,7,64,4.0,2.0
2014-04-02,2,50,1.0,2.0
2014-04-03,8,41,9.0,3.0
2014-04-04,7,41,0.0,3.0
2014-04-05,2,43,1.0,2.0
2014-04-06,3,51,6.0,2.0
2014-04-07,5,44,1.0,2.0
2014-04-08,2,48,1.0,2.0
2014-04-09,6,58,4.0,2.0
2014-04-10,3,58,3.0,2.0
2014-04-11,4,50,3.0,2.0
2014-04-12,3,64,11.0,2.0
2014-04-13,4,71,17.0,2.0
2014-04-14,11,46,54.0,2.0
2014-04-15,4,38,9.0,2.0
2014-04-16,4,44,11.0,2.0
2014-04-17,5,49,3.0,2.0
2014-04-18,4,47,1.0,2.0
2014-04-19,4,58,1.0,2.0
2014-04-20,2,74,1.0,2.0
2014-04-21,5,87,4.0,2.0
2014-04-22,5,71,6.0,2.0
2014-04-23,4,42,0.0,2.0
2014-04-24,5,58,1.0,2.0
2014-04-25,3,51,1.0,2.0
2014-04-26,4,51,3.0,2.0
2014-04-27,4,54,1.0,2.0
2014-04-28,4,42,1.0,2.0
2014-04-29,3,42,0.0,2.0
2014-04-30,4,44,0.0,2.0
2014-05-01,2,44,1.0,2.0
2014-05-02,7,40,4.0,2.0
2014-05-03,5,48,1.0,2.0
2014-05-04,2,49,4.0,2.0
2014-05-05,5,44,7.0,2.0
2014-05-06,3,64,1.0,2.0
2014-05-07,6,42,0.0,2.0
2014-05-08,6,74,3.0,2.0
2014-05-09,8,77,1.0,2.0
2014-05-10,2,46,0.0,2.0
2014-05-11,6,87,0.0,2.0
2014-05-12,6,46,0.0,2.0
2014-05-13,4,44,4.0,2.0
2014-05-14,5,31,0.0,2.0
2014-05-15,2,36,0.0,2.0
2014-05-16,2,47,0.0,1.0
2014-05-17,24,45,1.0,2.0
2014-05-18,11,50,1.0,1.0
2014-05-19,18,77,1.0,2.0
2014-05-20,23,64,4.0,2.0
2014-05-21,6,47,6.0,2.0
2014-05-22,3,64,3.0,2.0
2014-05-23,3,47,3.0,2.0
2014-05-24,2,44,1.0,2.0
2014-05-25,4,50,6.0,2.0
2014-05-26,4,77,3.0,2.0
2014-05-27,3,54,3.0,2.0
2014-05-28,4,44,3.0,2.0
2014-05-29,5,17,0.0,2.0
2014-05-30,4,41,1.0,2.0
2014-05-31,1,43,0.0,2.0
2014-06-01,1,42,0.0,1.0
2014-06-02,2,35,3.0,2.0
2014-06-03,2,49,0.0,2.0
2014-06-04,2,49,1.0,2.0
2014-06-05,2,44,6.0,2.0
2014-06-06,3,35,7.0,2.0
2014-06-07,3,49,16.0,2.0
2014-06-08,2,37,1.0,2.0
2014-06-09,2,38,0.0,2.0
2014-06-10,2,42,1.0,2.0
2014-06-11,2,34,1.0,2.0
2014-06-12,2,30,0.0,1.0
2014-06-13,2,48,1.0,2.0
2014-06-14,1,39,1.0,1.0
2014-06-15,1,47,4.0,2.0
2014-06-16,4,45,1.0,2.0
2014-06-17,6,46,6.0,2.0
2014-06-18,3,41,3.0,2.0
2014-06-19,4,37,0.0,1.0
2014-06-20,1,40,0.0,1.0
2014-06-21,2,31,0.0,2.0
2014-06-22,1,40,0.0,2.0
2014-06-23,1,33,0.0,2.0
2014-06-24,3,37,6.0,2.0
2014-06-25,2,31,6.0,2.0
2014-06-26,1,44,0.0,2.0
2014-06-27,2,44,0.0,2.0
2014-06-28,2,38,0.0,2.0
2014-06-29,1,29,3.0,2.0
2014-06-30,3,33,3.0,2.0
2014-07-01,1,31,0.0,1.0
2014-07-02,3,51,1.0,1.0
2014-07-03,2,41,3.0,1.0
2014-07-04,2,33,1.0,1.0
2014-07-05,1,41,3.0,1.0
2014-07-06,2,46,1.0,2.0
2014-07-07,2,49,1.0,2.0
2014-07-08,1,45,0.0,2.0
2014-07-09,2,46,0.0,2.0
2014-07-10,3,44,1.0,2.0
2014-07-11,2,49,0.0,2.0
2014-07-12,3,80,3.0,2.0
2014-07-13,2,45,1.0,2.0
2014-07-14,2,36,0.0,2.0
2014-07-15,1,35,0.0,1.0
2014-07-16,2,34,0.0,1.0
2014-07-17,3,41,0.0,1.0
