Date Local,NO2 AQI,O3 AQI,SO2 AQI,CO AQI
2000-03-31,39,0,30.0,10.0
2000-04-01,42,34,107.0,13.0
2000-04-02,34,32,33.0,13.0
2000-04-03,23,30,47.0,6.0
2000-04-04,27,28,20.0,3.0
2000-04-05,27,31,20.0,5.0
2000-04-06,30,44,39.0,3.0
2000-04-07,28,14,27.0,5.0
2000-04-08,27,32,29.0,7.0
2000-04-09,16,32,17.0,1.0
2000-04-10,28,33,20.0,3.0
2000-04-11,31,21,54.0,6.0
2000-04-12,33,33,29.0,3.0
2000-04-13,30,37,13.0,3.0
2000-04-14,41,42,17.0,5.0
2000-04-15,25,44,14.0,3.0
2000-04-16,26,74,19.0,5.0
2000-04-17,13,31,26.0,3.0
2000-04-18,14,27,10.0,1.0
2000-04-19,27,23,21.0,2.0
2000-04-20,22,50,19.0,5.0
2000-04-21,19,36,20.0,5.0
2000-04-22,14,19,16.0,1.0
2000-04-23,16,38,11.0,0.0
2000-04-24,36,46,47.0,5.0
2000-04-25,16,48,29.0,1.0
2000-04-26,22,67,36.0,0.0
2000-04-27,32,42,23.0,5.0
2000-04-28,44,58,30.0,0.0
2000-04-29,28,90,17.0,0.0
2000-04-30,36,51,50.0,0.0
2000-05-01,31,93,50.0,1.0
2000-05-02,34,51,11.0,1.0
2000-05-03,44,67,51.0,2.0
2000-05-04,39,61,62.0,2.0
2000-05-05,30,42,54.0,2.0
2000-05-06,36,67,19.0,5.0
2000-05-07,31,101,57.0,5.0
2000-05-08,28,43,31.0,3.0
2000-05-09,25,39,51.0,2.0
2000-05-10,22,35,39.0,1.0
2000-05-11,30,36,85.0,0.0
2000-05-12,26,39,69.0,3.0
2000-05-13,23,35,33.0,2.0
2000-05-14,13,45,26.0,0.0
2000-05-15,36,45,20.0,1.0
2000-05-16,27,45,27.0,1.0
2000-05-17,44,74,49.0,0.0
2000-05-18,37,67,50.0,1.0
2000-05-19,20,41,47.0,1.0
2000-05-20,17,26,39.0,0.0
2000-05-21,25,31,26.0,0.0
2000-05-22,37,51,44.0,1.0
2000-05-23,25,36,57.0,2.0
2000-05-24,22,47,26.0,2.0
2000-05-25,32,45,24.0,1.0
2000-05-26,36,47,26.0,0.0
2000-05-27,17,32,17.0,0.0
2000-05-28,10,31,14.0,0.0
2000-05-29,19,36,13.0,0.0
