Date Local,NO2 AQI,O3 AQI,SO2 AQI,CO AQI
2000-01-01,43,30,4.0,45.0
2000-01-02,41,34,1.0,17.0
2000-01-03,53,15,6.0,31.0
2000-01-04,54,16,4.0,51.0
2000-01-05,84,12,13.0,61.0
2000-01-06,83,23,14.0,61.0
2000-01-07,94,7,17.0,48.0
2000-01-08,83,13,13.0,72.0
2000-01-09,79,14,23.0,65.0
2000-01-10,77,17,17.0,54.0
2000-01-11,49,4,6.0,31.0
2000-01-12,41,18,4.0,25.0
2000-01-13,81,14,6.0,53.0
2000-01-14,106,10,20.0,62.0
2000-01-15,78,6,20.0,68.0
2000-01-16,51,8,19.0,20.0
2000-01-17,68,4,9.0,57.0
2000-01-18,41,17,6.0,55.0
2000-01-19,79,16,6.0,51.0
2000-01-20,46,16,11.0,25.0
2000-01-21,25,25,6.0,6.0
2000-01-22,36,22,4.0,17.0
2000-01-23,67,14,3.0,28.0
2000-01-24,70,12,7.0,34.0
2000-01-25,35,15,16.0,17.0
2000-01-26,42,25,3.0,18.0
2000-01-27,60,14,9.0,35.0
2000-01-28,80,20,9.0,51.0
2000-01-29,60,36,4.0,27.0
2000-01-30,42,25,4.0,14.0
2000-01-31,41,33,3.0,14.0
2000-02-01,56,14,20.0,41.0
2000-02-02,58,20,6.0,41.0
2000-02-03,79,30,10.0,43.0
2000-02-04,53,9,4.0,30.0
2000-02-05,36,47,4.0,11.0
2000-02-06,69,29,3.0,34.0
2000-02-07,70,23,7.0,20.0
2000-02-08,54,17,11.0,17.0
2000-02-09,35,31,1.0,8.0
2000-02-10,34,32,3.0,10.0
2000-02-11,45,31,1.0,26.0
2000-02-12,23,36,1.0,5.0
2000-02-13,34,19,0.0,7.0
2000-02-14,30,19,4.0,11.0
2000-02-15,30,27,4.0,8.0
2000-02-16,43,31,4.0,14.0
2000-02-17,44,35,1.0,15.0
2000-02-18,58,12,11.0,30.0
2000-02-19,53,19,7.0,30.0
2000-02-20,31,27,3.0,9.0
2000-02-21,43,17,0.0,18.0
