Date Local,NO2 AQI,O3 AQI,SO2 AQI,CO AQI
2000-03-31,48,3,17.0,28.0
2000-04-01,47,30,37.0,33.0
2000-04-02,44,18,30.0,25.0
2000-04-03,43,25,39.0,24.0
2000-04-04,37,28,13.0,20.0
2000-04-05,35,39,62.0,23.0
2000-04-06,37,30,26.0,23.0
2000-04-07,39,24,23.0,24.0
2000-04-08,34,29,11.0,23.0
2000-04-09,42,40,46.0,27.0
2000-04-10,41,28,11.0,26.0
2000-04-11,28,22,19.0,24.0
2000-04-12,43,34,3.0,5.0
2000-04-13,42,32,30.0,5.0
2000-04-14,36,36,6.0,5.0
2000-04-15,42,35,26.0,8.0
2000-04-16,39,31,7.0,11.0
2000-04-17,38,22,1.0,5.0
2000-04-18,37,14,27.0,6.0
2000-04-19,23,36,19.0,6.0
2000-04-20,21,33,4.0,6.0
2000-04-21,13,26,10.0,5.0
2000-04-22,47,42,14.0,13.0
2000-04-23,44,46,54.0,22.0
2000-04-24,20,37,33.0,8.0
2000-04-25,52,41,14.0,5.0
2000-04-26,55,46,17.0,9.0
2000-04-27,54,46,46.0,14.0
2000-04-28,58,54,14.0,9.0
2000-04-29,57,54,14.0,11.0
2000-04-30,51,90,21.0,10.0
2000-05-01,49,30,30.0,13.0
2000-05-02,55,45,10.0,8.0
2000-05-03,28,51,43.0,8.0
2000-05-04,25,42,20.0,8.0
2000-05-05,37,42,23.0,11.0
2000-05-06,26,47,17.0,13.0
2000-05-07,25,36,16.0,9.0
2000-05-08,15,40,30.0,8.0
2000-05-09,17,39,39.0,9.0
2000-05-10,44,41,19.0,10.0
2000-05-11,26,47,19.0,10.0
2000-05-12,10,34,26.0,10.0
2000-05-13,11,36,11.0,9.0
2000-05-14,28,43,14.0,8.0
2000-05-15,49,47,19.0,11.0
2000-05-16,39,34,30.0,10.0
2000-05-17,46,44,19.0,10.0
2000-05-18,11,46,21.0,9.0
2000-05-19,18,26,11.0,10.0
2000-05-20,27,13,10.0,11.0
2000-05-21,41,43,52.0,14.0
2000-05-22,40,42,31.0,14.0
2000-05-23,41,42,30.0,11.0
2000-05-24,36,58,66.0,11.0
2000-05-25,39,42,24.0,10.0
2000-05-26,42,38,31.0,14.0
2000-05-27,13,38,30.0,10.0
2000-05-28,8,31,19.0,10.0
2000-05-29,19,45,13.0,10.0
2000-05-30,26,61,31.0,11.0
2000-05-31,55,67,72.0,16.0
2000-06-01,44,140,89.0,16.0
2000-06-02,20,42,44.0,11.0
2000-06-03,42,44,11.0,10.0
2000-06-04,33,61,20.0,10.0
2000-06-05,28,22,16.0,10.0
2000-06-06,44,42,14.0,13.0
2000-06-07,50,50,54.0,23.0
2000-06-08,22,116,55.0,10.0
2000-06-09,24,142,52.0,10.0
2000-06-10,17,71,54.0,10.0
2000-06-11,15,33,44.0,10.0
2000-06-12,27,77,44.0,11.0
2000-06-13,30,49,41.0,11.0
2000-06-14,21,47,20.0,11.0
2000-06-15,27,37,31.0,10.0
2000-06-16,37,21,41.0,13.0
2000-06-17,21,27,21.0,13.0
2000-06-18,32,31,14.0,10.0
2000-06-19,33,45,13.0,11.0
2000-06-20,19,35,14.0,11.0
2000-06-21,16,39,40.0,10.0
2000-06-22,42,41,36.0,13.0
2000-06-23,35,64,29.0,15.0
2000-06-24,15,36,27.0,11.0
2000-06-25,33,46,51.0,11.0
2000-06-26,31,33,37.0,14.0
2000-06-27,42,42,23.0,10.0
2000-06-28,44,46,14.0,13.0
2000-06-29,47,37,13.0,14.0
2000-06-30,36,50,56.0,14.0
2000-07-01,36,77,46.0,16.0
2000-07-02,23,80,31.0,11.0
2000-07-03,31,36,46.0,13.0
2000-07-04,32,47,30.0,14.0
2000-07-05,25,44,19.0,11.0
2000-07-06,20,48,41.0,11.0
2000-07-07,27,37,11.0,11.0
2000-07-08,23,90,24.0,10.0
2000-07-09,24,84,86.0,13.0
2000-07-10,22,43,82.0,11.0
2000-07-11,35,26,17.0,11.0
