Date Local,NO2 AQI,O3 AQI,SO2 AQI,CO AQI
2000-03-31,34,2,64.0,7.0
2000-04-01,38,46,19.0,8.0
2000-04-02,29,33,17.0,9.0
2000-04-03,28,30,13.0,10.0
2000-04-04,12,35,7.0,7.0
2000-04-05,33,37,27.0,7.0
2000-04-06,29,64,16.0,7.0
2000-04-07,39,29,26.0,9.0
2000-04-08,30,31,16.0,11.0
2000-04-09,20,36,23.0,3.0
2000-04-10,28,37,14.0,6.0
2000-04-11,30,21,21.0,8.0
2000-04-12,33,30,61.0,7.0
2000-04-13,30,42,11.0,8.0
2000-04-14,20,47,7.0,8.0
2000-04-15,22,47,4.0,7.0
2000-04-16,27,64,46.0,7.0
2000-04-17,23,28,6.0,7.0
2000-04-18,12,29,0.0,5.0
2000-04-19,28,24,49.0,7.0
2000-04-20,20,49,9.0,9.0
2000-04-21,25,36,10.0,6.0
2000-04-22,13,23,24.0,5.0
2000-04-23,15,36,27.0,3.0
2000-04-24,30,54,21.0,7.0
2000-04-25,18,67,3.0,7.0
2000-04-26,27,42,33.0,5.0
2000-04-27,32,54,20.0,7.0
2000-04-28,30,87,10.0,7.0
2000-04-29,21,93,29.0,6.0
2000-04-30,30,51,37.0,6.0
2000-05-01,25,135,17.0,7.0
2000-05-02,31,51,46.0,6.0
2000-05-03,23,111,6.0,6.0
2000-05-04,27,104,27.0,8.0
2000-05-05,23,97,20.0,8.0
2000-05-06,24,101,9.0,7.0
2000-05-07,20,119,19.0,8.0
2000-05-08,26,100,24.0,7.0
2000-05-09,22,54,43.0,7.0
2000-05-10,39,40,16.0,6.0
2000-05-11,37,48,64.0,6.0
2000-05-12,35,50,21.0,7.0
2000-05-13,25,38,29.0,8.0
2000-05-14,15,42,16.0,6.0
2000-05-15,32,41,17.0,5.0
2000-05-16,23,48,11.0,6.0
2000-05-17,21,93,4.0,5.0
2000-05-18,28,87,10.0,6.0
2000-05-19,22,45,10.0,6.0
2000-05-20,22,30,14.0,6.0
2000-05-21,21,41,19.0,6.0
2000-05-22,25,48,80.0,7.0
2000-05-23,24,36,4.0,7.0
2000-05-24,25,61,19.0,6.0
2000-05-25,27,45,4.0,6.0
2000-05-26,28,47,62.0,6.0
2000-05-27,23,29,1.0,6.0
2000-05-28,22,31,1.0,6.0
2000-05-29,19,36,0.0,5.0
2000-05-30,17,36,0.0,6.0
2000-05-31,38,74,29.0,7.0
2000-06-01,34,71,20.0,8.0
2000-06-02,30,124,39.0,8.0
2000-06-03,16,29,10.0,5.0
2000-06-04,22,49,16.0,5.0
2000-06-05,21,28,7.0,5.0
2000-06-06,21,22,3.0,5.0
2000-06-07,25,37,20.0,6.0
2000-06-08,25,77,24.0,6.0
2000-06-09,33,156,24.0,7.0
2000-06-10,25,154,31.0,8.0
2000-06-11,14,106,19.0,7.0
2000-06-12,25,26,46.0,6.0
2000-06-13,18,87,14.0,6.0
2000-06-14,13,49,7.0,6.0
2000-06-15,17,38,6.0,5.0
2000-06-16,22,31,6.0,6.0
2000-06-17,23,29,51.0,6.0
2000-06-18,27,26,106.0,5.0
2000-06-19,21,38,37.0,5.0
2000-06-20,16,46,4.0,6.0
2000-06-21,26,31,4.0,7.0
2000-06-22,20,45,10.0,6.0
2000-06-23,24,36,86.0,6.0
2000-06-24,20,87,9.0,7.0
2000-06-25,15,48,9.0,7.0
2000-06-26,25,49,17.0,6.0
2000-06-27,23,29,51.0,7.0
2000-06-28,25,58,20.0,7.0
2000-06-29,24,43,34.0,7.0
2000-06-30,24,40,71.0,6.0
2000-07-01,21,45,33.0,6.0
2000-07-02,17,90,11.0,6.0
2000-07-03,22,29,3.0,6.0
2000-07-04,33,38,14.0,6.0
2000-07-05,20,43,60.0,6.0
2000-07-06,19,45,101.0,6.0
2000-07-07,21,33,4.0,3.0
2000-07-08,20,40,1.0,5.0
2000-07-09,20,127,33.0,6.0
2000-07-10,14,47,19.0,6.0
2000-07-11,28,39,6.0,5.0
2000-07-12,28,39,6.0,5.0
2000-07-13,22,74,9.0,5.0
2000-07-14,23,100,20.0,5.0
2000-07-15,21,30,9.0,5.0
2000-07-16,21,46,11.0,6.0
2000-07-17,29,49,20.0,6.0
2000-07-18,34,49,26.0,7.0
2000-07-19,26,6,4.0,6.0
2000-07-20,25,42,30.0,6.0
2000-07-21,23,45,11.0,6.0
2000-07-22,25,29,64.0,6.0
2000-07-23,19,36,3.0,6.0
2000-07-24,24,26,3.0,8.0
2000-07-25,22,51,6.0,5.0
2000-07-26,24,34,7.0,6.0
2000-07-27,26,48,11.0,6.0
2000-07-28,21,48,3.0,6.0
2000-07-29,19,36,3.0,6.0
2000-07-30,25,37,1.0,7.0
2000-07-31,25,37,9.0,7.0
2000-08-01,18,42,7.0,6.0
2000-08-02,24,61,23.0,6.0
2000-08-03,30,35,71.0,7.0
2000-08-04,31,26,54.0,6.0
2000-08-05,23,47,6.0,6.0
2000-08-06,22,36,1.0,8.0
2000-08-07,33,51,14.0,6.0
2000-08-08,25,40,13.0,9.0
2000-08-09,17,36,34.0,8.0
2000-08-10,26,40,43.0,6.0
2000-08-11,25,37,87.0,6.0
2000-08-12,24,30,6.0,3.0
2000-08-13,20,29,4.0,5.0
2000-08-14,24,39,24.0,6.0
2000-08-15,25,58,27.0,6.0
2000-08-16,15,44,44.0,6.0
2000-08-17,22,15,34.0,3.0
2000-08-18,24,7,43.0,8.0
2000-08-19,24,30,106.0,6.0
2000-08-20,18,28,3.0,6.0
2000-08-21,22,41,3.0,5.0
2000-08-22,23,54,14.0,7.0
2000-08-23,25,43,13.0,7.0
2000-08-24,28,36,110.0,6.0
2000-08-25,29,31,43.0,7.0
2000-08-26,22,49,9.0,7.0
2000-08-27,25,28,9.0,6.0
2000-08-28,25,42,3.0,7.0
2000-08-29,18,35,1.0,7.0
2000-08-30,21,31,1.0,5.0
2000-08-31,14,29,1.0,6.0
2000-09-01,25,37,3.0,6.0
2000-09-02,28,39,4.0,7.0
2000-09-03,23,44,3.0,6.0
2000-09-05,19,31,4.0,6.0
2000-09-06,28,35,4.0,3.0
2000-09-07,16,36,4.0,3.0
2000-09-08,26,27,21.0,6.0
2000-09-09,25,25,29.0,7.0
2000-09-10,11,40,19.0,6.0
2000-09-11,15,34,10.0,6.0
2000-09-12,15,47,14.0,5.0
2000-09-13,25,25,97.0,5.0
2000-09-14,26,36,49.0,5.0
2000-09-15,19,25,37.0,5.0
2000-09-16,14,14,33.0,3.0
