Date Local,NO2 AQI,O3 AQI,SO2 AQI,CO AQI
2005-09-14,32,71,9.0,8.0
2005-09-15,23,67,20.0,7.0
2005-09-16,28,46,9.0,7.0
2005-09-17,25,34,14.0,6.0
2005-09-18,24,49,19.0,7.0
2005-09-19,17,74,10.0,8.0
2005-09-20,29,67,11.0,9.0
2005-09-21,27,84,6.0,8.0
2005-09-22,5,27,1.0,8.0
2005-09-23,2,24,0.0,8.0
2005-09-24,3,25,0.0,8.0
2005-09-25,6,18,3.0,9.0
2005-09-26,10,37,6.0,9.0
2005-09-27,4,51,4.0,10.0
2005-09-28,28,61,7.0,11.0
2005-09-29,17,42,4.0,11.0
2005-09-30,22,35,4.0,10.0
2005-10-01,25,34,6.0,6.0
2005-10-02,5,24,1.0,5.0
2005-10-03,4,29,6.0,5.0
2005-10-04,7,35,4.0,5.0
2005-10-05,8,35,4.0,5.0
2005-10-06,6,36,6.0,5.0
2005-10-07,8,37,1.0,6.0
2005-10-08,8,45,3.0,6.0
2005-10-09,29,47,4.0,8.0
2005-10-10,20,48,10.0,9.0
2005-10-11,26,74,4.0,10.0
2005-10-12,10,71,6.0,8.0
2005-10-13,55,90,20.0,14.0
2005-10-14,30,74,10.0,15.0
2005-10-15,8,90,9.0,9.0
2005-10-16,21,84,3.0,9.0
2005-10-17,39,74,9.0,11.0
2005-10-18,60,80,20.0,15.0
2005-10-19,35,122,17.0,13.0
2005-10-20,29,48,4.0,13.0
2005-10-21,32,84,16.0,13.0
2005-10-22,6,43,3.0,10.0
2005-10-23,4,47,3.0,10.0
2005-10-24,4,31,0.0,10.0
2005-10-25,19,37,0.0,10.0
2005-10-26,36,36,6.0,13.0
2005-10-27,33,45,3.0,14.0
2005-10-28,7,44,4.0,10.0
2005-10-29,45,48,7.0,16.0
2005-10-30,41,49,7.0,18.0
2005-10-31,32,42,3.0,15.0
2005-11-01,29,27,10.0,15.0
2005-11-02,35,41,1.0,8.0
2005-11-03,40,35,7.0,15.0
2005-11-04,40,31,7.0,8.0
2005-11-05,28,29,4.0,7.0
2005-11-06,26,33,7.0,7.0
2005-11-07,28,18,4.0,9.0
2005-11-08,26,25,3.0,10.0
2005-11-09,42,25,16.0,14.0
2005-11-10,33,31,16.0,15.0
2005-11-11,48,36,13.0,10.0
2005-11-12,45,36,6.0,11.0
2005-11-13,33,30,6.0,11.0
2005-11-14,25,30,3.0,10.0
2005-11-15,19,26,3.0,9.0
2005-11-16,3,30,0.0,15.0
2005-11-17,4,35,0.0,8.0
2005-11-18,11,35,6.0,8.0
2005-11-19,12,31,9.0,9.0
2005-11-20,9,39,9.0,9.0
2005-11-21,24,37,9.0,10.0
2005-11-22,25,31,14.0,10.0
2005-11-23,30,48,10.0,15.0
2005-11-24,16,47,17.0,10.0
2005-11-25,9,30,9.0,9.0
2005-11-26,8,31,4.0,9.0
2005-11-27,16,28,4.0,9.0
2005-11-28,22,30,13.0,9.0
2005-11-29,19,33,9.0,9.0
2005-11-30,42,36,4.0,14.0
2005-12-01,47,36,19.0,16.0
2005-12-02,23,24,14.0,10.0
2005-12-03,20,36,4.0,3.0
2005-12-04,24,32,3.0,3.0
2005-12-05,8,18,1.0,3.0
2005-12-06,31,30,4.0,3.0
2005-12-07,9,24,6.0,5.0
2005-12-08,8,17,3.0,5.0
2005-12-09,7,29,3.0,5.0
2005-12-10,31,21,9.0,6.0
2005-12-11,36,32,7.0,6.0
2005-12-12,51,31,20.0,10.0
2005-12-13,41,26,13.0,13.0
2005-12-14,42,35,7.0,59.0
2005-12-15,16,32,1.0,5.0
2005-12-16,14,30,4.0,3.0
2005-12-17,8,23,10.0,5.0
2005-12-18,7,31,7.0,5.0
2005-12-19,12,22,10.0,6.0
2005-12-20,9,31,4.0,6.0
2005-12-21,28,25,4.0,7.0
2005-12-22,45,27,10.0,9.0
2005-12-23,40,30,10.0,11.0
2005-12-24,20,32,11.0,7.0
2005-12-25,18,31,11.0,7.0
2005-12-26,45,28,11.0,10.0
2005-12-27,42,40,17.0,10.0
2005-12-28,15,36,6.0,8.0
2005-12-29,46,33,21.0,11.0
2005-12-30,45,30,14.0,11.0
2005-12-31,21,11,1.0,10.0
2006-01-01,16,13,3.0,9.0
2006-01-02,13,36,6.0,10.0
2006-01-03,61,42,11.0,16.0
2006-01-04,62,41,39.0,17.0
2006-01-05,9,34,3.0,11.0
2006-01-06,5,29,0.0,8.0
2006-01-07,31,29,13.0,14.0
2006-01-08,27,36,13.0,10.0
2006-01-09,31,25,4.0,11.0
2006-01-10,32,21,4.0,8.0
2006-01-11,46,28,10.0,11.0
2006-01-12,28,19,6.0,11.0
2006-01-13,9,34,6.0,8.0
2006-01-14,3,35,0.0,6.0
2006-01-15,31,28,4.0,8.0
2006-01-16,33,28,14.0,9.0
2006-01-17,8,29,10.0,8.0
2006-01-18,31,31,27.0,9.0
2006-01-19,41,35,3.0,10.0
2006-01-20,35,29,3.0,10.0
2006-01-21,16,17,1.0,10.0
2006-01-22,10,21,7.0,9.0
2006-01-23,17,13,4.0,9.0
2006-01-24,7,32,0.0,9.0
2006-01-25,5,40,0.0,8.0
2006-01-26,20,28,11.0,9.0
2006-01-27,15,35,3.0,9.0
