Date Local,NO2 AQI,O3 AQI,SO2 AQI,CO AQI
2000-03-31,50,2,30.0,14.0
2000-04-01,46,27,56.0,14.0
2000-04-02,32,32,19.0,11.0
2000-04-03,30,22,4.0,6.0
2000-04-04,38,30,7.0,8.0
2000-04-05,44,37,44.0,10.0
2000-04-06,38,27,16.0,8.0
2000-04-07,29,24,10.0,7.0
2000-04-08,35,31,6.0,5.0
2000-04-09,46,42,10.0,8.0
2000-04-10,50,36,23.0,13.0
2000-04-11,21,29,10.0,1.0
2000-04-12,28,30,29.0,3.0
2000-04-13,34,36,46.0,2.0
2000-04-14,39,27,17.0,9.0
2000-04-15,27,39,14.0,3.0
2000-04-16,30,25,9.0,3.0
2000-04-17,20,10,3.0,3.0
2000-04-18,24,25,17.0,6.0
2000-04-19,35,40,11.0,5.0
2000-04-20,28,25,16.0,3.0
2000-04-21,42,36,7.0,8.0
2000-04-22,37,48,9.0,10.0
2000-04-23,27,31,23.0,3.0
2000-04-24,45,29,13.0,5.0
2000-04-25,42,43,30.0,6.0
2000-04-26,54,39,17.0,9.0
2000-04-27,52,32,30.0,11.0
2000-04-28,49,37,26.0,8.0
2000-04-29,49,64,20.0,9.0
2000-04-30,45,77,21.0,11.0
2000-05-01,44,45,21.0,3.0
2000-05-02,26,47,40.0,3.0
2000-05-03,26,27,59.0,6.0
2000-05-04,39,34,19.0,5.0
2000-05-05,30,36,17.0,3.0
2000-05-06,31,24,39.0,6.0
2000-05-07,23,16,24.0,6.0
2000-05-08,22,30,27.0,7.0
2000-05-09,26,24,6.0,10.0
2000-05-10,36,36,41.0,7.0
2000-05-11,29,31,27.0,6.0
2000-05-12,30,29,1.0,9.0
2000-05-13,40,36,3.0,5.0
2000-05-14,44,42,6.0,6.0
2000-05-15,44,38,55.0,6.0
2000-05-16,45,42,97.0,5.0
2000-05-17,40,42,47.0,5.0
2000-05-18,39,31,43.0,6.0
2000-05-19,23,22,20.0,3.0
2000-05-20,41,31,20.0,8.0
2000-05-21,35,35,4.0,10.0
2000-05-22,36,38,16.0,7.0
2000-05-23,49,38,23.0,8.0
2000-05-24,46,46,9.0,10.0
2000-05-25,57,49,17.0,6.0
2000-05-26,47,29,37.0,7.0
2000-05-27,22,32,4.0,0.0
2000-05-28,13,29,0.0,0.0
2000-05-29,14,47,17.0,0.0
2000-05-30,31,48,14.0,8.0
2000-05-31,44,47,30.0,8.0
2000-06-01,50,46,23.0,8.0
2000-06-02,39,34,4.0,6.0
2000-06-03,43,50,16.0,6.0
2000-06-04,36,47,16.0,9.0
2000-06-05,30,30,3.0,5.0
2000-06-06,49,49,11.0,7.0
2000-06-07,43,49,34.0,10.0
2000-06-08,48,64,29.0,5.0
2000-06-09,53,47,30.0,7.0
2000-06-10,45,19,36.0,6.0
2000-06-11,26,25,6.0,5.0
2000-06-12,23,19,1.0,6.0
2000-06-13,24,32,11.0,6.0
2000-06-14,38,31,4.0,5.0
2000-06-15,31,33,41.0,3.0
2000-06-16,39,18,11.0,5.0
2000-06-17,17,18,6.0,3.0
2000-06-18,30,35,13.0,5.0
2000-06-19,37,31,7.0,11.0
2000-06-20,24,30,16.0,3.0
2000-06-21,25,29,17.0,3.0
2000-06-22,44,42,24.0,7.0
2000-06-23,25,35,7.0,8.0
2000-06-24,22,24,9.0,2.0
2000-06-25,15,42,21.0,1.0
2000-06-26,26,29,9.0,2.0
2000-06-27,32,31,40.0,2.0
2000-06-28,41,45,19.0,7.0
2000-06-29,40,38,3.0,8.0
2000-06-30,38,18,30.0,15.0
2000-07-01,36,42,27.0,13.0
2000-07-02,25,31,10.0,7.0
2000-07-03,16,31,0.0,7.0
2000-07-04,20,30,0.0,7.0
2000-07-05,42,42,49.0,9.0
2000-07-06,27,46,7.0,10.0
2000-07-07,25,93,9.0,7.0
2000-07-08,42,90,29.0,8.0
2000-07-09,28,51,3.0,8.0
2000-07-10,26,44,0.0,9.0
2000-07-11,32,43,26.0,8.0
2000-07-12,32,54,0.0,8.0
2000-07-13,40,50,3.0,9.0
2000-07-14,41,47,1.0,11.0
2000-07-15,33,49,23.0,10.0
2000-07-16,40,111,13.0,11.0
2000-07-17,32,21,3.0,10.0
2000-07-18,34,37,23.0,8.0
2000-07-19,17,36,20.0,7.0
2000-07-20,38,33,7.0,9.0
2000-07-21,34,35,3.0,10.0
2000-07-22,33,45,41.0,11.0
2000-07-23,28,43,11.0,11.0
2000-07-24,42,49,20.0,10.0
2000-07-25,53,64,30.0,15.0
2000-07-26,43,87,26.0,11.0
2000-07-27,42,46,10.0,10.0
2000-07-28,44,25,4.0,11.0
2000-07-29,25,28,11.0,9.0
2000-07-30,27,41,0.0,10.0
2000-07-31,38,25,10.0,13.0
2000-08-01,41,43,13.0,14.0
2000-08-02,33,42,6.0,14.0
