Date Local,NO2 AQI,O3 AQI,SO2 AQI,CO AQI
2000-03-31,38,0,10.0,5.0
2000-04-01,31,37,23.0,8.0
2000-04-02,23,45,21.0,0.0
2000-04-03,24,28,14.0,0.0
2000-04-04,15,26,16.0,0.0
2000-04-05,27,28,16.0,0.0
2000-04-06,31,47,20.0,0.0
2000-04-07,33,43,21.0,2.0
2000-04-08,20,44,17.0,0.0
2000-04-09,9,32,11.0,0.0
2000-04-10,34,34,13.0,0.0
2000-04-11,21,18,6.0,0.0
2000-04-12,32,32,16.0,1.0
2000-04-13,31,33,10.0,3.0
2000-04-14,28,37,4.0,1.0
2000-04-15,19,15,9.0,0.0
2000-04-16,19,37,46.0,0.0
2000-04-17,19,30,1.0,0.0
2000-04-18,15,25,7.0,0.0
2000-04-19,32,34,4.0,1.0
2000-04-20,22,37,16.0,1.0
2000-04-21,17,31,3.0,0.0
2000-04-22,9,24,7.0,0.0
2000-04-23,5,29,3.0,0.0
2000-04-24,35,42,13.0,0.0
2000-04-25,30,26,4.0,0.0
2000-04-26,23,32,9.0,1.0
2000-04-27,25,19,6.0,0.0
2000-04-28,33,31,14.0,2.0
2000-04-29,30,50,9.0,2.0
2000-04-30,33,42,6.0,0.0
2000-05-01,24,58,11.0,1.0
2000-05-02,35,43,7.0,1.0
2000-05-03,27,49,7.0,2.0
2000-05-04,23,61,17.0,0.0
2000-05-05,29,80,31.0,0.0
2000-05-06,24,101,13.0,0.0
2000-05-15,42,47,7.0,1.0
2000-05-16,38,51,13.0,5.0
2000-05-17,29,77,10.0,2.0
2000-05-18,15,93,6.0,1.0
2000-05-19,19,27,4.0,0.0
2000-05-20,17,19,1.0,0.0
2000-05-21,10,22,9.0,0.0
2000-05-22,24,19,9.0,0.0
2000-05-23,17,41,13.0,0.0
2000-05-24,30,54,14.0,0.0
2000-05-25,26,51,14.0,0.0
2000-05-26,33,46,6.0,0.0
2000-05-27,26,29,6.0,0.0
2000-05-28,17,33,1.0,0.0
2000-05-29,22,31,1.0,0.0
2000-05-30,24,25,3.0,2.0
2000-05-31,22,38,6.0,2.0
2000-06-01,35,100,36.0,7.0
2000-06-02,30,140,11.0,9.0
2000-06-03,27,34,4.0,1.0
2000-06-04,19,46,4.0,3.0
2000-06-05,16,30,6.0,0.0
2000-06-06,12,20,13.0,0.0
2000-06-07,37,41,3.0,1.0
2000-06-08,25,64,10.0,1.0
2000-06-09,21,169,31.0,0.0
2000-06-10,19,177,23.0,0.0
2000-06-11,14,137,13.0,0.0
2000-06-12,28,46,30.0,2.0
2000-06-13,10,21,3.0,2.0
2000-06-14,23,10,3.0,3.0
2000-06-15,24,25,16.0,5.0
2000-06-16,14,49,7.0,3.0
2000-06-17,9,42,7.0,2.0
2000-06-18,12,31,3.0,2.0
2000-06-19,25,32,7.0,5.0
2000-06-20,26,74,26.0,8.0
2000-06-21,14,58,16.0,5.0
2000-06-22,20,58,9.0,5.0
2000-06-23,33,46,19.0,5.0
2000-06-24,23,122,21.0,8.0
2000-06-25,7,106,7.0,3.0
2000-06-26,11,61,6.0,3.0
2000-06-27,15,37,52.0,3.0
2000-06-28,21,35,13.0,5.0
2000-06-29,20,45,10.0,6.0
2000-06-30,38,49,21.0,6.0
2000-07-01,33,54,17.0,8.0
2000-07-02,19,71,16.0,8.0
2000-07-03,18,61,9.0,5.0
2000-07-04,11,51,44.0,3.0
2000-07-05,34,54,13.0,2.0
2000-07-06,25,42,6.0,3.0
2000-07-07,18,31,10.0,1.0
2000-07-08,18,38,26.0,3.0
2000-07-09,12,100,20.0,5.0
2000-07-10,19,58,30.0,5.0
2000-07-11,23,43,9.0,2.0
2000-07-12,32,42,1.0,3.0
2000-07-13,26,44,9.0,6.0
2000-07-14,13,49,7.0,3.0
2000-07-15,8,46,6.0,2.0
2000-07-16,18,44,19.0,3.0
2000-07-17,20,51,62.0,3.0
2000-07-18,20,93,19.0,3.0
2000-07-19,16,11,10.0,1.0
2000-07-20,20,46,16.0,2.0
2000-07-21,25,74,20.0,5.0
2000-07-22,25,47,9.0,2.0
2000-07-23,26,41,13.0,5.0
2000-07-24,28,23,11.0,2.0
2000-07-25,23,42,9.0,5.0
2000-07-26,17,14,4.0,1.0
2000-07-27,21,17,7.0,3.0
2000-07-28,14,67,7.0,5.0
2000-07-29,8,48,1.0,1.0
2000-07-30,8,42,6.0,0.0
2000-07-31,9,29,7.0,1.0
2000-08-01,9,47,11.0,1.0
2000-08-02,19,58,23.0,1.0
2000-08-03,23,39,7.0,1.0
2000-08-04,27,37,9.0,1.0
2000-08-05,25,47,3.0,1.0
2000-08-06,17,34,20.0,3.0
2000-08-07,18,49,3.0,1.0
2000-08-08,18,74,19.0,9.0
2000-08-09,15,48,29.0,10.0
2000-08-10,37,51,23.0,13.0
2000-08-11,21,64,17.0,15.0
2000-08-12,8,36,10.0,8.0
2000-08-13,12,25,7.0,9.0
2000-08-14,21,15,6.0,9.0
2000-08-15,17,64,13.0,17.0
2000-08-16,23,46,13.0,17.0
2000-08-17,23,31,33.0,15.0
2000-08-18,15,21,7.0,2.0
2000-08-19,25,36,10.0,5.0
2000-08-20,22,33,11.0,6.0
2000-08-21,32,33,6.0,2.0
2000-08-22,18,71,24.0,3.0
2000-08-23,24,28,19.0,5.0
2000-08-24,31,47,7.0,5.0
2000-08-25,32,42,4.0,3.0
2000-08-26,33,84,11.0,3.0
2000-08-27,19,47,11.0,0.0
2000-08-28,21,46,4.0,0.0
2000-08-29,12,33,4.0,0.0
2000-08-30,13,20,3.0,0.0
2000-08-31,11,28,4.0,0.0
2000-09-01,14,25,3.0,0.0
2000-09-02,5,26,9.0,0.0
2000-09-03,12,28,4.0,0.0
2000-09-04,7,44,11.0,0.0
2000-09-05,25,23,7.0,0.0
2000-09-06,17,27,9.0,0.0
2000-09-07,19,36,10.0,0.0
2000-09-08,22,35,10.0,0.0
2000-09-09,23,93,27.0,0.0
