Date Local,NO2 AQI,O3 AQI,SO2 AQI,CO AQI
2000-03-02,30,12,7.0,1.0
2000-03-03,25,14,11.0,1.0
2000-03-04,30,26,49.0,1.0
2000-03-05,41,32,67.0,1.0
2000-03-06,45,31,46.0,10.0
2000-03-07,50,42,30.0,8.0
2000-03-08,38,74,27.0,1.0
2000-03-09,18,42,17.0,1.0
2000-03-10,24,17,21.0,2.0
2000-03-11,14,19,10.0,1.0
2000-03-12,36,30,3.0,1.0
2000-03-13,35,25,36.0,1.0
2000-03-14,47,36,23.0,3.0
2000-03-15,22,46,17.0,3.0
2000-03-16,25,20,14.0,1.0
2000-03-17,15,25,9.0,1.0
2000-03-18,19,23,9.0,1.0
2000-03-19,18,25,6.0,1.0
2000-03-20,26,25,3.0,2.0
2000-03-21,23,15,11.0,2.0
2000-03-22,24,25,14.0,1.0
2000-03-23,25,22,49.0,1.0
2000-03-24,32,45,51.0,1.0
2000-03-25,10,41,10.0,1.0
2000-03-26,25,43,14.0,1.0
2000-03-27,25,36,10.0,1.0
2000-03-28,27,25,16.0,1.0
2000-04-07,27,36,6.0,3.0
2000-04-08,12,23,0.0,1.0
2000-04-09,13,36,4.0,1.0
2000-04-10,42,42,9.0,3.0
2000-04-11,28,24,23.0,3.0
2000-04-12,18,24,4.0,1.0
2000-04-13,29,21,19.0,1.0
2000-04-14,38,31,21.0,8.0
2000-04-15,32,42,9.0,8.0
2000-04-16,21,36,16.0,1.0
2000-04-17,20,22,6.0,1.0
2000-04-18,20,8,11.0,1.0
2000-04-19,30,28,10.0,1.0
2000-04-20,12,44,13.0,1.0
2000-04-21,8,20,4.0,1.0
2000-04-22,24,30,10.0,1.0
2000-04-23,21,49,24.0,1.0
2000-04-24,18,30,9.0,1.0
2000-04-25,42,32,14.0,1.0
2000-04-26,46,40,13.0,8.0
2000-04-27,45,49,14.0,9.0
2000-05-02,27,38,10.0,1.0
2000-05-03,29,48,16.0,1.0
2000-05-04,18,39,13.0,1.0
2000-05-05,39,45,10.0,11.0
2000-05-06,38,67,29.0,13.0
2000-05-07,36,45,13.0,6.0
2000-05-08,16,38,20.0,1.0
2000-05-09,11,38,10.0,1.0
2000-05-10,45,43,6.0,5.0
2000-05-11,45,40,7.0,6.0
2000-05-19,12,36,9.0,1.0
2000-05-20,10,31,6.0,1.0
2000-05-21,20,39,20.0,1.0
2000-05-22,27,47,14.0,1.0
2000-05-23,20,32,7.0,1.0
2000-05-24,13,64,6.0,1.0
2000-05-25,43,44,10.0,3.0
2000-05-26,54,42,6.0,7.0
2000-05-27,10,35,4.0,1.0
2000-05-28,10,36,6.0,1.0
2000-05-29,17,29,7.0,1.0
2000-05-30,30,42,4.0,2.0
2000-05-31,30,74,16.0,2.0
2000-06-01,43,104,6.0,5.0
2000-06-02,24,77,6.0,1.0
2000-06-03,11,45,13.0,1.0
2000-06-04,25,87,9.0,1.0
2000-06-05,33,45,16.0,2.0
2000-06-06,40,38,10.0,1.0
2000-06-07,41,50,16.0,8.0
2000-06-08,27,71,10.0,1.0
2000-06-09,33,122,21.0,1.0
2000-06-10,14,71,26.0,1.0
2000-06-11,22,54,13.0,1.0
2000-06-12,24,51,7.0,1.0
2000-06-13,23,61,19.0,1.0
2000-06-14,12,37,20.0,1.0
2000-06-15,8,32,10.0,1.0
2000-06-16,7,30,19.0,1.0
2000-06-17,18,23,6.0,2.0
2000-06-18,8,21,7.0,1.0
2000-06-19,13,33,46.0,1.0
2000-06-20,15,25,31.0,1.0
2000-06-21,15,40,16.0,1.0
2000-06-22,16,48,16.0,1.0
2000-06-23,27,49,17.0,1.0
2000-06-24,17,80,31.0,1.0
2000-06-25,35,36,11.0,3.0
2000-06-26,30,36,14.0,6.0
2000-06-27,23,19,16.0,1.0
2000-06-28,25,25,17.0,6.0
2000-06-29,30,46,7.0,2.0
2000-06-30,31,48,10.0,3.0
2000-07-01,52,84,11.0,9.0
2000-07-02,54,77,20.0,10.0
2000-07-03,21,50,21.0,1.0
2000-07-04,13,33,6.0,1.0
2000-07-05,20,30,7.0,1.0
2000-07-06,17,44,20.0,1.0
2000-07-07,15,35,27.0,1.0
2000-07-08,28,74,11.0,2.0
2000-07-09,18,74,16.0,2.0
2000-07-10,12,47,9.0,1.0
2000-07-11,28,48,7.0,2.0
2000-07-12,14,39,13.0,1.0
2000-07-13,27,97,23.0,2.0
2000-07-14,31,80,11.0,2.0
2000-07-15,11,37,6.0,1.0
2000-07-16,21,47,19.0,1.0
2000-07-17,27,67,19.0,1.0
2000-07-18,36,46,26.0,2.0
2000-07-19,23,36,19.0,1.0
2000-07-20,43,34,17.0,2.0
2000-07-21,43,36,19.0,2.0
2000-07-22,19,41,13.0,1.0
2000-07-23,17,44,29.0,1.0
2000-07-24,13,47,29.0,1.0
2000-07-25,27,41,21.0,1.0
2000-07-26,25,54,17.0,1.0
2000-07-27,43,104,17.0,2.0
2000-07-28,25,47,11.0,2.0
2000-07-29,20,34,7.0,2.0
2000-07-30,11,37,13.0,1.0
2000-07-31,20,42,47.0,2.0
2000-08-01,19,47,10.0,2.0
2000-08-02,20,49,11.0,1.0
2000-08-03,16,39,11.0,1.0
2000-08-04,20,42,9.0,1.0
2000-08-05,13,61,20.0,1.0
2000-08-06,12,47,17.0,1.0
2000-08-07,18,47,13.0,1.0
2000-08-08,32,28,16.0,2.0
2000-08-09,13,61,13.0,1.0
2000-08-10,39,39,14.0,1.0
2000-08-11,32,43,13.0,2.0
2000-08-12,24,41,16.0,1.0
2000-08-13,37,41,11.0,1.0
2000-08-14,56,77,14.0,5.0
2000-08-15,44,61,11.0,6.0
2000-08-16,30,64,17.0,2.0
2000-08-17,25,49,20.0,2.0
2000-08-18,18,32,11.0,1.0
2000-08-19,19,43,13.0,1.0
2000-08-20,10,39,29.0,1.0
2000-08-21,29,45,13.0,1.0
2000-08-22,21,47,33.0,1.0
2000-08-23,24,33,14.0,2.0
2000-08-24,26,37,13.0,2.0
2000-08-25,28,45,27.0,1.0
2000-08-26,30,47,10.0,5.0
2000-08-27,24,46,14.0,3.0
2000-08-28,28,51,17.0,2.0
2000-08-29,29,54,11.0,1.0
2000-08-30,21,40,7.0,1.0
2000-08-31,17,25,7.0,1.0
2000-09-01,23,28,9.0,2.0
2000-09-02,24,33,30.0,1.0
2000-09-03,31,44,26.0,2.0
