Date Local,NO2 AQI,O3 AQI,SO2 AQI,CO AQI
2000-01-01,24,28,1.0,7.0
2000-01-02,12,32,3.0,2.0
2000-01-03,25,30,1.0,7.0
2000-01-04,18,28,1.0,8.0
2000-01-05,11,29,1.0,3.0
2000-01-06,27,25,3.0,11.0
2000-01-07,27,21,1.0,15.0
2000-01-08,24,30,0.0,11.0
2000-01-09,14,30,0.0,3.0
2000-01-10,8,26,0.0,2.0
2000-01-11,15,19,0.0,3.0
2000-01-12,14,21,0.0,5.0
2000-01-13,25,19,1.0,9.0
2000-01-14,23,14,3.0,17.0
2000-01-15,21,18,3.0,14.0
2000-01-16,26,25,4.0,6.0
2000-01-17,19,14,1.0,7.0
2000-01-18,15,17,3.0,6.0
2000-01-19,17,14,3.0,7.0
2000-01-20,12,23,1.0,7.0
2000-01-21,19,24,1.0,11.0
2000-01-22,17,16,3.0,8.0
2000-01-23,15,14,6.0,6.0
2000-01-24,8,23,1.0,2.0
2000-01-25,15,28,3.0,5.0
2000-01-26,11,29,0.0,5.0
2000-01-27,13,27,1.0,14.0
2000-01-28,19,25,3.0,7.0
2000-01-29,9,35,3.0,5.0
2000-01-30,19,36,1.0,7.0
2000-01-31,12,31,1.0,7.0
2000-02-01,21,29,1.0,10.0
2000-02-02,21,45,3.0,10.0
2000-02-03,17,41,1.0,2.0
2000-02-04,17,38,3.0,5.0
2000-02-05,15,36,1.0,5.0
2000-02-06,7,40,3.0,5.0
2000-02-07,10,35,1.0,3.0
2000-02-08,19,38,3.0,7.0
2000-02-09,9,39,6.0,3.0
2000-02-10,17,44,1.0,2.0
2000-02-11,10,39,0.0,2.0
2000-02-12,21,31,0.0,5.0
2000-02-13,5,34,0.0,5.0
2000-02-14,24,30,0.0,7.0
2000-02-15,14,25,1.0,9.0
2000-02-16,25,35,0.0,5.0
2000-02-17,18,34,0.0,10.0
2000-02-18,28,32,3.0,6.0
2000-02-19,16,42,0.0,7.0
2000-02-20,4,42,0.0,2.0
2000-02-21,17,39,0.0,2.0
2000-02-22,14,37,1.0,2.0
2000-02-23,18,36,0.0,3.0
2000-02-24,17,34,1.0,9.0
2000-02-25,12,31,3.0,3.0
2000-02-26,15,33,3.0,3.0
2000-02-27,10,38,3.0,5.0
2000-02-28,24,35,0.0,7.0
2000-02-29,27,32,0.0,6.0
2000-03-01,25,36,1.0,7.0
2000-03-02,17,33,0.0,5.0
2000-03-03,21,31,0.0,5.0
2000-03-04,14,33,1.0,5.0
2000-03-05,11,38,0.0,2.0
2000-03-06,13,34,0.0,2.0
2000-03-07,13,38,1.0,3.0
2000-03-08,25,36,0.0,5.0
2000-03-09,8,40,1.0,3.0
2000-03-10,22,36,1.0,7.0
2000-03-11,18,37,1.0,8.0
2000-03-12,12,36,0.0,3.0
2000-03-13,18,39,0.0,7.0
2000-03-14,11,29,0.0,5.0
2000-03-17,14,38,0.0,3.0
2000-03-18,21,44,0.0,7.0
2000-03-19,11,37,0.0,3.0
2000-03-20,16,37,1.0,3.0
2000-03-21,22,40,0.0,8.0
2000-03-22,21,45,1.0,5.0
2000-03-23,22,42,3.0,6.0
2000-03-24,11,37,0.0,3.0
2000-03-25,15,41,1.0,3.0
2000-03-26,11,38,1.0,5.0
2000-03-27,8,37,1.0,2.0
2000-03-28,10,36,0.0,2.0
2000-03-29,8,38,0.0,2.0
2000-03-30,14,43,0.0,2.0
2000-03-31,42,50,0.0,7.0
2000-04-01,19,50,1.0,6.0
2000-04-02,16,51,1.0,5.0
2000-04-03,15,39,0.0,5.0
2000-04-04,8,35,0.0,2.0
2000-04-05,7,34,0.0,3.0
2000-04-06,8,37,0.0,2.0
2000-04-07,8,39,0.0,2.0
2000-04-08,6,36,1.0,2.0
2000-04-09,4,34,0.0,2.0
2000-04-10,6,36,0.0,2.0
2000-04-11,14,33,3.0,2.0
2000-04-12,15,39,1.0,6.0
2000-04-13,16,31,1.0,6.0
2000-04-14,16,30,0.0,3.0
2000-04-15,7,31,1.0,2.0
2000-04-16,5,33,6.0,1.0
2000-04-17,18,39,1.0,5.0
2000-04-18,13,41,0.0,2.0
2000-04-19,14,44,3.0,9.0
2000-04-20,16,41,1.0,6.0
2000-04-21,11,37,0.0,2.0
2000-04-22,4,36,0.0,2.0
2000-04-23,4,40,0.0,1.0
2000-04-24,8,42,1.0,2.0
2000-04-25,7,41,0.0,2.0
2000-04-26,18,40,0.0,7.0
2000-04-27,14,39,3.0,5.0
2000-04-28,7,35,0.0,2.0
2000-04-29,7,36,0.0,3.0
2000-04-30,8,42,1.0,3.0
2000-05-01,9,38,1.0,3.0
2000-05-02,22,31,1.0,6.0
2000-05-03,8,42,0.0,2.0
2000-05-04,7,41,0.0,2.0
2000-05-05,13,37,0.0,3.0
2000-05-06,5,39,0.0,3.0
2000-05-07,9,31,1.0,2.0
2000-05-08,6,25,0.0,2.0
2000-05-09,5,34,0.0,2.0
2000-05-10,4,40,0.0,2.0
2000-05-11,11,38,1.0,3.0
2000-05-12,19,42,0.0,6.0
2000-05-13,8,39,1.0,2.0
2000-05-14,9,37,1.0,2.0
2000-05-15,9,36,1.0,2.0
2000-05-16,16,41,1.0,3.0
2000-05-17,8,37,0.0,3.0
2000-05-18,8,38,0.0,3.0
2000-05-19,9,37,1.0,3.0
2000-05-20,10,39,0.0,5.0
2000-05-21,8,61,1.0,3.0
2000-05-22,15,48,1.0,5.0
2000-05-23,11,74,0.0,5.0
2000-05-24,11,43,0.0,5.0
2000-05-25,7,41,0.0,2.0
2000-05-26,5,31,0.0,1.0
2000-05-27,9,25,0.0,10.0
2000-05-28,4,32,0.0,1.0
2000-05-29,5,36,0.0,1.0
2000-05-30,6,38,0.0,1.0
2000-05-31,8,42,1.0,3.0
2000-06-01,17,42,1.0,6.0
2000-06-02,8,42,1.0,2.0
2000-06-03,6,39,0.0,2.0
2000-06-04,4,39,0.0,1.0
2000-06-05,7,35,0.0,1.0
2000-06-06,6,29,0.0,2.0
2000-06-07,6,25,0.0,2.0
2000-06-08,6,32,0.0,2.0
2000-06-09,5,30,0.0,2.0
2000-06-10,3,33,0.0,2.0
2000-06-11,7,32,0.0,1.0
2000-06-12,10,25,0.0,2.0
2000-06-13,12,31,0.0,3.0
2000-06-14,15,37,1.0,5.0
2000-06-15,9,31,1.0,3.0
2000-06-16,6,31,0.0,2.0
2000-06-17,2,32,0.0,2.0
2000-06-18,5,28,0.0,1.0
2000-06-19,6,31,0.0,1.0
2000-06-20,11,35,0.0,2.0
2000-06-21,8,31,0.0,3.0
2000-06-22,6,37,1.0,3.0
2000-06-23,11,33,0.0,2.0
2000-06-24,6,37,0.0,3.0
2000-06-25,5,36,0.0,3.0
2000-06-26,6,29,0.0,1.0
2000-06-27,5,34,0.0,2.0
2000-06-28,6,30,0.0,2.0
2000-06-29,5,34,0.0,2.0
2000-06-30,6,29,0.0,2.0
2000-07-01,5,24,0.0,2.0
2000-07-02,3,28,0.0,1.0
2000-07-03,5,27,0.0,1.0
2000-07-04,4,23,0.0,5.0
2000-07-05,4,19,0.0,1.0
2000-07-06,5,19,0.0,1.0
2000-07-07,6,23,0.0,1.0
2000-07-08,3,29,0.0,1.0
2000-07-09,3,31,0.0,1.0
2000-07-10,7,29,0.0,1.0
2000-07-11,10,34,0.0,1.0
2000-07-12,7,35,0.0,2.0
2000-07-13,12,29,0.0,5.0
2000-07-14,12,28,0.0,8.0
2000-07-15,4,26,0.0,3.0
2000-07-16,4,26,0.0,3.0
2000-07-17,5,27,0.0,2.0
2000-07-18,6,29,0.0,2.0
2000-07-19,8,27,0.0,1.0
2000-07-20,5,28,0.0,2.0
2000-07-21,11,23,1.0,14.0
2000-07-22,4,25,0.0,9.0
2000-07-23,7,31,1.0,2.0
2000-07-24,5,27,0.0,2.0
2000-07-25,5,25,0.0,2.0
2000-07-26,6,23,0.0,2.0
2000-07-27,6,25,0.0,1.0
2000-07-28,15,22,1.0,11.0
2000-07-29,4,19,0.0,6.0
2000-07-30,4,19,0.0,1.0
2000-07-31,5,26,0.0,1.0
2000-08-01,11,36,1.0,3.0
2000-08-02,8,25,1.0,2.0
2000-08-03,6,25,0.0,2.0
2000-08-04,12,28,1.0,7.0
2000-08-05,5,30,0.0,5.0
2000-08-06,4,29,0.0,1.0
2000-08-07,6,25,0.0,1.0
2000-08-08,5,27,0.0,1.0
2000-08-09,6,25,0.0,0.0
2000-08-10,8,23,0.0,2.0
2000-08-11,8,31,0.0,7.0
2000-08-12,8,29,0.0,5.0
2000-08-13,4,30,1.0,1.0
2000-08-14,9,26,0.0,3.0
2000-08-15,7,30,0.0,2.0
2000-08-16,11,31,0.0,3.0
2000-08-17,10,33,0.0,3.0
2000-08-18,12,28,1.0,8.0
2000-08-19,5,22,0.0,5.0
2000-08-20,3,25,0.0,1.0
2000-08-21,6,26,0.0,2.0
2000-08-22,6,25,0.0,2.0
2000-08-23,8,31,0.0,2.0
2000-08-24,7,33,0.0,2.0
2000-08-25,14,27,1.0,9.0
2000-08-26,7,24,0.0,6.0
2000-08-27,2,27,0.0,3.0
2000-08-28,8,28,0.0,2.0
2000-08-29,5,28,1.0,1.0
2000-08-30,6,28,7.0,2.0
2000-08-31,9,24,0.0,2.0
2000-09-01,9,22,0.0,2.0
2000-09-02,7,22,0.0,1.0
2000-09-03,7,28,0.0,1.0
2000-09-04,5,28,4.0,0.0
2000-09-05,15,32,0.0,6.0
2000-09-06,25,43,0.0,9.0
2000-09-07,20,29,0.0,7.0
2000-09-08,12,36,1.0,9.0
2000-09-09,5,29,0.0,6.0
2000-09-10,5,29,0.0,1.0
2000-09-11,11,31,0.0,3.0
2000-09-12,21,28,10.0,7.0
2000-09-13,21,48,3.0,6.0
2000-09-14,12,25,1.0,3.0
2000-09-15,8,25,0.0,6.0
2000-09-16,4,27,0.0,5.0
2000-09-17,11,41,3.0,3.0
