Date Local,NO2 AQI,O3 AQI,SO2 AQI,CO AQI
2000-01-01,42,13,4.0,23.0
2000-01-02,43,28,3.0,7.0
2000-01-03,61,8,6.0,26.0
2000-01-04,68,8,6.0,33.0
2000-01-05,101,5,39.0,44.0
2000-01-06,71,9,16.0,31.0
2000-01-07,83,4,9.0,28.0
2000-01-08,73,8,6.0,42.0
2000-01-09,78,6,64.0,35.0
2000-01-10,78,5,3.0,32.0
2000-01-11,78,3,6.0,11.0
2000-01-12,60,4,7.0,13.0
2000-01-13,97,6,7.0,41.0
2000-01-14,106,5,11.0,38.0
2000-01-15,72,9,7.0,48.0
2000-01-16,55,8,13.0,14.0
2000-01-17,84,1,6.0,62.0
2000-01-18,53,8,6.0,63.0
2000-01-19,64,8,4.0,30.0
2000-01-20,32,9,16.0,9.0
2000-01-21,42,14,9.0,13.0
2000-01-22,41,14,6.0,13.0
2000-01-23,62,8,3.0,28.0
2000-01-24,104,4,14.0,42.0
2000-01-25,41,8,3.0,19.0
2000-01-26,42,17,4.0,13.0
2000-01-27,51,10,13.0,15.0
2000-01-28,89,8,20.0,30.0
2000-01-29,54,19,19.0,13.0
2000-01-30,37,25,3.0,1.0
2000-01-31,45,14,14.0,11.0
2000-02-01,65,8,14.0,27.0
2000-02-02,63,15,10.0,41.0
2000-02-03,61,18,7.0,27.0
2000-02-04,51,14,6.0,15.0
2000-02-05,43,21,9.0,9.0
2000-02-06,49,29,4.0,18.0
2000-02-07,95,14,19.0,28.0
2000-02-08,76,8,21.0,26.0
2000-02-09,51,14,6.0,20.0
2000-02-10,28,17,3.0,6.0
2000-02-11,47,24,7.0,15.0
2000-02-12,22,28,4.0,7.0
2000-02-13,21,24,1.0,3.0
2000-02-14,32,13,14.0,6.0
2000-02-15,44,10,14.0,11.0
2000-02-16,43,20,4.0,9.0
2000-02-17,40,25,3.0,11.0
2000-02-18,57,7,4.0,24.0
2000-02-19,43,30,1.0,19.0
2000-02-20,12,30,1.0,3.0
2000-02-21,38,25,1.0,10.0
2000-02-22,44,12,1.0,18.0
2000-02-23,37,17,1.0,16.0
2000-02-24,40,21,1.0,14.0
2000-02-25,40,20,9.0,14.0
2000-02-26,40,22,9.0,14.0
2000-02-27,34,23,3.0,9.0
2000-02-28,41,16,6.0,17.0
2000-02-29,61,19,13.0,22.0
2000-03-01,57,23,6.0,7.0
2000-03-02,74,21,11.0,25.0
2000-03-03,34,27,3.0,1.0
2000-03-04,42,23,6.0,7.0
2000-03-05,22,30,13.0,0.0
2000-03-06,43,28,7.0,9.0
2000-03-07,39,21,3.0,15.0
2000-03-08,36,23,3.0,1.0
2000-03-09,38,25,3.0,7.0
2000-03-10,56,24,4.0,19.0
2000-03-11,56,33,6.0,19.0
2000-03-12,37,30,7.0,16.0
2000-03-13,38,30,14.0,7.0
2000-03-14,96,67,30.0,16.0
2000-03-15,51,71,13.0,2.0
2000-03-16,62,43,11.0,7.0
2000-03-17,54,37,14.0,15.0
2000-03-18,57,43,24.0,17.0
2000-03-19,56,36,20.0,17.0
2000-03-20,41,35,7.0,2.0
2000-03-21,47,26,17.0,7.0
2000-03-22,54,26,29.0,8.0
2000-03-23,42,30,16.0,8.0
2000-03-24,39,30,4.0,2.0
2000-03-25,40,35,10.0,3.0
2000-03-26,40,36,23.0,5.0
2000-03-27,46,26,7.0,1.0
2000-03-28,40,23,10.0,5.0
2000-03-29,41,29,4.0,2.0
2000-03-30,44,33,10.0,9.0
2000-03-31,45,37,7.0,8.0
2000-04-01,74,42,14.0,5.0
2000-04-02,74,46,6.0,3.0
2000-04-03,74,28,9.0,6.0
2000-04-04,74,37,17.0,9.0
2000-04-05,36,35,11.0,6.0
2000-04-06,33,36,3.0,7.0
2000-04-07,40,41,10.0,8.0
2000-04-08,66,38,24.0,14.0
2000-04-09,38,35,10.0,6.0
2000-04-10,38,31,7.0,8.0
2000-04-11,50,31,21.0,13.0
2000-04-12,54,31,19.0,14.0
2000-04-13,40,30,10.0,8.0
2000-04-14,29,28,3.0,2.0
2000-04-15,28,26,9.0,2.0
2000-04-16,21,29,4.0,1.0
2000-04-17,43,19,3.0,8.0
2000-04-18,35,31,7.0,6.0
2000-04-19,41,28,17.0,11.0
2000-04-20,73,37,19.0,17.0
2000-04-21,24,35,6.0,5.0
2000-04-22,34,37,1.0,3.0
2000-04-23,36,36,3.0,8.0
2000-04-24,49,31,14.0,15.0
2000-04-25,63,42,29.0,11.0
2000-04-26,60,67,16.0,9.0
2000-04-27,30,37,4.0,2.0
2000-04-28,40,41,3.0,2.0
2000-04-29,46,44,4.0,6.0
2000-04-30,42,51,23.0,3.0
2000-05-01,57,43,13.0,3.0
