Date Local,NO2 AQI,O3 AQI,SO2 AQI,CO AQI
2000-03-01,45,23,0.0,18.0
2000-03-02,52,21,1.0,25.0
2000-03-03,40,21,4.0,11.0
2000-03-04,40,25,4.0,11.0
2000-03-05,40,27,3.0,9.0
2000-03-06,42,21,4.0,16.0
2000-03-07,42,17,7.0,23.0
2000-03-08,35,17,3.0,14.0
2000-03-09,42,25,4.0,22.0
2000-03-10,56,23,7.0,26.0
2000-03-11,54,30,9.0,30.0
2000-03-12,65,28,7.0,34.0
2000-03-13,63,22,3.0,17.0
2000-03-14,104,35,7.0,34.0
2000-03-15,80,36,3.0,23.0
2000-03-16,49,36,1.0,13.0
2000-03-17,71,31,3.0,28.0
2000-03-18,90,48,7.0,32.0
2000-03-19,84,46,6.0,27.0
2000-03-20,33,33,3.0,8.0
2000-03-21,55,31,4.0,9.0
2000-03-22,54,29,7.0,17.0
2000-03-23,54,30,7.0,17.0
2000-03-24,84,25,4.0,19.0
2000-03-25,42,36,4.0,18.0
2000-03-26,48,42,3.0,16.0
2000-03-27,45,22,3.0,13.0
2000-03-28,46,25,3.0,8.0
2000-03-29,45,28,3.0,9.0
2000-03-30,51,32,6.0,18.0
2000-03-31,46,37,7.0,25.0
2000-04-01,54,40,3.0,6.0
2000-04-02,54,45,9.0,16.0
2000-04-03,54,30,3.0,14.0
2000-04-04,54,40,6.0,28.0
2000-04-05,54,21,6.0,13.0
2000-04-06,40,31,3.0,9.0
2000-04-07,63,36,1.0,13.0
2000-04-08,99,38,4.0,24.0
2000-04-09,47,34,6.0,14.0
2000-04-10,60,27,3.0,15.0
2000-04-11,102,38,6.0,25.0
2000-04-12,105,42,6.0,31.0
2000-04-13,79,25,6.0,19.0
2000-04-14,41,26,3.0,8.0
2000-04-15,36,25,3.0,7.0
2000-04-16,37,31,3.0,8.0
2000-04-17,51,12,3.0,9.0
2000-04-18,46,34,3.0,9.0
2000-04-19,45,28,4.0,13.0
2000-04-20,67,37,6.0,23.0
2000-04-21,49,31,3.0,14.0
2000-04-22,44,36,1.0,8.0
2000-04-23,42,38,3.0,14.0
2000-04-24,69,34,4.0,18.0
2000-04-25,101,40,6.0,23.0
2000-04-26,102,64,6.0,28.0
2000-04-27,101,43,4.0,19.0
2000-04-28,49,31,3.0,9.0
2000-04-29,62,42,3.0,16.0
2000-04-30,77,58,4.0,25.0
2000-05-01,89,43,7.0,22.0
2000-05-02,84,45,4.0,18.0
2000-05-03,54,44,4.0,14.0
2000-05-04,51,51,1.0,10.0
2000-05-05,49,42,1.0,11.0
2000-05-06,44,45,3.0,8.0
2000-05-07,37,38,4.0,8.0
2000-05-08,32,21,1.0,7.0
2000-05-09,46,23,1.0,8.0
2000-05-10,40,31,1.0,8.0
2000-05-11,47,38,3.0,8.0
2000-05-12,72,40,6.0,16.0
2000-05-13,70,47,7.0,19.0
2000-05-14,45,40,4.0,13.0
2000-05-15,67,26,6.0,17.0
2000-05-16,39,32,3.0,5.0
2000-05-17,52,34,100.0,10.0
2000-05-18,68,39,6.0,16.0
2000-05-19,100,47,6.0,23.0
2000-05-20,101,124,6.0,20.0
2000-05-21,63,87,1.0,14.0
2000-05-22,79,35,11.0,17.0
2000-05-23,49,25,1.0,8.0
2000-05-24,41,19,3.0,8.0
2000-05-25,27,29,0.0,6.0
2000-05-26,49,36,3.0,16.0
2000-05-27,73,140,4.0,30.0
2000-05-28,56,169,3.0,22.0
2000-05-29,44,104,6.0,11.0
2000-05-30,46,43,3.0,10.0
2000-05-31,34,43,0.0,7.0
2000-06-01,52,48,1.0,10.0
2000-06-02,66,67,1.0,13.0
2000-06-03,51,101,0.0,11.0
2000-06-04,64,84,3.0,18.0
2000-06-05,56,30,6.0,10.0
2000-06-06,73,45,7.0,16.0
2000-06-07,68,34,6.0,16.0
2000-06-08,41,23,1.0,6.0
2000-06-09,33,36,4.0,8.0
2000-06-10,41,48,6.0,15.0
2000-06-11,45,64,4.0,11.0
2000-06-12,85,47,4.0,16.0
2000-06-13,62,40,6.0,14.0
2000-06-14,65,26,6.0,13.0
2000-06-15,58,42,3.0,13.0
2000-06-16,40,26,3.0,7.0
2000-06-17,28,35,1.0,7.0
2000-06-18,20,33,1.0,6.0
2000-06-19,37,31,1.0,8.0
2000-06-20,42,40,1.0,8.0
2000-06-21,54,40,1.0,11.0
2000-06-22,47,35,3.0,11.0
2000-06-23,33,31,1.0,7.0
2000-06-24,36,38,1.0,7.0
2000-06-25,46,47,3.0,8.0
2000-06-26,66,35,6.0,16.0
2000-06-27,56,32,7.0,14.0
2000-06-28,63,41,3.0,14.0
2000-06-29,51,42,3.0,10.0
2000-06-30,48,43,1.0,10.0
2000-07-01,34,46,3.0,7.0
2000-07-02,23,51,1.0,6.0
2000-07-03,26,35,1.0,5.0
2000-07-04,34,43,3.0,5.0
2000-07-05,42,35,4.0,10.0
2000-07-06,39,26,11.0,11.0
2000-07-07,42,30,13.0,11.0
2000-07-08,38,40,13.0,9.0
2000-07-09,39,34,13.0,10.0
2000-07-10,36,35,11.0,6.0
2000-07-11,43,34,1.0,8.0
2000-07-12,34,39,6.0,8.0
2000-07-13,50,35,9.0,14.0
2000-07-14,66,40,10.0,18.0
2000-07-15,36,35,7.0,7.0
2000-07-16,32,38,9.0,8.0
2000-07-17,64,33,11.0,15.0
2000-07-18,102,40,6.0,28.0
2000-07-19,103,46,10.0,27.0
2000-07-20,89,43,10.0,22.0
2000-07-21,46,40,4.0,10.0
2000-07-22,60,58,4.0,17.0
