Date Local,NO2 AQI,O3 AQI,SO2 AQI,CO AQI
2000-01-01,35,7,26.0,38.0
2000-01-02,24,14,14.0,19.0
2000-01-03,34,11,24.0,19.0
2000-01-04,22,10,11.0,18.0
2000-01-05,29,13,21.0,18.0
2000-01-06,30,7,41.0,26.0
2000-01-07,32,11,23.0,28.0
2000-01-08,28,6,40.0,18.0
2000-01-09,25,3,23.0,28.0
2000-01-10,29,9,11.0,28.0
2000-01-11,28,13,4.0,19.0
2000-01-12,33,10,7.0,31.0
2000-01-13,30,12,7.0,30.0
2000-01-14,13,15,11.0,15.0
2000-01-15,25,8,10.0,16.0
2000-01-16,19,16,9.0,16.0
2000-01-17,12,16,11.0,15.0
2000-01-18,33,9,13.0,19.0
2000-01-19,26,6,11.0,27.0
2000-01-20,38,14,10.0,28.0
2000-01-21,21,16,26.0,22.0
2000-01-22,33,19,29.0,23.0
2000-01-23,32,9,50.0,23.0
2000-01-24,32,12,50.0,22.0
2000-01-25,22,20,44.0,19.0
2000-01-26,21,20,31.0,20.0
2000-01-27,22,23,26.0,25.0
2000-01-28,27,22,34.0,24.0
2000-01-29,47,24,44.0,27.0
2000-01-30,48,5,44.0,34.0
2000-01-31,37,18,29.0,28.0
2000-02-01,37,22,20.0,31.0
2000-02-09,50,20,37.0,16.0
2000-02-10,70,19,39.0,18.0
2000-02-11,48,25,29.0,9.0
2000-02-12,41,27,41.0,11.0
2000-02-13,39,16,21.0,16.0
2000-02-14,39,19,21.0,7.0
2000-02-15,42,28,19.0,15.0
2000-02-16,39,27,23.0,16.0
2000-02-17,45,34,34.0,7.0
2000-02-18,39,21,23.0,9.0
2000-02-19,21,21,23.0,8.0
2000-02-20,13,31,20.0,6.0
2000-02-21,36,29,31.0,11.0
2000-02-22,34,23,50.0,13.0
2000-02-23,46,19,26.0,17.0
2000-02-24,51,20,20.0,18.0
2000-02-25,53,33,16.0,14.0
2000-02-26,23,20,24.0,11.0
2000-02-27,23,31,14.0,10.0
2000-02-28,23,33,14.0,9.0
2000-02-29,35,34,31.0,33.0
2000-03-01,47,25,30.0,40.0
2000-03-02,14,27,21.0,16.0
2000-03-03,32,33,27.0,5.0
2000-03-04,39,37,11.0,10.0
2000-03-05,35,38,24.0,16.0
2000-03-06,40,38,16.0,14.0
2000-03-07,52,26,14.0,19.0
2000-03-08,58,50,26.0,23.0
2000-03-09,53,36,16.0,24.0
2000-03-10,38,31,26.0,8.0
2000-03-11,29,20,23.0,9.0
2000-03-12,21,34,33.0,10.0
2000-03-13,41,34,47.0,10.0
2000-03-14,51,30,44.0,13.0
2000-03-15,51,42,40.0,13.0
2000-03-16,48,27,30.0,13.0
2000-03-17,19,36,29.0,11.0
2000-03-18,16,32,49.0,11.0
2000-03-19,19,33,36.0,11.0
2000-03-20,20,31,36.0,13.0
2000-03-21,32,18,34.0,11.0
2000-03-22,28,14,27.0,11.0
2000-03-23,35,24,30.0,15.0
2000-03-24,52,29,30.0,18.0
2000-03-25,40,33,19.0,8.0
2000-03-26,43,47,11.0,9.0
2000-03-27,46,34,14.0,14.0
2000-03-28,36,27,26.0,8.0
2000-03-29,35,35,20.0,10.0
2000-03-30,36,36,20.0,13.0
2000-03-31,43,40,23.0,18.0
2000-04-01,42,43,27.0,19.0
2000-04-02,25,42,17.0,8.0
2000-04-03,32,25,11.0,9.0
2000-04-04,32,30,10.0,8.0
2000-04-05,46,36,19.0,13.0
2000-04-06,43,49,17.0,14.0
2000-04-07,47,47,33.0,11.0
2000-04-08,18,43,10.0,8.0
2000-04-09,17,36,21.0,8.0
2000-04-10,40,38,23.0,10.0
2000-04-11,49,25,36.0,11.0
2000-04-12,33,34,19.0,11.0
2000-04-13,40,31,41.0,10.0
2000-04-14,50,30,27.0,13.0
2000-04-15,47,10,17.0,13.0
2000-04-16,42,42,10.0,10.0
2000-04-17,24,27,19.0,10.0
2000-04-18,27,25,17.0,10.0
2000-04-19,41,37,10.0,14.0
2000-04-20,33,36,27.0,16.0
2000-04-21,31,25,9.0,11.0
2000-04-22,16,24,16.0,9.0
2000-04-23,28,31,14.0,10.0
2000-04-24,45,42,13.0,13.0
2000-04-25,41,25,17.0,14.0
2000-04-26,40,29,36.0,17.0
2000-04-27,36,25,39.0,11.0
2000-04-28,47,26,19.0,14.0
2000-04-29,55,51,11.0,15.0
2000-04-30,42,49,14.0,15.0
2000-05-01,38,50,13.0,18.0
2000-05-02,40,47,11.0,11.0
2000-05-03,35,49,21.0,9.0
2000-05-04,48,54,19.0,6.0
2000-05-05,57,61,17.0,6.0
2000-05-06,63,101,14.0,6.0
2000-05-07,43,100,37.0,7.0
2000-05-08,43,97,14.0,6.0
2000-05-09,50,48,9.0,7.0
2000-05-10,48,42,10.0,7.0
2000-05-11,46,49,11.0,6.0
2000-05-12,56,39,11.0,9.0
2000-05-13,33,50,33.0,8.0
2000-05-14,34,51,20.0,3.0
2000-05-15,46,49,24.0,6.0
2000-05-16,38,46,16.0,8.0
2000-05-17,43,77,21.0,7.0
2000-05-18,35,67,7.0,7.0
2000-05-19,48,44,9.0,10.0
2000-05-20,21,21,4.0,7.0
2000-05-21,21,20,10.0,6.0
2000-05-22,24,26,9.0,6.0
2000-05-23,36,27,17.0,8.0
2000-05-24,40,41,10.0,8.0
2000-05-25,41,38,14.0,8.0
2000-05-26,45,54,17.0,8.0
2000-05-27,39,18,30.0,11.0
2000-05-28,15,31,20.0,7.0
2000-05-29,14,25,20.0,7.0
2000-05-30,27,22,26.0,8.0
2000-05-31,51,23,36.0,10.0
2000-06-01,69,71,23.0,13.0
2000-06-02,52,100,23.0,13.0
2000-06-03,31,43,23.0,14.0
2000-06-05,20,27,21.0,7.0
2000-06-06,19,26,16.0,7.0
2000-06-07,55,45,11.0,7.0
2000-06-08,40,47,7.0,7.0
2000-06-09,55,142,9.0,7.0
2000-06-10,42,164,6.0,7.0
2000-06-11,24,116,4.0,6.0
2000-06-12,43,116,7.0,8.0
2000-06-13,31,19,36.0,9.0
2000-06-14,27,19,11.0,7.0
2000-06-15,25,35,7.0,8.0
2000-06-16,25,34,3.0,7.0
2000-06-17,25,34,3.0,6.0
2000-06-18,20,32,10.0,7.0
2000-06-19,21,22,3.0,7.0
2000-06-20,32,47,21.0,8.0
2000-06-21,29,40,20.0,8.0
2000-06-22,54,39,50.0,8.0
2000-06-23,53,71,74.0,10.0
2000-06-24,43,114,81.0,16.0
2000-06-25,16,97,16.0,7.0
2000-06-26,35,43,4.0,9.0
2000-06-27,40,32,11.0,9.0
2000-06-28,28,18,11.0,8.0
2000-06-29,32,61,14.0,8.0
2000-06-30,52,61,19.0,6.0
2000-07-01,48,100,20.0,7.0
2000-07-02,43,74,11.0,10.0
2000-07-03,37,67,19.0,6.0
2000-07-04,41,46,21.0,6.0
2000-07-05,48,49,36.0,7.0
2000-07-06,42,84,11.0,7.0
2000-07-07,42,39,14.0,5.0
2000-07-08,47,42,19.0,6.0
2000-07-09,30,97,14.0,7.0
2000-07-10,40,58,13.0,6.0
2000-07-11,42,26,10.0,8.0
2000-07-12,45,58,39.0,8.0
2000-07-13,42,22,44.0,7.0
2000-07-14,39,47,17.0,8.0
2000-07-15,40,49,9.0,6.0
2000-07-16,37,47,9.0,8.0
2000-07-17,54,67,30.0,7.0
2000-07-18,47,84,10.0,6.0
2000-07-19,31,27,10.0,7.0
2000-07-21,25,47,41.0,9.0
2000-07-22,21,58,40.0,9.0
2000-07-23,10,61,47.0,7.0
2000-07-24,16,24,43.0,7.0
2000-07-25,25,40,56.0,8.0
2000-07-26,18,19,43.0,8.0
2000-07-27,28,25,65.0,7.0
2000-07-28,37,58,57.0,14.0
2000-07-29,26,80,56.0,9.0
2000-07-30,19,46,43.0,8.0
2000-07-31,16,26,47.0,8.0
2000-08-01,26,40,41.0,8.0
2000-08-02,22,28,37.0,8.0
2000-08-03,25,24,41.0,9.0
2000-08-04,34,32,37.0,8.0
2000-08-05,43,54,10.0,7.0
2000-08-06,39,23,33.0,10.0
2000-08-07,32,36,3.0,8.0
2000-08-08,54,58,14.0,7.0
2000-08-09,36,44,10.0,7.0
2000-08-10,43,58,9.0,6.0
2000-08-11,29,45,24.0,7.0
2000-08-12,15,37,1.0,6.0
2000-08-13,18,26,6.0,5.0
2000-08-14,29,33,17.0,6.0
2000-08-15,39,80,21.0,7.0
2000-08-16,39,67,11.0,7.0
2000-08-17,33,33,10.0,6.0
