Date Local,NO2 AQI,O3 AQI,SO2 AQI,CO AQI
2007-01-01,15,27,3.0,11.0
2007-01-02,31,17,6.0,10.0
2007-01-03,41,14,9.0,15.0
2007-01-04,19,5,6.0,8.0
2007-01-05,16,14,6.0,8.0
2007-01-06,24,19,6.0,6.0
2007-01-07,9,23,6.0,5.0
2007-01-08,31,25,4.0,7.0
2007-01-09,23,28,4.0,7.0
2007-01-10,29,19,9.0,13.0
2007-01-11,23,25,7.0,7.0
2007-01-12,25,19,6.0,6.0
2007-01-13,11,11,4.0,6.0
2007-01-14,11,3,4.0,6.0
2007-01-15,10,24,3.0,6.0
2007-01-16,11,25,4.0,7.0
2007-01-17,16,17,7.0,7.0
2007-01-18,19,14,6.0,8.0
2007-01-19,26,21,6.0,8.0
2007-01-20,31,15,7.0,10.0
2007-01-21,22,19,4.0,9.0
2007-01-22,25,25,4.0,9.0
2007-01-23,27,19,6.0,10.0
2007-01-24,23,25,4.0,10.0
2007-01-25,29,25,4.0,11.0
2007-01-26,32,24,9.0,15.0
2007-01-27,30,25,7.0,15.0
2007-01-28,33,29,6.0,9.0
2007-01-29,31,21,9.0,13.0
2007-01-30,20,29,7.0,9.0
2007-01-31,23,14,7.0,9.0
2007-02-01,14,14,4.0,9.0
2007-02-02,15,25,3.0,9.0
2007-02-03,32,31,6.0,11.0
2007-02-04,35,28,4.0,15.0
2007-02-05,30,25,6.0,14.0
2007-02-06,27,36,7.0,7.0
2007-02-07,28,16,10.0,7.0
2007-02-08,22,14,11.0,7.0
2007-02-09,31,18,14.0,7.0
2007-02-10,29,23,16.0,7.0
2007-02-11,32,19,14.0,14.0
2007-02-12,28,25,7.0,7.0
2007-02-13,21,26,9.0,7.0
2007-02-14,11,28,6.0,7.0
2007-02-15,7,29,6.0,7.0
2007-02-16,14,26,4.0,8.0
2007-02-17,14,33,7.0,8.0
2007-02-18,23,33,4.0,8.0
2007-02-19,18,37,6.0,8.0
2007-02-20,12,31,4.0,7.0
2007-02-21,33,44,4.0,9.0
2007-02-22,38,31,7.0,10.0
2007-02-23,36,28,9.0,11.0
2007-02-24,14,30,6.0,7.0
2007-02-25,25,28,4.0,8.0
2007-02-26,26,32,6.0,14.0
2007-02-27,39,27,9.0,8.0
2007-02-28,37,25,7.0,8.0
2007-03-01,8,36,4.0,7.0
2007-03-02,26,39,4.0,8.0
2007-03-03,19,35,4.0,8.0
2007-03-04,10,36,4.0,8.0
2007-03-05,51,40,7.0,17.0
2007-03-06,46,40,9.0,14.0
2007-03-07,50,67,9.0,9.0
2007-03-08,43,25,10.0,10.0
2007-03-09,55,46,11.0,15.0
2007-03-10,34,45,6.0,8.0
2007-03-11,28,33,10.0,6.0
2007-03-12,38,39,10.0,7.0
2007-03-13,14,27,4.0,7.0
2007-03-14,19,25,4.0,7.0
2007-03-15,19,31,6.0,6.0
2007-03-16,16,37,4.0,5.0
2007-03-17,30,32,11.0,7.0
2007-03-18,33,33,7.0,6.0
2007-03-19,34,36,6.0,9.0
2007-03-20,21,38,4.0,10.0
2007-03-21,14,32,4.0,6.0
2007-03-22,15,31,6.0,6.0
2007-03-23,23,31,4.0,6.0
2007-03-24,17,36,7.0,6.0
2007-03-25,26,27,4.0,6.0
2007-03-26,25,35,7.0,7.0
2007-03-27,29,26,4.0,7.0
2007-03-28,22,21,4.0,8.0
2007-03-29,24,27,7.0,9.0
2007-03-30,22,36,7.0,8.0
2007-03-31,20,30,4.0,6.0
2007-04-01,30,46,4.0,8.0
2007-04-02,28,47,6.0,8.0
2007-04-03,9,35,4.0,5.0
2007-04-04,9,42,3.0,5.0
2007-04-05,26,41,4.0,5.0
2007-04-06,7,34,4.0,5.0
2007-04-07,7,41,3.0,5.0
2007-04-08,8,44,4.0,6.0
2007-04-09,24,40,14.0,6.0
2007-04-10,31,25,4.0,6.0
2007-04-11,14,42,3.0,6.0
2007-04-12,39,37,9.0,6.0
2007-04-13,37,24,7.0,6.0
2007-04-14,19,32,4.0,6.0
2007-04-15,26,42,3.0,7.0
2007-04-16,35,48,6.0,8.0
2007-04-17,32,41,14.0,9.0
2007-04-18,32,47,4.0,8.0
2007-04-19,28,50,7.0,8.0
2007-04-20,47,47,11.0,7.0
2007-04-21,43,61,17.0,8.0
2007-04-22,18,58,6.0,7.0
2007-04-23,13,35,4.0,7.0
2007-04-24,11,31,4.0,6.0
2007-04-25,11,32,6.0,6.0
2007-04-26,14,30,3.0,6.0
2007-04-27,14,42,4.0,6.0
2007-04-28,22,44,4.0,7.0
2007-04-29,37,51,4.0,9.0
2007-04-30,30,54,6.0,9.0
2007-05-01,22,44,4.0,7.0
2007-05-02,13,32,4.0,6.0
2007-05-03,24,26,4.0,7.0
2007-05-04,19,33,6.0,7.0
2007-05-05,8,19,4.0,7.0
2007-05-06,29,37,9.0,6.0
2007-05-07,28,38,6.0,7.0
2007-05-08,28,45,4.0,7.0
2007-05-09,25,39,4.0,7.0
2007-05-10,22,29,4.0,5.0
2007-05-11,13,45,3.0,5.0
2007-05-12,13,43,4.0,5.0
2007-05-13,22,71,7.0,6.0
2007-05-14,39,77,6.0,6.0
2007-05-15,25,48,6.0,7.0
2007-05-16,27,38,4.0,6.0
2007-05-17,37,46,6.0,6.0
2007-05-18,39,40,6.0,6.0
2007-05-19,38,58,6.0,6.0
2007-05-20,40,71,13.0,8.0
2007-05-21,40,51,7.0,9.0
2007-05-22,18,41,4.0,6.0
2007-05-23,18,51,11.0,6.0
2007-05-24,16,39,7.0,5.0
2007-05-25,29,36,4.0,7.0
2007-05-26,28,37,4.0,9.0
2007-05-27,33,39,9.0,8.0
2007-05-28,38,43,16.0,8.0
2007-05-29,33,31,6.0,8.0
2007-05-30,10,33,9.0,5.0
2007-05-31,13,44,3.0,5.0
2007-06-01,21,36,9.0,6.0
2007-06-02,23,39,4.0,9.0
2007-06-03,10,42,3.0,5.0
2007-06-04,23,44,4.0,5.0
2007-06-05,19,43,4.0,5.0
2007-06-06,20,45,4.0,6.0
2007-06-07,8,25,6.0,3.0
2007-06-08,12,25,4.0,3.0
2007-06-09,28,44,4.0,6.0
2007-06-10,26,47,6.0,6.0
2007-06-11,22,49,7.0,5.0
2007-06-12,19,74,10.0,5.0
2007-06-13,31,114,7.0,5.0
2007-06-14,23,106,9.0,6.0
2007-06-15,25,43,4.0,6.0
2007-06-16,24,48,4.0,7.0
2007-06-17,25,44,4.0,6.0
2007-06-18,12,22,9.0,5.0
2007-06-19,16,34,4.0,5.0
2007-06-20,21,50,6.0,6.0
2007-06-21,25,101,7.0,6.0
2007-06-22,26,90,6.0,7.0
2007-06-23,25,37,4.0,8.0
2007-06-24,9,34,6.0,5.0
2007-06-25,17,38,4.0,5.0
2007-06-26,12,26,6.0,3.0
2007-06-27,11,19,4.0,5.0
2007-06-28,26,31,4.0,5.0
2007-06-29,26,39,4.0,5.0
2007-06-30,31,27,7.0,5.0
2007-07-01,19,28,7.0,5.0
2007-07-02,18,29,7.0,5.0
2007-07-03,20,30,7.0,5.0
2007-07-04,12,26,6.0,5.0
2007-07-05,11,28,4.0,5.0
2007-07-06,11,19,7.0,5.0
2007-07-07,14,38,4.0,5.0
2007-07-08,12,39,4.0,6.0
2007-07-09,13,30,4.0,5.0
2007-07-10,10,28,4.0,5.0
2007-07-11,20,43,4.0,7.0
2007-07-12,19,30,6.0,7.0
2007-07-13,16,17,4.0,8.0
2007-07-14,11,31,6.0,8.0
2007-07-15,9,27,4.0,6.0
2007-07-16,9,28,4.0,6.0
2007-07-17,8,33,4.0,6.0
2007-07-18,13,41,6.0,7.0
2007-07-19,12,37,6.0,7.0
2007-07-20,27,31,4.0,7.0
2007-07-21,21,46,7.0,7.0
2007-07-22,22,49,10.0,6.0
2007-07-23,18,50,10.0,7.0
2007-07-24,40,77,7.0,8.0
2007-07-25,22,100,7.0,8.0
2007-07-26,20,54,4.0,8.0
2007-07-27,17,38,6.0,8.0
2007-07-28,19,34,4.0,8.0
2007-07-29,17,36,4.0,8.0
2007-07-30,27,44,9.0,8.0
2007-07-31,21,64,9.0,8.0
2007-08-01,36,90,9.0,8.0
2007-08-02,28,50,11.0,8.0
2007-08-03,26,93,6.0,9.0
2007-08-04,22,48,6.0,10.0
2007-08-05,13,43,4.0,9.0
2007-08-06,16,33,6.0,8.0
2007-08-07,15,31,6.0,7.0
2007-08-08,15,37,7.0,7.0
2007-08-09,11,41,4.0,8.0
2007-08-10,21,93,7.0,9.0
2007-08-11,28,101,7.0,10.0
2007-08-12,26,71,9.0,9.0
2007-08-13,18,80,6.0,9.0
2007-08-14,27,109,9.0,9.0
2007-08-15,28,106,9.0,10.0
2007-08-16,25,101,11.0,9.0
2007-08-17,31,48,11.0,10.0
2007-08-18,20,42,6.0,8.0
2007-08-19,10,26,6.0,8.0
2007-08-20,13,32,6.0,8.0
2007-08-21,16,29,6.0,8.0
2007-08-22,21,35,6.0,9.0
2007-08-23,18,36,6.0,9.0
2007-08-24,20,42,9.0,8.0
2007-08-25,20,50,6.0,9.0
2007-08-26,36,47,6.0,8.0
2007-08-27,37,67,9.0,10.0
2007-08-28,33,54,9.0,11.0
2007-08-29,21,61,4.0,10.0
2007-08-30,11,44,6.0,9.0
2007-08-31,25,47,10.0,9.0
2007-09-01,31,71,10.0,9.0
2007-09-02,37,54,9.0,10.0
2007-09-03,21,34,6.0,11.0
2007-09-04,17,31,6.0,9.0
2007-09-05,17,19,6.0,10.0
2007-09-07,9,13,6.0,1.0
2007-09-08,14,28,4.0,1.0
2007-09-09,22,25,4.0,1.0
2007-09-10,18,21,4.0,9.0
2007-09-11,16,30,4.0,9.0
2007-09-12,26,32,6.0,9.0
2007-09-13,28,25,6.0,10.0
