Date Local,NO2 AQI,O3 AQI,SO2 AQI,CO AQI
2007-04-18,11,31,0.0,5.0
2007-04-19,21,34,1.0,5.0
2007-04-20,42,40,13.0,6.0
2007-04-21,42,47,17.0,7.0
2007-04-22,21,77,34.0,6.0
2007-04-23,18,38,9.0,5.0
2007-04-24,30,34,6.0,3.0
2007-04-25,10,30,1.0,3.0
2007-04-26,21,24,6.0,5.0
2007-04-27,25,25,1.0,6.0
2007-04-28,40,39,6.0,11.0
2007-04-29,34,44,27.0,7.0
2007-04-30,12,37,4.0,5.0
2007-05-01,31,32,6.0,7.0
2007-05-02,9,32,0.0,6.0
2007-05-03,15,39,6.0,6.0
2007-05-04,12,43,13.0,7.0
2007-05-05,9,36,17.0,7.0
2007-05-06,9,42,3.0,2.0
2007-05-07,44,42,13.0,6.0
2007-05-08,29,36,6.0,6.0
2007-05-09,30,46,4.0,5.0
2007-05-10,42,42,1.0,6.0
2007-05-11,42,26,1.0,8.0
2007-05-12,7,31,1.0,3.0
2007-05-13,30,39,7.0,5.0
2007-05-14,29,67,51.0,5.0
2007-05-15,12,37,4.0,5.0
2007-05-16,9,29,1.0,5.0
2007-05-17,26,32,1.0,6.0
2007-05-18,40,34,7.0,8.0
2007-05-19,26,50,3.0,3.0
2007-05-20,6,19,1.0,3.0
2007-05-21,33,44,11.0,5.0
2007-05-22,42,109,10.0,6.0
2007-05-23,40,77,27.0,5.0
2007-05-24,25,51,14.0,6.0
2007-05-25,11,31,6.0,3.0
2007-05-26,26,32,3.0,6.0
2007-05-27,19,46,0.0,5.0
2007-05-28,18,47,9.0,7.0
2007-05-29,38,100,16.0,8.0
2007-05-30,34,71,14.0,8.0
2007-05-31,21,33,10.0,3.0
2007-06-01,29,49,16.0,6.0
2007-06-02,31,42,10.0,6.0
2007-06-03,15,36,3.0,3.0
2007-06-04,14,24,0.0,3.0
2007-06-05,17,21,1.0,3.0
2007-06-06,25,39,10.0,6.0
2007-06-07,10,50,9.0,5.0
2007-06-08,27,36,1.0,5.0
2007-06-09,27,58,27.0,7.0
2007-06-10,25,77,11.0,7.0
2007-06-11,33,97,20.0,7.0
2007-06-12,30,50,3.0,5.0
2007-06-13,24,46,3.0,2.0
2007-06-14,26,74,4.0,3.0
2007-06-15,42,101,9.0,5.0
2007-06-16,48,104,17.0,8.0
2007-06-17,44,90,3.0,6.0
2007-06-18,34,48,9.0,6.0
2007-06-19,17,35,0.0,3.0
2007-06-20,22,47,0.0,3.0
2007-06-22,13,32,0.0,2.0
2007-06-23,25,36,11.0,5.0
2007-06-24,9,42,10.0,3.0
2007-06-25,20,51,16.0,3.0
2007-06-26,31,48,14.0,6.0
2007-06-27,23,31,3.0,3.0
2007-06-28,11,25,1.0,3.0
2007-06-29,21,28,0.0,2.0
2007-06-30,22,37,1.0,5.0
2007-07-01,10,32,3.0,2.0
2007-07-02,21,39,10.0,5.0
2007-07-03,32,74,14.0,5.0
2007-07-04,28,37,1.0,5.0
2007-07-05,29,41,4.0,6.0
2007-07-06,29,36,3.0,5.0
2007-07-07,36,50,11.0,6.0
2007-07-08,7,45,1.0,2.0
2007-07-09,24,47,1.0,3.0
2007-07-10,26,36,10.0,3.0
2007-07-11,14,30,0.0,2.0
2007-07-12,13,33,0.0,2.0
2007-07-13,36,27,10.0,3.0
2007-07-14,36,36,1.0,5.0
2007-07-15,12,34,3.0,2.0
2007-07-16,21,31,3.0,2.0
2007-07-17,25,28,10.0,3.0
2007-07-18,16,41,1.0,2.0
2007-07-19,12,33,0.0,3.0
2007-07-20,16,18,1.0,2.0
2007-07-21,20,30,3.0,2.0
2007-07-22,25,46,11.0,5.0
2007-07-23,25,51,9.0,6.0
2007-07-24,41,42,4.0,5.0
2007-07-25,33,64,6.0,3.0
2007-07-26,28,41,17.0,3.0
2007-07-27,17,74,6.0,3.0
2007-07-28,9,32,0.0,3.0
2007-07-29,21,30,0.0,5.0
2007-07-30,30,39,1.0,6.0
2007-07-31,31,90,3.0,6.0
2007-08-01,31,101,6.0,7.0
2007-08-02,44,74,3.0,7.0
2007-08-03,25,45,3.0,3.0
2007-08-04,22,67,1.0,6.0
2007-08-05,20,41,3.0,3.0
2007-08-06,20,39,1.0,5.0
2007-08-07,35,43,4.0,5.0
2007-08-08,13,40,0.0,3.0
2007-08-09,22,29,4.0,5.0
2007-08-10,17,44,3.0,5.0
2007-08-11,33,45,7.0,7.0
2007-08-12,22,48,6.0,6.0
2007-08-13,26,45,3.0,5.0
2007-08-14,27,42,7.0,3.0
2007-08-15,20,31,1.0,3.0
2007-08-16,25,25,6.0,3.0
2007-08-17,23,33,4.0,5.0
2007-08-18,22,22,10.0,5.0
2007-08-19,24,19,6.0,6.0
2007-08-20,22,20,1.0,5.0
2007-08-21,26,15,10.0,7.0
2007-08-22,20,37,10.0,7.0
2007-08-23,22,30,7.0,3.0
2007-08-24,30,28,10.0,5.0
2007-08-25,16,28,4.0,5.0
2007-08-26,20,31,0.0,7.0
2007-08-27,28,20,6.0,6.0
2007-08-28,34,51,26.0,5.0
2007-08-29,28,36,19.0,5.0
2007-08-30,16,22,1.0,2.0
2007-08-31,24,31,1.0,5.0
2007-09-01,25,42,4.0,6.0
2007-09-02,20,46,11.0,5.0
2007-09-03,25,47,4.0,5.0
2007-09-04,35,87,6.0,8.0
2007-09-05,42,48,31.0,7.0
2007-09-06,22,31,16.0,5.0
2007-09-07,19,26,9.0,3.0
2007-09-08,15,28,3.0,2.0
2007-09-09,14,29,7.0,2.0
2007-09-10,14,17,1.0,2.0
2007-09-11,14,26,0.0,2.0
2007-09-12,21,21,6.0,2.0
2007-09-13,33,36,19.0,6.0
2007-09-14,25,17,9.0,3.0
2007-09-15,25,23,1.0,5.0
2007-09-16,29,32,14.0,8.0
2007-09-17,31,33,14.0,5.0
2007-09-18,38,49,29.0,5.0
2007-09-19,28,49,19.0,3.0
2007-09-20,21,36,0.0,3.0
2007-09-21,34,90,26.0,3.0
2007-09-22,23,29,4.0,3.0
2007-09-23,13,46,16.0,6.0
2007-09-24,32,30,23.0,3.0
2007-09-25,11,26,6.0,2.0
2007-09-26,23,20,6.0,3.0
2007-09-27,33,22,16.0,7.0
2007-09-28,25,28,11.0,5.0
2007-09-29,25,39,10.0,5.0
2007-09-30,13,49,19.0,3.0
2007-10-01,22,24,3.0,3.0
2007-10-02,18,30,7.0,5.0
2007-10-03,31,23,4.0,5.0
2007-10-04,35,42,9.0,9.0
2007-10-05,37,22,13.0,6.0
2007-10-06,31,36,21.0,5.0
2007-10-07,39,37,13.0,6.0
2007-10-08,32,33,23.0,6.0
2007-10-09,20,26,0.0,2.0
2007-10-10,7,14,0.0,2.0
2007-10-11,10,18,6.0,2.0
2007-10-12,27,16,7.0,5.0
2007-10-13,26,13,6.0,8.0
2007-10-14,25,16,20.0,6.0
2007-10-15,30,23,9.0,5.0
2007-10-16,33,19,4.0,3.0
2007-10-17,33,25,13.0,6.0
2007-10-18,18,31,6.0,2.0
2007-10-19,8,16,0.0,2.0
2007-10-20,16,28,19.0,3.0
2007-10-21,14,40,14.0,2.0
2007-10-22,25,21,6.0,2.0
2007-10-23,35,16,7.0,2.0
2007-10-24,19,21,9.0,2.0
2007-10-25,8,22,1.0,2.0
2007-10-26,16,18,7.0,2.0
2007-10-27,22,21,4.0,3.0
2007-10-28,40,28,1.0,5.0
2007-10-29,36,25,6.0,5.0
2007-10-30,35,25,19.0,3.0
2007-10-31,18,24,3.0,2.0
2007-11-01,32,15,0.0,7.0
2007-11-02,42,11,26.0,9.0
2007-11-03,32,18,3.0,6.0
2007-11-04,38,15,6.0,6.0
2007-11-05,21,17,11.0,5.0
2007-11-06,10,16,0.0,2.0
2007-11-07,30,14,6.0,2.0
2007-11-08,28,7,10.0,3.0
2007-11-09,28,14,1.0,3.0
2007-11-10,30,8,9.0,3.0
2007-11-11,25,8,9.0,3.0
2007-11-12,28,11,11.0,3.0
2007-11-13,34,8,19.0,6.0
2007-11-14,22,14,1.0,3.0
2007-11-15,29,18,0.0,3.0
2007-11-16,31,2,20.0,5.0
2007-11-17,28,16,11.0,5.0
2007-11-18,22,16,10.0,3.0
2007-11-19,27,4,16.0,7.0
2007-11-20,13,13,4.0,6.0
2007-11-21,8,15,3.0,3.0
2007-11-22,10,19,0.0,2.0
2007-11-23,31,14,0.0,3.0
2007-11-24,24,11,10.0,3.0
2007-11-25,21,13,10.0,3.0
2007-11-26,21,6,7.0,3.0
2007-11-27,34,17,0.0,3.0
2007-11-28,35,10,16.0,5.0
2007-11-29,30,14,0.0,2.0
2007-11-30,23,19,4.0,2.0
2007-12-01,38,14,9.0,3.0
2007-12-02,25,14,4.0,3.0
2007-12-03,23,13,0.0,2.0
2007-12-04,34,15,3.0,3.0
2007-12-05,43,20,4.0,2.0
2007-12-06,56,9,40.0,6.0
2007-12-07,33,9,13.0,3.0
2007-12-08,37,10,16.0,3.0
2007-12-09,31,21,11.0,3.0
2007-12-10,60,4,9.0,9.0
2007-12-11,41,13,10.0,9.0
2007-12-12,40,13,13.0,6.0
2007-12-13,36,17,7.0,6.0
2007-12-14,40,12,17.0,3.0
2007-12-15,17,19,6.0,3.0
2007-12-16,11,23,9.0,2.0
2007-12-17,43,11,36.0,3.0
2007-12-18,39,7,33.0,3.0
2007-12-19,46,9,3.0,8.0
2007-12-20,47,9,29.0,8.0
2007-12-21,33,0,24.0,7.0
2007-12-22,25,12,9.0,6.0
2007-12-23,12,14,3.0,3.0
2007-12-24,16,11,0.0,2.0
2007-12-25,34,14,16.0,3.0
2007-12-26,40,10,13.0,6.0
2007-12-27,26,14,6.0,6.0
2007-12-28,29,11,11.0,3.0
2007-12-29,29,15,6.0,2.0
2007-12-30,30,7,13.0,5.0
2007-12-31,34,6,13.0,5.0
2008-01-01,9,16,3.0,2.0
2008-01-02,29,18,3.0,3.0
2008-01-03,46,10,20.0,5.0
2008-01-04,33,12,14.0,3.0
2008-01-05,25,11,17.0,3.0
2008-01-06,19,10,10.0,3.0
2008-01-07,27,13,16.0,2.0
2008-01-08,23,13,9.0,2.0
2008-01-09,33,11,16.0,5.0
2008-01-10,30,7,4.0,5.0
2008-01-11,23,9,1.0,3.0
2008-01-12,29,3,16.0,5.0
2008-01-13,23,13,10.0,3.0
2008-01-14,12,14,1.0,2.0
2008-01-15,33,8,19.0,3.0
2008-01-16,33,7,26.0,3.0
2008-01-17,27,11,19.0,3.0
2008-01-18,31,13,4.0,2.0
2008-01-19,12,21,3.0,2.0
2008-01-20,21,19,1.0,2.0
2008-01-21,40,11,19.0,3.0
2008-01-22,25,19,7.0,3.0
2008-01-23,30,12,1.0,3.0
2008-01-24,41,19,3.0,5.0
2008-01-25,53,8,37.0,5.0
2008-01-26,36,16,24.0,3.0
2008-01-27,53,19,7.0,7.0
