Date Local,NO2 AQI,O3 AQI,SO2 AQI,CO AQI
2000-01-01,26,42,19.0,13.0
2000-01-02,13,35,10.0,11.0
2000-01-03,35,30,11.0,15.0
2000-01-04,32,28,11.0,14.0
2000-01-05,34,31,17.0,14.0
2000-01-06,34,25,30.0,15.0
2000-01-07,37,27,13.0,24.0
2000-01-08,34,25,34.0,25.0
2000-01-09,30,23,14.0,23.0
2000-01-10,33,31,13.0,19.0
2000-01-11,24,30,11.0,19.0
2000-01-12,31,24,14.0,18.0
2000-01-13,32,23,19.0,19.0
2000-01-14,33,28,27.0,22.0
2000-01-15,56,32,33.0,24.0
2000-01-16,33,30,19.0,15.0
2000-01-17,26,30,13.0,16.0
2000-01-18,25,22,43.0,11.0
2000-01-19,22,23,14.0,11.0
2000-01-20,29,27,31.0,16.0
2000-01-21,28,26,30.0,13.0
2000-01-22,25,30,17.0,14.0
2000-01-23,23,24,43.0,15.0
2000-01-24,31,26,60.0,15.0
2000-01-25,26,29,49.0,15.0
2000-01-26,23,26,24.0,17.0
2000-01-27,25,28,27.0,24.0
2000-01-28,35,28,31.0,17.0
2000-01-29,32,29,24.0,15.0
2000-01-30,34,26,50.0,9.0
2000-01-31,84,32,24.0,10.0
2000-02-01,26,27,21.0,10.0
2000-02-02,35,32,20.0,11.0
2000-02-03,42,35,29.0,14.0
2000-02-04,39,27,44.0,15.0
2000-02-05,29,31,29.0,20.0
2000-02-06,23,31,24.0,23.0
2000-02-07,29,29,37.0,18.0
2000-02-08,39,37,49.0,26.0
2000-02-09,52,42,19.0,19.0
2000-02-10,43,31,47.0,20.0
2000-02-11,29,30,34.0,7.0
2000-02-12,27,32,31.0,6.0
2000-02-13,25,32,43.0,9.0
2000-02-14,20,35,30.0,9.0
2000-02-15,29,36,36.0,9.0
2000-02-16,36,33,24.0,9.0
2000-02-17,29,33,30.0,14.0
2000-02-18,36,32,24.0,17.0
2000-02-19,22,35,30.0,20.0
2000-02-20,17,39,24.0,14.0
2000-02-21,37,39,26.0,15.0
2000-02-22,23,39,40.0,16.0
2000-02-23,42,38,21.0,11.0
2000-02-24,29,40,20.0,14.0
2000-02-25,32,42,19.0,7.0
2000-02-26,36,31,44.0,8.0
2000-02-27,17,41,39.0,9.0
2000-02-28,22,49,23.0,9.0
2000-02-29,40,46,27.0,11.0
2000-03-01,42,39,16.0,15.0
2000-03-02,26,31,29.0,15.0
2000-03-03,36,35,30.0,14.0
2000-03-04,42,42,60.0,15.0
2000-03-05,34,48,26.0,16.0
2000-03-06,39,47,39.0,17.0
2000-03-07,35,46,20.0,19.0
2000-03-08,41,74,23.0,19.0
2000-03-09,33,47,21.0,9.0
2000-03-10,36,33,30.0,11.0
2000-03-11,33,36,57.0,10.0
2000-03-12,32,36,23.0,11.0
2000-03-13,37,38,24.0,13.0
2000-03-14,45,39,46.0,8.0
2000-03-15,36,58,16.0,11.0
2000-03-16,29,42,11.0,8.0
2000-03-17,40,36,34.0,7.0
2000-03-18,36,43,11.0,7.0
2000-03-19,14,31,9.0,5.0
2000-03-20,20,35,9.0,6.0
2000-03-21,29,42,54.0,5.0
2000-03-22,26,33,20.0,6.0
2000-03-23,25,50,23.0,8.0
2000-03-24,25,67,20.0,9.0
2000-03-25,33,43,26.0,9.0
2000-03-26,37,51,41.0,10.0
2000-03-27,39,46,29.0,11.0
2000-03-28,25,36,31.0,13.0
2000-03-29,39,46,13.0,14.0
2000-03-30,25,41,31.0,14.0
2000-03-31,49,64,39.0,15.0
2000-04-01,45,49,23.0,16.0
2000-04-02,33,44,20.0,18.0
2000-04-03,39,38,62.0,17.0
2000-04-04,42,44,19.0,17.0
2000-04-05,39,142,13.0,5.0
2000-04-06,46,61,41.0,5.0
2000-04-07,25,58,20.0,10.0
2000-04-08,32,47,10.0,10.0
2000-04-09,47,48,14.0,9.0
2000-04-10,38,47,31.0,6.0
2000-04-11,35,33,29.0,6.0
2000-04-12,32,41,19.0,6.0
2000-04-13,30,49,30.0,7.0
2000-04-14,41,46,17.0,8.0
2000-04-15,31,45,20.0,6.0
2000-04-16,16,43,20.0,7.0
2000-04-17,22,34,57.0,7.0
2000-04-18,24,50,31.0,8.0
2000-04-19,19,61,24.0,5.0
2000-04-20,22,40,31.0,8.0
2000-04-21,29,46,20.0,8.0
2000-04-22,32,61,66.0,9.0
2000-04-23,28,49,21.0,8.0
2000-04-24,42,48,60.0,8.0
2000-04-25,36,47,17.0,8.0
2000-04-26,45,61,34.0,8.0
2000-04-27,41,47,30.0,8.0
2000-04-28,50,64,27.0,7.0
2000-04-29,60,84,23.0,8.0
2000-04-30,57,84,34.0,9.0
2000-05-01,29,104,31.0,10.0
2000-05-02,26,47,13.0,10.0
2000-05-03,25,74,19.0,9.0
2000-05-04,23,84,23.0,13.0
2000-05-05,24,51,10.0,13.0
2000-05-06,17,39,14.0,8.0
2000-05-07,11,38,16.0,8.0
2000-05-08,10,36,7.0,8.0
2000-05-09,15,45,7.0,7.0
2000-05-10,21,50,56.0,8.0
2000-05-11,21,41,13.0,9.0
2000-05-12,30,42,19.0,9.0
2000-05-13,27,46,24.0,8.0
2000-05-14,15,45,11.0,7.0
2000-05-15,26,54,13.0,7.0
2000-05-16,26,71,16.0,8.0
2000-05-17,21,109,21.0,8.0
2000-05-18,24,97,13.0,7.0
2000-05-19,29,42,108.0,7.0
2000-05-20,26,43,31.0,8.0
2000-05-21,25,47,72.0,9.0
2000-05-22,27,74,19.0,9.0
2000-05-23,50,100,14.0,8.0
2000-05-24,34,90,13.0,8.0
2000-05-25,35,54,21.0,6.0
2000-05-26,47,74,19.0,7.0
2000-05-27,24,36,19.0,6.0
2000-05-28,18,36,21.0,6.0
2000-05-29,20,44,34.0,7.0
2000-05-30,17,67,23.0,7.0
2000-05-31,32,93,24.0,8.0
2000-06-01,31,100,16.0,8.0
2000-06-02,24,106,20.0,8.0
2000-06-03,30,122,44.0,8.0
2000-06-04,38,80,46.0,8.0
2000-06-05,21,46,21.0,7.0
2000-06-06,33,58,20.0,7.0
2000-06-07,29,111,14.0,8.0
2000-06-08,13,109,13.0,7.0
2000-06-09,28,147,14.0,8.0
2000-06-10,20,142,10.0,7.0
2000-06-11,22,109,17.0,7.0
2000-06-12,31,87,13.0,8.0
2000-06-13,26,61,24.0,8.0
2000-06-14,38,54,37.0,10.0
2000-06-15,37,74,14.0,8.0
2000-06-16,27,54,16.0,8.0
2000-06-17,14,74,44.0,7.0
2000-06-18,22,38,16.0,7.0
2000-06-19,45,67,97.0,9.0
2000-06-20,44,104,33.0,7.0
2000-06-21,27,135,47.0,7.0
2000-06-22,19,51,40.0,7.0
2000-06-23,17,42,6.0,8.0
2000-06-24,23,104,21.0,7.0
2000-06-25,20,77,26.0,8.0
2000-06-26,23,74,16.0,8.0
2000-06-27,29,109,16.0,8.0
2000-06-28,28,93,41.0,8.0
2000-06-29,24,61,24.0,7.0
2000-06-30,27,51,57.0,10.0
2000-07-01,18,84,26.0,9.0
2000-07-02,20,58,19.0,8.0
2000-07-03,14,47,13.0,8.0
2000-07-04,12,77,11.0,8.0
2000-07-05,34,49,11.0,8.0
2000-07-06,33,77,76.0,9.0
2000-07-07,13,104,29.0,8.0
2000-07-08,21,87,27.0,8.0
2000-07-09,22,80,27.0,8.0
2000-07-10,15,77,20.0,8.0
2000-07-11,20,87,34.0,8.0
2000-07-12,18,109,72.0,8.0
2000-07-13,35,61,30.0,8.0
2000-07-14,28,116,31.0,9.0
2000-07-15,21,111,26.0,9.0
2000-07-16,28,114,33.0,10.0
2000-07-17,25,71,57.0,10.0
2000-07-18,33,106,74.0,9.0
2000-07-19,28,101,30.0,8.0
2000-07-20,24,90,29.0,8.0
2000-07-21,21,67,23.0,7.0
2000-07-22,26,54,40.0,7.0
2000-07-23,29,74,21.0,7.0
2000-07-24,33,90,19.0,7.0
2000-07-25,33,90,39.0,8.0
2000-07-26,29,101,47.0,8.0
2000-07-27,25,90,27.0,9.0
2000-07-28,34,111,24.0,9.0
2000-07-29,28,132,23.0,8.0
2000-07-30,36,111,16.0,8.0
2000-07-31,44,104,19.0,13.0
2000-08-01,39,50,62.0,8.0
2000-08-02,35,61,19.0,9.0
2000-08-03,25,64,97.0,9.0
2000-08-04,22,111,62.0,8.0
2000-08-05,19,84,14.0,8.0
2000-08-06,14,48,13.0,8.0
2000-08-07,21,46,11.0,8.0
2000-08-08,25,58,21.0,6.0
2000-08-09,17,87,16.0,7.0
2000-08-10,28,67,19.0,8.0
2000-08-11,32,47,39.0,8.0
2000-08-12,29,77,19.0,8.0
2000-08-13,21,104,40.0,8.0
2000-08-14,26,97,30.0,8.0
2000-08-15,42,132,33.0,8.0
2000-08-16,35,135,17.0,8.0
2000-08-17,29,93,19.0,8.0
2000-08-18,25,51,16.0,8.0
2000-08-19,30,61,20.0,8.0
2000-08-20,26,67,27.0,8.0
2000-08-21,30,111,21.0,8.0
2000-08-22,27,114,29.0,8.0
2000-08-23,26,114,24.0,8.0
2000-08-24,47,61,55.0,8.0
2000-08-25,40,97,43.0,10.0
2000-08-26,23,80,14.0,6.0
2000-08-27,21,61,16.0,6.0
2000-08-28,21,101,30.0,8.0
2000-08-29,25,97,16.0,6.0
2000-08-30,28,156,21.0,8.0
2000-08-31,25,97,54.0,6.0
2000-09-01,30,132,66.0,7.0
2000-09-02,26,135,47.0,8.0
2000-09-03,37,93,51.0,7.0
2000-09-04,21,49,27.0,8.0
2000-09-05,28,41,54.0,7.0
2000-09-06,36,64,26.0,7.0
2000-09-07,44,101,29.0,9.0
2000-09-08,37,48,16.0,9.0
2000-09-09,19,54,20.0,7.0
2000-09-10,34,119,39.0,7.0
2000-09-11,48,106,31.0,8.0
2000-09-12,36,104,34.0,10.0
2000-09-13,48,47,37.0,8.0
2000-09-14,30,51,23.0,9.0
2000-09-15,36,42,11.0,6.0
2000-09-16,39,47,10.0,7.0
2000-09-17,40,87,9.0,14.0
2000-09-18,47,93,30.0,15.0
2000-09-19,50,151,21.0,11.0
2000-09-20,39,154,16.0,10.0
2000-09-21,24,39,19.0,7.0
2000-09-22,23,45,27.0,7.0
2000-09-23,35,36,20.0,8.0
2000-09-24,42,51,23.0,11.0
2000-09-25,45,51,29.0,10.0
2000-09-26,42,50,39.0,10.0
2000-09-27,33,54,17.0,11.0
2000-09-28,33,67,31.0,11.0
2000-09-29,47,93,19.0,11.0
2000-09-30,79,140,34.0,14.0
2000-10-01,34,124,11.0,14.0
2000-10-02,25,93,14.0,7.0
2000-10-03,37,51,33.0,9.0
2000-10-04,42,49,14.0,9.0
2000-10-05,57,77,23.0,10.0
2000-10-06,34,54,19.0,13.0
