Date Local,NO2 AQI,O3 AQI,SO2 AQI,CO AQI
2000-03-02,4,35,0.0,2.0
2000-03-03,8,25,0.0,1.0
2000-03-04,33,41,21.0,2.0
2000-03-05,15,45,1.0,3.0
2000-03-06,10,42,1.0,1.0
2000-03-07,26,39,1.0,3.0
2000-03-08,29,45,3.0,1.0
2000-03-09,8,27,3.0,1.0
2000-03-10,8,19,0.0,0.0
2000-03-11,17,36,0.0,1.0
2000-03-12,30,43,0.0,1.0
2000-03-13,25,50,3.0,2.0
2000-03-14,23,77,1.0,2.0
2000-03-15,27,48,3.0,2.0
2000-03-16,8,16,0.0,0.0
2000-03-17,5,30,0.0,0.0
2000-03-18,9,25,0.0,1.0
2000-03-19,20,20,1.0,1.0
2000-03-20,10,47,1.0,2.0
2000-03-21,25,42,0.0,2.0
2000-03-22,16,40,1.0,2.0
2000-03-23,6,47,3.0,1.0
2000-03-24,41,20,0.0,3.0
2000-03-25,24,48,0.0,5.0
2000-03-26,20,38,0.0,1.0
2000-03-27,32,44,4.0,1.0
2000-03-28,15,40,4.0,1.0
2000-03-29,9,36,0.0,2.0
2000-03-30,24,31,1.0,2.0
2000-03-31,26,47,1.0,2.0
2000-04-01,24,31,3.0,2.0
2000-04-02,33,36,36.0,2.0
2000-04-03,10,37,1.0,2.0
2000-04-04,32,40,3.0,1.0
2000-04-05,8,71,0.0,1.0
2000-04-06,31,54,0.0,2.0
2000-04-07,8,40,0.0,1.0
2000-04-08,27,40,0.0,1.0
2000-04-09,21,49,3.0,2.0
2000-04-10,4,44,0.0,1.0
2000-04-11,10,39,1.0,1.0
2000-04-12,7,33,1.0,1.0
2000-04-13,25,49,0.0,1.0
2000-04-14,12,40,39.0,2.0
2000-04-15,2,45,34.0,1.0
2000-04-16,6,28,9.0,1.0
2000-04-17,23,36,86.0,2.0
2000-04-18,16,51,1.0,2.0
2000-04-19,2,43,3.0,1.0
2000-04-20,8,34,3.0,1.0
2000-04-21,24,45,0.0,1.0
2000-04-22,18,54,0.0,2.0
2000-04-23,8,46,0.0,1.0
2000-04-24,14,47,0.0,1.0
2000-04-25,28,54,4.0,1.0
2000-04-26,25,51,0.0,1.0
2000-04-27,11,50,1.0,0.0
2000-04-28,30,45,1.0,0.0
2000-04-29,22,67,0.0,0.0
2000-04-30,11,71,0.0,0.0
2000-05-01,8,41,0.0,0.0
2000-05-02,17,34,0.0,0.0
2000-05-03,16,42,0.0,0.0
2000-05-04,9,47,3.0,0.0
2000-05-05,8,38,0.0,1.0
2000-05-06,4,28,0.0,1.0
2000-05-07,0,31,0.0,1.0
2000-05-08,7,37,0.0,1.0
