Date Local,NO2 AQI,O3 AQI,SO2 AQI,CO AQI
2000-03-03,18,25,7.0,1.0
2000-03-04,17,46,7.0,1.0
2000-03-05,8,54,16.0,0.0
2000-03-06,7,47,4.0,1.0
2000-03-07,5,36,4.0,1.0
2000-03-08,25,40,37.0,0.0
2000-03-09,12,31,56.0,0.0
2000-03-10,13,24,10.0,1.0
2000-03-11,16,35,24.0,0.0
2000-03-12,7,45,4.0,0.0
2000-03-13,14,51,40.0,1.0
2000-03-14,10,43,4.0,1.0
2000-03-15,6,47,4.0,1.0
2000-03-16,9,25,0.0,0.0
2000-03-17,11,25,40.0,3.0
2000-03-18,10,23,24.0,0.0
2000-03-19,11,38,37.0,1.0
2000-03-20,6,51,43.0,2.0
2000-03-21,11,45,85.0,1.0
2000-03-22,11,37,103.0,3.0
2000-03-23,8,45,34.0,2.0
2000-03-24,13,48,1.0,1.0
2000-03-25,17,80,49.0,5.0
2000-03-26,25,47,101.0,6.0
2000-03-27,14,45,0.0,1.0
2000-03-28,19,39,94.0,10.0
2000-03-29,8,19,64.0,8.0
2000-03-30,10,33,20.0,0.0
2000-03-31,15,37,50.0,6.0
2000-04-01,12,30,7.0,2.0
2000-04-02,11,29,0.0,0.0
2000-04-03,11,23,21.0,0.0
2000-04-04,15,31,7.0,1.0
2000-04-05,6,37,0.0,0.0
2000-04-06,19,44,102.0,5.0
2000-04-07,15,30,9.0,1.0
2000-04-08,8,31,7.0,1.0
2000-04-09,7,41,4.0,1.0
2000-04-10,9,36,51.0,1.0
2000-04-11,9,36,26.0,1.0
2000-04-12,8,25,56.0,6.0
2000-04-13,12,14,16.0,1.0
2000-04-27,9,42,14.0,1.0
2000-05-04,8,51,0.0,2.0
2000-05-11,4,48,7.0,1.0
2000-05-12,25,45,17.0,1.0
2000-05-13,13,46,7.0,0.0
2000-05-14,8,49,10.0,0.0
2000-05-15,7,47,10.0,1.0
2000-05-16,8,47,7.0,0.0
2000-05-17,7,40,6.0,0.0
2000-05-18,17,42,13.0,0.0
2000-05-19,12,39,7.0,0.0
2000-05-20,8,47,10.0,0.0
2000-05-21,7,50,16.0,0.0
2000-05-22,8,67,1.0,0.0
2000-05-23,8,101,1.0,0.0
2000-07-07,8,84,4.0,1.0
2000-07-08,7,71,1.0,1.0
2000-07-09,10,77,3.0,1.0
2000-07-10,8,77,3.0,1.0
2000-07-11,14,49,1.0,1.0
2000-07-12,22,71,4.0,1.0
2000-07-13,17,49,21.0,7.0
2000-07-14,17,101,9.0,1.0
2000-07-15,17,137,3.0,2.0
2000-07-16,11,106,3.0,1.0
2000-07-17,25,111,27.0,7.0
2000-07-18,17,127,9.0,8.0
2000-07-19,16,46,16.0,14.0
2000-07-20,12,38,14.0,13.0
2000-07-21,10,44,14.0,3.0
2000-07-22,11,44,13.0,2.0
2000-07-23,9,38,27.0,6.0
2000-07-24,9,47,4.0,0.0
2000-07-25,9,49,13.0,0.0
2000-07-26,9,106,11.0,1.0
2000-07-27,13,49,24.0,1.0
2000-07-28,12,97,14.0,1.0
2000-07-29,10,48,3.0,1.0
2000-07-30,14,51,0.0,1.0
2000-07-31,20,58,9.0,2.0
2000-08-01,13,93,20.0,2.0
2000-08-02,8,67,7.0,0.0
2000-08-03,8,51,4.0,1.0
2000-08-04,11,114,6.0,1.0
2000-08-05,9,61,4.0,0.0
2000-08-06,8,44,1.0,0.0
2000-08-07,8,47,4.0,0.0
2000-08-08,12,48,11.0,0.0
2000-08-09,10,51,1.0,0.0
2000-08-10,9,47,0.0,0.0
2000-09-09,6,48,1.0,0.0
2000-09-10,10,71,9.0,0.0
2000-09-11,10,93,7.0,0.0
2000-09-12,28,80,27.0,3.0
2000-09-13,11,84,10.0,3.0
2000-09-14,21,67,6.0,0.0
2000-09-15,31,49,21.0,6.0
2000-09-16,23,77,20.0,5.0
2000-09-17,10,90,9.0,0.0
2000-09-18,13,116,11.0,0.0
2000-09-19,11,100,3.0,0.0
2000-09-20,17,45,10.0,1.0
2000-09-21,19,47,1.0,1.0
2000-09-22,11,46,7.0,1.0
2000-09-23,11,29,13.0,5.0
2000-09-24,13,13,7.0,0.0
2000-09-25,23,34,14.0,1.0
2000-09-26,17,41,0.0,1.0
2000-11-02,31,19,3.0,1.0
2001-04-01,14,41,10.0,1.0
2001-04-19,9,43,6.0,1.0
2001-04-20,7,35,3.0,0.0
2001-04-21,8,40,4.0,0.0
2001-04-22,7,38,3.0,0.0
2001-04-23,24,42,11.0,0.0
2001-04-24,24,45,7.0,1.0
2001-04-25,22,58,7.0,1.0
2001-04-26,17,54,0.0,1.0
2001-04-27,11,97,1.0,0.0
2001-04-28,8,100,1.0,0.0
2001-04-29,7,93,4.0,0.0
2001-04-30,8,84,3.0,0.0
2001-05-01,8,51,4.0,1.0
2001-05-02,9,42,7.0,0.0
2001-05-03,9,31,6.0,0.0
2001-05-04,8,34,17.0,1.0
2001-05-05,6,38,1.0,1.0
2001-05-06,11,36,10.0,1.0
2001-05-07,11,43,9.0,2.0
2001-05-08,22,54,19.0,1.0
2001-05-09,10,77,1.0,0.0
2001-05-10,8,61,3.0,0.0
2001-05-11,9,34,6.0,1.0
2001-05-12,8,58,13.0,0.0
2001-05-13,7,64,0.0,0.0
2001-05-14,8,48,1.0,0.0
2001-05-15,7,54,1.0,0.0
2001-05-16,8,54,1.0,0.0
2001-05-17,11,39,1.0,0.0
2001-05-18,12,42,7.0,1.0
2001-05-19,9,38,1.0,2.0
2001-05-20,10,34,6.0,1.0
2001-05-21,17,33,10.0,1.0
2001-05-22,13,42,6.0,2.0
2001-05-23,11,42,6.0,1.0
2001-05-24,13,39,9.0,0.0
2001-05-25,13,44,4.0,0.0
2001-05-26,13,51,1.0,0.0
2001-05-27,12,50,26.0,3.0
2001-05-28,12,47,33.0,3.0
2001-05-29,9,39,20.0,2.0
2001-05-30,13,46,11.0,0.0
2001-05-31,10,35,21.0,0.0
2001-06-14,12,24,1.0,0.0
2001-06-15,16,49,1.0,0.0
2001-06-16,9,67,3.0,0.0
2001-06-17,12,104,31.0,1.0
2001-06-18,10,100,13.0,0.0
2001-06-19,8,140,6.0,0.0
2001-06-20,14,77,26.0,3.0
2001-06-21,16,43,1.0,1.0
2001-06-22,19,67,1.0,1.0
2001-06-23,7,106,1.0,0.0
2001-06-24,8,77,6.0,0.0
2001-06-25,8,77,6.0,0.0
2001-06-26,7,97,4.0,0.0
2001-06-27,15,51,9.0,0.0
2001-06-28,10,39,7.0,0.0
2001-06-29,9,43,16.0,1.0
2001-07-13,10,42,24.0,7.0
2001-07-14,9,87,24.0,7.0
2001-07-15,8,54,7.0,0.0
2001-07-16,6,80,3.0,1.0
2001-07-17,7,71,1.0,0.0
2001-07-18,7,61,3.0,0.0
2001-07-19,8,67,3.0,0.0
2001-07-20,6,50,4.0,0.0
2001-07-21,7,48,6.0,0.0
2001-07-22,10,49,11.0,0.0
2001-07-23,8,61,4.0,0.0
2001-07-24,9,116,4.0,0.0
2001-07-25,9,109,1.0,0.0
2001-08-09,10,54,3.0,0.0
2001-08-10,15,47,3.0,0.0
2001-08-11,28,38,6.0,1.0
2001-08-12,23,58,17.0,1.0
2001-08-13,15,50,16.0,3.0
2001-08-14,12,71,40.0,1.0
2001-08-15,17,61,3.0,0.0
2001-08-16,10,47,19.0,1.0
2001-08-17,18,77,11.0,1.0
2001-08-18,25,87,16.0,1.0
2001-08-19,11,71,40.0,3.0
2001-08-20,12,84,37.0,1.0
2001-08-21,8,43,11.0,0.0
2001-08-22,8,37,6.0,0.0
2001-08-23,8,47,4.0,0.0
2001-08-24,8,49,14.0,1.0
2001-08-25,8,87,7.0,0.0
2001-08-26,9,45,11.0,1.0
2001-08-27,20,51,79.0,3.0
2001-08-28,17,109,6.0,3.0
2001-08-29,12,38,7.0,0.0
2001-08-30,9,34,16.0,1.0
2001-08-31,14,38,14.0,3.0
2001-09-01,21,58,50.0,6.0
2001-09-02,17,44,3.0,0.0
2001-09-03,15,45,19.0,1.0
2001-09-04,14,45,13.0,2.0
2001-09-05,15,43,21.0,1.0
2001-09-06,7,42,4.0,0.0
2001-09-07,8,31,6.0,0.0
2001-09-08,11,33,7.0,0.0
2001-09-09,18,32,7.0,0.0
2001-09-10,14,43,4.0,1.0
2001-09-11,13,47,10.0,0.0
2001-09-12,17,87,10.0,0.0
2001-09-13,19,87,71.0,1.0
2001-09-14,11,74,17.0,1.0
2001-09-15,10,39,4.0,1.0
2001-09-16,6,33,7.0,1.0
2001-09-17,7,44,6.0,1.0
2001-09-18,6,34,1.0,1.0
2001-09-19,12,38,3.0,1.0
2001-09-20,8,37,6.0,0.0
2001-09-21,8,38,19.0,2.0
2001-09-22,9,49,11.0,1.0
2001-09-23,8,28,1.0,0.0
2001-09-24,7,29,4.0,0.0
2001-09-25,12,35,23.0,1.0
2001-09-26,8,43,17.0,1.0
2001-09-27,10,58,13.0,0.0
2001-09-28,17,74,62.0,5.0
2001-09-29,16,49,79.0,9.0
2001-09-30,20,43,16.0,1.0
2001-10-01,20,61,1.0,1.0
2001-10-02,10,61,4.0,0.0
2001-10-03,9,71,6.0,0.0
2001-10-04,9,42,7.0,1.0
2001-10-05,20,27,1.0,1.0
2001-10-06,19,33,4.0,1.0
2001-10-07,6,36,7.0,0.0
2001-10-08,5,42,6.0,0.0
2001-10-09,7,41,6.0,0.0
2001-10-10,18,31,7.0,0.0
2001-10-11,18,33,1.0,1.0
2001-10-12,6,38,0.0,0.0
