Date Local,NO2 AQI,O3 AQI,SO2 AQI,CO AQI
2006-01-01,5,28,9.0,2.0
2006-01-02,13,28,6.0,2.0
2006-01-03,33,17,21.0,7.0
2006-01-04,18,17,11.0,6.0
2006-01-05,16,19,7.0,3.0
2006-01-06,24,22,7.0,3.0
2006-01-07,3,25,1.0,2.0
2006-01-08,21,24,16.0,5.0
2006-01-09,26,22,11.0,6.0
2006-01-10,17,24,30.0,3.0
2006-01-11,11,22,30.0,3.0
2006-01-12,12,14,3.0,3.0
2006-01-13,11,18,13.0,3.0
2006-01-14,16,28,3.0,3.0
2006-01-15,2,27,0.0,2.0
2006-01-16,1,31,0.0,2.0
2006-01-17,15,30,6.0,3.0
2006-01-18,15,29,6.0,3.0
2006-01-19,6,30,26.0,2.0
2006-01-20,10,19,4.0,3.0
2006-01-21,12,29,3.0,3.0
2006-01-22,2,31,1.0,2.0
2006-01-23,8,22,7.0,2.0
2006-01-24,26,18,11.0,5.0
2006-01-25,7,25,7.0,3.0
2006-01-26,5,29,1.0,2.0
2006-01-27,8,29,10.0,2.0
2006-01-28,11,26,9.0,2.0
2006-01-29,1,26,4.0,2.0
2006-01-30,5,29,6.0,2.0
2006-01-31,6,29,4.0,2.0
2006-02-01,9,31,3.0,3.0
2006-02-02,11,26,9.0,3.0
2006-02-03,4,27,1.0,2.0
2006-02-04,12,18,3.0,3.0
2006-02-05,4,23,3.0,3.0
2006-02-06,4,26,19.0,2.0
2006-02-07,5,28,14.0,2.0
2006-02-08,2,30,1.0,2.0
2006-02-09,10,30,6.0,3.0
2006-02-10,3,29,3.0,2.0
2006-02-11,7,32,6.0,3.0
2006-02-12,8,32,4.0,3.0
2006-02-13,1,33,3.0,2.0
2006-02-14,6,33,19.0,2.0
2006-02-15,11,26,10.0,3.0
2006-02-16,8,33,3.0,2.0
2006-02-17,8,32,4.0,2.0
2006-02-18,0,33,0.0,2.0
2006-02-19,2,31,1.0,2.0
2006-02-20,7,32,13.0,2.0
2006-02-21,17,31,4.0,3.0
2006-02-22,13,27,9.0,5.0
2006-02-23,6,31,3.0,3.0
2006-02-24,7,32,1.0,2.0
2006-02-25,3,34,1.0,2.0
2006-02-26,0,33,1.0,2.0
2006-02-27,5,31,1.0,2.0
2006-02-28,2,31,6.0,2.0
2006-03-01,7,25,4.0,2.0
2006-03-02,7,28,4.0,2.0
2006-03-03,6,28,1.0,2.0
2006-03-04,4,34,1.0,2.0
2006-03-05,0,36,0.0,2.0
2006-03-06,5,35,1.0,2.0
2006-03-07,13,34,3.0,3.0
2006-03-08,6,34,3.0,3.0
2006-03-09,10,35,9.0,3.0
2006-03-10,8,33,0.0,2.0
2006-03-11,2,35,1.0,2.0
2006-03-12,9,37,3.0,3.0
2006-03-13,9,33,3.0,3.0
2006-03-14,10,31,3.0,3.0
2006-03-15,3,33,1.0,2.0
2006-03-16,2,36,0.0,2.0
2006-03-17,3,35,0.0,2.0
2006-03-18,1,36,1.0,2.0
2006-03-19,1,33,0.0,2.0
2006-03-20,1,36,0.0,2.0
2006-03-21,4,34,0.0,2.0
2006-03-22,4,34,1.0,2.0
2006-03-23,8,36,1.0,2.0
2006-03-24,23,31,3.0,3.0
2006-03-25,9,31,3.0,3.0
2006-03-26,4,39,1.0,2.0
2006-03-27,5,40,1.0,2.0
2006-03-28,8,41,4.0,2.0
2006-03-29,8,44,9.0,2.0
2006-03-30,10,43,6.0,2.0
2006-03-31,21,50,9.0,5.0
2006-04-01,7,46,4.0,5.0
2006-04-02,1,40,0.0,2.0
2006-04-03,8,38,3.0,2.0
2006-04-04,3,36,4.0,2.0
2006-04-05,9,29,0.0,2.0
2006-04-06,11,30,0.0,3.0
2006-04-07,4,36,0.0,2.0
2006-04-08,1,33,0.0,2.0
2006-04-09,2,32,3.0,2.0
2006-04-10,8,38,3.0,2.0
2006-04-11,7,42,6.0,2.0
2006-04-12,15,54,3.0,2.0
2006-04-13,2,38,0.0,2.0
2006-04-14,6,41,1.0,2.0
2006-04-15,5,35,0.0,2.0
2006-04-16,1,30,0.0,2.0
2006-04-17,1,33,0.0,2.0
2006-04-18,1,36,0.0,2.0
2006-04-19,7,44,4.0,2.0
2006-04-20,5,38,4.0,2.0
2006-04-21,6,36,3.0,2.0
2006-04-22,11,37,1.0,3.0
2006-04-23,6,37,3.0,3.0
2006-04-24,8,29,6.0,2.0
2006-04-25,2,32,3.0,2.0
2006-04-26,1,37,0.0,2.0
2006-04-27,3,42,0.0,2.0
2006-04-28,14,31,6.0,2.0
2006-04-29,6,36,3.0,2.0
2006-04-30,5,38,1.0,2.0
2006-05-01,8,34,4.0,2.0
2006-05-02,4,31,0.0,2.0
2006-05-03,3,27,1.0,2.0
2006-05-04,11,28,1.0,2.0
2006-05-05,6,35,1.0,2.0
2006-05-06,4,29,0.0,2.0
2006-05-07,2,37,0.0,2.0
2006-05-08,8,35,7.0,2.0
2006-05-09,4,37,1.0,2.0
2006-05-10,2,29,0.0,2.0
2006-05-11,3,33,0.0,2.0
2006-05-12,5,40,4.0,2.0
2006-05-13,4,51,4.0,2.0
2006-05-14,4,44,1.0,2.0
2006-05-15,7,67,3.0,2.0
2006-05-16,3,37,0.0,2.0
2006-05-17,5,34,0.0,2.0
2006-05-18,5,21,0.0,2.0
2006-05-19,2,41,0.0,2.0
2006-05-20,2,38,0.0,2.0
2006-05-21,4,15,0.0,2.0
2006-05-22,2,26,0.0,2.0
2006-06-28,2,19,0.0,1.0
2006-06-29,2,31,1.0,2.0
2006-06-30,6,34,0.0,2.0
2006-07-01,0,25,0.0,2.0
2006-07-02,1,31,0.0,2.0
2006-07-03,2,23,0.0,2.0
2006-07-04,2,31,0.0,2.0
2006-07-05,3,34,0.0,2.0
2006-07-06,2,18,0.0,2.0
2006-07-07,3,21,0.0,2.0
2006-07-08,2,24,0.0,2.0
2006-07-09,1,45,1.0,2.0
2006-07-10,3,42,1.0,3.0
2006-07-11,3,49,1.0,2.0
2006-07-12,6,25,0.0,2.0
2006-07-13,3,24,0.0,2.0
2006-07-14,3,28,0.0,2.0
2006-07-15,2,21,1.0,2.0
2006-07-16,1,34,0.0,2.0
2006-07-17,2,29,0.0,2.0
2006-07-18,2,31,0.0,3.0
2006-07-19,4,25,0.0,2.0
2006-07-20,3,31,0.0,2.0
2006-07-21,4,20,0.0,1.0
2006-07-22,2,28,0.0,2.0
2006-07-23,0,29,0.0,2.0
2006-07-24,4,23,0.0,1.0
2006-07-25,3,27,0.0,2.0
2006-07-26,6,24,0.0,2.0
2006-07-27,1,42,0.0,3.0
2006-07-28,2,30,0.0,2.0
2006-07-29,2,19,0.0,2.0
2006-07-30,2,20,0.0,1.0
2006-07-31,4,22,0.0,2.0
2006-08-01,6,26,0.0,3.0
2006-08-02,6,24,0.0,2.0
