Date Local,NO2 AQI,O3 AQI,SO2 AQI,CO AQI
2014-01-01,24,24,1.0,8.0
2014-01-02,21,16,1.0,7.0
2014-01-03,24,32,1.0,3.0
2014-01-04,22,28,0.0,3.0
2014-01-05,8,21,0.0,3.0
2014-01-06,5,31,0.0,2.0
2014-01-07,29,30,0.0,2.0
2014-01-08,31,19,3.0,6.0
2014-01-09,29,27,4.0,8.0
2014-01-10,14,18,0.0,5.0
2014-01-11,12,27,0.0,5.0
2014-01-12,28,31,1.0,7.0
2014-01-13,18,27,0.0,8.0
2014-01-14,24,16,4.0,10.0
2014-01-15,31,23,3.0,10.0
2014-01-16,28,23,1.0,7.0
2014-01-17,20,28,3.0,7.0
2014-01-18,25,27,0.0,5.0
2014-01-19,27,31,1.0,5.0
2014-01-20,30,28,1.0,6.0
2014-01-21,24,24,1.0,6.0
2014-01-22,29,29,10.0,5.0
2014-01-23,25,29,4.0,6.0
2014-01-24,25,25,7.0,5.0
2014-01-25,7,30,4.0,5.0
2014-01-26,21,32,3.0,3.0
2014-01-27,20,34,1.0,3.0
2014-01-28,4,32,1.0,2.0
2014-01-29,25,31,11.0,3.0
2014-01-30,34,33,4.0,6.0
2014-01-31,37,25,4.0,10.0
2014-02-01,32,32,4.0,14.0
2014-02-02,17,31,0.0,5.0
2014-02-03,8,24,0.0,5.0
2014-02-04,6,24,0.0,3.0
2014-02-05,13,23,0.0,3.0
2014-02-06,11,32,3.0,3.0
2014-02-07,27,29,1.0,5.0
2014-02-08,24,31,1.0,5.0
2014-02-09,27,28,1.0,7.0
2014-02-10,12,26,1.0,6.0
2014-02-11,6,30,6.0,3.0
2014-02-12,4,31,7.0,2.0
2014-02-13,8,28,0.0,3.0
2014-02-14,17,37,0.0,3.0
2014-02-15,16,38,6.0,5.0
2014-02-16,33,37,1.0,6.0
2014-02-17,15,36,3.0,6.0
2014-02-18,40,37,1.0,7.0
2014-02-19,30,28,1.0,8.0
2014-02-20,20,38,0.0,9.0
2014-02-21,23,28,0.0,3.0
2014-02-22,28,38,3.0,6.0
2014-02-23,27,41,1.0,7.0
2014-02-24,19,39,3.0,3.0
2014-02-25,22,31,3.0,3.0
2014-02-26,24,31,6.0,3.0
2014-02-27,26,36,7.0,3.0
2014-02-28,5,37,3.0,2.0
2014-03-01,35,38,1.0,9.0
2014-03-02,31,45,1.0,9.0
2014-03-03,11,39,0.0,2.0
2014-03-04,6,35,1.0,2.0
2014-03-05,12,34,3.0,2.0
2014-03-06,12,35,6.0,3.0
2014-03-07,5,32,0.0,2.0
2014-03-08,22,41,3.0,5.0
2014-03-09,29,48,1.0,5.0
2014-03-10,25,43,3.0,7.0
