Date Local,NO2 AQI,O3 AQI,SO2 AQI,CO AQI
2011-01-31,6,31,1.0,2.0
2011-02-01,12,30,3.0,2.0
2011-02-02,16,27,6.0,3.0
2011-02-03,23,32,3.0,2.0
2011-02-04,55,31,4.0,7.0
2011-02-05,41,26,7.0,8.0
2011-02-06,15,24,7.0,2.0
2011-02-07,30,22,7.0,3.0
2011-02-08,12,27,4.0,3.0
2011-02-09,14,31,4.0,2.0
2011-02-11,42,28,7.0,3.0
2011-02-12,22,34,6.0,3.0
2011-02-13,17,37,3.0,2.0
2011-02-14,10,37,13.0,2.0
2011-02-15,25,30,14.0,3.0
2011-02-16,42,14,4.0,10.0
2011-02-17,49,35,6.0,11.0
2011-02-18,19,36,3.0,5.0
2011-02-19,7,32,14.0,2.0
2011-02-20,6,31,21.0,2.0
2011-02-21,5,31,0.0,2.0
2011-02-22,36,30,0.0,5.0
2011-02-23,35,32,9.0,6.0
2011-02-24,36,21,9.0,5.0
2011-02-25,18,30,6.0,2.0
2011-02-26,20,32,3.0,2.0
2011-02-27,20,36,3.0,2.0
2011-02-28,9,33,10.0,2.0
2011-03-01,38,35,1.0,3.0
2011-03-02,8,31,21.0,3.0
2011-03-03,37,31,4.0,3.0
2011-03-04,18,31,7.0,2.0
2011-03-05,7,32,1.0,2.0
2011-03-07,30,32,21.0,3.0
2011-03-08,30,36,4.0,3.0
2011-03-09,15,32,11.0,2.0
2011-03-10,16,31,1.0,2.0
2011-03-11,8,31,1.0,2.0
2011-03-12,13,32,3.0,2.0
2011-03-13,8,28,9.0,2.0
2011-03-14,28,30,21.0,2.0
2011-03-15,26,34,1.0,5.0
2011-03-16,15,23,3.0,2.0
2011-03-17,9,40,4.0,2.0
2011-03-18,6,41,3.0,2.0
2011-03-19,4,36,7.0,1.0
2011-03-21,14,30,6.0,2.0
2011-03-22,8,36,10.0,2.0
2011-03-23,5,32,0.0,2.0
2011-03-24,7,32,4.0,1.0
2011-03-25,11,32,10.0,2.0
2011-03-26,22,31,10.0,2.0
2011-03-27,15,37,6.0,2.0
2011-03-28,21,36,13.0,2.0
2011-03-29,17,37,7.0,2.0
2011-03-30,23,37,27.0,2.0
2011-03-31,10,32,1.0,2.0
2011-04-01,16,34,7.0,2.0
2011-04-02,10,43,7.0,2.0
2011-04-03,9,40,11.0,2.0
2011-04-05,8,34,0.0,2.0
2011-04-06,23,31,1.0,2.0
2011-04-07,36,36,4.0,5.0
2011-04-08,29,39,6.0,3.0
2011-04-09,25,42,0.0,5.0
2011-04-10,8,34,1.0,2.0
2011-04-11,10,39,3.0,2.0
2011-04-12,3,42,1.0,2.0
2011-04-13,8,36,0.0,1.0
2011-04-14,4,33,0.0,1.0
2011-04-15,3,34,0.0,1.0
2011-04-16,8,33,0.0,1.0
2011-04-17,7,37,0.0,1.0
2011-04-18,10,29,1.0,2.0
2011-04-20,22,34,0.0,2.0
2011-04-21,32,40,6.0,2.0
2011-04-22,30,37,0.0,5.0
2011-04-23,5,36,0.0,1.0
2011-04-24,21,33,36.0,3.0
2011-04-25,17,30,0.0,3.0
2011-04-26,15,20,6.0,3.0
2011-04-27,23,33,0.0,2.0
2011-04-28,10,40,0.0,2.0
2011-04-29,14,27,4.0,1.0
2011-04-30,19,35,11.0,2.0
2011-05-01,20,40,0.0,2.0
2011-05-02,20,24,0.0,2.0
2011-05-03,9,21,0.0,2.0
2011-05-04,19,18,11.0,2.0
2011-05-05,19,40,11.0,2.0
2011-05-06,16,47,1.0,2.0
2011-05-07,33,39,3.0,1.0
2011-05-08,20,25,1.0,3.0
2011-05-09,18,9,0.0,3.0
2011-05-31,19,49,1.0,3.0
2011-06-01,9,50,3.0,3.0
2011-06-02,10,42,23.0,2.0
2011-06-03,20,37,24.0,2.0
2011-06-04,15,33,1.0,2.0
2011-06-05,11,47,21.0,3.0
2011-06-06,31,45,4.0,2.0
2011-06-07,15,71,3.0,2.0
2011-06-08,12,42,3.0,2.0
2011-06-09,6,61,11.0,2.0
2011-06-10,4,23,0.0,2.0
2011-06-11,7,31,1.0,3.0
2011-06-13,6,30,11.0,2.0
2011-06-14,26,36,0.0,3.0
2011-06-15,22,36,6.0,3.0
2011-06-16,16,37,0.0,6.0
2011-06-17,14,49,1.0,3.0
2011-06-18,6,42,24.0,3.0
2011-06-19,8,14,0.0,3.0
2011-06-20,12,36,1.0,2.0
2011-06-21,29,36,0.0,2.0
2011-06-22,9,27,0.0,2.0
2011-06-23,12,37,1.0,2.0
2011-06-24,13,27,0.0,2.0
2011-06-25,3,23,0.0,1.0
2011-06-26,13,15,11.0,3.0
2011-06-27,9,31,1.0,3.0
2011-06-28,7,49,3.0,2.0
2011-06-29,7,28,0.0,2.0
2011-06-30,22,39,11.0,2.0
2011-07-01,25,36,0.0,3.0
2011-07-02,13,77,0.0,5.0
2011-07-03,8,41,0.0,2.0
2011-07-04,20,33,0.0,2.0
2011-07-05,11,37,0.0,2.0
2011-07-06,12,67,11.0,2.0
2011-07-07,15,26,0.0,2.0
2011-07-08,29,42,3.0,3.0
2011-07-09,9,31,0.0,3.0
2011-07-10,14,31,0.0,3.0
2011-07-11,11,67,4.0,2.0
2011-07-12,8,48,31.0,2.0
2011-07-13,9,25,20.0,2.0
2011-07-14,21,26,0.0,2.0
