Date Local,NO2 AQI,O3 AQI,SO2 AQI,CO AQI
2012-06-05,4,51,3.0,2.0
2012-06-06,5,64,0.0,1.0
2012-06-07,10,51,0.0,1.0
2012-06-08,5,48,0.0,1.0
2012-06-09,4,49,1.0,1.0
2012-06-10,1,42,0.0,1.0
2012-06-11,6,48,0.0,1.0
2012-06-12,7,47,0.0,1.0
2012-06-13,10,47,0.0,1.0
2012-06-14,4,50,0.0,1.0
2012-06-15,7,51,0.0,1.0
2012-06-16,5,71,0.0,1.0
2012-06-17,3,50,0.0,1.0
2012-06-18,6,43,1.0,1.0
2012-06-19,2,87,1.0,1.0
2012-06-20,8,58,0.0,1.0
2012-06-21,8,74,0.0,1.0
2012-06-22,4,46,1.0,1.0
2012-06-23,3,47,1.0,1.0
2012-06-24,4,44,0.0,1.0
2012-06-25,5,45,1.0,1.0
2012-06-26,9,48,1.0,1.0
2012-06-27,10,58,1.0,1.0
2012-06-28,10,50,1.0,3.0
2012-06-29,7,64,1.0,3.0
2012-06-30,4,84,1.0,1.0
