Date Local,NO2 AQI,O3 AQI,SO2 AQI,CO AQI
2006-01-02,25,16,1.0,6.0
2006-01-03,38,19,4.0,9.0
2006-01-04,39,27,9.0,10.0
2006-01-05,18,29,1.0,3.0
2006-01-06,39,26,6.0,8.0
2006-01-07,21,8,1.0,13.0
2006-01-08,30,5,0.0,15.0
2006-01-09,20,22,0.0,13.0
2006-01-10,38,22,0.0,14.0
2006-01-11,30,21,1.0,14.0
2006-01-12,33,42,3.0,9.0
2006-01-13,31,31,0.0,13.0
2006-01-14,17,25,3.0,9.0
2006-01-15,23,28,1.0,6.0
2006-01-16,40,14,7.0,15.0
2006-01-17,37,20,4.0,15.0
2006-01-18,31,27,3.0,11.0
2006-01-19,41,26,10.0,10.0
2006-01-20,35,13,29.0,14.0
2006-01-21,43,8,7.0,19.0
2006-01-22,42,25,4.0,19.0
2006-01-23,39,21,3.0,9.0
2006-01-24,37,24,3.0,7.0
2006-01-25,29,31,1.0,6.0
2006-01-26,32,30,3.0,7.0
2006-01-27,36,28,1.0,13.0
2006-01-28,24,32,3.0,15.0
2006-01-29,28,41,1.0,11.0
2006-01-30,31,42,1.0,14.0
2006-01-31,30,23,3.0,13.0
2006-02-03,25,32,6.0,18.0
2006-02-04,25,43,3.0,9.0
2006-02-05,36,42,3.0,13.0
2006-02-06,33,34,3.0,13.0
2006-02-07,47,28,7.0,18.0
2006-02-08,42,6,10.0,19.0
2006-02-09,32,24,4.0,20.0
2006-02-10,24,36,3.0,6.0
2006-02-11,49,36,3.0,18.0
2006-02-12,53,19,1.0,20.0
2006-02-13,41,37,7.0,17.0
2006-02-14,31,31,1.0,9.0
2006-02-15,10,29,1.0,3.0
2006-02-16,33,31,1.0,6.0
2006-02-17,26,29,1.0,6.0
2006-02-18,25,27,1.0,5.0
2006-02-19,28,27,1.0,6.0
2006-02-20,33,33,1.0,7.0
2006-02-21,31,33,1.0,7.0
2006-02-22,41,39,1.0,9.0
2006-02-23,31,31,1.0,10.0
2006-02-24,26,36,1.0,10.0
2006-02-25,39,35,3.0,11.0
2006-02-26,50,71,4.0,13.0
2006-02-27,42,50,3.0,9.0
2006-02-28,28,30,3.0,9.0
2006-03-01,27,32,1.0,9.0
2006-03-02,29,31,1.0,8.0
2006-03-03,34,29,1.0,7.0
2006-03-04,36,38,1.0,8.0
2006-03-05,29,41,1.0,11.0
2006-03-06,34,31,3.0,13.0
2006-03-07,11,31,0.0,8.0
2006-03-14,34,28,3.0,1.0
2006-03-15,24,35,1.0,7.0
2006-03-16,29,36,1.0,10.0
2006-03-17,20,37,1.0,6.0
2006-03-18,21,35,3.0,5.0
2006-03-19,13,36,0.0,5.0
2006-03-20,25,36,0.0,5.0
2006-03-21,34,36,1.0,6.0
2006-03-22,42,38,1.0,9.0
2006-03-23,55,17,3.0,16.0
2006-03-24,34,32,1.0,10.0
2006-03-25,33,29,1.0,7.0
2006-03-26,18,34,1.0,5.0
2006-03-27,21,35,0.0,5.0
2006-03-28,17,31,1.0,6.0
2006-03-29,22,36,1.0,5.0
2006-03-30,22,31,3.0,6.0
2006-03-31,27,33,3.0,7.0
2006-04-01,25,32,1.0,7.0
2006-04-02,25,42,1.0,10.0
2006-04-03,42,40,4.0,14.0
2006-04-04,24,43,3.0,9.0
2006-04-05,12,43,0.0,3.0
2006-04-06,32,41,1.0,6.0
2006-04-07,33,45,3.0,7.0
2006-04-08,28,44,1.0,10.0
2006-04-09,17,43,0.0,9.0
2006-04-10,18,33,1.0,6.0
2006-04-11,16,31,1.0,5.0
2006-04-12,28,35,1.0,7.0
2006-04-13,38,26,0.0,8.0
2006-04-14,23,27,1.0,6.0
2006-04-15,24,35,1.0,5.0
2006-04-16,24,30,1.0,6.0
2006-04-17,22,37,1.0,5.0
2006-04-18,29,42,1.0,8.0
2006-04-19,23,50,1.0,8.0
2006-04-20,26,42,1.0,9.0
2006-04-21,16,39,1.0,6.0
2006-04-22,20,30,1.0,5.0
2006-04-23,14,42,1.0,3.0
2006-04-24,16,34,1.0,6.0
2006-04-25,23,35,1.0,7.0
2006-04-26,22,34,1.0,5.0
2006-04-27,24,30,1.0,3.0
2006-04-28,21,37,3.0,5.0
2006-04-29,13,38,1.0,5.0
2006-04-30,7,43,3.0,6.0
2006-05-01,8,45,1.0,6.0
2006-05-02,10,35,1.0,5.0
2006-05-03,9,36,1.0,3.0
2006-05-04,15,36,1.0,3.0
2006-05-05,13,33,1.0,3.0
2006-05-06,13,39,1.0,3.0
2006-05-07,25,39,1.0,5.0
2006-05-08,14,38,1.0,6.0
2006-05-09,21,32,1.0,9.0
2006-05-10,15,42,1.0,9.0
2006-05-11,13,48,1.0,5.0
2006-05-12,12,46,1.0,5.0
2006-05-13,15,35,1.0,6.0
2006-05-14,15,38,1.0,6.0
2006-05-15,9,33,1.0,5.0
2006-05-16,16,41,1.0,6.0
2006-05-17,9,42,1.0,5.0
2006-05-18,10,34,0.0,6.0
2006-05-19,20,31,1.0,6.0
2006-05-20,17,37,1.0,6.0
2006-05-21,16,30,1.0,8.0
2006-05-22,22,41,0.0,5.0
2006-05-23,18,36,1.0,6.0
2006-05-24,31,28,132.0,7.0
2006-05-25,10,36,1.0,5.0
2006-05-26,17,32,1.0,3.0
2006-05-27,13,31,0.0,3.0
2006-05-28,20,37,0.0,6.0
2006-05-29,19,28,1.0,7.0
2006-05-30,21,28,1.0,10.0
2006-05-31,23,31,3.0,8.0
2006-06-01,18,40,0.0,6.0
2006-06-02,18,40,1.0,6.0
2006-06-03,22,27,3.0,9.0
2006-06-04,10,37,0.0,3.0
2006-06-05,11,26,0.0,5.0
2006-06-06,16,25,0.0,5.0
