Date Local,NO2 AQI,O3 AQI,SO2 AQI,CO AQI
2000-01-01,17,22,9.0,8.0
2000-01-02,29,26,6.0,14.0
2000-01-03,33,19,10.0,19.0
2000-01-04,33,12,10.0,23.0
2000-01-05,38,31,11.0,27.0
2000-01-06,33,32,10.0,6.0
2000-01-07,46,8,10.0,24.0
2000-01-08,48,15,0.0,28.0
2000-01-09,53,14,0.0,35.0
2000-01-10,57,12,0.0,39.0
2000-01-11,66,10,1.0,41.0
2000-01-12,71,13,0.0,32.0
2000-01-13,55,11,14.0,31.0
2000-01-14,48,10,0.0,31.0
2000-01-15,42,18,0.0,33.0
2000-01-16,44,14,0.0,28.0
2000-01-17,42,8,0.0,22.0
2000-01-18,43,15,0.0,18.0
2000-01-19,41,10,14.0,22.0
2000-01-20,48,11,14.0,25.0
2000-01-21,25,17,4.0,6.0
2000-01-22,37,15,6.0,11.0
2000-01-23,42,11,10.0,20.0
2000-01-24,44,15,16.0,28.0
2000-01-25,47,7,14.0,14.0
2000-01-26,28,19,6.0,10.0
2000-01-27,28,20,13.0,23.0
2000-01-28,28,21,14.0,25.0
2000-01-29,28,27,9.0,7.0
2000-01-30,28,24,3.0,9.0
2000-01-31,28,17,4.0,8.0
2000-02-01,32,21,0.0,18.0
2000-02-02,32,25,0.0,15.0
2000-02-03,32,27,3.0,23.0
2000-02-04,32,20,0.0,22.0
2000-02-05,32,20,0.0,20.0
2000-02-06,32,31,0.0,19.0
2000-02-07,32,28,0.0,23.0
2000-02-08,32,2,0.0,18.0
2000-02-09,32,17,6.0,34.0
2000-02-10,32,20,0.0,5.0
2000-02-11,32,27,0.0,6.0
2000-02-12,32,31,0.0,5.0
2000-02-13,32,19,0.0,5.0
2000-02-14,32,12,0.0,8.0
2000-02-15,32,12,0.0,16.0
2000-02-16,32,22,1.0,19.0
2000-02-17,32,31,1.0,9.0
2000-02-18,32,22,3.0,22.0
2000-02-19,32,31,1.0,9.0
2000-02-20,32,29,0.0,8.0
2000-02-21,32,28,0.0,9.0
2000-02-22,32,25,1.0,19.0
2000-02-23,32,20,1.0,5.0
2000-02-24,32,25,4.0,16.0
2000-02-25,32,25,0.0,8.0
2000-02-26,32,32,3.0,19.0
2000-02-27,32,23,3.0,22.0
2000-02-28,32,32,0.0,6.0
2000-02-29,32,22,3.0,9.0
2000-03-01,16,30,3.0,8.0
