Date Local,NO2 AQI,O3 AQI,SO2 AQI,CO AQI
2008-01-01,34,32,0.0,3.0
2008-01-02,33,30,1.0,7.0
2008-01-03,32,34,14.0,3.0
2008-01-04,31,31,0.0,7.0
2008-01-05,16,31,0.0,3.0
2008-01-06,13,28,1.0,6.0
2008-01-07,5,26,1.0,3.0
2008-01-08,21,25,3.0,5.0
2008-01-09,39,34,13.0,9.0
2008-01-10,33,30,4.0,10.0
2008-01-11,45,34,7.0,11.0
2008-01-12,41,34,3.0,13.0
2008-01-13,32,36,1.0,5.0
2008-01-14,37,31,3.0,7.0
2008-01-15,38,22,1.0,5.0
2008-01-16,21,25,0.0,3.0
2008-01-17,14,17,1.0,3.0
2008-01-18,18,17,0.0,3.0
2008-01-19,27,27,3.0,11.0
2008-01-20,27,36,11.0,13.0
2008-01-21,17,26,1.0,5.0
2008-01-22,13,21,4.0,6.0
2008-01-23,16,6,1.0,3.0
2008-01-24,19,17,1.0,3.0
2008-01-25,22,13,1.0,5.0
2008-01-26,32,25,4.0,14.0
2008-01-27,31,34,39.0,22.0
2008-01-28,15,23,1.0,3.0
2008-01-29,11,31,3.0,2.0
2008-01-30,33,32,14.0,3.0
2008-01-31,38,34,1.0,3.0
2008-02-01,37,36,4.0,11.0
2008-02-02,29,40,3.0,8.0
2008-02-03,5,36,3.0,3.0
2008-02-04,7,30,4.0,3.0
2008-02-05,17,29,1.0,3.0
2008-02-06,38,32,0.0,8.0
2008-02-07,46,36,1.0,9.0
2008-02-08,45,43,6.0,16.0
2008-02-09,34,41,16.0,13.0
2008-02-10,25,37,14.0,5.0
2008-02-11,8,30,1.0,3.0
2008-02-12,19,30,3.0,3.0
2008-02-13,40,38,17.0,9.0
2008-02-14,32,39,4.0,7.0
2008-02-15,11,24,1.0,3.0
2008-02-16,19,25,1.0,3.0
2008-02-17,24,34,3.0,3.0
2008-02-18,28,33,1.0,2.0
2008-02-19,37,40,19.0,6.0
2008-02-20,15,31,0.0,3.0
2008-02-21,15,33,0.0,3.0
2008-02-22,18,31,0.0,2.0
2008-02-23,23,37,3.0,2.0
2008-02-24,27,45,3.0,3.0
2008-02-25,40,31,3.0,7.0
2008-02-26,22,35,0.0,6.0
2008-02-27,36,38,6.0,6.0
2008-02-28,32,42,1.0,8.0
2008-02-29,12,38,6.0,3.0
2008-03-01,20,32,6.0,5.0
2008-03-02,5,28,1.0,2.0
2008-03-03,10,27,0.0,3.0
2008-03-04,33,36,0.0,5.0
2008-03-05,43,47,1.0,8.0
2008-03-06,14,29,0.0,3.0
2008-03-07,42,36,3.0,9.0
2008-03-08,35,43,16.0,15.0
2008-03-09,32,38,7.0,5.0
2008-03-10,27,26,4.0,5.0
2008-03-11,36,43,6.0,10.0
2008-03-12,35,49,6.0,13.0
2008-03-13,12,35,1.0,3.0
2008-03-14,41,41,4.0,7.0
2008-03-15,35,64,4.0,9.0
2008-03-16,7,34,1.0,3.0
2008-03-17,9,24,6.0,3.0
2008-03-18,8,18,4.0,3.0
2008-03-19,39,40,3.0,7.0
2008-03-20,35,50,11.0,10.0
2008-03-21,27,54,3.0,6.0
2008-03-22,25,47,10.0,7.0
2008-03-23,15,42,1.0,6.0
2008-03-24,18,46,10.0,3.0
2008-03-25,23,44,0.0,5.0
2008-03-26,8,36,0.0,3.0
2008-03-27,4,35,0.0,2.0
2008-03-28,15,27,1.0,3.0
2008-03-29,11,20,0.0,3.0
2008-03-30,8,20,0.0,3.0
2008-03-31,12,16,0.0,3.0
2008-04-01,12,32,0.0,5.0
2008-04-02,12,20,4.0,3.0
2008-04-03,6,21,0.0,3.0
2008-04-04,14,31,0.0,3.0
2008-04-05,25,58,4.0,5.0
2008-04-06,25,40,0.0,5.0
2008-04-07,10,36,6.0,5.0
2008-04-08,8,32,4.0,3.0
2008-04-09,5,25,1.0,3.0
2008-04-10,27,45,19.0,3.0
2008-04-11,34,46,4.0,3.0
2008-04-12,36,42,0.0,5.0
2008-04-13,37,47,1.0,7.0
2008-04-14,34,51,1.0,6.0
2008-04-15,36,64,4.0,7.0
2008-04-16,12,41,9.0,3.0
2008-04-17,6,37,6.0,3.0
2008-04-18,35,46,1.0,6.0
2008-04-19,31,80,10.0,9.0
2008-04-20,8,29,0.0,5.0
2008-04-21,7,23,4.0,3.0
2008-04-22,8,30,9.0,3.0
2008-04-23,5,23,6.0,2.0
2008-04-24,8,30,6.0,2.0
2008-04-25,10,31,1.0,2.0
2008-04-26,12,43,7.0,2.0
2008-04-27,7,38,0.0,2.0
2008-04-28,37,58,1.0,5.0
2008-04-29,35,54,3.0,10.0
2008-04-30,20,51,0.0,5.0
2008-05-01,7,37,0.0,3.0
2008-05-02,14,50,1.0,5.0
2008-05-03,13,43,1.0,3.0
2008-05-04,9,42,3.0,3.0
2008-05-05,5,31,1.0,3.0
2008-05-06,5,33,3.0,3.0
2008-05-07,42,37,1.0,5.0
2008-05-08,36,67,4.0,7.0
2008-05-09,10,44,0.0,5.0
2008-05-10,6,36,0.0,6.0
2008-05-11,8,54,0.0,6.0
2008-05-12,13,42,13.0,3.0
2008-05-13,6,29,0.0,5.0
2008-05-14,19,31,3.0,5.0
2008-05-15,24,34,0.0,3.0
2008-05-16,16,64,0.0,3.0
2008-05-17,26,51,1.0,5.0
2008-05-18,33,46,0.0,6.0
2008-05-19,30,49,4.0,9.0
2008-05-20,11,47,4.0,3.0
2008-05-21,6,39,0.0,3.0
2008-05-22,4,38,0.0,5.0
2008-05-23,6,42,3.0,5.0
2008-05-24,5,36,3.0,3.0
2008-05-25,5,26,3.0,3.0
2008-05-30,8,35,1.0,2.0
2008-05-31,3,28,1.0,3.0
2008-06-01,5,31,0.0,3.0
2008-06-02,3,26,0.0,3.0
2008-06-03,3,27,1.0,2.0
2008-06-04,2,22,0.0,1.0
2008-06-05,2,19,0.0,1.0
2008-06-06,3,19,0.0,0.0
2008-06-07,3,18,0.0,0.0
2008-06-08,2,19,0.0,1.0
2008-06-09,2,20,0.0,1.0
2008-06-10,4,24,0.0,3.0
2008-06-11,3,25,0.0,3.0
2008-06-12,6,25,0.0,2.0
2008-06-13,3,23,0.0,2.0
2008-06-14,2,25,0.0,1.0
2008-06-15,2,27,0.0,2.0
2008-06-16,3,25,1.0,1.0
2008-06-17,5,27,10.0,2.0
2008-06-18,15,32,3.0,2.0
2008-06-19,7,38,4.0,2.0
2008-06-20,10,42,7.0,3.0
2008-06-21,25,45,1.0,3.0
2008-06-22,11,64,1.0,3.0
2008-06-23,26,58,30.0,6.0
2008-06-24,3,23,1.0,2.0
2008-06-25,4,20,1.0,2.0
2008-06-26,3,26,0.0,2.0
2008-06-27,2,27,0.0,3.0
2008-06-28,2,24,0.0,3.0
2008-06-29,8,21,0.0,2.0
2008-06-30,6,25,7.0,2.0
2008-07-01,18,22,4.0,3.0
2008-07-02,14,19,0.0,2.0
2008-07-03,9,14,1.0,3.0
2008-07-04,8,18,3.0,5.0
2008-07-05,8,21,3.0,6.0
2008-07-06,7,23,0.0,2.0
2008-07-07,13,16,6.0,2.0
2008-07-08,9,14,3.0,5.0
2008-07-09,9,21,0.0,3.0
2008-07-10,5,24,0.0,3.0
2008-07-11,3,25,0.0,2.0
2008-07-12,3,26,1.0,3.0
2008-07-13,7,30,0.0,1.0
2008-07-14,5,34,1.0,2.0
2008-07-15,5,28,7.0,2.0
2008-07-16,5,19,14.0,2.0
2008-07-17,5,20,1.0,2.0
2008-07-18,4,21,0.0,2.0
2008-07-19,3,23,0.0,2.0
2008-07-20,5,21,0.0,2.0
2008-07-21,8,25,13.0,3.0
2008-07-22,13,39,0.0,3.0
2008-07-27,5,27,1.0,2.0
2008-07-28,6,35,0.0,1.0
2008-07-29,4,28,0.0,1.0
2008-07-30,4,29,0.0,2.0
2008-07-31,3,32,1.0,2.0
2008-08-01,6,29,0.0,1.0
2008-08-02,6,27,1.0,2.0
2008-08-03,8,26,4.0,2.0
2008-08-04,12,47,11.0,5.0
2008-08-05,17,45,0.0,3.0
2008-08-06,10,26,0.0,1.0
2008-08-07,6,22,0.0,2.0
2008-08-08,6,27,7.0,2.0
2008-08-09,7,26,0.0,2.0
2008-08-10,4,26,0.0,2.0
2008-08-11,4,26,0.0,1.0
2008-08-12,35,20,0.0,7.0
2008-08-13,19,74,1.0,9.0
2008-08-14,10,42,0.0,1.0
2008-08-15,8,36,3.0,2.0
2008-08-16,11,31,1.0,2.0
2008-08-17,9,28,0.0,2.0
2008-08-18,11,13,0.0,2.0
2008-08-19,10,28,0.0,2.0
2008-08-20,23,74,0.0,3.0
2008-08-21,7,28,0.0,2.0
2008-08-22,13,17,0.0,3.0
2008-08-23,19,14,0.0,6.0
2008-08-24,22,29,0.0,8.0
2008-08-25,27,46,3.0,8.0
2008-08-26,27,32,0.0,9.0
2008-08-27,9,24,1.0,7.0
2008-08-28,9,19,0.0,8.0
2008-08-29,19,18,0.0,9.0
2008-08-30,23,38,0.0,11.0
2008-08-31,30,47,0.0,13.0
2008-09-01,36,43,0.0,8.0
2008-09-02,31,43,0.0,9.0
2008-09-03,29,32,0.0,7.0
2008-09-04,32,35,1.0,6.0
2008-09-05,33,54,1.0,7.0
2008-09-06,27,67,10.0,7.0
2008-09-07,17,43,1.0,5.0
2008-09-08,6,23,0.0,2.0
2008-09-09,15,25,6.0,3.0
2008-09-10,8,32,1.0,3.0
2008-09-11,24,25,3.0,5.0
2008-09-12,25,36,1.0,5.0
2008-09-13,22,30,1.0,5.0
2008-09-14,12,43,0.0,5.0
2008-09-15,27,28,0.0,2.0
2008-09-16,38,39,7.0,3.0
2008-09-17,35,61,0.0,5.0
2008-09-18,34,45,0.0,3.0
2008-09-19,38,74,0.0,7.0
2008-09-20,36,71,1.0,9.0
2008-09-21,26,40,1.0,3.0
2008-09-22,25,36,1.0,6.0
2008-09-23,30,36,1.0,2.0
2008-09-24,24,39,1.0,3.0
2008-09-25,37,54,3.0,5.0
2008-09-26,48,100,3.0,7.0
2008-09-27,42,100,3.0,9.0
2008-09-28,35,109,3.0,5.0
2008-09-29,51,101,3.0,7.0
2008-09-30,55,109,4.0,7.0
2008-10-01,42,97,9.0,7.0
2008-10-02,41,84,21.0,8.0
2008-10-03,25,50,0.0,6.0
2008-10-04,15,35,3.0,6.0
2008-10-05,4,33,0.0,2.0
2008-10-06,7,27,0.0,2.0
2008-10-07,41,35,0.0,3.0
2008-10-08,41,47,1.0,3.0
2008-10-09,41,58,11.0,7.0
2008-10-10,36,47,7.0,3.0
2008-10-11,7,38,10.0,1.0
2008-10-12,7,36,16.0,2.0
2008-10-13,15,21,3.0,2.0
2008-10-14,15,27,6.0,2.0
2008-10-15,13,18,0.0,2.0
2008-10-16,25,24,1.0,3.0
2008-10-17,30,36,1.0,5.0
2008-10-18,47,50,1.0,9.0
2008-10-19,35,71,1.0,10.0
2008-10-20,31,51,16.0,7.0
2008-10-21,26,36,14.0,7.0
2008-10-22,6,35,0.0,3.0
2008-10-23,26,32,0.0,8.0
2008-10-24,35,42,3.0,13.0
2008-10-25,34,46,9.0,11.0
2008-10-26,39,35,0.0,6.0
2008-10-27,36,31,0.0,7.0
2008-10-28,32,35,20.0,8.0
2008-10-29,30,43,1.0,8.0
2008-10-30,28,40,0.0,6.0
2008-10-31,31,39,0.0,6.0
2008-11-04,11,34,3.0,2.0
2008-11-05,3,31,3.0,2.0
2008-11-06,37,33,4.0,6.0
2008-11-07,43,37,4.0,11.0
2008-11-08,40,58,4.0,15.0
