Date Local,NO2 AQI,O3 AQI,SO2 AQI,CO AQI
2000-01-01,24,24,3.0,6.0
2000-01-02,21,28,6.0,6.0
2000-01-03,42,15,11.0,16.0
2000-01-04,49,11,9.0,19.0
2000-01-05,33,22,4.0,9.0
2000-01-06,31,9,21.0,10.0
2000-01-07,36,13,13.0,14.0
2000-01-08,31,11,6.0,13.0
2000-01-09,35,22,4.0,13.0
2000-01-10,27,18,4.0,8.0
2000-01-11,25,24,3.0,6.0
2000-01-12,38,6,14.0,14.0
2000-01-13,35,9,7.0,18.0
2000-01-14,33,8,9.0,22.0
2000-01-15,25,28,9.0,18.0
2000-01-16,32,30,6.0,10.0
2000-01-17,23,15,7.0,10.0
2000-01-18,22,14,9.0,8.0
2000-01-19,24,16,3.0,8.0
2000-01-20,33,20,7.0,9.0
2000-01-21,35,14,7.0,16.0
2000-01-22,27,15,7.0,8.0
2000-01-23,23,15,4.0,8.0
2000-01-24,36,9,4.0,10.0
2000-01-25,25,21,14.0,10.0
2000-01-26,30,14,14.0,14.0
2000-01-27,28,10,13.0,13.0
2000-01-28,22,20,16.0,11.0
2000-01-29,32,21,20.0,13.0
2000-01-30,31,28,7.0,15.0
2000-01-31,29,17,6.0,11.0
2000-02-01,16,20,16.0,8.0
2000-02-02,33,20,21.0,7.0
2000-02-03,37,18,10.0,10.0
2000-02-04,38,22,6.0,14.0
2000-02-05,33,24,4.0,14.0
2000-02-06,22,26,7.0,14.0
2000-02-07,36,15,11.0,17.0
2000-02-08,55,10,11.0,17.0
2000-02-09,28,19,9.0,7.0
2000-02-10,31,19,4.0,11.0
2000-02-11,34,24,4.0,11.0
2000-02-12,33,26,3.0,6.0
2000-02-13,30,28,3.0,7.0
2000-02-14,27,35,6.0,6.0
2000-02-15,35,15,16.0,9.0
2000-02-16,37,23,6.0,13.0
2000-02-17,30,16,11.0,17.0
2000-02-18,23,19,6.0,14.0
2000-02-19,23,25,7.0,6.0
2000-02-20,19,30,7.0,5.0
2000-02-21,29,31,4.0,6.0
2000-02-22,27,28,3.0,7.0
2000-02-23,31,28,4.0,10.0
2000-02-24,34,20,4.0,14.0
2000-02-25,34,19,6.0,8.0
2000-02-26,37,31,3.0,8.0
2000-02-27,9,35,7.0,3.0
2000-02-28,33,31,4.0,11.0
2000-02-29,26,31,4.0,6.0
2000-03-01,28,22,14.0,9.0
2000-03-02,25,26,4.0,6.0
2000-03-03,31,22,11.0,9.0
2000-03-04,33,30,3.0,10.0
2000-03-05,20,29,1.0,6.0
2000-03-06,24,25,4.0,7.0
2000-03-07,29,23,1.0,6.0
2000-03-08,39,23,4.0,8.0
2000-03-09,32,31,3.0,9.0
2000-03-10,25,24,13.0,11.0
2000-03-11,28,32,1.0,7.0
2000-03-12,31,25,11.0,8.0
2000-03-13,32,27,23.0,9.0
2000-03-14,31,19,14.0,7.0
2000-03-15,36,23,4.0,8.0
2000-03-16,36,32,4.0,8.0
2000-03-17,33,32,3.0,8.0
2000-03-18,35,29,11.0,9.0
2000-03-19,27,32,3.0,8.0
2000-03-20,12,34,1.0,3.0
2000-03-21,42,38,3.0,8.0
2000-03-22,31,31,10.0,8.0
2000-03-23,22,31,4.0,5.0
2000-03-24,30,34,6.0,8.0
2000-03-25,32,35,9.0,8.0
