Date Local,NO2 AQI,O3 AQI,SO2 AQI,CO AQI
2000-01-01,101,33,3.0,15.0
2000-01-02,78,23,3.0,15.0
2000-01-03,114,27,6.0,19.0
2000-01-04,114,39,7.0,22.0
2000-01-05,113,19,6.0,26.0
2000-01-06,115,32,3.0,23.0
2000-01-07,120,38,7.0,27.0
2000-01-08,111,28,3.0,32.0
2000-01-09,116,30,3.0,24.0
2000-01-10,132,34,7.0,30.0
2000-01-11,127,40,7.0,33.0
2000-01-12,124,39,4.0,38.0
2000-01-13,130,32,6.0,35.0
2000-01-14,118,77,4.0,35.0
2000-01-15,124,71,7.0,34.0
2000-01-16,124,48,4.0,35.0
2000-01-17,126,42,4.0,30.0
2000-01-18,121,32,10.0,33.0
2000-01-19,128,42,9.0,33.0
2000-01-20,123,45,9.0,33.0
2000-01-21,123,32,7.0,26.0
2000-01-22,113,44,7.0,30.0
2000-01-23,111,64,7.0,26.0
2000-01-24,119,43,9.0,25.0
2000-01-25,104,47,1.0,26.0
2000-01-26,110,47,6.0,16.0
2000-01-27,113,47,3.0,16.0
2000-01-28,121,39,3.0,20.0
2000-01-29,116,58,3.0,22.0
2000-01-30,107,46,4.0,23.0
2000-01-31,109,36,6.0,19.0
2000-02-01,116,71,3.0,23.0
2000-02-02,108,104,3.0,15.0
2000-02-03,117,87,3.0,24.0
2000-02-04,125,47,4.0,28.0
2000-02-05,112,100,3.0,32.0
2000-02-06,111,106,4.0,28.0
2000-02-07,116,51,7.0,19.0
2000-02-08,111,84,1.0,23.0
2000-02-09,126,40,3.0,24.0
2000-02-10,109,54,3.0,25.0
2000-02-11,107,61,3.0,18.0
2000-02-12,82,67,3.0,17.0
2000-02-13,53,93,3.0,8.0
2000-02-14,107,48,6.0,16.0
2000-02-15,123,77,4.0,24.0
2000-02-16,124,27,6.0,26.0
2000-02-17,103,42,4.0,26.0
2000-02-18,103,32,6.0,15.0
2000-02-19,116,25,9.0,23.0
2000-02-20,108,30,7.0,26.0
2000-02-21,35,28,4.0,5.0
2000-02-22,48,27,4.0,9.0
2000-02-23,97,32,6.0,14.0
2000-02-24,82,35,7.0,15.0
2000-02-25,106,31,9.0,16.0
2000-02-26,110,40,10.0,20.0
2000-02-27,106,47,9.0,22.0
2000-02-28,54,34,9.0,19.0
2000-02-29,53,32,11.0,16.0
2000-03-01,42,34,10.0,17.0
2000-03-02,53,37,13.0,16.0
2000-03-03,54,39,11.0,19.0
2000-03-04,35,31,10.0,11.0
2000-03-05,19,35,7.0,5.0
2000-03-06,31,35,6.0,7.0
2000-03-07,26,27,1.0,7.0
2000-03-08,48,41,4.0,11.0
2000-03-09,44,33,11.0,15.0
2000-03-10,47,33,9.0,20.0
2000-03-11,58,40,11.0,18.0
2000-03-12,52,6,11.0,19.0
2000-03-13,57,41,10.0,16.0
2000-03-14,90,46,10.0,15.0
2000-03-15,58,41,13.0,16.0
2000-03-16,53,41,14.0,14.0
2000-03-17,64,41,13.0,15.0
2000-03-18,47,41,13.0,13.0
2000-03-19,55,50,16.0,10.0
2000-03-20,36,37,16.0,11.0
2000-03-21,34,36,14.0,6.0
2000-03-22,47,36,19.0,10.0
2000-03-23,56,36,24.0,14.0
2000-03-24,76,50,31.0,17.0
2000-03-25,62,61,29.0,22.0
2000-03-26,52,71,31.0,14.0
2000-03-27,44,20,30.0,15.0
2000-03-28,32,33,1.0,7.0
2000-03-29,57,46,3.0,10.0
2000-03-30,41,38,3.0,11.0
2000-09-01,42,25,3.0,8.0
2000-09-02,35,41,3.0,10.0
2000-09-03,35,36,1.0,3.0
2000-09-05,45,41,3.0,5.0
2000-09-06,35,34,1.0,3.0
2000-09-07,52,47,9.0,6.0
2000-09-08,45,40,4.0,8.0
2000-09-12,60,39,4.0,10.0
2000-09-13,70,54,6.0,13.0
2000-09-14,68,48,6.0,13.0
2000-09-15,53,50,6.0,13.0
2000-09-16,62,106,3.0,11.0
2000-09-17,47,58,3.0,8.0
2000-09-18,29,42,3.0,6.0
2000-09-19,54,47,6.0,8.0
2000-09-20,57,43,4.0,9.0
2000-09-21,29,37,1.0,9.0
2000-09-22,34,29,4.0,5.0
2000-09-23,31,25,1.0,6.0
2000-09-24,46,44,1.0,6.0
2000-09-25,60,42,7.0,8.0
2000-09-26,73,49,4.0,8.0
2000-09-27,55,45,4.0,9.0
2000-09-28,50,42,4.0,13.0
2000-09-29,54,40,4.0,8.0
2000-09-30,44,42,3.0,10.0
2000-10-01,42,39,3.0,8.0
2000-10-02,42,28,4.0,14.0
2000-10-03,49,29,3.0,15.0
2000-10-06,67,36,4.0,16.0
2000-10-07,49,36,3.0,20.0
2000-10-08,16,29,0.0,7.0
2000-10-11,39,31,0.0,2.0
2000-10-12,44,31,1.0,8.0
2000-10-13,57,32,3.0,13.0
2000-10-14,54,41,1.0,16.0
2000-10-15,54,47,3.0,15.0
2000-10-16,61,44,3.0,13.0
2000-10-17,55,39,4.0,11.0
2000-10-18,42,34,4.0,10.0
2000-10-19,43,22,3.0,9.0
2000-10-20,43,32,4.0,13.0
2000-10-21,29,25,1.0,15.0
2000-10-22,11,30,0.0,1.0
2000-10-23,25,28,0.0,3.0
2000-10-24,46,29,1.0,9.0
2000-10-25,47,28,3.0,15.0
2000-10-26,71,30,3.0,16.0
2000-10-27,28,17,1.0,6.0
2000-10-28,33,30,1.0,6.0
