Date Local,NO2 AQI,O3 AQI,SO2 AQI,CO AQI
2000-03-31,31,1,14.0,9.0
2000-04-01,42,42,14.0,9.0
2000-04-02,37,42,19.0,8.0
2000-04-03,30,31,6.0,6.0
2000-04-04,33,30,4.0,3.0
2000-04-05,31,31,11.0,5.0
2000-04-06,32,42,14.0,8.0
2000-04-07,20,42,7.0,3.0
2000-04-08,32,61,7.0,5.0
2000-04-09,8,40,4.0,2.0
2000-04-10,24,37,7.0,3.0
2000-04-11,35,28,14.0,5.0
2000-04-12,35,36,6.0,3.0
2000-04-13,38,40,17.0,7.0
2000-04-14,36,41,16.0,6.0
2000-04-15,34,35,9.0,3.0
2000-04-16,18,46,10.0,5.0
2000-04-17,9,35,3.0,2.0
2000-04-18,9,38,4.0,2.0
2000-04-19,25,34,4.0,3.0
2000-04-20,25,35,10.0,6.0
2000-04-21,14,34,3.0,2.0
2000-04-22,9,30,4.0,2.0
2000-04-23,7,31,3.0,1.0
2000-04-24,8,47,7.0,1.0
2000-04-25,28,47,9.0,2.0
2000-04-26,18,46,10.0,2.0
2000-04-27,23,31,6.0,2.0
2000-04-28,39,48,9.0,6.0
2000-04-29,34,50,10.0,7.0
2000-04-30,33,46,9.0,3.0
2000-05-01,29,50,11.0,6.0
2000-05-02,33,43,11.0,3.0
2000-05-03,27,64,9.0,7.0
2000-05-04,42,84,6.0,5.0
2000-05-05,44,46,3.0,9.0
2000-05-06,42,93,10.0,11.0
2000-05-07,29,54,13.0,8.0
2000-05-08,43,84,10.0,7.0
2000-05-09,30,93,24.0,8.0
2000-05-10,31,24,19.0,3.0
2000-05-11,19,38,6.0,2.0
2000-05-12,27,31,9.0,5.0
2000-05-13,21,49,6.0,5.0
2000-05-14,20,41,1.0,3.0
2000-05-15,31,42,4.0,3.0
2000-05-16,43,54,7.0,5.0
2000-05-17,24,90,9.0,5.0
2000-05-18,32,49,3.0,3.0
2000-05-19,15,25,0.0,2.0
2000-05-20,15,21,1.0,2.0
2000-05-21,22,10,10.0,6.0
2000-05-22,28,15,4.0,6.0
2000-05-23,26,31,4.0,5.0
2000-05-24,38,40,6.0,5.0
2000-05-25,32,37,6.0,5.0
2000-05-26,23,36,0.0,2.0
2000-05-27,25,31,6.0,5.0
2000-05-28,11,33,0.0,5.0
2000-05-29,26,32,1.0,1.0
2000-05-30,28,33,6.0,2.0
2000-05-31,30,39,4.0,3.0
2000-06-01,44,40,10.0,5.0
2000-06-02,27,77,13.0,5.0
2000-06-03,22,35,0.0,2.0
2000-06-04,15,50,1.0,2.0
2000-06-05,13,24,0.0,2.0
2000-06-06,8,23,0.0,1.0
2000-06-07,39,39,4.0,0.0
2000-06-09,70,84,33.0,7.0
2000-06-10,48,159,20.0,11.0
2000-06-11,38,74,24.0,6.0
2000-06-12,26,16,11.0,3.0
2000-06-13,25,14,9.0,5.0
2000-06-14,19,13,6.0,3.0
2000-06-15,32,36,1.0,5.0
2000-06-16,21,47,4.0,6.0
2000-06-17,18,31,7.0,6.0
2000-06-18,10,25,0.0,7.0
2000-06-19,29,36,4.0,7.0
2000-06-20,39,45,6.0,8.0
2000-06-21,24,46,9.0,8.0
2000-06-22,25,44,41.0,6.0
2000-06-23,29,30,6.0,7.0
2000-06-24,12,93,11.0,7.0
2000-06-25,31,74,4.0,8.0
2000-06-26,32,42,4.0,9.0
2000-06-27,27,24,9.0,11.0
2000-06-28,31,40,3.0,9.0
2000-06-29,33,38,7.0,9.0
2000-06-30,33,33,1.0,9.0
2000-07-01,30,39,4.0,10.0
2000-07-02,47,71,11.0,9.0
2000-07-03,23,37,4.0,10.0
2000-07-04,19,40,4.0,9.0
2000-07-05,20,30,3.0,9.0
2000-07-06,13,29,1.0,8.0
2000-07-07,15,27,1.0,8.0
2000-07-08,18,28,1.0,9.0
2000-07-09,42,58,16.0,11.0
2000-07-10,28,35,13.0,11.0
2000-07-11,17,35,1.0,11.0
2000-07-12,30,32,1.0,11.0
2000-07-13,32,87,7.0,13.0
2000-07-14,38,61,7.0,13.0
2000-07-15,16,39,1.0,13.0
2000-07-16,28,45,29.0,14.0
