Date Local,NO2 AQI,O3 AQI,SO2 AQI,CO AQI
2000-01-01,39,5,26.0,16.0
2000-01-02,34,23,14.0,14.0
2000-01-03,33,20,16.0,14.0
2000-01-04,19,19,11.0,13.0
2000-01-05,35,19,16.0,10.0
2000-01-06,36,13,39.0,14.0
2000-01-07,35,17,11.0,17.0
2000-01-08,31,8,31.0,11.0
2000-01-09,27,2,26.0,11.0
2000-01-10,27,14,21.0,15.0
2000-01-11,32,21,10.0,13.0
2000-01-12,39,16,19.0,15.0
2000-01-13,34,19,17.0,15.0
2000-01-14,21,24,19.0,8.0
2000-01-15,28,14,37.0,9.0
2000-01-16,22,27,11.0,8.0
2000-01-17,17,27,11.0,7.0
2000-01-18,37,16,20.0,10.0
2000-01-19,33,8,14.0,15.0
2000-01-20,28,22,27.0,14.0
2000-01-21,25,18,26.0,9.0
2000-01-22,38,19,31.0,11.0
2000-01-23,36,6,44.0,11.0
2000-01-24,39,8,55.0,14.0
2000-01-25,25,21,47.0,9.0
2000-01-26,27,21,31.0,9.0
2000-01-27,30,25,30.0,10.0
2000-01-28,32,22,37.0,10.0
2000-01-29,54,22,47.0,14.0
2000-01-30,57,2,43.0,19.0
2000-01-31,42,18,26.0,14.0
2000-02-01,37,19,16.0,14.0
2000-02-02,46,25,20.0,15.0
2000-02-03,48,3,37.0,17.0
2000-02-04,51,5,34.0,22.0
2000-02-05,42,24,30.0,15.0
2000-02-06,45,22,16.0,15.0
2000-02-07,39,20,27.0,16.0
2000-02-08,41,19,23.0,13.0
2000-02-09,49,16,34.0,17.0
2000-02-10,87,16,44.0,19.0
2000-02-11,43,20,26.0,15.0
2000-02-12,39,22,31.0,14.0
2000-02-13,38,12,13.0,15.0
2000-02-14,31,14,21.0,11.0
2000-02-15,39,23,16.0,14.0
2000-02-16,31,23,21.0,14.0
2000-02-17,40,30,74.0,9.0
2000-02-18,31,15,24.0,11.0
2000-02-19,20,16,21.0,10.0
2000-02-20,13,25,16.0,9.0
2000-02-21,34,24,29.0,10.0
2000-02-22,33,24,24.0,13.0
2000-02-23,42,13,29.0,13.0
2000-02-24,41,25,27.0,13.0
2000-02-25,44,33,30.0,13.0
2000-02-26,21,17,33.0,13.0
