Date Local,NO2 AQI,O3 AQI,SO2 AQI,CO AQI
2011-01-01,16,37,1.0,2.0
2011-01-02,16,34,0.0,3.0
2011-01-03,17,35,6.0,3.0
2011-01-04,25,29,3.0,3.0
2011-01-05,20,36,0.0,3.0
2011-01-06,18,36,0.0,2.0
2011-01-10,18,27,1.0,3.0
2011-01-11,9,26,3.0,3.0
2011-01-12,30,29,1.0,2.0
2011-01-19,37,25,0.0,3.0
2011-01-20,14,29,1.0,2.0
2011-01-21,23,25,3.0,3.0
2011-01-22,11,29,3.0,3.0
2011-01-23,33,29,7.0,3.0
2011-01-24,29,33,1.0,2.0
2011-01-25,25,31,0.0,2.0
2011-01-26,36,32,1.0,5.0
2011-01-27,24,29,1.0,3.0
2011-01-28,24,34,0.0,3.0
2011-01-29,7,27,1.0,2.0
2011-01-30,5,27,0.0,2.0
2011-01-31,15,27,1.0,3.0
2011-02-01,8,31,1.0,2.0
2011-02-02,20,31,4.0,3.0
2011-02-03,25,30,0.0,3.0
2011-02-04,36,34,0.0,3.0
2011-02-05,38,36,0.0,6.0
2011-02-06,7,34,1.0,2.0
2011-02-07,10,32,0.0,2.0
2011-02-08,17,30,3.0,2.0
2011-02-09,26,33,1.0,3.0
2011-02-10,22,33,4.0,3.0
2011-02-11,20,36,0.0,3.0
2011-02-12,13,34,0.0,2.0
2011-02-13,5,39,0.0,2.0
2011-02-14,12,34,0.0,2.0
2011-02-15,27,28,1.0,3.0
2011-02-16,10,33,1.0,3.0
2011-02-17,14,32,0.0,3.0
2011-02-18,8,31,0.0,2.0
2011-02-19,7,25,0.0,2.0
2011-02-20,8,29,0.0,2.0
2011-02-21,9,31,0.0,2.0
2011-02-22,33,31,4.0,3.0
2011-02-23,11,39,3.0,2.0
2011-02-24,10,33,1.0,2.0
2011-02-25,6,34,1.0,2.0
2011-02-26,13,33,1.0,2.0
2011-02-27,11,39,3.0,2.0
2011-02-28,39,36,1.0,5.0
2011-03-01,21,39,0.0,3.0
2011-03-02,7,27,0.0,2.0
2011-03-03,15,29,1.0,3.0
2011-03-04,8,35,0.0,2.0
2011-03-05,8,32,0.0,2.0
2011-03-06,9,37,3.0,2.0
2011-03-07,8,39,0.0,2.0
2011-03-08,10,33,0.0,2.0
2011-03-09,13,44,0.0,3.0
2011-03-10,25,38,3.0,3.0
2011-03-11,7,40,3.0,2.0
2011-03-12,5,36,1.0,2.0
2011-03-13,8,30,4.0,2.0
2011-03-14,7,28,0.0,2.0
2011-03-15,26,36,0.0,3.0
2011-03-16,8,41,0.0,3.0
2011-03-17,17,36,1.0,3.0
2011-03-18,17,36,0.0,2.0
2011-03-19,4,34,0.0,2.0
2011-03-20,8,26,0.0,2.0
2011-03-21,25,28,0.0,5.0
2011-03-22,7,22,0.0,2.0
2011-03-23,6,36,0.0,2.0
2011-03-24,13,36,0.0,2.0
2011-03-25,8,32,0.0,2.0
2011-03-26,6,32,0.0,2.0
2011-03-27,5,35,0.0,2.0
2011-03-28,7,37,0.0,2.0
2011-03-29,19,38,0.0,2.0
2011-03-30,23,34,7.0,3.0
2011-03-31,19,21,1.0,2.0
2011-04-01,19,42,1.0,2.0
2011-04-02,12,42,0.0,2.0
2011-04-03,16,32,0.0,3.0
2011-04-04,21,38,0.0,2.0
2011-04-05,11,38,0.0,2.0
2011-04-06,32,42,0.0,3.0
2011-04-07,8,43,0.0,3.0
2011-04-08,9,39,0.0,2.0
2011-04-09,7,21,0.0,3.0
2011-04-10,6,27,0.0,2.0
2011-04-11,38,45,0.0,3.0
2011-04-12,21,47,0.0,3.0
2011-04-13,6,37,0.0,2.0
2011-04-14,5,26,0.0,2.0
2011-04-15,6,32,0.0,2.0
2011-04-16,5,38,0.0,2.0
2011-04-17,6,36,0.0,2.0
2011-04-18,12,35,0.0,2.0
2011-04-19,6,37,0.0,2.0
2011-04-20,38,37,0.0,3.0
2011-04-21,7,34,0.0,3.0
2011-04-22,16,27,0.0,2.0
2011-04-23,17,34,0.0,3.0
2011-04-24,18,43,1.0,3.0
2011-04-25,25,44,3.0,5.0
2011-04-26,6,40,0.0,2.0
2011-04-27,8,42,1.0,2.0
2011-04-28,34,43,0.0,2.0
2011-04-29,6,40,0.0,2.0
2011-04-30,5,35,0.0,2.0
2011-05-01,5,42,0.0,2.0
2011-05-02,11,42,0.0,2.0
2011-05-03,28,45,0.0,3.0
2011-05-04,12,43,0.0,2.0
2011-05-05,22,37,0.0,3.0
2011-05-06,7,45,1.0,3.0
2011-05-07,18,49,1.0,2.0
2011-05-08,4,47,0.0,2.0
2011-05-09,7,37,0.0,2.0
2011-05-10,11,48,1.0,2.0
2011-05-11,8,45,0.0,2.0
2011-05-12,4,22,0.0,2.0
2011-05-13,4,24,0.0,2.0
2011-05-14,3,35,0.0,2.0
2011-05-15,10,42,0.0,2.0
2011-05-16,21,47,1.0,2.0
2011-05-17,19,58,0.0,2.0
2011-05-18,15,51,1.0,2.0
2011-05-19,7,42,0.0,2.0
2011-05-20,8,36,0.0,3.0
2011-05-21,7,47,0.0,2.0
2011-05-22,6,36,0.0,2.0
2011-05-23,8,40,0.0,2.0
2011-05-24,6,28,0.0,2.0
2011-05-25,4,38,0.0,2.0
2011-05-26,8,44,0.0,2.0
2011-05-27,6,35,0.0,2.0
2011-05-28,24,39,0.0,3.0
2011-05-29,12,35,0.0,3.0
2011-05-30,4,42,0.0,2.0
2011-05-31,6,34,0.0,2.0
2011-06-01,14,40,0.0,2.0
2011-06-02,6,42,0.0,2.0
2011-06-03,31,40,1.0,3.0
2011-06-04,25,46,0.0,5.0
2011-06-05,11,61,0.0,2.0
2011-06-06,21,77,3.0,5.0
2011-06-07,16,54,0.0,3.0
2011-06-08,8,36,0.0,2.0
2011-06-09,8,21,0.0,2.0
2011-06-10,8,19,0.0,2.0
2011-06-11,8,43,0.0,2.0
2011-06-12,3,38,0.0,2.0
