Date Local,NO2 AQI,O3 AQI,SO2 AQI,CO AQI
2000-03-31,49,2,21.0,16.0
2000-04-01,48,25,44.0,18.0
2000-04-02,23,36,20.0,16.0
2000-04-03,26,23,10.0,6.0
2000-04-04,36,31,10.0,9.0
2000-04-05,41,43,34.0,9.0
2000-04-06,36,28,27.0,9.0
2000-04-07,27,25,13.0,9.0
2000-04-08,35,33,7.0,9.0
2000-04-09,42,43,9.0,14.0
2000-04-10,39,42,33.0,16.0
2000-04-11,25,29,10.0,6.0
2000-04-12,32,31,14.0,7.0
2000-04-13,41,36,29.0,7.0
2000-04-14,36,30,19.0,14.0
2000-04-15,23,41,16.0,8.0
2000-04-16,20,28,7.0,7.0
2000-04-17,23,11,4.0,7.0
2000-04-18,26,24,33.0,8.0
2000-04-19,26,47,21.0,8.0
2000-04-20,21,26,17.0,7.0
2000-04-21,43,41,9.0,10.0
2000-04-22,54,47,31.0,14.0
2000-04-23,24,30,16.0,8.0
2000-04-24,34,28,19.0,7.0
2000-04-25,48,47,56.0,11.0
2000-04-26,50,41,39.0,16.0
2000-04-27,52,35,33.0,16.0
2000-04-28,52,42,31.0,11.0
2000-04-29,55,51,19.0,13.0
2000-04-30,42,77,27.0,16.0
2000-05-01,22,47,21.0,8.0
2000-05-02,44,49,13.0,7.0
2000-05-03,30,34,30.0,9.0
2000-05-04,38,39,34.0,10.0
2000-05-05,25,41,31.0,9.0
2000-05-06,23,27,33.0,9.0
2000-05-07,19,25,34.0,9.0
2000-05-08,18,32,37.0,9.0
2000-05-09,25,25,7.0,10.0
2000-05-10,84,38,36.0,9.0
2000-05-11,24,34,30.0,9.0
2000-05-12,25,32,6.0,10.0
2000-05-13,29,36,7.0,7.0
2000-05-14,41,43,16.0,10.0
2000-05-15,35,44,46.0,10.0
2000-05-16,32,45,79.0,11.0
2000-05-17,35,47,40.0,10.0
2000-05-18,18,42,24.0,9.0
2000-05-19,12,25,10.0,8.0
2000-05-20,42,32,41.0,14.0
2000-05-21,36,37,10.0,15.0
2000-05-22,30,42,11.0,13.0
2000-05-23,48,41,14.0,16.0
2000-05-24,48,51,24.0,17.0
2000-05-25,63,50,29.0,14.0
2000-05-26,55,35,31.0,16.0
2000-05-27,15,36,11.0,9.0
2000-05-28,10,30,7.0,8.0
2000-05-29,16,47,24.0,8.0
2000-05-30,24,93,17.0,10.0
2000-05-31,25,51,30.0,10.0
2000-06-01,27,51,19.0,10.0
2000-06-02,25,36,9.0,9.0
2000-06-03,48,49,14.0,8.0
2000-06-04,38,47,23.0,13.0
2000-06-05,25,31,7.0,7.0
2000-06-06,49,47,17.0,9.0
2000-06-07,42,58,89.0,14.0
2000-06-08,33,84,13.0,7.0
2000-06-09,38,58,36.0,8.0
2000-06-10,32,31,39.0,8.0
2000-06-11,26,23,10.0,8.0
2000-06-12,24,14,4.0,8.0
2000-06-13,15,37,4.0,7.0
2000-06-14,30,33,13.0,7.0
2000-06-15,19,36,26.0,6.0
2000-06-16,37,22,21.0,6.0
2000-06-17,16,19,10.0,5.0
2000-06-18,38,33,19.0,9.0
2000-06-19,42,36,39.0,13.0
2000-06-20,20,32,20.0,6.0
2000-06-21,8,31,24.0,5.0
2000-06-22,50,40,27.0,9.0
2000-06-23,31,37,11.0,10.0
2000-06-24,17,25,11.0,7.0
2000-06-25,21,44,26.0,6.0
2000-06-26,22,31,10.0,6.0
2000-06-27,35,32,14.0,6.0
