Date Local,NO2 AQI,O3 AQI,SO2 AQI,CO AQI
2000-03-31,60,0,24.0,43.0
2000-04-01,62,31,62.0,32.0
2000-04-02,50,34,17.0,30.0
2000-04-03,26,25,1.0,20.0
2000-04-04,55,33,1.0,22.0
2000-04-05,51,44,20.0,23.0
2000-04-06,40,26,14.0,17.0
2000-04-07,31,24,13.0,18.0
2000-04-08,45,33,1.0,15.0
2000-04-09,64,43,11.0,23.0
2000-04-10,53,36,26.0,23.0
2000-04-11,28,26,31.0,9.0
2000-04-12,35,32,21.0,8.0
2000-04-13,52,39,17.0,9.0
2000-04-14,55,31,79.0,10.0
2000-04-15,26,42,33.0,9.0
2000-04-16,30,27,10.0,9.0
2000-04-17,36,8,3.0,8.0
2000-04-18,31,25,30.0,10.0
2000-04-19,27,47,46.0,2.0
2000-04-20,18,27,39.0,2.0
2000-04-21,61,39,3.0,6.0
2000-04-22,56,47,19.0,11.0
2000-04-23,34,29,64.0,5.0
2000-04-24,45,26,10.0,3.0
2000-04-25,67,40,24.0,13.0
2000-04-26,80,41,44.0,16.0
2000-04-27,73,31,29.0,16.0
2000-04-28,69,37,39.0,10.0
2000-04-29,71,61,29.0,13.0
2000-04-30,66,90,31.0,16.0
2000-05-01,40,49,20.0,6.0
2000-05-02,64,49,14.0,6.0
2000-05-03,35,35,30.0,6.0
2000-05-04,32,42,51.0,6.0
2000-05-05,29,42,31.0,6.0
2000-05-06,21,30,27.0,6.0
2000-05-07,25,21,33.0,6.0
2000-05-08,26,33,33.0,6.0
2000-05-09,39,26,14.0,8.0
2000-05-10,25,45,26.0,6.0
2000-05-11,21,33,33.0,2.0
2000-05-12,29,36,10.0,3.0
2000-05-13,19,36,3.0,2.0
2000-05-14,50,42,11.0,6.0
2000-05-15,36,45,23.0,7.0
2000-05-16,25,48,16.0,3.0
2000-05-17,36,45,49.0,5.0
2000-05-18,20,37,19.0,5.0
2000-05-19,27,20,30.0,5.0
2000-05-20,48,36,17.0,9.0
2000-05-21,41,38,9.0,14.0
2000-05-22,40,47,13.0,9.0
2000-05-23,58,41,14.0,6.0
2000-05-24,60,49,7.0,7.0
2000-05-25,70,54,19.0,8.0
2000-05-26,45,32,19.0,8.0
2000-05-27,20,35,17.0,6.0
2000-05-28,16,30,4.0,6.0
2000-05-29,25,45,33.0,6.0
2000-05-30,22,77,36.0,6.0
2000-05-31,33,101,69.0,7.0
2000-06-01,37,71,13.0,7.0
2000-06-02,28,37,49.0,7.0
2000-06-03,42,46,9.0,7.0
2000-06-04,43,51,19.0,8.0
2000-06-05,32,29,13.0,7.0
2000-06-06,55,47,39.0,14.0
2000-06-07,46,80,29.0,28.0
2000-06-08,34,100,40.0,8.0
2000-06-09,49,74,30.0,9.0
2000-06-10,25,31,30.0,9.0
2000-06-11,27,28,16.0,10.0
2000-06-12,28,25,54.0,10.0
2000-06-13,25,40,47.0,9.0
2000-06-14,35,36,23.0,8.0
2000-06-15,25,39,10.0,8.0
2000-06-16,32,21,19.0,9.0
2000-06-17,23,15,7.0,9.0
2000-06-18,38,32,23.0,14.0
2000-06-19,37,36,24.0,30.0
2000-06-20,18,32,19.0,8.0
2000-06-21,21,34,17.0,5.0
2000-06-22,50,48,1.0,10.0
2000-06-23,43,42,17.0,14.0
2000-06-24,14,27,11.0,6.0
2000-06-25,27,41,23.0,6.0
2000-06-26,22,34,26.0,6.0
2000-06-27,36,34,16.0,7.0
2000-06-28,34,50,17.0,9.0
2000-06-29,45,41,4.0,13.0
2000-06-30,40,26,103.0,23.0
2000-07-01,31,58,21.0,10.0
2000-07-02,29,40,36.0,8.0
2000-07-03,16,36,11.0,9.0
2000-07-04,22,33,9.0,9.0
2000-07-05,37,58,9.0,10.0
2000-07-06,31,45,19.0,10.0
2000-07-07,26,77,7.0,9.0
2000-07-08,28,101,36.0,9.0
2000-07-09,29,74,50.0,9.0
2000-07-10,20,64,4.0,10.0
2000-07-11,28,54,11.0,10.0
2000-07-12,30,67,20.0,11.0
2000-07-13,41,51,23.0,13.0
2000-07-14,39,58,4.0,14.0
2000-07-15,33,47,29.0,6.0
2000-07-16,32,90,24.0,11.0
2000-07-17,27,27,24.0,7.0
