Date Local,NO2 AQI,O3 AQI,SO2 AQI,CO AQI
2000-03-31,49,3,14.0,13.0
2000-04-01,48,31,109.0,11.0
2000-04-02,45,36,23.0,11.0
2000-04-03,26,25,6.0,8.0
2000-04-04,42,33,4.0,6.0
2000-04-05,37,47,29.0,5.0
2000-04-06,38,29,21.0,2.0
2000-04-07,24,23,11.0,5.0
2000-04-08,37,34,10.0,5.0
2000-04-09,43,45,9.0,6.0
2000-04-10,42,46,65.0,7.0
2000-04-11,16,28,11.0,3.0
2000-04-12,27,34,33.0,5.0
2000-04-13,26,37,39.0,3.0
2000-04-14,37,33,24.0,6.0
2000-04-15,14,42,19.0,3.0
2000-04-16,16,27,10.0,3.0
2000-04-17,22,12,6.0,5.0
2000-04-18,24,26,29.0,7.0
2000-04-19,19,51,37.0,3.0
2000-04-20,12,26,55.0,3.0
2000-04-21,33,39,4.0,3.0
2000-04-22,37,50,11.0,5.0
2000-04-23,20,30,17.0,5.0
2000-04-24,23,31,24.0,6.0
2000-04-25,53,43,30.0,7.0
2000-04-26,56,42,37.0,8.0
2000-04-27,50,31,19.0,8.0
2000-04-28,44,44,16.0,6.0
2000-04-29,44,61,20.0,7.0
2000-04-30,51,87,44.0,7.0
2000-05-01,27,48,33.0,5.0
2000-05-02,18,51,23.0,5.0
2000-05-03,18,34,37.0,6.0
2000-05-04,57,42,29.0,5.0
2000-05-05,27,43,41.0,8.0
2000-05-06,17,30,34.0,5.0
2000-05-07,15,22,27.0,5.0
2000-05-08,13,35,33.0,5.0
2000-05-09,25,27,10.0,6.0
2000-05-10,23,40,46.0,5.0
2000-05-11,25,35,54.0,5.0
2000-05-12,19,33,6.0,6.0
2000-05-13,25,38,6.0,5.0
2000-05-14,28,44,9.0,5.0
2000-05-15,34,46,49.0,5.0
2000-05-16,24,47,94.0,3.0
2000-05-17,26,47,39.0,5.0
2000-05-18,14,42,37.0,3.0
2000-05-19,17,24,17.0,3.0
2000-05-20,32,32,30.0,6.0
2000-05-21,33,36,14.0,6.0
2000-05-22,25,47,9.0,6.0
2000-05-23,54,45,16.0,10.0
2000-05-24,42,58,26.0,11.0
2000-05-25,52,77,23.0,5.0
2000-05-26,23,33,13.0,5.0
2000-05-27,14,36,13.0,5.0
2000-05-28,12,31,1.0,3.0
2000-05-29,22,47,10.0,5.0
2000-05-30,21,84,17.0,5.0
2000-05-31,31,50,20.0,5.0
2000-06-01,31,50,10.0,5.0
2000-06-02,19,38,9.0,5.0
2000-06-03,20,58,7.0,5.0
2000-06-04,25,58,11.0,6.0
2000-06-05,17,31,1.0,5.0
2000-06-06,49,47,10.0,7.0
2000-06-07,44,77,39.0,10.0
2000-06-08,20,77,57.0,5.0
2000-06-09,38,49,19.0,6.0
2000-06-10,27,31,30.0,6.0
2000-06-11,24,21,7.0,7.0
2000-06-12,17,19,3.0,7.0
2000-06-13,15,38,6.0,6.0
2000-06-14,24,33,3.0,6.0
2000-06-15,15,34,43.0,6.0
2000-06-16,33,19,7.0,7.0
2000-06-17,25,13,7.0,7.0
2000-06-18,34,36,16.0,7.0
2000-06-19,33,35,39.0,10.0
2000-06-20,19,35,19.0,6.0
2000-06-21,18,32,0.0,6.0
2000-06-22,34,42,19.0,7.0
2000-06-23,19,37,10.0,7.0
2000-06-24,16,27,10.0,6.0
2000-06-25,20,40,79.0,6.0
2000-06-26,22,34,13.0,6.0
2000-06-27,35,32,20.0,6.0
2000-06-28,38,54,23.0,8.0
2000-06-29,43,42,1.0,8.0
2000-06-30,34,22,31.0,11.0
2000-07-01,22,49,50.0,8.0
2000-07-02,22,33,9.0,6.0
2000-07-03,8,31,7.0,6.0
2000-07-04,8,30,1.0,6.0
2000-07-05,41,48,19.0,8.0
2000-07-06,41,61,29.0,8.0
2000-07-07,29,80,7.0,8.0
2000-07-08,28,101,69.0,7.0
2000-07-09,22,48,6.0,7.0
2000-07-10,11,40,0.0,7.0
2000-07-11,30,42,102.0,7.0
2000-07-12,26,77,1.0,7.0
2000-07-13,36,74,4.0,8.0
2000-07-14,33,51,0.0,9.0
2000-07-15,34,61,9.0,8.0
2000-07-16,33,87,26.0,9.0
2000-07-17,25,29,21.0,7.0
2000-07-18,28,36,101.0,8.0
2000-07-19,14,39,14.0,6.0
2000-07-20,38,35,9.0,7.0
2000-07-21,33,38,1.0,9.0
2000-07-22,35,47,40.0,7.0
2000-07-23,29,42,7.0,7.0
2000-07-24,50,49,23.0,7.0
2000-07-25,46,80,57.0,10.0
2000-07-26,42,101,31.0,7.0
2000-07-27,40,47,13.0,7.0
2000-07-28,35,35,13.0,8.0
2000-07-29,28,34,9.0,8.0
2000-07-30,34,42,0.0,9.0
2000-07-31,40,30,3.0,10.0
2000-08-01,39,49,14.0,11.0
2000-08-02,34,46,9.0,9.0
2000-08-03,31,74,14.0,9.0
2000-08-04,18,47,16.0,6.0
2000-08-05,19,38,60.0,8.0
2000-08-06,32,42,4.0,8.0
2000-08-07,30,33,61.0,9.0
2000-08-08,30,24,65.0,8.0
2000-08-09,18,51,9.0,8.0
2000-08-10,44,45,56.0,8.0
2000-08-11,43,67,20.0,10.0
2000-08-12,39,100,30.0,11.0
2000-08-13,19,49,60.0,7.0
2000-08-14,30,54,13.0,7.0
2000-08-15,63,90,16.0,13.0
2000-08-16,39,119,31.0,13.0
2000-08-17,30,50,9.0,8.0
2000-08-18,41,37,17.0,8.0
2000-08-19,36,37,11.0,10.0
2000-08-20,11,39,4.0,6.0
2000-08-21,18,47,37.0,7.0
2000-08-22,29,87,50.0,8.0
2000-08-23,43,97,10.0,9.0
2000-08-24,23,61,21.0,8.0
2000-08-25,25,58,71.0,8.0
2000-08-26,33,30,85.0,10.0
2000-08-27,23,48,47.0,10.0
2000-08-28,24,116,29.0,9.0
2000-08-29,54,111,14.0,10.0
2000-08-30,35,156,29.0,13.0
2000-08-31,28,106,50.0,8.0
2000-09-01,34,101,144.0,9.0
2000-09-02,24,100,41.0,8.0
2000-09-03,18,122,17.0,8.0
2000-09-04,19,34,17.0,8.0
2000-09-05,22,35,14.0,7.0
2000-09-06,21,45,44.0,6.0
2000-09-07,26,42,69.0,7.0
2000-09-08,25,25,76.0,7.0
2000-09-09,19,23,59.0,7.0
2000-09-10,13,26,29.0,7.0
2000-09-11,17,34,24.0,7.0
2000-09-12,38,35,3.0,7.0
2000-09-13,66,45,26.0,9.0
2000-09-14,42,48,31.0,9.0
2000-09-15,37,28,7.0,8.0
2000-09-16,42,31,10.0,8.0
2000-09-17,51,46,20.0,10.0
2000-09-18,36,87,33.0,11.0
2000-09-19,39,93,30.0,7.0
2000-09-20,39,46,6.0,8.0
2000-09-21,25,26,16.0,8.0
2000-09-22,19,40,39.0,7.0
2000-09-23,16,25,17.0,8.0
2000-09-24,11,19,13.0,8.0
2000-09-25,25,18,4.0,8.0
2000-09-26,42,28,17.0,9.0
2000-09-27,60,42,7.0,10.0
2000-09-28,35,25,17.0,10.0
2000-09-29,36,31,43.0,7.0
2000-09-30,36,47,47.0,6.0
2000-10-01,19,64,23.0,5.0
2000-10-02,34,46,10.0,6.0
2000-10-03,47,54,44.0,10.0
2000-10-04,23,25,26.0,7.0
2000-10-05,17,19,17.0,7.0
2000-10-06,11,23,3.0,5.0
2000-10-07,14,20,3.0,6.0
2000-10-08,23,19,3.0,6.0
2000-10-09,35,22,11.0,11.0
2000-10-10,41,27,20.0,11.0
2000-10-11,38,31,40.0,14.0
2000-10-12,42,41,59.0,8.0
2000-10-13,43,51,34.0,8.0
2000-10-14,50,43,9.0,11.0
2000-10-15,21,18,6.0,11.0
2000-10-16,29,11,13.0,11.0
2000-10-17,37,25,10.0,16.0
2000-10-18,47,30,14.0,17.0
2000-10-19,40,34,43.0,16.0
2000-10-20,52,43,43.0,11.0
2000-10-21,51,47,31.0,13.0
2000-10-22,34,26,17.0,13.0
2000-10-23,38,31,19.0,13.0
2000-10-24,44,23,16.0,10.0
2000-10-25,41,40,26.0,10.0
2000-10-26,53,45,13.0,7.0
2000-10-27,40,19,7.0,11.0
2000-10-28,25,10,20.0,11.0
2000-10-29,16,13,24.0,6.0
2000-10-30,32,28,30.0,7.0
2000-10-31,33,18,46.0,7.0
2001-03-31,38,12,13.0,9.0
2001-04-01,25,36,11.0,5.0
2005-03-31,20,27,7.0,8.0
2005-04-01,17,36,9.0,8.0
2005-04-02,37,40,1.0,9.0
2005-04-03,32,54,19.0,10.0
2005-04-04,35,61,37.0,9.0
2005-04-05,16,36,24.0,10.0
2005-04-06,23,42,23.0,9.0
2005-04-07,19,22,7.0,10.0
