Date Local,NO2 AQI,O3 AQI,SO2 AQI,CO AQI
2006-01-01,19,18,1.0,18.0
2006-01-02,32,19,1.0,14.0
2006-01-03,46,14,3.0,33.0
2006-01-04,103,21,7.0,45.0
2006-01-05,44,30,3.0,11.0
2006-01-06,56,28,51.0,60.0
2006-01-07,54,18,6.0,60.0
2006-01-08,44,18,3.0,38.0
2006-01-09,37,25,3.0,43.0
2006-01-10,47,21,6.0,52.0
2006-01-11,68,13,9.0,57.0
2006-01-12,58,18,9.0,43.0
2006-01-13,93,11,4.0,45.0
2006-01-14,33,19,11.0,24.0
2006-01-15,36,25,3.0,20.0
2006-01-16,53,14,4.0,41.0
2006-01-17,80,16,13.0,53.0
2006-01-18,58,20,13.0,58.0
2006-01-19,42,20,4.0,18.0
2006-01-20,63,19,13.0,51.0
2006-01-21,48,15,10.0,55.0
2006-01-22,56,22,9.0,54.0
2006-01-23,49,20,10.0,35.0
2006-01-24,42,25,6.0,38.0
2006-01-25,44,25,9.0,33.0
2006-01-26,35,25,11.0,34.0
2006-01-27,43,21,4.0,24.0
2006-01-28,40,21,6.0,27.0
2006-01-29,47,27,4.0,36.0
2006-01-30,56,28,6.0,45.0
2006-01-31,41,22,4.0,25.0
2006-02-01,58,25,4.0,31.0
2006-02-02,60,23,9.0,48.0
2006-02-03,100,13,4.0,42.0
2006-02-04,50,23,3.0,17.0
2006-02-05,63,27,3.0,36.0
2006-02-06,34,32,3.0,17.0
2006-02-07,55,25,13.0,27.0
2006-02-08,94,18,31.0,54.0
2006-02-09,63,26,21.0,60.0
2006-02-10,100,24,7.0,44.0
2006-02-11,80,25,7.0,56.0
2006-02-12,54,30,14.0,57.0
2006-02-13,108,23,30.0,54.0
2006-02-14,101,26,13.0,58.0
2006-02-15,27,25,3.0,9.0
2006-02-16,39,30,4.0,10.0
2006-02-17,52,28,4.0,20.0
2006-02-18,39,25,1.0,16.0
2006-02-19,38,26,1.0,16.0
2006-02-20,43,29,3.0,26.0
2006-02-21,44,28,4.0,20.0
2006-02-22,53,25,4.0,26.0
2006-02-23,54,25,11.0,35.0
2006-02-24,73,26,9.0,41.0
2006-02-25,67,27,6.0,45.0
2006-02-26,71,38,4.0,53.0
2006-02-27,47,32,7.0,34.0
2006-02-28,32,19,1.0,10.0
2006-03-01,38,27,3.0,22.0
2006-03-02,42,24,3.0,17.0
2006-03-03,37,24,3.0,20.0
2006-03-04,47,31,3.0,22.0
2006-03-05,42,35,3.0,30.0
2006-03-06,68,25,6.0,27.0
2006-03-07,24,27,1.0,15.0
2006-03-08,42,29,1.0,10.0
2006-03-09,35,32,1.0,17.0
2006-03-10,21,30,1.0,7.0
2006-03-11,32,27,1.0,6.0
2006-03-12,37,28,1.0,9.0
2006-03-13,44,28,1.0,14.0
2006-03-14,58,27,3.0,32.0
2006-03-15,34,30,3.0,10.0
2006-03-16,47,25,3.0,24.0
2006-03-17,36,28,3.0,22.0
2006-03-18,35,28,1.0,8.0
2006-03-19,34,30,0.0,8.0
2006-03-20,31,28,0.0,13.0
2006-03-21,42,31,1.0,11.0
2006-03-22,44,27,3.0,17.0
2006-03-23,91,25,4.0,42.0
2006-03-24,60,30,6.0,28.0
2006-03-25,60,25,1.0,30.0
2006-03-26,39,24,0.0,8.0
2006-03-27,38,25,10.0,10.0
2006-03-28,29,30,10.0,9.0
2006-03-29,45,30,1.0,11.0
2006-03-30,34,30,1.0,11.0
2006-03-31,40,25,1.0,10.0
2006-04-01,34,23,1.0,13.0
2006-04-02,36,22,1.0,13.0
2006-04-03,43,9,6.0,24.0
2006-04-05,19,31,0.0,6.0
2006-04-06,30,27,1.0,11.0
2006-04-07,35,30,1.0,15.0
2006-04-08,45,22,1.0,14.0
2006-04-09,31,27,0.0,10.0
2006-04-10,29,31,1.0,13.0
2006-04-11,29,22,1.0,7.0
2006-04-12,33,24,3.0,20.0
2006-04-13,52,19,3.0,17.0
2006-04-14,24,19,0.0,15.0
2006-04-15,23,23,0.0,5.0
2006-04-16,17,27,0.0,5.0
2006-04-17,34,30,0.0,6.0
2006-04-18,44,30,3.0,17.0
2006-04-19,55,40,3.0,18.0
