Date Local,NO2 AQI,O3 AQI,SO2 AQI,CO AQI
2007-04-20,7,80,1.0,3.0
2007-04-21,5,74,1.0,3.0
2007-04-22,5,41,1.0,3.0
2007-04-23,5,31,1.0,3.0
2007-04-24,4,29,1.0,3.0
2007-04-25,25,37,1.0,3.0
2007-04-26,14,40,1.0,3.0
2007-04-27,8,58,1.0,3.0
2007-04-28,8,71,3.0,3.0
2007-04-29,7,36,3.0,5.0
2007-04-30,9,42,1.0,3.0
2007-05-01,11,34,1.0,3.0
2007-05-02,6,36,1.0,3.0
2007-05-03,10,34,1.0,6.0
2007-05-04,4,28,1.0,6.0
2007-05-05,5,19,3.0,7.0
2007-05-06,4,27,1.0,6.0
2007-05-07,6,23,1.0,6.0
2007-05-08,7,33,1.0,6.0
2007-05-09,10,46,3.0,3.0
2007-05-10,9,46,1.0,2.0
2007-05-11,16,61,1.0,2.0
2007-05-12,25,47,1.0,3.0
2007-05-13,16,44,1.0,3.0
2007-05-14,14,61,1.0,3.0
2007-05-15,11,67,1.0,3.0
2007-05-16,8,47,1.0,2.0
2007-05-17,7,51,1.0,2.0
2007-05-18,5,67,3.0,2.0
2007-05-19,4,64,3.0,2.0
2007-05-20,5,90,1.0,3.0
2007-05-21,5,47,1.0,3.0
2007-05-22,4,45,0.0,5.0
2007-05-23,4,35,0.0,5.0
2007-05-24,3,31,0.0,6.0
2007-05-25,8,32,0.0,3.0
2007-05-26,3,24,0.0,5.0
2007-06-04,21,33,0.0,3.0
2007-06-05,22,47,0.0,2.0
2007-06-06,7,43,4.0,5.0
2007-06-07,2,27,0.0,3.0
2007-06-08,3,44,0.0,5.0
2007-06-09,4,21,0.0,5.0
2007-06-10,4,25,0.0,5.0
2007-06-11,5,30,0.0,1.0
2007-06-12,7,26,3.0,1.0
2007-06-13,10,40,3.0,1.0
2007-06-14,9,39,1.0,1.0
2007-06-15,7,36,0.0,1.0
2007-06-16,4,36,3.0,1.0
2007-06-17,2,25,0.0,3.0
2007-06-18,3,24,0.0,3.0
2007-06-19,7,27,0.0,3.0
2007-06-20,7,28,0.0,3.0
2007-06-21,4,29,1.0,3.0
2007-06-22,5,20,0.0,3.0
2007-06-23,4,20,0.0,3.0
2007-06-24,2,31,0.0,3.0
2007-06-25,3,19,0.0,3.0
2007-06-26,3,38,0.0,6.0
2007-06-27,0,25,0.0,5.0
2007-06-28,3,28,0.0,3.0
