Date Local,NO2 AQI,O3 AQI,SO2 AQI,CO AQI
2000-01-01,37,12,47.0,41.0
2000-01-02,21,25,16.0,24.0
2000-01-03,30,22,16.0,10.0
2000-01-04,24,20,14.0,10.0
2000-01-05,31,21,17.0,11.0
2000-01-06,40,3,19.0,25.0
2000-01-07,32,10,23.0,32.0
2000-01-08,30,9,39.0,13.0
2000-01-09,26,7,31.0,14.0
2000-01-10,30,3,23.0,23.0
2000-01-11,34,19,21.0,23.0
2000-01-12,33,16,23.0,26.0
2000-01-13,30,21,76.0,28.0
2000-01-14,24,23,27.0,9.0
2000-01-15,28,13,44.0,11.0
2000-01-16,24,25,39.0,10.0
2000-01-17,16,26,11.0,11.0
2000-01-18,36,19,50.0,14.0
2000-01-19,32,7,27.0,20.0
2000-01-20,23,20,29.0,20.0
2000-01-21,24,19,20.0,9.0
2000-01-22,33,20,26.0,13.0
2000-01-23,32,8,49.0,14.0
2000-01-24,40,9,65.0,15.0
2000-01-25,24,20,40.0,11.0
2000-01-26,25,19,36.0,10.0
2000-01-27,29,24,36.0,9.0
2000-01-28,32,20,36.0,10.0
2000-01-29,49,18,62.0,34.0
2000-01-30,55,4,40.0,47.0
2000-01-31,33,19,34.0,17.0
2000-02-01,35,19,21.0,23.0
2000-02-02,38,24,21.0,18.0
2000-02-03,67,8,41.0,35.0
2000-02-04,35,3,29.0,22.0
2000-02-05,32,24,26.0,17.0
2000-02-06,30,25,19.0,19.0
2000-02-07,31,20,24.0,19.0
2000-02-08,40,19,20.0,14.0
2000-02-09,32,14,43.0,35.0
2000-02-10,71,15,49.0,58.0
2000-02-11,44,21,43.0,15.0
2000-02-13,7,11,19.0,24.0
2000-02-14,42,15,29.0,11.0
2000-02-15,17,19,20.0,19.0
2000-02-16,109,23,26.0,19.0
2000-02-17,25,24,14.0,13.0
2000-02-18,24,14,24.0,16.0
2000-02-19,16,16,19.0,14.0
2000-02-20,10,25,14.0,13.0
2000-02-21,23,20,20.0,15.0
2000-02-22,23,19,89.0,18.0
2000-02-23,33,18,39.0,19.0
2000-02-24,28,24,29.0,33.0
2000-02-25,32,20,91.0,16.0
2000-02-26,12,13,20.0,16.0
2000-02-27,10,20,20.0,13.0
2000-02-28,20,23,17.0,13.0
2000-02-29,36,19,47.0,27.0
2000-03-01,50,19,37.0,43.0
2000-03-02,29,19,11.0,15.0
2000-03-03,39,21,20.0,13.0
2000-03-04,56,24,16.0,19.0
2000-03-05,45,27,16.0,26.0
2000-03-06,60,25,19.0,23.0
2000-03-07,80,24,40.0,39.0
2000-03-08,72,33,26.0,34.0
2000-03-09,71,28,46.0,42.0
2000-03-10,42,23,14.0,13.0
2000-03-11,32,9,10.0,15.0
2000-03-12,25,23,16.0,15.0
2000-03-13,34,20,17.0,13.0
2000-03-14,40,23,31.0,14.0
2000-03-15,37,35,23.0,9.0
2000-03-16,46,25,37.0,9.0
2000-03-17,19,25,6.0,9.0
2000-03-18,42,22,17.0,11.0
2000-03-19,28,24,6.0,11.0
2000-03-20,27,19,6.0,11.0
2000-03-21,28,13,6.0,11.0
2000-03-22,29,4,6.0,19.0
2000-03-23,38,12,20.0,24.0
2000-03-24,41,21,16.0,28.0
2000-03-25,35,24,17.0,17.0
2000-03-26,42,34,10.0,26.0
2000-03-27,46,27,13.0,38.0
2000-03-28,30,20,13.0,13.0
2000-03-29,37,24,9.0,16.0
2000-03-30,47,21,11.0,32.0
2000-03-31,45,25,11.0,22.0
2000-04-01,41,31,16.0,25.0
2000-04-02,25,36,9.0,13.0
2000-04-03,27,19,40.0,13.0
2000-04-04,31,22,16.0,9.0
2000-04-05,45,25,11.0,16.0
2000-04-06,41,36,14.0,19.0
2000-04-07,55,36,30.0,19.0
2000-04-08,14,35,7.0,11.0
2000-04-09,19,27,10.0,10.0
2000-04-10,42,25,13.0,15.0
2000-04-11,45,14,19.0,15.0
2000-04-12,39,25,16.0,15.0
2000-04-13,43,24,13.0,15.0
2000-04-14,49,26,10.0,17.0
2000-04-15,30,8,14.0,18.0
