Date Local,NO2 AQI,O3 AQI,SO2 AQI,CO AQI
2000-01-01,43,23,36.0,14.0
2000-01-02,44,28,71.0,8.0
2000-01-03,49,26,11.0,10.0
2000-01-04,62,15,37.0,13.0
2000-01-05,40,29,1.0,10.0
2000-01-06,57,15,29.0,17.0
2000-01-07,0,11,52.0,27.0
2000-01-08,2,31,44.0,26.0
2000-01-09,28,32,0.0,3.0
2000-01-10,17,29,0.0,6.0
2000-01-11,42,22,17.0,13.0
2000-01-12,3,22,0.0,8.0
2000-01-13,10,15,11.0,26.0
2000-01-14,77,3,47.0,30.0
2000-01-15,49,12,10.0,33.0
2000-01-16,0,8,71.0,17.0
2000-01-17,36,6,33.0,14.0
2000-01-18,0,2,26.0,16.0
2000-01-19,2,25,3.0,14.0
2000-01-20,28,2,14.0,20.0
2000-01-21,0,12,21.0,27.0
2000-01-22,2,30,13.0,23.0
2000-01-23,0,31,3.0,15.0
2000-01-24,0,25,11.0,18.0
2000-01-25,26,8,0.0,6.0
2000-01-26,13,3,23.0,13.0
2000-01-27,4,15,0.0,9.0
2000-01-28,7,24,13.0,19.0
2000-01-29,54,21,39.0,11.0
2000-01-30,15,21,31.0,11.0
2000-01-31,61,18,50.0,24.0
2000-02-01,2,16,29.0,27.0
2000-02-02,8,23,19.0,23.0
2000-02-03,2,30,9.0,16.0
2000-02-04,0,20,1.0,6.0
2000-02-05,0,14,31.0,16.0
2000-02-06,0,32,20.0,9.0
2000-02-07,63,27,51.0,19.0
2000-02-08,63,11,61.0,18.0
2000-02-09,105,28,17.0,28.0
2000-02-10,19,24,17.0,14.0
2000-02-11,1,11,11.0,8.0
2000-02-12,16,13,1.0,13.0
2000-02-13,0,36,24.0,6.0
2000-02-14,8,0,21.0,15.0
2000-02-16,42,19,14.0,11.0
2000-02-17,37,24,3.0,9.0
2000-02-18,40,23,29.0,7.0
2000-02-19,64,27,40.0,20.0
2000-02-20,76,2,49.0,19.0
2000-02-21,65,22,30.0,24.0
2000-02-22,63,30,16.0,18.0
2000-02-23,63,31,17.0,18.0
2000-02-24,56,37,16.0,18.0
2000-02-25,8,36,0.0,3.0
2000-02-26,23,43,0.0,3.0
2000-02-27,50,31,36.0,8.0
2000-02-28,65,41,30.0,8.0
2000-02-29,49,37,7.0,6.0
2000-03-01,53,31,9.0,11.0
2000-03-02,36,19,0.0,10.0
2000-03-03,56,38,44.0,16.0
2000-03-04,58,41,37.0,20.0
2000-03-05,56,42,40.0,24.0
2000-03-06,63,29,33.0,7.0
2000-03-07,38,40,20.0,9.0
2000-03-08,21,41,0.0,3.0
2000-03-09,27,19,0.0,8.0
2000-03-10,43,33,11.0,8.0
2000-03-11,47,40,17.0,7.0
2000-03-12,39,38,0.0,7.0
2000-03-13,62,36,40.0,11.0
2000-03-14,47,33,19.0,6.0
2000-03-15,0,23,4.0,5.0
2000-03-16,4,35,1.0,15.0
2000-03-17,6,32,16.0,22.0
2000-03-18,4,38,6.0,7.0
2000-03-19,0,31,24.0,8.0
2000-03-20,13,31,0.0,8.0
2000-03-21,5,29,30.0,5.0
2000-03-22,34,7,39.0,16.0
2000-03-23,0,40,37.0,25.0
2000-03-24,4,41,20.0,10.0
2000-03-25,3,40,31.0,8.0
2000-03-26,1,46,6.0,8.0
