Date Local,NO2 AQI,O3 AQI,SO2 AQI,CO AQI
2001-06-27,43,20,52.0,2.0
2001-06-28,57,18,54.0,8.0
2001-06-29,26,29,47.0,0.0
2001-06-30,23,38,39.0,0.0
2001-07-13,36,34,17.0,6.0
2001-07-14,35,36,14.0,6.0
2001-07-15,7,32,13.0,3.0
2001-07-16,25,27,16.0,3.0
2001-07-17,28,25,20.0,3.0
2001-07-18,38,27,21.0,8.0
2001-07-19,35,25,27.0,5.0
2001-07-20,30,23,23.0,5.0
2001-07-21,26,26,24.0,3.0
2001-07-22,27,27,21.0,3.0
2001-07-23,25,22,20.0,3.0
2001-07-24,19,28,16.0,3.0
2001-07-25,24,31,10.0,3.0
2001-07-26,29,36,20.0,5.0
2001-07-27,27,33,17.0,3.0
2001-07-28,30,47,11.0,5.0
2001-09-14,52,40,3.0,8.0
2001-09-15,37,35,20.0,5.0
2001-09-16,37,33,14.0,5.0
2001-09-17,24,34,11.0,2.0
2001-09-18,36,40,23.0,3.0
2001-09-19,30,37,16.0,1.0
2001-09-20,32,39,14.0,3.0
2001-09-21,47,43,26.0,7.0
2001-09-22,51,38,31.0,6.0
2001-09-23,42,41,13.0,5.0
2001-09-24,48,33,24.0,11.0
2001-09-25,72,25,115.0,11.0
2001-09-26,72,27,36.0,15.0
2001-09-27,58,47,30.0,7.0
2001-09-28,66,34,43.0,10.0
2001-09-29,65,49,31.0,9.0
2001-10-01,64,40,10.0,19.0
2001-10-02,58,32,44.0,9.0
2001-10-03,30,31,10.0,5.0
2001-10-04,21,35,16.0,5.0
2001-10-05,26,31,11.0,5.0
2001-10-06,18,35,9.0,5.0
2001-10-07,22,38,6.0,6.0
2001-10-08,45,34,13.0,14.0
2001-10-09,42,36,23.0,8.0
2001-10-10,49,41,20.0,13.0
2001-10-11,52,29,29.0,13.0
2001-10-12,61,35,24.0,17.0
2001-10-13,66,41,36.0,17.0
2001-10-14,41,54,19.0,6.0
2001-10-15,74,37,31.0,11.0
2001-10-17,53,26,3.0,9.0
2001-10-18,94,23,43.0,25.0
2001-10-19,45,23,34.0,9.0
2001-10-20,36,31,23.0,8.0
2001-10-21,39,36,23.0,9.0
2001-10-22,53,37,21.0,8.0
2001-10-23,51,35,16.0,9.0
2001-10-24,44,32,19.0,5.0
2001-10-25,64,44,6.0,18.0
2001-10-26,47,46,7.0,7.0
2001-10-27,41,29,11.0,14.0
2001-10-28,33,33,4.0,7.0
2001-10-29,35,24,9.0,8.0
2001-10-30,50,15,31.0,11.0
2001-10-31,33,21,9.0,10.0
2001-11-01,39,25,11.0,8.0
2001-11-02,52,33,24.0,16.0
2001-11-03,49,39,11.0,15.0
2001-11-04,42,29,11.0,3.0
2001-11-05,69,31,26.0,10.0
2001-11-06,42,31,16.0,6.0
2001-11-07,46,26,19.0,10.0
2001-11-08,85,21,29.0,17.0
2001-11-09,50,38,16.0,13.0
2001-11-10,27,30,4.0,5.0
2001-11-11,33,26,13.0,8.0
2001-11-12,36,22,16.0,19.0
2001-11-13,46,25,6.0,16.0
2001-11-14,61,14,17.0,22.0
2001-11-15,107,9,30.0,43.0
2001-11-16,86,19,17.0,28.0
2001-11-17,55,14,33.0,23.0
2001-11-18,98,20,33.0,23.0
2001-11-19,86,18,14.0,36.0
2001-11-20,105,9,29.0,47.0
2001-11-21,54,11,11.0,10.0
2001-11-22,38,21,7.0,11.0
2001-11-23,40,24,7.0,16.0
2001-11-26,67,12,3.0,24.0
2001-11-27,67,16,11.0,16.0
2001-11-28,57,11,10.0,32.0
2001-11-29,48,8,7.0,19.0
2001-11-30,49,16,14.0,33.0
2001-12-01,50,18,19.0,38.0
2001-12-02,61,24,13.0,31.0
2001-12-03,42,30,3.0,18.0
2001-12-04,42,24,9.0,11.0
2001-12-05,65,14,13.0,31.0
2001-12-06,58,11,10.0,28.0
2001-12-07,69,9,19.0,33.0
2001-12-08,58,16,6.0,31.0
2001-12-09,46,10,4.0,28.0
2002-01-08,103,6,20.0,52.0
2002-01-09,38,14,9.0,9.0
2002-01-10,55,9,10.0,25.0
2002-01-11,78,15,9.0,39.0
2002-01-12,81,10,52.0,34.0
2002-01-13,84,9,59.0,32.0
2002-01-14,64,36,9.0,38.0
2002-01-15,40,24,10.0,3.0
2002-01-16,43,25,9.0,8.0
2002-01-17,65,25,16.0,24.0
2002-01-18,77,24,11.0,35.0
2002-01-19,50,17,4.0,26.0
2002-01-20,48,25,6.0,31.0
2002-01-21,87,11,27.0,36.0
2002-01-22,45,21,6.0,19.0
2002-01-23,45,19,7.0,19.0
2002-01-24,81,23,11.0,40.0
2002-01-25,77,18,7.0,34.0
2002-01-26,47,23,7.0,28.0
2002-01-27,38,26,3.0,15.0
2002-01-28,46,31,4.0,19.0
2002-01-29,46,25,4.0,24.0
2002-01-30,45,25,6.0,20.0
2002-01-31,64,17,10.0,36.0
2002-02-01,54,16,4.0,35.0
2002-02-02,57,12,23.0,33.0
2002-02-03,50,17,9.0,41.0
2002-02-04,70,19,13.0,41.0
2002-02-05,104,7,21.0,59.0
2002-02-06,102,12,7.0,53.0
2002-02-07,64,21,20.0,28.0
2002-02-08,50,18,19.0,17.0
2002-02-09,58,27,4.0,31.0
2002-03-11,46,27,30.0,10.0
2002-03-12,49,25,13.0,6.0
2002-03-13,29,36,14.0,7.0
2002-03-14,34,32,3.0,7.0
2002-03-15,57,38,11.0,17.0
2002-03-16,38,39,1.0,5.0
2002-03-17,43,39,6.0,13.0
2002-03-18,49,37,4.0,8.0
2002-03-19,62,27,43.0,24.0
2002-03-20,98,35,51.0,27.0
2002-03-21,91,33,39.0,20.0
2002-03-22,50,31,10.0,10.0
