Date Local,NO2 AQI,O3 AQI,SO2 AQI,CO AQI
2000-01-01,30,41,1.0,18.0
2000-01-02,25,34,1.0,10.0
2000-01-03,25,27,3.0,14.0
2000-01-04,23,26,9.0,9.0
2000-01-05,15,25,3.0,8.0
2000-01-06,23,22,1.0,10.0
2000-01-07,24,18,1.0,10.0
2000-01-08,35,26,1.0,16.0
2000-01-09,30,25,1.0,18.0
2000-01-10,25,19,4.0,16.0
2000-01-11,55,37,14.0,22.0
2000-01-12,60,38,9.0,23.0
2000-01-13,53,33,4.0,23.0
2000-01-14,19,25,4.0,10.0
2000-01-15,33,30,1.0,11.0
2000-01-16,35,32,1.0,15.0
2000-01-17,33,27,3.0,16.0
2000-01-18,25,31,11.0,14.0
2000-01-19,28,19,3.0,11.0
2000-01-20,21,31,6.0,11.0
2000-01-21,38,23,4.0,18.0
2000-01-22,40,31,11.0,20.0
2000-01-23,42,34,3.0,15.0
2000-01-24,35,22,3.0,16.0
2000-01-25,22,27,26.0,10.0
2000-01-26,36,22,6.0,5.0
2000-01-27,27,25,34.0,5.0
2000-01-28,26,18,9.0,6.0
2000-01-29,20,30,4.0,6.0
2000-01-30,23,30,1.0,6.0
2000-01-31,24,11,1.0,6.0
2000-02-01,36,21,3.0,6.0
2000-02-02,31,39,3.0,6.0
2000-02-03,45,21,1.0,9.0
2000-02-07,44,38,3.0,13.0
2000-02-08,52,42,4.0,9.0
2000-02-09,45,40,13.0,11.0
2000-02-10,71,74,7.0,10.0
2000-02-11,64,42,10.0,22.0
2000-02-12,56,48,14.0,25.0
2000-02-13,42,41,7.0,19.0
2000-02-14,15,17,3.0,10.0
2000-02-15,24,36,4.0,9.0
2000-02-16,28,54,1.0,9.0
2000-02-17,39,50,7.0,13.0
2000-02-18,28,34,3.0,9.0
2000-02-19,20,30,6.0,10.0
2000-02-20,16,32,11.0,8.0
2000-02-21,27,40,1.0,8.0
2000-02-22,17,36,0.0,8.0
2000-02-23,28,34,0.0,9.0
2000-02-24,27,34,0.0,9.0
2000-02-25,16,36,0.0,9.0
2000-02-26,25,35,10.0,8.0
2000-02-27,26,38,0.0,10.0
2000-02-28,17,37,0.0,9.0
2000-02-29,26,47,0.0,9.0
2000-03-01,37,47,1.0,15.0
2000-03-02,28,33,7.0,9.0
2000-03-03,25,54,1.0,9.0
2000-03-04,21,38,7.0,8.0
2000-03-05,43,58,1.0,9.0
2000-03-06,44,64,3.0,15.0
2000-03-07,24,47,0.0,10.0
2000-03-08,23,43,0.0,9.0
2000-03-09,36,50,1.0,11.0
2000-03-10,28,44,3.0,11.0
2000-03-11,20,30,16.0,9.0
2000-03-12,42,42,9.0,9.0
2000-03-13,27,44,1.0,9.0
2000-03-14,19,41,0.0,9.0
2000-03-15,21,37,3.0,9.0
2000-03-16,25,31,0.0,9.0
2000-03-17,36,26,3.0,17.0
2000-03-18,22,39,0.0,23.0
2000-03-19,7,41,0.0,9.0
2000-03-20,17,34,4.0,9.0
2000-03-21,29,74,16.0,10.0
2000-03-22,28,50,0.0,10.0
2000-03-23,20,36,7.0,9.0
2000-03-24,16,34,0.0,9.0
2000-03-25,29,42,1.0,10.0
2000-03-26,27,40,0.0,10.0
2000-03-27,24,30,7.0,10.0
2000-03-28,20,54,1.0,10.0
2000-03-29,38,54,3.0,13.0
2000-03-30,16,29,4.0,10.0
2000-03-31,17,31,4.0,11.0
2000-04-01,9,41,4.0,10.0
2000-04-02,8,43,0.0,10.0
2000-04-03,31,48,11.0,10.0
2000-04-04,25,37,6.0,10.0
2000-04-05,25,45,1.0,10.0
2000-04-06,46,80,3.0,16.0
2000-04-07,39,49,3.0,13.0
2000-04-11,36,42,1.0,5.0
2000-04-12,22,38,0.0,6.0
2000-04-13,23,42,1.0,6.0
2000-04-14,20,23,0.0,7.0
2000-04-15,16,31,0.0,7.0
2000-04-16,22,38,6.0,8.0
2000-04-17,23,35,1.0,7.0
2000-04-18,21,48,7.0,6.0
2000-04-19,32,100,4.0,7.0
2000-04-20,32,50,6.0,9.0
2000-04-21,48,71,1.0,8.0
2000-04-22,11,51,3.0,6.0
2000-04-23,22,114,1.0,6.0
2000-04-24,22,36,4.0,7.0
2000-04-25,12,50,0.0,6.0
2000-04-26,23,54,1.0,7.0
2000-04-27,41,97,1.0,8.0
2000-04-28,47,77,3.0,13.0
2000-04-29,22,84,3.0,9.0
2000-04-30,25,111,3.0,8.0
2000-05-01,33,71,4.0,7.0
2000-05-02,30,64,1.0,8.0
2000-05-03,26,47,0.0,7.0
2000-05-04,21,41,0.0,7.0
2000-05-05,24,45,1.0,8.0
2000-05-06,18,37,0.0,8.0
2000-05-07,10,42,0.0,7.0
2000-05-08,26,100,3.0,8.0
2000-05-09,19,34,3.0,8.0
2000-05-10,15,47,3.0,9.0
2000-05-11,26,47,6.0,8.0
2000-05-12,24,64,16.0,9.0
2000-05-13,25,43,13.0,10.0
2000-05-14,29,27,10.0,9.0
2000-05-15,29,54,0.0,10.0
2000-05-16,22,47,0.0,9.0
2000-05-17,25,46,0.0,11.0
2000-05-18,20,61,10.0,9.0
2000-05-19,28,87,19.0,9.0
2000-05-20,12,77,3.0,9.0
2000-05-21,11,100,3.0,9.0
2000-05-22,35,54,11.0,10.0
2000-05-23,22,41,1.0,9.0
2000-05-24,14,32,3.0,20.0
2000-05-25,11,22,3.0,17.0
2000-05-26,12,37,6.0,15.0
2000-05-27,12,34,11.0,10.0
2000-05-28,17,23,11.0,9.0
2000-05-29,8,40,0.0,8.0
2000-05-30,21,43,0.0,9.0
2000-05-31,23,35,0.0,9.0
2000-06-01,18,38,1.0,9.0
2000-06-02,22,45,3.0,18.0
2000-06-03,14,90,11.0,11.0
2000-06-04,26,84,3.0,13.0
2000-06-05,29,42,1.0,18.0
2000-06-06,19,25,1.0,13.0
2000-06-07,16,64,1.0,10.0
2000-06-08,18,54,0.0,10.0
2000-06-09,16,40,0.0,10.0
2000-06-10,20,39,1.0,10.0
2000-06-11,13,25,1.0,10.0
2000-06-12,12,19,4.0,11.0
2000-06-13,8,24,7.0,11.0
2000-06-14,9,29,4.0,9.0
2000-06-15,13,30,7.0,10.0
2000-06-16,12,24,1.0,10.0
2000-06-17,15,17,1.0,14.0
2000-06-18,8,22,1.0,11.0
2000-06-19,11,27,6.0,15.0
2000-06-20,17,51,1.0,13.0
2000-06-21,22,48,6.0,11.0
2000-06-22,23,51,16.0,13.0
2000-06-23,33,36,4.0,15.0
2000-06-24,17,46,1.0,13.0
2000-06-25,22,42,0.0,13.0
2000-06-26,25,11,3.0,13.0
2000-06-27,17,17,6.0,14.0
2000-06-28,21,26,0.0,6.0
2000-06-29,25,19,1.0,7.0
2000-06-30,21,11,7.0,7.0
2000-07-01,38,40,6.0,8.0
2000-07-02,25,48,6.0,9.0
2000-07-03,12,40,0.0,5.0
2000-07-04,9,24,10.0,5.0
2000-07-05,14,64,3.0,6.0
2000-07-06,36,80,17.0,7.0
2000-07-07,26,51,0.0,8.0
2000-07-08,28,54,0.0,8.0
2000-07-09,7,39,0.0,7.0
2000-07-10,17,47,0.0,6.0
2000-07-11,24,87,16.0,8.0
2000-07-12,25,61,3.0,8.0
2000-07-14,21,41,3.0,6.0
2000-07-15,29,32,21.0,7.0
2000-07-16,25,51,21.0,7.0
2000-07-17,13,43,6.0,6.0
2000-07-18,27,18,3.0,6.0
2000-07-19,27,150,13.0,8.0
2000-07-20,29,129,3.0,8.0
2000-07-21,39,50,4.0,9.0
2000-07-22,22,36,4.0,7.0
2000-07-23,12,38,0.0,6.0
2000-07-24,25,19,0.0,7.0
2000-07-25,27,36,0.0,8.0
2000-07-26,18,42,0.0,7.0
2000-07-27,25,50,0.0,8.0
2000-07-31,14,19,3.0,6.0
2000-08-01,27,19,7.0,10.0
2000-08-02,25,39,6.0,9.0
2000-08-03,21,25,7.0,7.0
2000-08-04,22,20,16.0,7.0
