Date Local,NO2 AQI,O3 AQI,SO2 AQI,CO AQI
2000-03-31,41,0,9.0,7.0
2000-04-01,42,37,23.0,11.0
2000-04-02,11,45,14.0,1.0
2000-04-03,25,27,9.0,2.0
2000-04-04,25,25,10.0,1.0
2000-04-05,41,29,11.0,3.0
2000-04-06,37,48,17.0,3.0
2000-04-07,51,45,31.0,7.0
2000-04-08,13,43,11.0,0.0
2000-04-09,11,33,10.0,0.0
2000-04-10,38,34,11.0,1.0
2000-04-11,36,23,4.0,1.0
2000-04-12,40,29,7.0,3.0
2000-04-13,39,33,16.0,3.0
2000-04-14,42,35,27.0,3.0
2000-04-15,31,16,4.0,3.0
2000-04-16,18,42,13.0,3.0
2000-04-17,12,27,1.0,0.0
2000-04-18,24,25,4.0,1.0
2000-04-19,28,26,54.0,1.0
2000-04-20,28,36,16.0,2.0
2000-04-21,18,27,3.0,1.0
2000-04-22,25,25,9.0,1.0
2000-04-23,8,29,3.0,0.0
2000-04-24,53,38,7.0,2.0
2000-04-25,31,29,6.0,2.0
2000-04-26,36,26,16.0,3.0
2000-04-27,12,18,6.0,2.0
2000-04-28,39,37,57.0,2.0
2000-04-29,40,48,21.0,6.0
2000-04-30,36,42,13.0,2.0
2000-05-01,46,47,16.0,6.0
2000-05-02,42,40,47.0,2.0
2000-05-03,42,50,13.0,5.0
2000-05-04,19,64,13.0,5.0
2000-05-05,43,84,52.0,8.0
2000-05-06,36,101,41.0,7.0
2000-05-07,40,97,19.0,7.0
2000-05-08,47,116,30.0,10.0
2000-05-09,40,87,23.0,6.0
2000-05-10,44,49,23.0,8.0
2000-05-11,43,54,10.0,5.0
2000-05-12,37,100,17.0,7.0
2000-05-13,36,87,17.0,8.0
2000-05-14,18,49,10.0,5.0
2000-05-15,41,46,17.0,5.0
2000-05-16,37,61,16.0,7.0
2000-05-17,24,87,23.0,5.0
2000-05-18,19,90,19.0,6.0
2000-05-19,24,28,10.0,6.0
2000-05-20,17,19,7.0,3.0
2000-05-21,13,26,21.0,5.0
2000-05-22,20,22,11.0,5.0
2000-05-23,23,38,17.0,6.0
2000-05-24,49,47,14.0,8.0
2000-05-25,38,51,14.0,9.0
2000-05-26,42,47,20.0,7.0
2000-05-27,35,31,13.0,7.0
2000-05-28,18,29,6.0,5.0
2000-05-29,30,33,6.0,3.0
2000-05-30,33,27,9.0,5.0
2000-05-31,46,41,27.0,6.0
2000-06-01,40,97,21.0,8.0
2000-06-02,42,127,20.0,8.0
2000-06-03,30,36,27.0,3.0
2000-06-04,25,47,13.0,6.0
2000-06-05,12,32,7.0,2.0
2000-06-06,23,23,17.0,3.0
2000-06-07,42,40,7.0,6.0
2000-06-08,42,67,23.0,7.0
2000-06-09,55,159,61.0,5.0
2000-06-10,53,177,34.0,7.0
2000-06-11,23,137,37.0,6.0
2000-06-12,32,44,10.0,6.0
2000-06-13,13,23,1.0,5.0
2000-06-14,12,15,1.0,2.0
2000-06-15,23,30,6.0,6.0
2000-06-16,25,64,4.0,5.0
2000-06-17,16,41,11.0,3.0
2000-06-18,16,34,11.0,5.0
2000-06-19,37,24,100.0,6.0
2000-06-20,36,80,61.0,7.0
2000-06-21,20,58,9.0,5.0
2000-06-22,20,51,20.0,3.0
2000-06-23,42,44,13.0,6.0
2000-06-24,33,156,21.0,7.0
2000-06-25,14,124,10.0,3.0
2000-06-26,21,58,17.0,5.0
2000-06-27,16,36,20.0,5.0
2000-06-28,27,26,9.0,6.0
2000-06-29,27,46,29.0,6.0
2000-06-30,31,47,13.0,3.0
2000-07-01,37,51,34.0,5.0
2000-07-02,38,100,29.0,6.0
2000-07-03,31,48,29.0,5.0
2000-07-04,17,49,17.0,5.0
2000-07-05,42,50,19.0,3.0
2000-07-06,31,42,47.0,3.0
2000-07-07,24,32,36.0,2.0
2000-07-08,25,38,24.0,1.0
2000-07-09,26,116,19.0,3.0
2000-07-10,28,54,11.0,6.0
2000-07-11,41,46,40.0,3.0
2000-07-12,42,40,41.0,3.0
2000-07-13,39,39,9.0,6.0
2000-07-14,28,74,10.0,3.0
2000-07-15,21,42,4.0,3.0
2000-07-16,25,43,10.0,2.0
2000-07-17,31,50,17.0,5.0
2000-07-18,36,77,16.0,3.0
2000-07-19,29,11,4.0,1.0
2000-07-20,28,40,29.0,3.0
2000-07-21,32,67,23.0,5.0
