Date Local,NO2_AQI,O3_AQI,SO2_AQI,CO_AQI,id,State Code,State
2000-03-31,52,0,51.0,11.0,51510,51,Virginia
2000-04-01,41,39,21.0,14.0,51510,51,Virginia
2000-04-02,15,43,7.0,5.0,51510,51,Virginia
2000-04-03,27,26,9.0,3.0,51510,51,Virginia
2000-04-04,35,25,4.0,9.0,51510,51,Virginia
2000-04-05,47,28,9.0,11.0,51510,51,Virginia
2000-04-06,34,39,14.0,11.0,51510,51,Virginia
2000-04-07,56,47,19.0,14.0,51510,51,Virginia
2000-04-08,16,43,4.0,6.0,51510,51,Virginia
2000-04-09,29,31,7.0,8.0,51510,51,Virginia
2000-04-10,44,27,10.0,11.0,51510,51,Virginia
2000-04-11,50,22,27.0,10.0,51510,51,Virginia
2000-04-12,44,24,13.0,11.0,51510,51,Virginia
2000-04-13,46,32,11.0,10.0,51510,51,Virginia
2000-04-14,51,36,7.0,8.0,51510,51,Virginia
2000-04-15,30,14,4.0,6.0,51510,51,Virginia
2000-04-16,29,30,6.0,6.0,51510,51,Virginia
2000-04-17,35,25,1.0,5.0,51510,51,Virginia
2000-04-18,40,21,71.0,9.0,51510,51,Virginia
2000-04-19,37,22,52.0,9.0,51510,51,Virginia
2000-04-20,21,34,47.0,8.0,51510,51,Virginia
2000-04-21,68,25,9.0,6.0,51510,51,Virginia
2000-04-22,18,17,11.0,6.0,51510,51,Virginia
2000-04-23,37,24,9.0,6.0,51510,51,Virginia
2000-04-24,44,26,10.0,9.0,51510,51,Virginia
2000-04-25,40,17,13.0,6.0,51510,51,Virginia
2000-04-26,36,27,13.0,9.0,51510,51,Virginia
2000-04-27,25,22,21.0,3.0,51510,51,Virginia
2000-04-28,44,26,34.0,6.0,51510,51,Virginia
2000-04-29,57,38,101.0,10.0,51510,51,Virginia
2000-04-30,50,39,14.0,10.0,51510,51,Virginia
2000-05-01,39,54,13.0,9.0,51510,51,Virginia
2000-05-02,52,36,24.0,8.0,51510,51,Virginia
2000-05-03,45,51,24.0,13.0,51510,51,Virginia
2000-05-04,25,58,9.0,5.0,51510,51,Virginia
2000-05-05,47,38,11.0,7.0,51510,51,Virginia
2000-05-06,63,74,19.0,9.0,51510,51,Virginia
2000-05-07,42,101,24.0,9.0,51510,51,Virginia
2000-05-08,42,104,33.0,7.0,51510,51,Virginia
2000-05-09,28,74,23.0,6.0,51510,51,Virginia
2000-05-10,32,46,40.0,7.0,51510,51,Virginia
2000-05-11,25,40,11.0,9.0,51510,51,Virginia
2000-05-12,37,44,17.0,7.0,51510,51,Virginia
2000-05-13,52,67,101.0,8.0,51510,51,Virginia
2000-05-14,21,42,13.0,7.0,51510,51,Virginia
2000-05-15,42,36,19.0,9.0,51510,51,Virginia
2000-05-16,47,47,16.0,14.0,51510,51,Virginia
2000-05-17,43,80,17.0,8.0,51510,51,Virginia
2000-05-18,25,48,14.0,8.0,51510,51,Virginia
2000-05-19,37,33,13.0,7.0,51510,51,Virginia
2000-05-20,20,22,3.0,5.0,51510,51,Virginia
2000-05-21,17,22,19.0,5.0,51510,51,Virginia
2000-05-22,21,26,3.0,5.0,51510,51,Virginia
2000-05-23,23,32,10.0,5.0,51510,51,Virginia
2000-05-24,38,42,7.0,8.0,51510,51,Virginia
2000-05-25,49,30,10.0,11.0,51510,51,Virginia
2000-05-26,66,44,16.0,13.0,51510,51,Virginia
2000-05-27,51,21,14.0,18.0,51510,51,Virginia
2000-05-28,25,34,13.0,7.0,51510,51,Virginia
2000-05-29,21,25,16.0,6.0,51510,51,Virginia
2000-05-30,33,21,10.0,7.0,51510,51,Virginia
2000-05-31,36,29,74.0,8.0,51510,51,Virginia
2000-06-01,65,42,19.0,9.0,51510,51,Virginia
2000-06-02,42,71,11.0,9.0,51510,51,Virginia
2000-06-03,42,36,16.0,8.0,51510,51,Virginia
