Date Local,NO2_AQI,O3_AQI,SO2_AQI,CO_AQI,id,State Code,State
2000-02-29,39,3,64.0,6.0,21019,21,Kentucky
2000-03-01,41,42,30.0,8.0,21019,21,Kentucky
2000-03-02,24,30,9.0,2.0,21019,21,Kentucky
2000-03-03,29,28,41.0,1.0,21019,21,Kentucky
2000-03-04,29,33,65.0,2.0,21019,21,Kentucky
2000-03-05,35,36,29.0,5.0,21019,21,Kentucky
2000-03-06,45,43,51.0,9.0,21019,21,Kentucky
2000-03-07,51,47,54.0,8.0,21019,21,Kentucky
2000-03-08,58,84,66.0,8.0,21019,21,Kentucky
2000-03-09,62,48,26.0,7.0,21019,21,Kentucky
2000-03-10,18,28,13.0,8.0,21019,21,Kentucky
2000-03-11,20,16,29.0,1.0,21019,21,Kentucky
2000-03-12,16,35,6.0,1.0,21019,21,Kentucky
2000-03-13,38,29,20.0,2.0,21019,21,Kentucky
2000-03-14,37,42,87.0,5.0,21019,21,Kentucky
2000-03-15,43,74,23.0,6.0,21019,21,Kentucky
2000-03-16,37,24,19.0,3.0,21019,21,Kentucky
2000-03-17,13,35,4.0,0.0,21019,21,Kentucky
2000-03-18,27,28,36.0,1.0,21019,21,Kentucky
2000-03-19,30,32,69.0,1.0,21019,21,Kentucky
2000-03-20,29,27,6.0,2.0,21019,21,Kentucky
2000-03-21,21,25,10.0,3.0,21019,21,Kentucky
2000-03-22,18,22,50.0,2.0,21019,21,Kentucky
2000-03-23,35,26,65.0,5.0,21019,21,Kentucky
2000-03-24,41,49,66.0,7.0,21019,21,Kentucky
2000-03-25,42,51,33.0,8.0,21019,21,Kentucky
2000-03-26,31,44,10.0,2.0,21019,21,Kentucky
2000-03-27,37,35,36.0,2.0,21019,21,Kentucky
2000-03-28,27,29,41.0,1.0,21019,21,Kentucky
2000-03-29,26,31,19.0,2.0,21019,21,Kentucky
2000-03-30,26,37,16.0,6.0,21019,21,Kentucky
2000-03-31,34,38,33.0,3.0,21019,21,Kentucky
2000-04-01,44,46,97.0,8.0,21019,21,Kentucky
2000-04-02,44,31,27.0,9.0,21019,21,Kentucky
2000-04-03,25,33,6.0,2.0,21019,21,Kentucky
2000-04-04,14,31,19.0,0.0,21019,21,Kentucky
2000-04-05,29,42,20.0,1.0,21019,21,Kentucky
2000-04-06,33,47,13.0,3.0,21019,21,Kentucky
2000-04-07,37,54,59.0,3.0,21019,21,Kentucky
2000-04-08,9,34,7.0,3.0,21019,21,Kentucky
2000-04-09,6,42,16.0,3.0,21019,21,Kentucky
2000-04-10,35,38,56.0,2.0,21019,21,Kentucky
2000-04-11,37,38,46.0,2.0,21019,21,Kentucky
2000-04-12,28,32,17.0,1.0,21019,21,Kentucky
2000-04-13,32,25,39.0,2.0,21019,21,Kentucky
2000-04-14,33,39,54.0,5.0,21019,21,Kentucky
2000-04-15,32,36,43.0,3.0,21019,21,Kentucky
2000-04-16,28,39,24.0,3.0,21019,21,Kentucky
2000-04-17,30,30,23.0,3.0,21019,21,Kentucky
2000-04-18,22,10,16.0,2.0,21019,21,Kentucky
2000-04-19,27,33,44.0,2.0,21019,21,Kentucky
2000-04-20,30,64,75.0,3.0,21019,21,Kentucky
2000-04-21,8,30,6.0,0.0,21019,21,Kentucky
2000-04-22,14,26,13.0,2.0,21019,21,Kentucky
2000-04-23,27,48,34.0,3.0,21019,21,Kentucky
2000-04-24,22,26,13.0,1.0,21019,21,Kentucky
2000-04-25,26,29,26.0,2.0,21019,21,Kentucky
2000-04-26,43,48,29.0,2.0,21019,21,Kentucky
2000-04-27,46,67,64.0,5.0,21019,21,Kentucky
2000-04-28,45,74,61.0,3.0,21019,21,Kentucky
2000-04-29,53,87,41.0,3.0,21019,21,Kentucky
2000-04-30,44,93,40.0,5.0,21019,21,Kentucky
2000-05-01,53,84,47.0,3.0,21019,21,Kentucky
2000-05-02,29,40,41.0,2.0,21019,21,Kentucky
2000-05-03,42,64,44.0,3.0,21019,21,Kentucky
2000-05-04,36,40,65.0,3.0,21019,21,Kentucky
2000-05-05,29,58,11.0,3.0,21019,21,Kentucky
2000-05-06,39,71,29.0,3.0,21019,21,Kentucky
2000-05-07,43,71,49.0,5.0,21019,21,Kentucky
2000-05-08,40,42,19.0,2.0,21019,21,Kentucky
2000-05-09,19,47,6.0,2.0,21019,21,Kentucky
2000-05-10,34,47,13.0,2.0,21019,21,Kentucky
2000-05-11,64,64,61.0,2.0,21019,21,Kentucky
2000-05-12,51,42,24.0,2.0,21019,21,Kentucky
2000-05-13,20,47,14.0,2.0,21019,21,Kentucky
2000-05-14,16,44,10.0,1.0,21019,21,Kentucky
2000-05-15,29,51,17.0,1.0,21019,21,Kentucky
2000-05-16,44,54,75.0,2.0,21019,21,Kentucky
2000-05-17,42,61,11.0,1.0,21019,21,Kentucky
2000-05-18,40,74,21.0,2.0,21019,21,Kentucky
2000-05-19,14,50,4.0,2.0,21019,21,Kentucky
2000-05-20,15,35,9.0,3.0,21019,21,Kentucky
2000-05-21,12,38,6.0,1.0,21019,21,Kentucky
2000-05-22,27,64,19.0,1.0,21019,21,Kentucky
2000-05-23,30,40,19.0,2.0,21019,21,Kentucky
2000-05-24,27,67,6.0,1.0,21019,21,Kentucky
2000-05-25,21,61,20.0,2.0,21019,21,Kentucky
2000-05-26,39,90,23.0,2.0,21019,21,Kentucky
2000-05-27,46,22,43.0,3.0,21019,21,Kentucky
2000-05-28,23,39,10.0,2.0,21019,21,Kentucky
2000-05-29,8,19,10.0,2.0,21019,21,Kentucky
